corridor,hours,scheduled_mean,physical_mean,delta_mean,delta_abs_mean,delta_abs_p90
FR_to_DE_LU,8784,1448.7647102649007,66.75293180006831,-1209.6421937086093,1222.851899834437,3283.595
CH_to_FR,8784,2055.6905733944955,1505.5553910964363,-788.714920606916,958.158357445307,2012.7400000000005
DE_LU_to_FR,8784,2107.544626960847,2317.7230445178184,437.66739956638185,887.9511656676444,1773.9
DE_LU_to_DK_1,8784,1399.9370256956463,796.591853580781,-605.1893888962854,700.5770203701238,1813.5
DE_LU_to_CH,8784,1534.45452148874,1100.1179409085735,-74.28035525184802,672.1165006016847,1452.970000000001
DE_LU_to_AT,8784,459.9221748962202,764.7887823067289,598.210280860826,636.0259011361153,1150.3500000000001
BE_to_FR,8784,2001.3153526491976,1655.5009677786634,-322.8889126168764,547.1117453538035,1166.96
PL_to_DE_LU,8784,662.6234119459588,1083.1660736650347,454.1115222801612,520.0603727186536,996.13
AT_to_DE_LU,8784,1294.069141906143,1039.1480132073323,-182.92169924861588,514.4628117585025,1076.025
CZ_to_PL,8784,206.31682012276488,605.099880450871,477.375667200427,496.650100080064,983.905
NL_to_DE_LU,8784,631.1790592485548,872.3704884435842,249.86065173410407,493.2025226396918,1110.1850000000002
CH_to_DE_LU,8784,518.0485835066163,544.6907377889104,194.68435600189034,482.1928031663516,1158.1788000000004
BE_to_NL,8784,852.6821791571319,881.0068883069566,32.100601163234174,434.9110788520214,966.3925
DE_LU_to_NL,8784,919.9085866394399,867.3513036547877,-35.44327158693116,415.78045070011666,1003.375
CZ_to_DE_LU,8784,656.5742070968755,936.5894341341227,306.73540783482497,400.06060802323753,866.9516666666669
NL_to_BE,8784,496.8676438497761,193.9525219173403,-301.2221861720455,376.18235423605535,883.2800000000001
AT_to_CH,8784,473.5422850681788,211.97967664807013,-268.3241805724315,356.10132381530985,868.3600000000005
DE_LU_to_CZ,8784,342.34240105513817,495.5431657747922,174.59405971589277,322.12941300242227,762.8
DK_1_to_DE_LU,8784,521.3428303519908,291.8120801548446,-228.92758222735142,317.08756491633005,808.8750000000007
CH_to_AT,8784,389.87675782638416,262.849026528521,-118.58912966507177,297.78331558441556,660.2
FR_to_BE,8784,440.04839205637415,226.56657747922122,-185.90720051249198,276.0778859705317,713.9000000000007
FR_to_CH,8784,309.9164355499527,95.07002163269954,-187.19771509612355,269.8851402458242,756.95
AT_to_CZ,8784,672.3704255340467,681.9222930661505,40.118933609875356,263.6442161636808,560.6
BE_to_DE_LU,8784,427.88875160051214,201.149094842309,-217.45984635083227,225.36564447289797,606.8675000000002
DK_2_to_SE_4,8784,802.8444977032154,814.7694978936582,-116.32961853405233,220.8748951467945,510.0
DE_LU_to_PL,8784,294.45119581464877,80.46234202436526,-198.60349232232642,215.83932599537982,618.21
PL_to_CZ,8784,277.6059936102236,64.32380735511784,-205.41979552715654,209.60927795527158,540.58
DE_LU_to_BE,8784,717.3682396628698,600.521618467494,-116.39266387115617,201.71311073559477,499.75
DK_1_to_NO_2,8784,789.889698781329,924.2505408174883,-52.54157277535065,185.84412508622674,508.2000000000003
NL_to_DK_1,8784,332.9206989247312,262.95719002618694,-117.77980163144234,183.35071375602521,545.6700000000001
DK_1_to_NL,8784,313.4243383829166,194.82147330069452,-111.44167731337835,167.56925533856543,493.03999999999996
SE_4_to_DK_2,8784,249.74856439704675,67.03370146874644,-102.82239540607056,144.38389390210557,414.4600000000001
CZ_to_AT,8784,155.18427059783974,25.709581008766936,-127.2732243782969,141.78378286443942,395.1800000000001
NO_2_to_DK_1,8784,360.852408142999,188.1874074917454,-51.701464746772594,138.3535998013903,408.1800000000001
DE_LU_to_NO_2,8784,733.5467980295566,796.6828105430947,26.470502939774352,123.14974972191324,395.20000000000005
DK_2_to_DK_1,8784,181.50012440021325,144.01332270553405,-14.880590117312478,118.4494134376111,310.0
DK_2_to_DE_LU,8784,214.8278058946115,111.16620175338723,-83.35776272700208,113.3983700506103,298.4150000000001
DE_LU_to_DK_2,8784,520.8430074806644,449.4564499601503,-54.63966653987574,108.43814504881449,292.09000000000003
DK_1_to_DK_2,8784,188.19861299052772,144.0468572079253,-38.83401556156969,105.35427943166441,283.0
NO_2_to_DE_LU,8784,360.6442162488674,138.73568256859843,-74.28813047417698,104.11159770462096,323.25
NL_to_NO_2,8784,328.6335683033544,398.051007628373,-30.948894020418084,86.63759115216335,284.7000000000003
NO_2_to_NL,8784,168.43533000554632,67.86513719685756,-47.885690515806985,77.50335551858014,271.45000000000005
PL_to_SE_4,8784,365.14637784090905,343.3013776613913,-32.98551136363636,72.83061079545453,232.45
SE_4_to_PL,8784,130.39411990776327,44.39428441307071,-36.62432744043044,57.05807071483474,179.93000000000006
SE_4_to_DE_LU,8784,277.33644859813086,42.20710463395195,-18.629906542056073,39.751401869158876,97.60000000000002
DE_LU_to_SE_4,8784,362.81610228058054,340.75993396333826,-4.132964754664823,20.52667588113338,78.0
