,generation_MW,load_MW,net_import_MW,balance_MW,price_EUR_MWh,low_price_surplus
2024-01-01T01:00:00,23507.5,39221.25,12384.025,-3329.7250000000004,0.0550000000000002,False
2024-01-01T02:00:00,23878.0,38238.5,8092.215,-6268.285,-0.1425,False
2024-01-01T03:00:00,23437.0,37508.5,6704.820000000001,-7366.679999999999,-1.252499999999999,False
2024-01-01T04:00:00,23380.5,37134.75,9249.0,-4505.25,-2.9333333333333336,False
2024-01-01T05:00:00,23826.0,37437.25,10851.525,-2759.7250000000004,-1.84,False
2024-01-01T06:00:00,23693.75,37117.25,11658.355,-1765.1450000000004,-5.7125,False
2024-01-01T07:00:00,22563.75,37722.5,9490.37,-5668.379999999999,-0.0099999999999997,False
2024-01-01T08:00:00,22568.25,38390.75,9531.925,-6290.575000000001,-3.68,False
2024-01-01T09:00:00,22802.25,40365.25,9994.255,-7568.745000000001,-1.1333333333333335,False
2024-01-01T10:00:00,23296.0,42739.5,8019.175000000001,-11424.324999999999,-6.045000000000001,False
2024-01-01T11:00:00,22890.25,45281.25,7817.505,-14573.494999999999,-6.51,False
2024-01-01T12:00:00,22107.25,46291.0,7909.605,-16274.145,-8.23,False
2024-01-01T13:00:00,21756.5,45714.5,6783.800000000001,-17174.199999999997,-9.136666666666668,False
2024-01-01T14:00:00,20329.5,45359.25,6424.405000000001,-18605.345,-1.9275,False
2024-01-01T15:00:00,20446.0,45405.75,5071.27,-19888.48,5.9875,False
2024-01-01T16:00:00,21315.25,47343.25,3622.525,-22405.475,25.915,False
2024-01-01T17:00:00,22201.0,50613.75,2460.833333333333,-25951.916666666668,41.0975,False
2024-01-01T18:00:00,22370.5,50701.75,3614.35,-24716.9,41.2925,False
2024-01-01T19:00:00,22229.75,49611.0,4327.825,-23053.425,37.8275,False
2024-01-01T20:00:00,21954.5,47544.5,4675.0,-20915.0,44.13,False
2024-01-01T21:00:00,21796.0,45601.75,6848.95,-16956.8,37.595,False
2024-01-01T22:00:00,22068.0,44113.75,5429.185,-16616.565,34.445,False
2024-01-01T23:00:00,21801.75,41485.0,5962.49,-13720.76,26.275,False
2024-01-02T00:00:00,21358.0,38793.25,5193.000000000001,-12242.25,35.925000000000004,False
2024-01-02T01:00:00,22029.25,37465.25,5131.299999999999,-10304.7,29.585,False
2024-01-02T02:00:00,22788.0,37422.0,6629.449999999999,-8004.550000000001,25.7425,False
2024-01-02T03:00:00,23807.75,37735.75,7758.55,-6169.45,22.56,False
2024-01-02T04:00:00,24591.5,39798.25,7137.833333333333,-8068.916666666667,22.5025,False
2024-01-02T05:00:00,24564.5,42879.75,10136.25,-8179.0,33.040000000000006,False
2024-01-02T06:00:00,24311.0,48199.5,9143.1,-14745.4,46.8675,False
2024-01-02T07:00:00,24140.0,53096.75,8720.300000000001,-20236.449999999997,79.9825,False
2024-01-02T08:00:00,24547.25,56619.75,9124.975,-22947.525,66.52,False
2024-01-02T09:00:00,25607.25,58522.5,10055.95,-22859.3,85.54,False
2024-01-02T10:00:00,25834.5,60116.75,6939.025,-27343.225,84.10666666666667,False
2024-01-02T11:00:00,25471.5,61558.5,6293.599999999999,-29793.4,73.79,False
2024-01-02T12:00:00,25601.5,61906.75,4923.299999999999,-31381.95,72.455,False
2024-01-02T13:00:00,24894.0,61234.5,6139.033333333334,-30201.466666666667,65.5775,False
2024-01-02T14:00:00,24985.75,60322.0,6864.775000000001,-28471.475,65.42500000000001,False
2024-01-02T15:00:00,24893.25,60672.25,7145.85,-28633.15,69.485,False
2024-01-02T16:00:00,25757.0,62037.0,8124.2,-28155.8,76.5025,False
2024-01-02T17:00:00,27062.75,64002.25,8006.449999999999,-28933.050000000003,81.02250000000001,False
2024-01-02T18:00:00,27786.25,63701.0,6994.824999999999,-28919.925000000003,80.9025,False
2024-01-02T19:00:00,27458.0,61825.0,8086.85,-26280.15,72.5925,False
2024-01-02T20:00:00,26635.0,58664.75,9506.5,-22523.25,75.52250000000001,False
2024-01-02T21:00:00,26111.0,55309.0,10958.7,-18239.3,70.9975,False
2024-01-02T22:00:00,25632.5,52523.0,11219.499999999998,-15671.000000000002,62.5275,False
2024-01-02T23:00:00,25445.5,49553.25,11470.925,-12636.825,60.0,False
2024-01-03T00:00:00,24441.75,46590.75,8463.025,-13685.975,5.662499999999999,False
2024-01-03T01:00:00,24074.25,44766.5,7944.15,-12748.1,3.565,False
2024-01-03T02:00:00,24062.75,43713.25,7748.55,-11901.95,0.6666666666666666,False
2024-01-03T03:00:00,24076.0,44073.0,7295.525000000001,-12701.474999999999,-0.0566666666666666,False
2024-01-03T04:00:00,24150.0,45503.25,7467.425000000001,-13885.824999999999,0.6300000000000008,False
2024-01-03T05:00:00,24860.75,48405.5,7873.0,-15671.75,7.87,False
2024-01-03T06:00:00,26105.0,54234.75,12194.15,-15935.6,16.5675,False
2024-01-03T07:00:00,24569.25,58794.25,11157.55,-23067.45,38.5325,False
2024-01-03T08:00:00,24589.0,61579.25,12753.1,-24237.15,54.1375,False
2024-01-03T09:00:00,24943.25,62887.5,13252.175,-24692.075,52.9125,False
2024-01-03T10:00:00,25239.5,63709.5,12452.775,-26017.225,47.795,False
2024-01-03T11:00:00,25405.75,65086.25,10482.675,-29197.825,37.24333333333333,False
2024-01-03T12:00:00,24816.0,65112.5,11196.383333333331,-29100.11666666667,37.9375,False
2024-01-03T13:00:00,24719.75,63723.0,9962.749999999998,-29040.5,41.225,False
2024-01-03T14:00:00,24219.25,62559.5,11496.475,-26843.775,41.725,False
2024-01-03T15:00:00,23950.75,62101.75,9877.025,-28273.975,55.8325,False
2024-01-03T16:00:00,24816.75,62736.0,8182.575,-29736.675,67.3675,False
2024-01-03T17:00:00,25971.75,65204.0,6232.65,-32999.6,77.7575,False
2024-01-03T18:00:00,25977.75,65237.25,5896.825,-33362.675,81.0,False
2024-01-03T19:00:00,25301.5,63099.5,5536.45,-32261.55,74.0,False
2024-01-03T20:00:00,24457.0,59255.75,8240.1,-26558.65,66.97,False
2024-01-03T21:00:00,23377.25,56264.75,7423.199999999999,-25464.300000000003,64.64,False
2024-01-03T22:00:00,22895.0,53269.0,6292.175,-24081.825,64.22,False
2024-01-03T23:00:00,23130.75,49501.5,7164.375,-19206.375,55.8275,False
2024-01-04T00:00:00,24443.75,46828.0,8752.125,-13632.125,45.5425,False
2024-01-04T01:00:00,25484.0,45717.75,10104.54,-10129.21,39.932500000000005,False
2024-01-04T02:00:00,26243.25,45066.75,8476.949999999999,-10346.550000000001,29.9725,False
2024-01-04T03:00:00,26292.75,45451.0,8958.675,-10199.575,23.67,False
2024-01-04T04:00:00,25753.75,46714.5,8984.35,-11976.4,32.84,False
2024-01-04T05:00:00,25744.25,49210.5,10064.5,-13401.75,47.0375,False
2024-01-04T06:00:00,25838.75,54195.5,8384.585,-19972.165,65.37,False
2024-01-04T07:00:00,27540.25,59869.25,6439.125,-25889.875,82.08,False
2024-01-04T08:00:00,28466.75,63555.25,5544.95,-29543.55,87.2,False
2024-01-04T09:00:00,29097.5,64881.0,4551.465,-31232.035,88.4425,False
2024-01-04T10:00:00,29267.5,66011.75,5013.07,-31731.18,87.6725,False
2024-01-04T11:00:00,28079.25,66213.0,4468.0633333333335,-33665.68666666667,88.745,False
2024-01-04T12:00:00,28523.75,66245.25,5628.03,-32093.47,83.61,False
2024-01-04T13:00:00,29676.25,65359.75,5223.665,-30459.835,84.1425,False
2024-01-04T14:00:00,31210.25,64343.25,3699.225,-29433.775,90.8275,False
2024-01-04T15:00:00,34077.25,63649.5,3247.8,-26324.45,98.82,False
