time,imp_AT,imp_BE,imp_CH,imp_CZ,imp_DK_1,imp_DK_2,imp_FR,imp_NL,imp_NO_2,imp_PL,imp_SE_4,net_import_total
2024-01-01 01:00:00,2368.8,414.825,800.0,650.1,2500.0,981.0,1597.4,181.0,1399.0,972.9,519.0,12384.025
2024-01-01 02:00:00,1814.0,950.425,799.99,486.1,,976.0,1984.8,261.8,,819.1,,8092.215
2024-01-01 03:00:00,1785.9,961.8499999999999,799.97,637.5,,,1626.5,0.0,,893.1,,6704.820000000001
2024-01-01 04:00:00,1732.5,818.1,750.0,705.7,2398.0,975.0,954.4,0.0,,915.3,,9249.0
2024-01-01 05:00:00,1814.9,889.725,760.0,652.4,2263.0,978.0,793.6,402.5,1401.0,896.4,,10851.525
2024-01-01 06:00:00,1854.7,957.125,759.68,494.1,1941.0,995.0,1286.9,1197.75,1400.0,772.1,,11658.355
2024-01-01 07:00:00,1964.8,871.1,708.27,623.7,2318.0,1000.0,1043.1,71.1,,890.3,,9490.369999999999
2024-01-01 08:00:00,1948.6,1021.5250000000001,759.8,531.6,2066.0,,1783.3,558.4,,862.7,,9531.925000000001
2024-01-01 09:00:00,2265.7,350.475,758.98,716.3,2500.0,,1431.2,979.9,,991.7,,9994.255000000001
2024-01-01 10:00:00,2274.5,358.875,799.3,757.6,,,1512.4,1312.3,,1004.2,,8019.175000000001
2024-01-01 11:00:00,2153.0,375.125,799.38,814.3,,,1334.9,1224.5,,1116.3,,7817.505
2024-01-01 12:00:00,1711.9,673.9250000000001,799.58,663.7,,,1596.0,1315.2,,1149.3,,7909.6050000000005
2024-01-01 13:00:00,1525.6,1055.7,786.7,671.6,,,649.0,775.8,,1319.4,,6783.800000000001
2024-01-01 14:00:00,1709.2,1056.625,799.98,805.6,,,0.0,627.6,,1425.4,,6424.405000000001
2024-01-01 15:00:00,987.6,233.4,797.27,419.5,,,,1668.4,,965.1,,5071.27
2024-01-01 16:00:00,122.5,196.575,545.85,14.4,,,,1907.3,,835.9,,3622.525
2024-01-01 17:00:00,152.4,95.13333333333333,143.0,23.9,,,,1227.8,,818.6,,2460.833333333333
2024-01-01 18:00:00,0.0,246.4,197.75,0.0,,,,2382.6,,787.6,,3614.35
2024-01-01 19:00:00,124.7,318.525,283.7,25.6,,1001.0,,1758.0,,816.3,0.0,4327.825
2024-01-01 20:00:00,351.8,100.1,253.2,55.6,,996.0,,2161.9,,756.4,,4675.0
2024-01-01 21:00:00,243.5,175.25,194.2,0.0,2577.0,1000.0,,1805.7,,752.3,101.0,6848.95
2024-01-01 22:00:00,81.8,60.025,156.96,67.5,2542.0,400.0,,1743.8,,377.1,0.0,5429.185
2024-01-01 23:00:00,0.0,0.0,468.39,360.1,2228.0,1000.0,,1387.0,,0.0,519.0,5962.49
2024-01-02 00:00:00,814.2,0.5,555.6,69.5,1982.0,1000.0,,395.6,,375.6,,5193.000000000001
2024-01-02 01:00:00,1110.9,1.5,655.0,497.5,2242.0,,,0.0,,624.4,,5131.299999999999
2024-01-02 02:00:00,1117.1,1.0,510.1,379.6,2024.0,,,33.75,1375.0,579.9,609.0,6629.449999999999
2024-01-02 03:00:00,1435.0,4.5,782.0,652.1,2079.0,,,18.75,1399.0,773.2,615.0,7758.55
2024-01-02 04:00:00,1976.1,1.8333333333333333,779.0,1010.2,2346.0,,,10.0,,1014.7,,7137.833333333333
2024-01-02 05:00:00,2302.1,36.65,751.0,1094.3,2342.0,993.0,,46.0,1408.0,1163.2,,10136.25
2024-01-02 06:00:00,1206.9,10.4,586.7,783.7,2218.0,991.0,,407.6,1365.0,1024.8,549.0,9143.1
2024-01-02 07:00:00,1096.3,163.9,43.0,960.4,2029.0,992.0,,1492.8,766.0,1176.9,0.0,8720.300000000001
2024-01-02 08:00:00,1028.6,337.375,117.0,1046.1,1875.0,998.0,,2213.7,175.0,1334.2,,9124.975
2024-01-02 09:00:00,1009.4,408.15,159.0,1103.6,2149.0,1000.0,,2255.6,579.0,1392.2,,10055.95
2024-01-02 10:00:00,528.5,367.525,147.7,932.4,1318.0,,,2259.9,0.0,1385.0,,6939.025
2024-01-02 11:00:00,330.4,302.7,43.0,857.5,326.0,600.0,,2404.3,21.0,1408.7,,6293.599999999999
2024-01-02 12:00:00,178.8,7.5,,837.4,0.0,0.0,,2403.7,56.0,1439.9,,4923.299999999999
2024-01-02 13:00:00,416.2,10.333333333333334,,966.3,874.0,0.0,,2312.4,98.0,1461.8,,6139.033333333334
2024-01-02 14:00:00,927.7,29.275,,1115.5,1109.0,,,2195.0,78.0,1410.3,,6864.775000000001
2024-01-02 15:00:00,1056.0,13.850000000000001,,1161.9,1098.0,21.4,,2443.6,1.0,1350.1,,7145.85
2024-01-02 16:00:00,1434.0,89.39999999999999,,1314.4,1355.0,26.4,,2601.5,0.0,1303.5,,8124.2
2024-01-02 17:00:00,1574.4,339.05,,1399.7,1291.0,88.7,,1706.2,229.0,1378.4,,8006.449999999999
2024-01-02 18:00:00,1237.3,488.025,,1254.1,576.0,99.7,,1765.3,239.0,1335.4,,6994.824999999999
2024-01-02 19:00:00,1240.0,937.35,614.8,1262.0,423.0,238.0,,1162.3,819.0,1390.4,,8086.85
2024-01-02 20:00:00,1795.2,1001.0,616.1,1410.1,1124.0,265.9,,447.6,1399.0,1447.6,,9506.5
2024-01-02 21:00:00,2678.4,954.4,616.6,1588.1,2439.0,735.0,,292.9,,1384.3,270.0,10958.699999999999
2024-01-02 22:00:00,3019.1,884.8,719.9,1524.3,2282.0,736.0,,613.8,,1227.6,212.0,11219.499999999998
2024-01-02 23:00:00,2654.7,809.125,775.0,1191.8,2500.0,738.0,92.0,1219.9,,971.4,519.0,11470.925
2024-01-03 00:00:00,2650.1,832.925,800.0,1342.2,,754.0,0.0,899.7,,1184.1,,8463.025
2024-01-03 01:00:00,2533.2,647.4499999999999,799.3,1406.2,,741.0,,578.7,,1238.3,,7944.15
2024-01-03 02:00:00,2215.7,945.8,798.25,1215.8,,744.0,,665.5,,1163.5,,7748.55
2024-01-03 03:00:00,2060.4,429.025,800.0,1150.4,,747.0,52.3,912.4,,1144.0,,7295.525000000001
2024-01-03 04:00:00,2220.3,584.825,799.6,1287.7,,746.0,0.0,623.6,,1205.4,,7467.425000000001
2024-01-03 05:00:00,2671.4,910.5,800.0,1479.5,,741.0,,0.0,,1270.6,,7873.0
2024-01-03 06:00:00,3115.1,1247.825,797.725,1873.9,2317.0,739.0,,628.0,,1475.6,,12194.150000000001
2024-01-03 07:00:00,2218.5,1170.75,765.0,1659.8,2035.0,738.0,,1188.0,,1382.5,,11157.55
2024-01-03 08:00:00,2518.1,950.3,800.0,1784.2,2226.0,742.0,,895.8,1404.0,1432.7,,12753.099999999999
2024-01-03 09:00:00,2794.9,853.95,726.325,1899.8,2283.0,756.0,,1046.4,1446.0,1445.8,,13252.175
2024-01-03 10:00:00,2454.9,785.4,590.875,1771.9,2386.0,776.0,,866.4,1400.0,1421.3,,12452.775
2024-01-03 11:00:00,2072.3,799.275,718.5,1648.0,2390.0,813.0,,665.6,,1376.0,,10482.675000000001
2024-01-03 12:00:00,2275.2,910.7333333333332,799.0,1794.2,2500.0,865.0,240.35,313.8,,1498.1,,11196.383333333333
2024-01-03 13:00:00,2138.4,984.75,800.0,1756.3,,910.0,0.0,362.9,1475.0,1535.4,,9962.749999999998
2024-01-03 14:00:00,1837.3,325.475,751.6,1556.1,2133.0,941.0,,972.7,1500.0,1479.3,,11496.475
2024-01-03 15:00:00,1136.1,374.25,742.175,1225.9,1574.0,945.0,,1164.9,811.0,1388.7,515.0,9877.025
2024-01-03 16:00:00,995.8,252.725,710.15,1209.9,1154.0,927.0,,1390.2,231.0,1311.8,0.0,8182.575
2024-01-03 17:00:00,985.9,369.55,640.0,1128.0,0.0,382.1,,1448.5,0.0,1278.6,,6232.65
2024-01-03 18:00:00,542.4,695.725,649.0,829.5,492.0,0.0,,1582.9,0.0,1105.3,,5896.825
2024-01-03 19:00:00,331.1,932.75,799.9,763.3,504.0,27.4,,937.3,70.0,1170.7,,5536.45
2024-01-03 20:00:00,1218.8,372.6,790.0,1122.3,919.0,380.1,,1668.7,367.0,1401.6,,8240.1
2024-01-03 21:00:00,1063.3,66.9,679.9,861.3,963.0,287.0,,2100.9,219.0,1181.9,,7423.199999999999
2024-01-03 22:00:00,746.5,53.474999999999994,800.0,390.2,136.0,448.8,,2261.0,809.0,647.2,,6292.175
2024-01-03 23:00:00,1077.8,110.575,699.3,459.8,290.0,480.6,,1978.2,1399.0,669.1,,7164.375
2024-01-04 00:00:00,1473.5,38.425,742.0,532.1,1084.0,600.0,,2101.5,1401.0,774.6,5.0,8752.125
2024-01-04 01:00:00,1485.5,18.45,706.99,725.7,1663.0,851.0,,1871.6,1400.0,863.3,519.0,10104.539999999999
2024-01-04 02:00:00,1436.9,56.45,444.4,752.2,2102.0,787.0,,2031.2,,866.8,,8476.949999999999
2024-01-04 03:00:00,1398.7,279.675,382.9,746.4,2390.0,762.0,,2133.6,,865.4,,8958.675
2024-01-04 04:00:00,1425.3,95.95,538.5,840.1,2184.0,749.0,,2190.8,,960.7,,8984.35
2024-01-04 05:00:00,1515.7,101.3,757.0,769.7,1258.0,741.0,,2258.4,1200.0,959.4,504.0,10064.5
2024-01-04 06:00:00,1098.7,342.325,641.96,911.8,362.0,739.0,,2514.8,600.0,1174.0,0.0,8384.585
