time,imp_DE_LU,imp_NL,net_import_total
2024-01-01 01:00:00,0.0,0.0,0.0
2024-01-01 02:00:00,,102.2,102.2
2024-01-01 03:00:00,42.0,32.3,74.3
2024-01-01 04:00:00,0.0,424.7,424.7
2024-01-01 05:00:00,263.0,0.0,263.0
2024-01-01 06:00:00,0.0,67.3,67.3
2024-01-01 07:00:00,49.0,122.9,171.9
2024-01-01 08:00:00,0.0,0.0,0.0
2024-01-01 09:00:00,5.0,,5.0
2024-01-01 10:00:00,0.0,,0.0
2024-01-01 11:00:00,,,0.0
2024-01-01 12:00:00,,,0.0
2024-01-01 13:00:00,,,0.0
2024-01-01 14:00:00,,,0.0
2024-01-01 15:00:00,,,0.0
2024-01-01 16:00:00,,4.5,4.5
2024-01-01 17:00:00,,567.8,567.8
2024-01-01 18:00:00,,39.4,39.4
2024-01-01 19:00:00,,417.9,417.9
2024-01-01 20:00:00,70.0,119.6,189.6
2024-01-01 21:00:00,102.0,426.0,528.0
2024-01-01 22:00:00,63.0,463.5,526.5
2024-01-01 23:00:00,944.0,0.0,944.0
2024-01-02 00:00:00,213.0,,213.0
2024-01-02 01:00:00,356.0,,356.0
2024-01-02 02:00:00,277.0,,277.0
2024-01-02 03:00:00,256.0,,256.0
2024-01-02 04:00:00,582.0,,582.0
2024-01-02 05:00:00,923.0,,923.0
2024-01-02 06:00:00,637.0,,637.0
2024-01-02 07:00:00,594.0,288.3,882.3
2024-01-02 08:00:00,445.0,385.2,830.2
2024-01-02 09:00:00,778.0,594.8,1372.8
2024-01-02 10:00:00,464.0,700.0,1164.0
2024-01-02 11:00:00,83.0,,83.0
2024-01-02 12:00:00,546.0,,546.0
2024-01-02 13:00:00,1475.0,,1475.0
2024-01-02 14:00:00,1950.0,,1950.0
2024-01-02 15:00:00,1940.0,,1940.0
2024-01-02 16:00:00,,,0.0
2024-01-02 17:00:00,1906.0,,1906.0
2024-01-02 18:00:00,934.0,,934.0
2024-01-02 19:00:00,0.0,,0.0
2024-01-02 20:00:00,29.0,,29.0
