time,imp_DE_LU,imp_DK_1,net_import_total
2024-01-01 01:00:00,0.0,700.0,700.0
2024-01-01 02:00:00,64.5,,64.5
2024-01-01 03:00:00,91.8,,91.8
2024-01-01 04:00:00,582.0,,582.0
2024-01-01 05:00:00,632.1,,632.1
2024-01-01 06:00:00,341.1,,341.1
2024-01-01 07:00:00,0.0,577.5,577.5
2024-01-01 08:00:00,82.0,700.0,782.0
2024-01-01 09:00:00,198.25,,198.25
2024-01-01 10:00:00,596.5,,596.5
2024-01-01 11:00:00,211.5,,211.5
2024-01-01 12:00:00,201.75,,201.75
2024-01-01 13:00:00,487.0,,487.0
2024-01-01 14:00:00,335.0,,335.0
2024-01-01 15:00:00,310.0,,310.0
2024-01-01 16:00:00,236.0,132.2,368.2
2024-01-01 17:00:00,51.0,0.0,51.0
2024-01-01 18:00:00,3.0,138.0,141.0
2024-01-01 19:00:00,125.0,331.6,456.6
2024-01-01 20:00:00,71.5,733.3,804.8
2024-01-01 21:00:00,215.75,1008.1,1223.85
2024-01-01 22:00:00,1227.0,582.2,1809.2
2024-01-01 23:00:00,0.0,700.0,700.0
2024-01-02 00:00:00,,700.0,700.0
2024-01-02 01:00:00,49.2,,49.2
2024-01-02 02:00:00,380.1,,380.1
2024-01-02 03:00:00,770.5,,770.5
2024-01-02 04:00:00,876.9,,876.9
2024-01-02 05:00:00,654.5,,654.5
2024-01-02 06:00:00,0.0,,0.0
2024-01-02 07:00:00,1463.0,,1463.0
2024-01-02 08:00:00,1773.25,105.2,1878.45
2024-01-02 09:00:00,557.75,0.0,557.75
2024-01-02 10:00:00,663.5,29.2,692.7
2024-01-02 11:00:00,791.25,215.1,1006.35
2024-01-02 12:00:00,60.5,20.3,80.8
2024-01-02 13:00:00,730.75,185.9,916.65
2024-01-02 14:00:00,608.0,251.0,859.0
2024-01-02 15:00:00,1380.0,19.0,1399.0
2024-01-02 16:00:00,1288.5,0.0,1288.5
2024-01-02 17:00:00,1026.25,174.9,1201.15
2024-01-02 18:00:00,213.75,413.7,627.45
2024-01-02 19:00:00,190.0,67.6,257.6
2024-01-02 20:00:00,6.0,0.0,6.0
2024-01-02 21:00:00,4.75,,4.75
2024-01-02 22:00:00,76.25,,76.25
2024-01-02 23:00:00,204.75,66.9,271.65
2024-01-03 00:00:00,26.0,0.0,26.0
2024-01-03 01:00:00,2.75,700.0,702.75
2024-01-03 02:00:00,9.75,,9.75
2024-01-03 03:00:00,90.75,,90.75
2024-01-03 04:00:00,38.0,,38.0
2024-01-03 05:00:00,70.1,,70.1
2024-01-03 06:00:00,0.0,688.3,688.3
2024-01-03 07:00:00,374.25,0.0,374.25
2024-01-03 08:00:00,159.25,372.1,531.35
