time,imp_NL,actual_imp_NL,diff_imp_NL,imp_DK_1,actual_imp_DK_1,diff_imp_DK_1,scheduled_net_import_total,actual_net_import_total,diff_net_import_total
2024-01-01T01:00:00,181.0,1272.75,1091.75,2500.0,2517.5,17.5,2681.0,3790.25,1109.25
2024-01-01T02:00:00,261.8,1325.25,1063.45,,2413.75,,261.8,3739.0,3477.2
2024-01-01T03:00:00,0.0,1232.0,1232.0,,2499.5,,0.0,3731.5,3731.5
2024-01-01T04:00:00,0.0,1021.75,1021.75,2398.0,2422.5,24.5,2398.0,3444.25,1046.25
2024-01-01T05:00:00,402.5,1319.5,917.0,2263.0,1916.5,-346.5,2665.5,3236.0,570.5
2024-01-01T06:00:00,1197.75,1251.5,53.75,1941.0,2013.0,72.0,3138.75,3264.5,125.75
2024-01-01T07:00:00,71.1,1142.25,1071.15,2318.0,2279.75,-38.25,2389.1,3422.0,1032.9
2024-01-01T08:00:00,558.4,1304.25,745.85,2066.0,2229.5,163.5,2624.4,3533.75,909.3499999999999
2024-01-01T09:00:00,979.9,1192.5,212.60000000000002,2500.0,2496.75,-3.25,3479.9,3689.25,209.3499999999999
2024-01-01T10:00:00,1312.3,1178.0,-134.29999999999995,,2388.0,,1312.3,3566.0,2253.7
2024-01-01T11:00:00,1224.5,1324.25,99.75,,2503.75,,1224.5,3828.0,2603.5
2024-01-01T12:00:00,1315.2,1107.25,-207.95000000000005,,2503.25,,1315.2,3610.5,2295.3
2024-01-01T13:00:00,775.8,1026.25,250.45000000000005,,2488.25,,775.8,3514.5,2738.7
2024-01-01T14:00:00,627.6,929.75,302.15,,2454.25,,627.6,3384.0,2756.4
2024-01-01T15:00:00,1668.4,1491.25,-177.1500000000001,,2375.5,,1668.4,3866.75,2198.35
2024-01-01T16:00:00,1907.3,1724.25,-183.04999999999995,,2399.0,,1907.3,4123.25,2215.95
2024-01-01T17:00:00,1227.8,1023.0,-204.79999999999995,,2492.25,,1227.8,3515.25,2287.45
2024-01-01T18:00:00,2382.6,2034.0,-348.5999999999999,,2375.25,,2382.6,4409.25,2026.65
2024-01-01T19:00:00,1758.0,1251.75,-506.25,,2538.75,,1758.0,3790.5,2032.5
2024-01-01T20:00:00,2161.9,1825.25,-336.6500000000001,,2402.25,,2161.9,4227.5,2065.6
2024-01-01T21:00:00,1805.7,1380.0,-425.70000000000005,2577.0,2395.5,-181.5,4382.7,3775.5,-607.1999999999998
2024-01-01T22:00:00,1743.8,1046.5,-697.3,2542.0,2353.5,-188.5,4285.8,3400.0,-885.8000000000002
2024-01-01T23:00:00,1387.0,1045.5,-341.5,2228.0,1315.25,-912.75,3615.0,2360.75,-1254.25
2024-01-02T00:00:00,395.6,845.0,449.4,1982.0,1802.5,-179.5,2377.6,2647.5,269.9000000000001
2024-01-02T01:00:00,0.0,756.25,756.25,2242.0,2046.0,-196.0,2242.0,2802.25,560.25
2024-01-02T02:00:00,33.75,554.5,520.75,2024.0,1901.25,-122.75,2057.75,2455.75,398.0
2024-01-02T03:00:00,18.75,572.5,553.75,2079.0,2022.0,-57.0,2097.75,2594.5,496.75
2024-01-02T04:00:00,10.0,687.5,677.5,2346.0,1799.5,-546.5,2356.0,2487.0,131.0
2024-01-02T05:00:00,46.0,832.0,786.0,2342.0,1348.25,-993.75,2388.0,2180.25,-207.75
2024-01-02T06:00:00,407.6,1212.75,805.15,2218.0,1475.5,-742.5,2625.6,2688.25,62.65000000000009
2024-01-02T07:00:00,1492.8,1157.5,-335.29999999999995,2029.0,1316.25,-712.75,3521.8,2473.75,-1048.0500000000002
2024-01-02T08:00:00,2213.7,849.75,-1363.9499999999998,1875.0,1531.25,-343.75,4088.7,2381.0,-1707.6999999999998
2024-01-02T09:00:00,2255.6,1008.0,-1247.6,2149.0,1613.75,-535.25,4404.6,2621.75,-1782.8500000000004
2024-01-02T10:00:00,2259.9,1417.25,-842.6500000000001,1318.0,736.5,-581.5,3577.9,2153.75,-1424.15
2024-01-02T11:00:00,2404.3,1408.75,-995.5500000000002,326.0,323.25,-2.75,2730.3,1732.0,-998.3000000000002
2024-01-02T12:00:00,2403.7,2012.25,-391.4499999999998,0.0,234.5,234.5,2403.7,2246.75,-156.94999999999982
2024-01-02T13:00:00,2312.4,1724.5,-587.9000000000001,874.0,482.0,-392.0,3186.4,2206.5,-979.9000000000001
2024-01-02T14:00:00,2195.0,1200.75,-994.25,1109.0,219.0,-890.0,3304.0,1419.75,-1884.25
2024-01-02T15:00:00,2443.6,820.5,-1623.1,1098.0,260.25,-837.75,3541.6,1080.75,-2460.85
2024-01-02T16:00:00,2601.5,968.0,-1633.5,1355.0,477.5,-877.5,3956.5,1445.5,-2511.0
2024-01-02T17:00:00,1706.2,682.5,-1023.7,1291.0,281.5,-1009.5,2997.2,964.0,-2033.1999999999998
2024-01-02T18:00:00,1765.3,1273.5,-491.79999999999995,576.0,442.75,-133.25,2341.3,1716.25,-625.0500000000002
2024-01-02T19:00:00,1162.3,1004.75,-157.54999999999995,423.0,1757.75,1334.75,1585.3,2762.5,1177.2
2024-01-02T20:00:00,447.6,1191.25,743.65,1124.0,1232.5,108.5,1571.6,2423.75,852.1500000000001
2024-01-02T21:00:00,292.9,1239.5,946.6,2439.0,2103.5,-335.5,2731.9,3343.0,611.0999999999999
2024-01-02T22:00:00,613.8,1405.25,791.45,2282.0,1810.0,-472.0,2895.8,3215.25,319.4499999999998
2024-01-02T23:00:00,1219.9,1423.0,203.0999999999999,2500.0,2215.75,-284.25,3719.9,3638.75,-81.15000000000009
2024-01-03T00:00:00,899.7,1144.25,244.54999999999995,,2503.25,,899.7,3647.5,2747.8
2024-01-03T01:00:00,578.7,1317.5,738.8,,2507.5,,578.7,3825.0,3246.3
2024-01-03T02:00:00,665.5,1204.75,539.25,,2457.5,,665.5,3662.25,2996.75
2024-01-03T03:00:00,912.4,1240.0,327.6,,2445.0,,912.4,3685.0,2772.6
2024-01-03T04:00:00,623.6,1383.25,759.65,,2431.25,,623.6,3814.5,3190.9
2024-01-03T05:00:00,0.0,1480.5,1480.5,,2176.0,,0.0,3656.5,3656.5
2024-01-03T06:00:00,628.0,1479.0,851.0,2317.0,1965.75,-351.25,2945.0,3444.75,499.75
2024-01-03T07:00:00,1188.0,1432.0,244.0,2035.0,1696.0,-339.0,3223.0,3128.0,-95.0
2024-01-03T08:00:00,895.8,1156.25,260.45000000000005,2226.0,2065.5,-160.5,3121.8,3221.75,99.94999999999982
2024-01-03T09:00:00,1046.4,1347.75,301.3499999999999,2283.0,2257.0,-26.0,3329.4,3604.75,275.3499999999999
2024-01-03T10:00:00,866.4,1184.0,317.6,2386.0,2332.25,-53.75,3252.4,3516.25,263.8499999999999
2024-01-03T11:00:00,665.6,1090.75,425.15,2390.0,2460.0,70.0,3055.6,3550.75,495.1500000000001
2024-01-03T12:00:00,313.8,927.75,613.95,2500.0,2442.75,-57.25,2813.8,3370.5,556.6999999999998
2024-01-03T13:00:00,362.9,911.0,548.1,,2438.25,,362.9,3349.25,2986.35
2024-01-03T14:00:00,972.7,1277.5,304.79999999999995,2133.0,2049.0,-84.0,3105.7,3326.5,220.80000000000018
2024-01-03T15:00:00,1164.9,1228.5,63.59999999999991,1574.0,1599.25,25.25,2738.9,2827.75,88.84999999999991
2024-01-03T16:00:00,1390.2,1419.25,29.049999999999955,1154.0,1419.75,265.75,2544.2,2839.0,294.8000000000002
2024-01-03T17:00:00,1448.5,1789.75,341.25,0.0,543.0,543.0,1448.5,2332.75,884.25
2024-01-03T18:00:00,1582.9,1660.0,77.09999999999991,492.0,46.0,-446.0,2074.9,1706.0,-368.9000000000001
2024-01-03T19:00:00,937.3,714.75,-222.54999999999995,504.0,264.0,-240.0,1441.3,978.75,-462.54999999999995
2024-01-03T20:00:00,1668.7,1614.75,-53.950000000000045,919.0,460.5,-458.5,2587.7,2075.25,-512.4499999999998
2024-01-03T21:00:00,2100.9,2087.75,-13.150000000000091,963.0,942.5,-20.5,3063.9,3030.25,-33.65000000000009
2024-01-03T22:00:00,2261.0,2096.25,-164.75,136.0,999.25,863.25,2397.0,3095.5,698.5
2024-01-03T23:00:00,1978.2,1809.75,-168.45000000000005,290.0,1493.5,1203.5,2268.2,3303.25,1035.0500000000002
2024-01-04T00:00:00,2101.5,1520.75,-580.75,1084.0,1290.25,206.25,3185.5,2811.0,-374.5
2024-01-04T01:00:00,1871.6,1757.5,-114.09999999999991,1663.0,1187.5,-475.5,3534.6,2945.0,-589.5999999999999
2024-01-04T02:00:00,2031.2,2119.75,88.54999999999995,2102.0,1611.25,-490.75,4133.2,3731.0,-402.1999999999998
2024-01-04T03:00:00,2133.6,2073.25,-60.34999999999991,2390.0,1735.0,-655.0,4523.6,3808.25,-715.3500000000004
2024-01-04T04:00:00,2190.8,2165.0,-25.800000000000182,2184.0,1760.0,-424.0,4374.8,3925.0,-449.8000000000002
2024-01-04T05:00:00,2258.4,2421.25,162.8499999999999,1258.0,1333.0,75.0,3516.4,3754.25,237.8499999999999
2024-01-04T06:00:00,2514.8,2696.75,181.94999999999982,362.0,461.5,99.5,2876.8,3158.25,281.4499999999998
2024-01-04T07:00:00,2065.6,2099.75,34.15000000000009,0.0,537.5,537.5,2065.6,2637.25,571.6500000000001
2024-01-04T08:00:00,1773.3,2026.0,252.70000000000005,470.0,615.5,145.5,2243.3,2641.5,398.1999999999998
2024-01-04T09:00:00,1965.9,1910.5,-55.40000000000009,719.0,865.75,146.75,2684.9,2776.25,91.34999999999991
2024-01-04T10:00:00,2501.5,2074.75,-426.75,818.0,822.75,4.75,3319.5,2897.5,-422.0
2024-01-04T11:00:00,2401.8,2259.25,-142.55000000000018,228.0,960.25,732.25,2629.8,3219.5,589.6999999999998
2024-01-04T12:00:00,2068.1,1885.0,-183.0999999999999,831.0,1039.25,208.25,2899.1,2924.25,25.15000000000009
2024-01-04T13:00:00,1139.9,1430.0,290.0999999999999,1215.0,1840.25,625.25,2354.9,3270.25,915.3499999999999
2024-01-04T14:00:00,1288.9,1697.5,408.5999999999999,682.0,925.25,243.25,1970.9,2622.75,651.8499999999999
2024-01-04T15:00:00,1761.3,1600.25,-161.04999999999995,368.0,675.75,307.75,2129.3,2276.0,146.69999999999982
2024-01-04T16:00:00,2062.9,1811.0,-251.9000000000001,556.0,699.0,143.0,2618.9,2510.0,-108.90000000000009
2024-01-04T17:00:00,1812.5,646.0,-1166.5,895.0,1470.5,575.5,2707.5,2116.5,-591.0
2024-01-04T18:00:00,1654.3,793.25,-861.05,225.0,651.75,426.75,1879.3,1445.0,-434.29999999999995
2024-01-04T19:00:00,1290.5,64.5,-1226.0,37.0,0.25,-36.75,1327.5,64.75,-1262.75
2024-01-04T20:00:00,725.9,252.0,-473.9,0.0,0.0,0.0,725.9,252.0,-473.9
2024-01-04T21:00:00,0.0,0.0,0.0,458.0,0.0,-458.0,458.0,0.0,-458.0
2024-01-04T22:00:00,210.4,34.0,-176.4,367.0,0.0,-367.0,577.4,34.0,-543.4
2024-01-04T23:00:00,903.0,544.5,-358.5,334.0,0.0,-334.0,1237.0,544.5,-692.5
2024-01-05T00:00:00,0.0,22.25,22.25,229.0,29.0,-200.0,229.0,51.25,-177.75
2024-01-05T01:00:00,297.5,242.75,-54.75,1418.0,888.25,-529.75,1715.5,1131.0,-584.5
2024-01-05T02:00:00,7.25,560.25,553.0,2118.0,1483.5,-634.5,2125.25,2043.75,-81.5
2024-01-05T03:00:00,6.5,696.5,690.0,1695.0,1186.75,-508.25,1701.5,1883.25,181.75
2024-01-05T04:00:00,29.5,847.5,818.0,1235.0,646.25,-588.75,1264.5,1493.75,229.25
2024-01-05T05:00:00,33.75,949.25,915.5,584.0,115.25,-468.75,617.75,1064.5,446.75
