time,flow_DE_LU_to_AT,flow_DE_LU_to_BE,flow_DE_LU_to_CH,flow_DE_LU_to_CZ,flow_DE_LU_to_DK_1,flow_DE_LU_to_DK_2,flow_DE_LU_to_FR,flow_DE_LU_to_NL,flow_DE_LU_to_NO_2,flow_DE_LU_to_PL,flow_DE_LU_to_SE_4,flow_AT_to_DE_LU,flow_AT_to_CH,flow_AT_to_CZ,flow_BE_to_DE_LU,flow_BE_to_FR,flow_BE_to_NL,flow_CH_to_DE_LU,flow_CH_to_AT,flow_CH_to_FR,flow_CZ_to_DE_LU,flow_CZ_to_PL,flow_DK_1_to_DE_LU,flow_DK_1_to_DK_2,flow_DK_1_to_NL,flow_DK_1_to_NO_2,flow_DK_2_to_DE_LU,flow_DK_2_to_DK_1,flow_DK_2_to_SE_4,flow_FR_to_DE_LU,flow_FR_to_BE,flow_FR_to_CH,flow_NL_to_DE_LU,flow_NL_to_BE,flow_NL_to_DK_1,flow_NL_to_NO_2,flow_NO_2_to_DE_LU,flow_NO_2_to_DK_1,flow_NO_2_to_NL,flow_PL_to_DE_LU,flow_PL_to_CZ,flow_PL_to_SE_4,flow_SE_4_to_DE_LU,flow_SE_4_to_DK_2,flow_SE_4_to_PL
2024-01-01 01:00:00,341.0,0.0,0.0,459.0,0.0,0.0,1420.0,1496.25,0.0,0.0,0.0,1980.75,0.0,1467.0,487.75,0.0,0.0,1943.0,183.0,1846.0,1220.0,205.0,2517.5,0.0,694.0,0.0,1000.75,531.0,0.0,0.0,893.25,0.0,1272.75,902.0,0.0,0.0,1401.25,1638.0,648.0,1728.0,0.0,0.0,507.0,1186.0,595.0
2024-01-01 02:00:00,294.5,14.25,0.0,493.0,0.0,0.0,1094.0,1410.75,0.0,0.0,0.0,1824.5,0.0,1184.0,989.0,0.0,0.0,2003.0,293.0,1846.0,1056.0,291.0,2413.75,0.0,599.0,0.0,1001.25,531.0,0.0,0.0,1508.25,0.0,1325.25,912.0,0.0,0.0,1401.5,1638.0,648.0,1608.0,0.0,0.0,507.0,1330.0,595.0
2024-01-01 03:00:00,279.75,0.0,0.0,594.0,0.0,0.0,754.0,1318.25,0.0,0.0,0.0,1562.25,0.0,773.0,1002.75,0.0,0.0,1951.75,355.0,1846.0,872.0,339.0,2499.5,0.0,649.0,0.0,1001.75,528.0,0.0,0.0,2128.5,0.0,1232.0,923.0,0.0,0.0,1401.25,1638.0,648.0,1469.0,0.0,0.0,507.0,1385.0,595.0
2024-01-01 04:00:00,241.75,0.0,0.0,678.0,0.0,0.0,526.0,1115.25,0.0,0.0,0.0,1499.5,0.0,636.0,714.75,0.0,0.0,1978.75,514.0,1846.0,700.0,306.0,2422.5,0.0,292.0,0.0,1001.5,490.0,0.0,0.0,2244.75,0.0,1021.75,346.0,0.0,0.0,1401.25,1343.0,648.0,1459.0,0.0,0.0,507.0,1492.0,595.0
2024-01-01 05:00:00,239.0,0.0,0.0,589.0,0.0,0.0,396.0,900.5,0.0,0.0,0.0,1432.25,0.0,810.0,712.5,0.0,0.0,2046.5,594.0,1846.0,781.0,354.0,1916.5,0.0,695.0,0.0,1001.75,500.0,0.0,0.0,2188.5,0.0,1319.5,114.0,0.0,0.0,1401.25,1234.0,647.0,1498.0,0.0,0.0,507.0,1498.0,595.0
2024-01-01 06:00:00,234.0,0.0,0.0,596.0,0.0,0.0,653.0,1076.5,0.0,0.0,0.0,1353.75,0.0,1098.0,1011.25,0.0,0.0,1857.25,479.0,1846.0,709.0,223.0,2013.0,0.0,623.0,0.0,1001.75,512.0,0.0,0.0,2358.0,0.0,1251.5,747.0,0.0,0.0,1401.25,1248.0,619.0,1604.0,0.0,0.0,507.0,1389.0,595.0
2024-01-01 07:00:00,118.0,0.0,0.0,574.0,0.0,0.0,403.0,910.75,0.0,0.0,0.0,1469.5,0.0,1101.0,1031.5,0.0,0.0,1755.0,407.0,1846.0,734.0,186.0,2279.75,0.0,463.0,0.0,1001.25,501.0,0.0,0.0,2584.5,0.0,1142.25,502.0,0.0,0.0,1401.0,1478.0,533.0,1786.0,0.0,0.0,507.0,1326.0,595.0
2024-01-01 08:00:00,118.0,0.0,0.0,573.0,0.0,0.0,541.0,785.25,0.0,0.0,0.0,1565.5,0.0,1189.0,1000.0,0.0,0.0,1793.25,268.0,1846.0,637.0,176.0,2229.5,0.0,697.0,0.0,1001.5,462.0,0.0,0.0,1953.5,0.0,1304.25,930.0,0.0,0.0,1401.25,1620.0,649.0,1683.0,0.0,0.0,507.0,1200.0,595.0
2024-01-01 09:00:00,107.0,0.0,0.0,590.0,0.0,0.0,282.0,106.25,0.0,0.0,0.0,1415.5,0.0,975.0,523.5,0.0,0.0,1651.0,420.0,1846.0,370.0,20.0,2496.75,0.0,698.0,0.0,1001.5,541.0,0.0,0.0,1385.75,0.0,1192.5,506.0,0.0,0.0,1401.25,1639.0,649.0,1223.0,0.0,0.0,507.0,1207.0,595.0
2024-01-01 10:00:00,68.75,0.0,0.0,373.0,0.0,0.0,254.0,91.75,0.0,0.0,0.0,1852.25,0.0,879.0,459.5,0.0,0.0,1735.0,434.0,1591.0,480.0,0.0,2388.0,0.0,698.0,0.0,1001.5,151.0,0.0,0.0,1234.5,0.0,1178.0,558.0,0.0,0.0,1401.75,1639.0,649.0,1233.0,99.0,0.0,507.0,816.0,595.0
