time,flow_DE_LU_to_AT,flow_DE_LU_to_BE,flow_DE_LU_to_CH,flow_DE_LU_to_CZ,flow_DE_LU_to_DK_1,flow_DE_LU_to_DK_2,flow_DE_LU_to_FR,flow_DE_LU_to_NL,flow_DE_LU_to_NO_2,flow_DE_LU_to_PL,flow_DE_LU_to_SE_4,flow_AT_to_DE_LU,flow_AT_to_CH,flow_AT_to_CZ,flow_BE_to_DE_LU,flow_BE_to_FR,flow_BE_to_NL,flow_CH_to_DE_LU,flow_CH_to_AT,flow_CH_to_FR,flow_CZ_to_DE_LU,flow_CZ_to_AT,flow_CZ_to_PL,flow_DK_1_to_DE_LU,flow_DK_1_to_DK_2,flow_DK_1_to_NL,flow_DK_1_to_NO_2,flow_DK_2_to_DE_LU,flow_DK_2_to_DK_1,flow_DK_2_to_SE_4,flow_FR_to_DE_LU,flow_FR_to_BE,flow_FR_to_CH,flow_NL_to_DE_LU,flow_NL_to_BE,flow_NL_to_DK_1,flow_NL_to_NO_2,flow_NO_2_to_DE_LU,flow_NO_2_to_DK_1,flow_NO_2_to_NL,flow_PL_to_DE_LU,flow_PL_to_CZ,flow_PL_to_SE_4,flow_SE_4_to_DE_LU,flow_SE_4_to_DK_2,flow_SE_4_to_PL
2024-01-01 01:00:00,0.0,41.225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2368.8,97.0,1718.8,414.825,68.2,46.75,800.0,835.0,2145.0,650.1,0.0,0.0,2500.0,0.0,700.0,0.0,981.0,531.0,0.0,1597.4,1628.0,0.0,181.0,352.1,0.0,0.0,1399.0,1713.0,640.0,972.9,322.7,0.0,519.0,1593.0,600.0
2024-01-01 02:00:00,,23.9,,,,,147.2,64.5,,46.1,,1814.0,19.0,1327.3,950.425,216.7,2.025,799.99,885.0,2132.0,486.1,84.6,,,,,,976.0,506.0,157.5,1984.8,2142.7,89.2,261.8,505.125,102.2,,,1693.0,,819.1,332.9,,,1587.0,
2024-01-01 03:00:00,292.675,23.724999999999998,,,42.0,,0.0,91.8,,46.2,,1785.9,0.0,1148.5,961.8499999999999,110.94999999999999,436.5,799.97,933.0,2040.7,637.5,123.2,,,,,,,531.0,122.5,1626.5,2435.1,98.7,0.0,1069.025,32.3,,,1713.0,,893.1,256.1,,,1668.0,
2024-01-01 04:00:00,457.875,227.475,,98.4,0.0,,,582.0,,0.0,,1732.5,25.0,1027.1,818.1,696.1500000000001,8.425,750.0,923.0,1937.0,705.7,17.3,,2398.0,44.6,,1.0,975.0,,123.3,954.4,2416.1,152.6,0.0,884.125,424.7,0.3,,1663.3,,915.3,209.9,,,1692.0,
2024-01-01 05:00:00,769.95,341.6,,37.9,263.0,7.9,,632.1,1.0,,,1814.9,,1162.3,889.725,926.75,457.4,760.0,990.8,2000.0,652.4,118.9,,2263.0,29.9,,7.8,978.0,,125.7,793.6,2395.9,10.0,402.5,1199.6999999999998,0.0,0.1,1401.0,,640.6,896.4,243.6,,,1650.0,
2024-01-01 06:00:00,554.1,29.425,,0.0,0.0,0.0,32.65,341.1,0.0,0.1,,1854.7,15.0,1360.5,957.125,0.0,1177.6750000000002,759.68,1023.0,1913.0,494.1,39.7,,1941.0,74.5,,7.1,995.0,571.0,56.4,1286.9,2948.4,119.5,1197.75,1180.575,67.3,23.7,1400.0,,640.0,772.1,277.8,,,,
2024-01-01 07:00:00,116.75,3.1,,,49.0,,0.0,0.0,,51.2,,1964.8,115.0,1341.5,871.1,,1086.125,708.27,974.0,1841.0,623.7,6.5,,2318.0,75.9,577.5,8.7,1000.0,570.0,143.3,1043.1,2467.0,0.0,71.1,1519.925,122.9,112.4,,,,890.3,267.0,,,,
2024-01-01 08:00:00,214.325,43.574999999999996,,65.8,0.0,,,82.0,,63.2,,1948.6,232.0,1417.5,1021.5250000000001,314.85,315.55,759.8,934.9,1681.0,531.6,0.0,,2066.0,23.1,700.0,0.0,,,225.1,1783.3,2307.5,330.3,558.4,1192.275,0.0,0.0,,1663.4,640.5,862.7,331.5,,,,
2024-01-01 09:00:00,180.05,74.9,,0.0,5.0,,523.1,198.25,,79.8,,2265.7,181.0,1549.5,350.475,262.6,504.92499999999995,758.98,920.0,1718.0,716.3,,,2500.0,0.0,,,,568.0,197.1,1431.2,1283.1,69.0,979.9,1158.775,,,,1664.0,,991.7,275.1,,,1576.0,
2024-01-01 10:00:00,0.0,46.025,,44.5,0.0,,214.85,596.5,,22.2,,2274.5,15.0,1516.9,358.875,235.95,268.02500000000003,799.3,764.9,1607.0,757.6,27.2,,,94.4,,,,484.0,206.3,1512.4,1124.1999999999998,0.0,1312.3,1086.5,,,,,,1004.2,246.8,,,1361.0,
2024-01-01 11:00:00,13.175,59.275,62.0,23.5,,,0.0,211.5,,0.0,,2153.0,,1338.6,375.125,418.0,428.925,799.38,803.6,1601.8,814.3,48.0,,,0.0,,,,101.0,103.9,1334.9,1015.0,20.0,1224.5,1125.4,,,,,,1116.3,301.7,,,983.0,
2024-01-01 12:00:00,249.95,101.525,0.0,146.8,,,985.35,201.75,,0.2,,1711.9,,1049.0,673.9250000000001,70.15,570.675,799.58,760.7,1674.6,663.7,65.8,,,25.1,,69.5,,227.0,41.6,1596.0,999.8000000000001,0.0,1315.2,855.225,,,,1663.3,,1149.3,485.9,200.0,,1023.0,
2024-01-01 13:00:00,0.0,271.8,,568.0,,,1148.05,487.0,,0.0,,1525.6,33.5,854.1,1055.7,606.4,499.375,786.7,725.4,1660.0,671.6,630.8,,,244.0,,0.0,,0.0,59.9,649.0,1057.6,125.2,775.8,1582.45,,,,1664.0,,1319.4,648.3,43.4,,499.0,643.4
