timestamp,Biomass,Fossil Brown coal/Lignite,Fossil Gas,Fossil Hard coal,Hydro Pumped Storage,Hydro Run-of-river and poundage,Hydro Water Reservoir,Nuclear,Solar,Waste,Wind Onshore
2024-01-01 01:00:00,19.0,1154.0,330.0,61.0,0.0,60.0,9.0,2123.0,0.0,4.0,116.0
2024-01-01 02:00:00,19.0,1141.0,330.0,61.0,0.0,59.0,9.0,2124.0,0.0,4.0,152.0
2024-01-01 03:00:00,19.0,1137.0,330.0,61.0,0.0,59.0,9.0,2124.0,0.0,4.0,115.0
2024-01-01 04:00:00,19.0,1146.0,335.0,59.0,0.0,61.0,9.0,2123.0,0.0,4.0,98.0
2024-01-01 05:00:00,18.0,1152.0,336.0,60.0,0.0,71.0,29.0,2124.0,0.0,4.0,90.0
2024-01-01 06:00:00,18.0,1146.0,317.0,59.0,0.0,77.0,25.0,2124.0,1.0,4.0,96.0
2024-01-01 07:00:00,20.0,1111.0,311.0,60.0,0.0,79.0,18.0,2124.0,115.0,4.0,98.0
2024-01-01 08:00:00,20.0,1107.0,311.0,59.0,0.0,82.0,16.0,2124.0,549.0,4.0,102.0
2024-01-01 09:00:00,20.0,1109.0,307.0,60.0,0.0,78.0,9.0,2123.0,984.0,4.0,147.0
2024-01-01 10:00:00,20.0,1109.0,306.0,59.0,0.0,67.0,9.0,2123.0,1140.0,4.0,162.0
2024-01-01 11:00:00,19.0,1107.0,307.0,59.0,0.0,66.0,9.0,2123.0,1126.0,4.0,175.0
2024-01-01 12:00:00,19.0,1103.0,307.0,61.0,0.0,65.0,9.0,2125.0,1068.0,4.0,180.0
2024-01-01 13:00:00,20.0,1151.0,307.0,60.0,0.0,66.0,33.0,2123.0,827.0,4.0,120.0
2024-01-01 14:00:00,20.0,1170.0,307.0,60.0,0.0,104.0,49.0,2123.0,455.0,4.0,119.0
2024-01-01 15:00:00,20.0,1301.0,311.0,61.0,0.0,124.0,58.0,2123.0,88.0,4.0,93.0
2024-01-01 16:00:00,19.0,1458.0,333.0,61.0,0.0,150.0,160.0,2123.0,0.0,4.0,96.0
2024-01-01 17:00:00,19.0,1414.0,333.0,60.0,0.0,160.0,317.0,2124.0,0.0,4.0,96.0
2024-01-01 18:00:00,20.0,1359.0,335.0,61.0,0.0,165.0,295.0,2123.0,0.0,4.0,122.0
2024-01-01 19:00:00,21.0,1362.0,337.0,60.0,0.0,156.0,86.0,2123.0,0.0,4.0,139.0
2024-01-01 20:00:00,20.0,1317.0,340.0,60.0,0.0,125.0,39.0,2124.0,0.0,4.0,120.0
2024-01-01 21:00:00,20.0,1269.0,339.0,60.0,0.0,82.0,30.0,2123.0,0.0,4.0,139.0
2024-01-01 22:00:00,20.0,1237.0,340.0,59.0,0.0,76.0,30.0,2123.0,0.0,4.0,121.0
2024-01-01 23:00:00,20.0,1154.0,340.0,62.0,0.0,69.0,9.0,2121.0,0.0,4.0,123.0
2024-01-02 00:00:00,19.0,1116.0,341.0,61.0,0.0,58.0,9.0,2123.0,0.0,4.0,151.0
2024-01-02 01:00:00,20.0,1119.0,338.0,60.0,0.0,59.0,9.0,2123.0,0.0,4.0,133.0
2024-01-02 02:00:00,19.0,1112.0,338.0,61.0,0.0,59.0,9.0,2123.0,0.0,4.0,112.0
2024-01-02 03:00:00,19.0,1110.0,340.0,61.0,0.0,60.0,9.0,2124.0,0.0,4.0,117.0
2024-01-02 04:00:00,20.0,1113.0,341.0,61.0,0.0,63.0,9.0,2124.0,0.0,4.0,114.0
2024-01-02 05:00:00,20.0,1191.0,343.0,61.0,0.0,74.0,34.0,2123.0,0.0,4.0,149.0
2024-01-02 06:00:00,20.0,1209.0,344.0,61.0,0.0,112.0,13.0,2121.0,0.0,4.0,116.0
2024-01-02 07:00:00,20.0,1183.0,342.0,62.0,0.0,155.0,16.0,2122.0,21.0,4.0,147.0
2024-01-02 08:00:00,19.0,1452.0,350.0,62.0,0.0,155.0,53.0,2123.0,103.0,3.0,160.0
2024-01-02 09:00:00,20.0,1338.0,346.0,60.0,0.0,143.0,53.0,2124.0,195.0,4.0,95.0
