timestamp,Biomass,Fossil Brown coal/Lignite,Fossil Gas,Fossil Hard coal,Fossil Oil,Geothermal,Hydro Run-of-river and poundage,Hydro Water Reservoir,Nuclear,Other,Other renewable,Solar,Waste,Wind Onshore
2024-01-01 01:00:00,80.25,224.25,359.75,24.75,0.0,1.0,7.0,0.0,1681.75,56.75,5.0,0.0,18.0,55.75
2024-01-01 02:00:00,80.0,221.25,371.0,26.75,0.0,1.0,7.0,0.0,1643.75,56.25,5.0,0.0,19.75,58.25
2024-01-01 03:00:00,80.0,220.75,398.75,26.5,0.0,1.0,7.0,0.0,1443.25,56.25,5.0,0.0,17.75,90.5
2024-01-01 04:00:00,79.5,221.25,448.0,26.25,0.0,1.0,7.0,0.0,1392.0,55.5,5.0,0.0,19.75,122.0
2024-01-01 05:00:00,80.75,221.5,461.75,26.0,0.0,1.0,7.0,0.0,1404.75,55.5,5.0,0.0,19.25,117.25
2024-01-01 06:00:00,82.0,220.25,449.75,25.25,0.0,1.0,7.0,0.0,1608.5,56.25,5.0,0.0,18.75,68.5
2024-01-01 07:00:00,85.0,221.5,430.0,25.25,0.0,1.0,7.0,0.0,1632.0,57.0,5.0,1.0,18.75,80.5
2024-01-01 08:00:00,84.5,226.0,377.75,25.0,0.0,1.0,7.0,0.0,1755.0,59.25,5.0,49.75,17.75,114.0
2024-01-01 09:00:00,85.5,224.0,406.75,24.75,0.0,1.0,7.0,0.0,1857.75,67.5,6.0,197.75,18.5,76.75
2024-01-01 10:00:00,85.25,220.5,262.75,24.75,0.0,1.0,6.5,0.0,1868.25,71.5,5.25,462.25,16.25,71.25
2024-01-01 11:00:00,85.5,213.5,197.0,24.75,0.0,1.0,6.75,0.0,1867.0,77.25,4.25,707.25,16.25,68.75
2024-01-01 12:00:00,82.5,206.5,310.75,24.5,0.0,1.0,7.0,0.0,1844.5,80.75,4.25,886.25,17.25,95.75
2024-01-01 13:00:00,86.5,220.5,416.25,24.75,0.0,1.0,7.0,0.0,1873.25,80.25,5.0,941.25,18.0,116.25
2024-01-01 14:00:00,86.75,221.25,459.75,24.75,0.0,1.0,7.0,0.0,1874.25,71.0,5.25,522.75,17.0,135.0
2024-01-01 15:00:00,90.75,221.0,512.5,27.75,0.0,1.0,7.0,0.0,1873.75,61.75,5.0,101.75,18.0,147.5
2024-01-01 16:00:00,99.0,234.25,496.75,30.75,0.0,1.0,7.0,0.0,1882.25,57.25,5.0,0.5,18.0,134.0
2024-01-01 17:00:00,98.5,231.0,508.5,29.25,0.0,1.0,7.0,0.0,1880.5,56.0,5.0,0.0,18.25,99.75
