timestamp,Biomass,Fossil Gas,Hydro Pumped Storage,Hydro Run-of-river and poundage,Other,Solar,Waste,Wind Onshore
2024-01-01 01:00:00,33.0,43.0,0.0,25.0,21.0,0.0,68.0,252.0
2024-01-01 02:00:00,33.0,43.0,0.0,26.0,12.0,0.0,68.0,281.0
2024-01-01 03:00:00,33.0,43.0,0.0,25.0,12.0,0.0,68.0,343.0
2024-01-01 04:00:00,33.0,43.0,219.0,57.0,12.0,0.0,68.0,359.0
2024-01-01 05:00:00,33.0,43.0,221.0,25.0,12.0,0.0,68.0,394.0
2024-01-01 06:00:00,34.0,43.0,219.0,25.0,12.0,0.0,68.0,422.0
2024-01-01 07:00:00,34.0,43.0,0.0,25.0,12.0,0.0,69.0,447.0
2024-01-01 08:00:00,34.0,42.0,0.0,25.0,12.0,63.0,68.0,454.0
2024-01-01 09:00:00,34.0,43.0,0.0,88.0,12.0,56.0,67.0,472.0
2024-01-01 10:00:00,34.0,43.0,0.0,88.0,13.0,72.0,67.0,473.0
2024-01-01 11:00:00,34.0,43.0,0.0,90.0,13.0,61.0,68.0,456.0
2024-01-01 12:00:00,34.0,42.0,0.0,93.0,13.0,47.0,68.0,480.0
2024-01-01 13:00:00,34.0,42.0,0.0,90.0,13.0,50.0,67.0,518.0
2024-01-01 14:00:00,34.0,42.0,0.0,88.0,13.0,30.0,66.0,563.0
2024-01-01 15:00:00,34.0,42.0,0.0,88.0,13.0,0.0,66.0,605.0
2024-01-01 16:00:00,34.0,42.0,0.0,88.0,14.0,0.0,67.0,672.0
2024-01-01 17:00:00,34.0,42.0,0.0,75.0,23.0,0.0,66.0,687.0
2024-01-01 18:00:00,34.0,42.0,0.0,88.0,23.0,0.0,66.0,674.0
2024-01-01 19:00:00,34.0,42.0,0.0,94.0,23.0,0.0,67.0,632.0
2024-01-01 20:00:00,34.0,42.0,0.0,45.0,23.0,0.0,67.0,624.0
2024-01-01 21:00:00,34.0,42.0,0.0,42.0,13.0,0.0,67.0,604.0
2024-01-01 22:00:00,34.0,42.0,0.0,39.0,13.0,0.0,67.0,543.0
2024-01-01 23:00:00,34.0,42.0,0.0,26.0,14.0,0.0,66.0,497.0
2024-01-02 00:00:00,34.0,42.0,0.0,25.0,13.0,0.0,66.0,489.0
2024-01-02 01:00:00,34.0,42.0,0.0,25.0,13.0,0.0,66.0,452.0
2024-01-02 02:00:00,34.0,42.0,0.0,25.0,13.0,0.0,66.0,407.0
2024-01-02 03:00:00,34.0,42.0,0.0,25.0,13.0,0.0,66.0,419.0
2024-01-02 04:00:00,34.0,48.0,0.0,26.0,13.0,0.0,66.0,395.0
2024-01-02 05:00:00,34.0,76.0,0.0,47.0,23.0,0.0,66.0,362.0
2024-01-02 06:00:00,34.0,96.0,0.0,96.0,21.0,0.0,66.0,356.0
2024-01-02 07:00:00,34.0,206.0,0.0,96.0,21.0,1.0,66.0,333.0
2024-01-02 08:00:00,34.0,367.0,0.0,98.0,37.0,20.0,65.0,301.0
2024-01-02 09:00:00,34.0,479.0,0.0,98.0,29.0,42.0,64.0,347.0
2024-01-02 10:00:00,34.0,456.0,0.0,98.0,23.0,76.0,62.0,342.0
2024-01-02 11:00:00,34.0,478.0,0.0,93.0,20.0,59.0,62.0,332.0
2024-01-02 12:00:00,34.0,479.0,0.0,98.0,28.0,50.0,56.0,361.0
2024-01-02 13:00:00,34.0,477.0,0.0,94.0,25.0,40.0,60.0,338.0
2024-01-02 14:00:00,34.0,480.0,0.0,95.0,32.0,13.0,61.0,379.0
2024-01-02 15:00:00,34.0,481.0,0.0,98.0,26.0,0.0,62.0,448.0
2024-01-02 16:00:00,34.0,480.0,0.0,98.0,15.0,0.0,62.0,465.0
2024-01-02 17:00:00,34.0,464.0,0.0,98.0,16.0,0.0,63.0,507.0
2024-01-02 18:00:00,34.0,481.0,0.0,98.0,17.0,0.0,63.0,535.0
2024-01-02 19:00:00,34.0,350.0,0.0,98.0,16.0,0.0,63.0,556.0
2024-01-02 20:00:00,34.0,46.0,0.0,60.0,18.0,0.0,63.0,583.0
2024-01-02 21:00:00,34.0,43.0,0.0,88.0,21.0,0.0,63.0,629.0
2024-01-02 22:00:00,34.0,43.0,0.0,59.0,15.0,0.0,64.0,639.0
2024-01-02 23:00:00,34.0,42.0,217.0,60.0,21.0,0.0,64.0,678.0
2024-01-03 00:00:00,34.0,43.0,285.0,26.0,15.0,0.0,65.0,687.0
2024-01-03 01:00:00,34.0,43.0,305.0,57.0,20.0,0.0,64.0,699.0
2024-01-03 02:00:00,34.0,42.0,337.0,65.0,19.0,0.0,64.0,726.0
2024-01-03 03:00:00,34.0,42.0,345.0,62.0,19.0,0.0,64.0,756.0
2024-01-03 04:00:00,34.0,42.0,269.0,62.0,21.0,0.0,63.0,763.0
2024-01-03 05:00:00,34.0,42.0,0.0,58.0,20.0,0.0,64.0,793.0
2024-01-03 06:00:00,34.0,42.0,0.0,96.0,19.0,0.0,65.0,817.0
2024-01-03 07:00:00,34.0,43.0,0.0,98.0,19.0,0.0,67.0,830.0
2024-01-03 08:00:00,34.0,42.0,0.0,98.0,24.0,29.0,66.0,803.0
2024-01-03 09:00:00,34.0,42.0,0.0,98.0,24.0,33.0,65.0,798.0
2024-01-03 10:00:00,34.0,42.0,0.0,98.0,20.0,55.0,65.0,799.0
2024-01-03 11:00:00,34.0,42.0,0.0,98.0,24.0,53.0,65.0,813.0
2024-01-03 12:00:00,34.0,42.0,0.0,98.0,17.0,53.0,65.0,811.0
2024-01-03 13:00:00,34.0,42.0,0.0,98.0,24.0,37.0,58.0,815.0
2024-01-03 14:00:00,34.0,42.0,0.0,98.0,21.0,41.0,54.0,805.0
2024-01-03 15:00:00,34.0,42.0,0.0,98.0,33.0,0.0,59.0,800.0
2024-01-03 16:00:00,34.0,42.0,0.0,98.0,24.0,0.0,64.0,789.0
2024-01-03 17:00:00,34.0,42.0,0.0,98.0,23.0,0.0,65.0,780.0
2024-01-03 18:00:00,34.0,42.0,0.0,98.0,26.0,0.0,65.0,771.0
2024-01-03 19:00:00,34.0,42.0,0.0,96.0,16.0,0.0,64.0,711.0
2024-01-03 20:00:00,34.0,42.0,0.0,98.0,16.0,0.0,62.0,700.0
2024-01-03 21:00:00,34.0,49.0,0.0,98.0,16.0,0.0,64.0,705.0
2024-01-03 22:00:00,34.0,155.0,110.0,77.0,16.0,0.0,64.0,677.0
2024-01-03 23:00:00,34.0,365.0,535.0,67.0,16.0,0.0,63.0,635.0
2024-01-04 00:00:00,34.0,475.0,674.0,97.0,16.0,0.0,65.0,607.0
2024-01-04 01:00:00,34.0,476.0,550.0,48.0,16.0,0.0,65.0,575.0
2024-01-04 02:00:00,34.0,477.0,445.0,27.0,16.0,0.0,65.0,563.0
2024-01-04 03:00:00,34.0,478.0,444.0,27.0,15.0,0.0,64.0,568.0
2024-01-04 04:00:00,34.0,477.0,302.0,53.0,28.0,0.0,65.0,558.0
2024-01-04 05:00:00,34.0,476.0,0.0,75.0,41.0,0.0,65.0,576.0
2024-01-04 06:00:00,34.0,439.0,0.0,95.0,42.0,0.0,64.0,605.0
2024-01-04 07:00:00,34.0,481.0,0.0,98.0,42.0,0.0,64.0,583.0
2024-01-04 08:00:00,34.0,488.0,0.0,98.0,44.0,32.0,64.0,543.0
2024-01-04 09:00:00,34.0,488.0,0.0,98.0,43.0,38.0,62.0,508.0
2024-01-04 10:00:00,34.0,487.0,0.0,98.0,42.0,51.0,42.0,490.0
2024-01-04 11:00:00,34.0,487.0,0.0,98.0,64.0,62.0,42.0,451.0
2024-01-04 12:00:00,34.0,488.0,0.0,97.0,42.0,47.0,44.0,428.0
2024-01-04 13:00:00,34.0,490.0,0.0,98.0,43.0,69.0,55.0,416.0
2024-01-04 14:00:00,34.0,493.0,0.0,98.0,59.0,47.0,55.0,406.0
2024-01-04 15:00:00,34.0,493.0,0.0,98.0,43.0,0.0,59.0,367.0
2024-01-04 16:00:00,34.0,491.0,0.0,98.0,52.0,0.0,63.0,314.0
2024-01-04 17:00:00,34.0,491.0,0.0,97.0,43.0,0.0,65.0,298.0
2024-01-04 18:00:00,34.0,490.0,0.0,97.0,52.0,0.0,65.0,265.0
2024-01-04 19:00:00,34.0,490.0,0.0,97.0,52.0,0.0,65.0,218.0
2024-01-04 20:00:00,34.0,490.0,0.0,97.0,43.0,0.0,65.0,169.0
2024-01-04 21:00:00,34.0,528.0,0.0,60.0,43.0,0.0,65.0,124.0
2024-01-04 22:00:00,34.0,586.0,196.0,41.0,17.0,0.0,65.0,91.0
2024-01-04 23:00:00,33.0,642.0,675.0,60.0,17.0,0.0,65.0,61.0
2024-01-05 00:00:00,34.0,679.0,679.0,68.0,37.0,0.0,65.0,48.0
2024-01-05 01:00:00,34.0,734.0,678.0,54.0,18.0,0.0,65.0,29.0
2024-01-05 02:00:00,34.0,765.0,677.0,40.0,37.0,0.0,65.0,24.0
2024-01-05 03:00:00,34.0,778.0,676.0,26.0,19.0,0.0,65.0,14.0
2024-01-05 04:00:00,34.0,775.0,670.0,26.0,19.0,0.0,65.0,26.0
2024-01-05 05:00:00,34.0,726.0,169.0,55.0,19.0,0.0,64.0,46.0
2024-01-05 06:00:00,34.0,701.0,0.0,47.0,20.0,0.0,64.0,75.0
2024-01-05 07:00:00,34.0,808.0,0.0,63.0,20.0,0.0,64.0,101.0
2024-01-05 08:00:00,34.0,822.0,0.0,51.0,20.0,27.0,64.0,118.0
2024-01-05 09:00:00,34.0,863.0,0.0,88.0,19.0,23.0,48.0,150.0
2024-01-05 10:00:00,34.0,997.0,0.0,88.0,19.0,23.0,59.0,95.0
2024-01-05 11:00:00,34.0,1051.0,0.0,98.0,17.0,30.0,63.0,45.0
2024-01-05 12:00:00,34.0,1002.0,0.0,88.0,23.0,28.0,63.0,41.0
2024-01-05 13:00:00,34.0,1040.0,0.0,98.0,25.0,38.0,63.0,100.0
2024-01-05 14:00:00,34.0,927.0,0.0,74.0,17.0,18.0,63.0,209.0
2024-01-05 15:00:00,34.0,943.0,0.0,98.0,27.0,1.0,63.0,336.0
