timestamp,Biomass,Fossil Gas,Hydro Run-of-river and poundage,Other,Solar,Wind Onshore
2024-01-01 01:00:00,59.0,60.0,846.0,0.0,0.0,26.0
2024-01-01 02:00:00,55.0,60.0,847.0,0.0,0.0,23.0
2024-01-01 03:00:00,51.0,59.0,847.0,0.0,0.0,29.0
2024-01-01 04:00:00,49.0,59.0,847.0,0.0,0.0,40.0
2024-01-01 05:00:00,49.0,59.0,847.0,0.0,0.0,40.0
2024-01-01 06:00:00,51.0,60.0,847.0,0.0,0.0,43.0
2024-01-01 07:00:00,56.0,60.0,847.0,0.0,0.0,46.0
2024-01-01 08:00:00,58.0,61.0,847.0,0.0,1.0,47.0
2024-01-01 09:00:00,62.0,61.0,846.0,0.0,4.0,47.0
2024-01-01 10:00:00,63.0,61.0,846.0,0.0,8.0,63.0
2024-01-01 11:00:00,64.0,61.0,930.0,0.0,10.0,66.0
2024-01-01 12:00:00,64.0,61.0,935.0,0.0,10.0,65.0
2024-01-01 13:00:00,63.0,63.0,935.0,0.0,5.0,50.0
2024-01-01 14:00:00,66.0,66.0,935.0,0.0,1.0,57.0
2024-01-01 15:00:00,65.0,89.0,985.0,0.0,0.0,64.0
2024-01-01 16:00:00,69.0,91.0,989.0,0.0,0.0,68.0
2024-01-01 17:00:00,69.0,91.0,987.0,0.0,0.0,70.0
2024-01-01 18:00:00,71.0,91.0,937.0,0.0,0.0,82.0
2024-01-01 19:00:00,70.0,91.0,935.0,0.0,0.0,75.0
2024-01-01 20:00:00,70.0,91.0,848.0,0.0,0.0,73.0
2024-01-01 21:00:00,67.0,91.0,847.0,0.0,0.0,67.0
2024-01-01 22:00:00,64.0,96.0,844.0,0.0,0.0,71.0
2024-01-01 23:00:00,64.0,122.0,827.0,0.0,0.0,68.0
2024-01-02 00:00:00,63.0,133.0,841.0,0.0,0.0,68.0
2024-01-02 01:00:00,63.0,139.0,843.0,0.0,0.0,63.0
2024-01-02 02:00:00,64.0,152.0,830.0,0.0,0.0,62.0
2024-01-02 03:00:00,64.0,158.0,877.0,0.0,0.0,62.0
2024-01-02 04:00:00,69.0,162.0,879.0,0.0,0.0,57.0
2024-01-02 05:00:00,70.0,207.0,936.0,0.0,0.0,56.0
2024-01-02 06:00:00,70.0,305.0,1077.0,0.0,0.0,50.0
2024-01-02 07:00:00,72.0,456.0,987.0,0.0,0.0,49.0
2024-01-02 08:00:00,72.0,503.0,926.0,0.0,1.0,52.0
2024-01-02 09:00:00,71.0,530.0,840.0,0.0,7.0,47.0
2024-01-02 10:00:00,73.0,529.0,819.0,0.0,13.0,54.0
2024-01-02 11:00:00,72.0,528.0,819.0,0.0,17.0,52.0
2024-01-02 12:00:00,71.0,527.0,835.0,0.0,16.0,62.0
2024-01-02 13:00:00,72.0,528.0,836.0,0.0,9.0,62.0
2024-01-02 14:00:00,72.0,524.0,804.0,0.0,3.0,65.0
2024-01-02 15:00:00,73.0,524.0,832.0,0.0,0.0,65.0
2024-01-02 16:00:00,73.0,524.0,839.0,0.0,0.0,68.0
2024-01-02 17:00:00,74.0,524.0,839.0,0.0,0.0,75.0
2024-01-02 18:00:00,75.0,521.0,820.0,0.0,0.0,81.0
2024-01-02 19:00:00,73.0,501.0,781.0,0.0,0.0,79.0
2024-01-02 20:00:00,73.0,500.0,781.0,0.0,0.0,75.0
2024-01-02 21:00:00,74.0,441.0,737.0,0.0,0.0,81.0
2024-01-02 22:00:00,69.0,439.0,730.0,0.0,0.0,81.0
2024-01-02 23:00:00,67.0,439.0,762.0,0.0,0.0,75.0
2024-01-03 00:00:00,66.0,438.0,693.0,0.0,0.0,78.0
2024-01-03 01:00:00,65.0,438.0,690.0,0.0,0.0,78.0
2024-01-03 02:00:00,65.0,437.0,690.0,0.0,0.0,86.0
2024-01-03 03:00:00,65.0,437.0,689.0,0.0,0.0,87.0
2024-01-03 04:00:00,66.0,437.0,691.0,0.0,0.0,93.0
2024-01-03 05:00:00,69.0,463.0,667.0,0.0,0.0,97.0
2024-01-03 06:00:00,68.0,523.0,753.0,0.0,0.0,99.0
2024-01-03 07:00:00,68.0,530.0,816.0,0.0,0.0,99.0
2024-01-03 08:00:00,68.0,531.0,827.0,0.0,1.0,99.0
2024-01-03 09:00:00,67.0,531.0,858.0,0.0,8.0,98.0
2024-01-03 10:00:00,67.0,531.0,853.0,0.0,16.0,101.0
2024-01-03 11:00:00,67.0,532.0,852.0,0.0,19.0,105.0
2024-01-03 12:00:00,66.0,532.0,896.0,0.0,16.0,104.0
2024-01-03 13:00:00,64.0,533.0,879.0,0.0,6.0,104.0
2024-01-03 14:00:00,67.0,532.0,879.0,0.0,1.0,104.0
2024-01-03 15:00:00,67.0,534.0,819.0,0.0,0.0,106.0
2024-01-03 16:00:00,69.0,533.0,809.0,0.0,0.0,106.0
2024-01-03 17:00:00,68.0,533.0,794.0,0.0,0.0,104.0
2024-01-03 18:00:00,69.0,533.0,797.0,0.0,0.0,101.0
2024-01-03 19:00:00,69.0,528.0,808.0,0.0,0.0,98.0
2024-01-03 20:00:00,69.0,528.0,807.0,0.0,0.0,95.0
2024-01-03 21:00:00,68.0,523.0,716.0,0.0,0.0,92.0
2024-01-03 22:00:00,68.0,519.0,719.0,0.0,0.0,86.0
2024-01-03 23:00:00,68.0,520.0,717.0,0.0,0.0,77.0
2024-01-04 00:00:00,66.0,524.0,454.0,0.0,0.0,73.0
2024-01-04 01:00:00,66.0,524.0,438.0,0.0,0.0,74.0
2024-01-04 02:00:00,68.0,524.0,438.0,0.0,0.0,77.0
2024-01-04 03:00:00,68.0,525.0,438.0,0.0,0.0,77.0
2024-01-04 04:00:00,68.0,528.0,437.0,0.0,0.0,71.0
2024-01-04 05:00:00,69.0,528.0,468.0,0.0,0.0,72.0
2024-01-04 06:00:00,69.0,534.0,574.0,0.0,0.0,73.0
2024-01-04 07:00:00,71.0,534.0,683.0,0.0,0.0,60.0
2024-01-04 08:00:00,71.0,536.0,772.0,0.0,0.0,59.0
2024-01-04 09:00:00,72.0,537.0,770.0,0.0,1.0,64.0
2024-01-04 10:00:00,72.0,538.0,770.0,0.0,3.0,64.0
2024-01-04 11:00:00,72.0,542.0,671.0,0.0,4.0,56.0
2024-01-04 12:00:00,70.0,543.0,663.0,0.0,3.0,51.0
2024-01-04 13:00:00,70.0,542.0,668.0,0.0,2.0,41.0
2024-01-04 14:00:00,70.0,542.0,580.0,0.0,0.0,29.0
2024-01-04 15:00:00,69.0,543.0,580.0,0.0,0.0,20.0
2024-01-04 16:00:00,68.0,543.0,580.0,0.0,0.0,15.0
2024-01-04 17:00:00,68.0,543.0,594.0,0.0,0.0,16.0
2024-01-04 18:00:00,69.0,543.0,580.0,0.0,0.0,14.0
2024-01-04 19:00:00,69.0,543.0,559.0,0.0,0.0,8.0
2024-01-04 20:00:00,71.0,542.0,455.0,0.0,0.0,5.0
2024-01-04 21:00:00,71.0,541.0,445.0,0.0,0.0,4.0
2024-01-04 22:00:00,73.0,542.0,443.0,0.0,0.0,2.0
2024-01-04 23:00:00,71.0,541.0,441.0,0.0,0.0,1.0
2024-01-05 00:00:00,70.0,540.0,441.0,0.0,0.0,0.0
2024-01-05 01:00:00,69.0,541.0,441.0,0.0,0.0,0.0
2024-01-05 02:00:00,70.0,541.0,441.0,0.0,0.0,0.0
2024-01-05 03:00:00,69.0,541.0,454.0,0.0,0.0,0.0
2024-01-05 04:00:00,70.0,542.0,566.0,0.0,0.0,0.0
2024-01-05 05:00:00,73.0,542.0,601.0,0.0,0.0,0.0
2024-01-05 06:00:00,75.0,544.0,737.0,0.0,0.0,0.0
2024-01-05 07:00:00,77.0,545.0,798.0,0.0,0.0,0.0
2024-01-05 08:00:00,79.0,543.0,863.0,0.0,0.0,1.0
2024-01-05 09:00:00,79.0,546.0,786.0,0.0,1.0,1.0
2024-01-05 10:00:00,78.0,545.0,773.0,0.0,2.0,12.0
2024-01-05 11:00:00,78.0,545.0,791.0,0.0,2.0,17.0
2024-01-05 12:00:00,76.0,545.0,695.0,0.0,2.0,10.0
2024-01-05 13:00:00,76.0,545.0,694.0,0.0,1.0,9.0
2024-01-05 14:00:00,76.0,546.0,692.0,0.0,0.0,16.0
2024-01-05 15:00:00,76.0,545.0,692.0,0.0,0.0,20.0
2024-01-05 16:00:00,76.0,545.0,692.0,0.0,0.0,18.0
2024-01-05 17:00:00,77.0,543.0,691.0,0.0,0.0,8.0
2024-01-05 18:00:00,77.0,543.0,676.0,0.0,0.0,2.0
2024-01-05 19:00:00,77.0,542.0,674.0,0.0,0.0,7.0
2024-01-05 20:00:00,76.0,542.0,689.0,0.0,0.0,6.0
2024-01-05 21:00:00,76.0,542.0,635.0,0.0,0.0,1.0
2024-01-05 22:00:00,74.0,541.0,605.0,0.0,0.0,0.0
2024-01-05 23:00:00,74.0,538.0,607.0,0.0,0.0,0.0
2024-01-06 00:00:00,70.0,535.0,624.0,0.0,0.0,1.0
2024-01-06 01:00:00,70.0,534.0,616.0,0.0,0.0,1.0
2024-01-06 02:00:00,72.0,536.0,616.0,0.0,0.0,1.0
2024-01-06 03:00:00,70.0,534.0,617.0,0.0,0.0,2.0
2024-01-06 04:00:00,70.0,536.0,617.0,0.0,0.0,1.0
2024-01-06 05:00:00,69.0,536.0,616.0,0.0,0.0,1.0
2024-01-06 06:00:00,70.0,536.0,603.0,0.0,0.0,1.0
2024-01-06 07:00:00,70.0,536.0,616.0,0.0,0.0,1.0
2024-01-06 08:00:00,71.0,539.0,617.0,0.0,0.0,1.0
2024-01-06 09:00:00,71.0,547.0,672.0,0.0,1.0,0.0
2024-01-06 10:00:00,71.0,556.0,721.0,0.0,3.0,0.0
2024-01-06 11:00:00,71.0,556.0,650.0,0.0,4.0,1.0
2024-01-06 12:00:00,69.0,557.0,361.0,0.0,4.0,1.0
2024-01-06 13:00:00,69.0,557.0,413.0,0.0,2.0,5.0
2024-01-06 14:00:00,70.0,558.0,505.0,0.0,0.0,6.0
2024-01-06 15:00:00,73.0,560.0,675.0,0.0,0.0,4.0
2024-01-06 16:00:00,73.0,561.0,791.0,0.0,0.0,9.0
2024-01-06 17:00:00,73.0,561.0,754.0,0.0,0.0,9.0
2024-01-06 18:00:00,71.0,561.0,749.0,0.0,0.0,13.0
2024-01-06 19:00:00,73.0,558.0,705.0,0.0,0.0,15.0
2024-01-06 20:00:00,74.0,557.0,612.0,0.0,0.0,11.0
2024-01-06 21:00:00,76.0,557.0,664.0,0.0,0.0,13.0
2024-01-06 22:00:00,76.0,556.0,430.0,0.0,0.0,15.0
2024-01-06 23:00:00,76.0,556.0,593.0,0.0,0.0,11.0
2024-01-07 00:00:00,73.0,530.0,411.0,0.0,0.0,12.0
2024-01-07 01:00:00,72.0,529.0,316.0,0.0,0.0,10.0
2024-01-07 02:00:00,72.0,526.0,324.0,0.0,0.0,12.0
2024-01-07 03:00:00,71.0,526.0,324.0,0.0,0.0,14.0
2024-01-07 04:00:00,71.0,526.0,325.0,0.0,0.0,16.0
2024-01-07 05:00:00,71.0,526.0,324.0,0.0,0.0,19.0
2024-01-07 06:00:00,71.0,526.0,274.0,0.0,0.0,23.0
2024-01-07 07:00:00,72.0,526.0,274.0,0.0,0.0,27.0
2024-01-07 08:00:00,74.0,526.0,274.0,0.0,1.0,30.0
2024-01-07 09:00:00,74.0,527.0,290.0,0.0,3.0,23.0
2024-01-07 10:00:00,74.0,527.0,292.0,0.0,6.0,20.0
2024-01-07 11:00:00,73.0,527.0,292.0,0.0,7.0,18.0
2024-01-07 12:00:00,73.0,527.0,214.0,0.0,6.0,20.0
2024-01-07 13:00:00,72.0,529.0,202.0,0.0,3.0,25.0
2024-01-07 14:00:00,73.0,530.0,186.0,0.0,1.0,30.0
2024-01-07 15:00:00,73.0,530.0,202.0,0.0,0.0,29.0
2024-01-07 16:00:00,73.0,530.0,187.0,0.0,0.0,34.0
2024-01-07 17:00:00,73.0,531.0,203.0,0.0,0.0,39.0
2024-01-07 18:00:00,73.0,530.0,70.0,0.0,0.0,40.0
2024-01-07 19:00:00,73.0,530.0,54.0,0.0,0.0,35.0
2024-01-07 20:00:00,73.0,530.0,34.0,0.0,0.0,28.0
2024-01-07 21:00:00,73.0,530.0,9.0,0.0,0.0,17.0
2024-01-07 22:00:00,73.0,531.0,9.0,0.0,0.0,13.0
2024-01-07 23:00:00,72.0,531.0,35.0,0.0,0.0,9.0
2024-01-08 00:00:00,71.0,526.0,97.0,0.0,0.0,6.0
2024-01-08 01:00:00,70.0,525.0,142.0,0.0,0.0,6.0
2024-01-08 02:00:00,71.0,524.0,165.0,0.0,0.0,7.0
2024-01-08 03:00:00,70.0,524.0,169.0,0.0,0.0,4.0
2024-01-08 04:00:00,70.0,524.0,340.0,0.0,0.0,2.0
2024-01-08 05:00:00,69.0,525.0,343.0,0.0,0.0,2.0
2024-01-08 06:00:00,70.0,526.0,343.0,0.0,0.0,1.0
2024-01-08 07:00:00,70.0,527.0,429.0,0.0,0.0,2.0
2024-01-08 08:00:00,70.0,531.0,482.0,0.0,1.0,10.0
2024-01-08 09:00:00,71.0,534.0,507.0,0.0,4.0,20.0
2024-01-08 10:00:00,70.0,535.0,509.0,0.0,7.0,39.0
2024-01-08 11:00:00,71.0,535.0,499.0,0.0,8.0,34.0
2024-01-08 12:00:00,73.0,534.0,499.0,0.0,7.0,23.0
2024-01-08 13:00:00,71.0,535.0,499.0,0.0,4.0,45.0
2024-01-08 14:00:00,72.0,535.0,527.0,0.0,1.0,51.0
2024-01-08 15:00:00,70.0,535.0,554.0,0.0,0.0,58.0
2024-01-08 16:00:00,71.0,536.0,553.0,0.0,0.0,66.0
2024-01-08 17:00:00,70.0,536.0,553.0,0.0,0.0,57.0
2024-01-08 18:00:00,69.0,534.0,554.0,0.0,0.0,45.0
2024-01-08 19:00:00,67.0,534.0,556.0,0.0,0.0,36.0
2024-01-08 20:00:00,68.0,530.0,496.0,0.0,0.0,34.0
2024-01-08 21:00:00,68.0,533.0,475.0,0.0,0.0,23.0
2024-01-08 22:00:00,68.0,532.0,472.0,0.0,0.0,18.0
2024-01-08 23:00:00,67.0,530.0,284.0,0.0,0.0,13.0
2024-01-09 00:00:00,66.0,402.0,110.0,0.0,0.0,14.0
2024-01-09 01:00:00,67.0,402.0,90.0,0.0,0.0,15.0
2024-01-09 02:00:00,68.0,404.0,431.0,0.0,0.0,14.0
2024-01-09 03:00:00,67.0,434.0,377.0,0.0,0.0,15.0
2024-01-09 04:00:00,67.0,434.0,378.0,0.0,0.0,21.0
2024-01-09 05:00:00,68.0,433.0,385.0,0.0,0.0,32.0
2024-01-09 06:00:00,69.0,493.0,370.0,0.0,0.0,28.0
2024-01-09 07:00:00,69.0,546.0,397.0,0.0,0.0,29.0
2024-01-09 08:00:00,70.0,543.0,416.0,0.0,0.0,31.0
2024-01-09 09:00:00,70.0,543.0,400.0,0.0,1.0,28.0
2024-01-09 10:00:00,69.0,545.0,385.0,0.0,2.0,35.0
2024-01-09 11:00:00,68.0,543.0,381.0,0.0,4.0,38.0
2024-01-09 12:00:00,68.0,542.0,380.0,0.0,4.0,37.0
2024-01-09 13:00:00,66.0,543.0,433.0,0.0,2.0,36.0
2024-01-09 14:00:00,68.0,562.0,421.0,0.0,1.0,26.0
2024-01-09 15:00:00,70.0,563.0,421.0,0.0,0.0,27.0
2024-01-09 16:00:00,71.0,563.0,417.0,0.0,0.0,33.0
2024-01-09 17:00:00,68.0,562.0,428.0,0.0,0.0,42.0
2024-01-09 18:00:00,63.0,549.0,442.0,0.0,0.0,49.0
2024-01-09 19:00:00,60.0,554.0,412.0,0.0,0.0,48.0
2024-01-09 20:00:00,63.0,547.0,425.0,0.0,0.0,46.0
2024-01-09 21:00:00,65.0,540.0,342.0,0.0,0.0,37.0
2024-01-09 22:00:00,65.0,541.0,336.0,0.0,0.0,35.0
2024-01-09 23:00:00,67.0,538.0,291.0,0.0,0.0,35.0
2024-01-10 00:00:00,66.0,456.0,11.0,0.0,0.0,36.0
2024-01-10 01:00:00,64.0,455.0,8.0,0.0,0.0,32.0
2024-01-10 02:00:00,64.0,535.0,46.0,0.0,0.0,31.0
2024-01-10 03:00:00,63.0,535.0,48.0,0.0,0.0,42.0
2024-01-10 04:00:00,63.0,535.0,98.0,0.0,0.0,39.0
2024-01-10 05:00:00,62.0,535.0,98.0,0.0,0.0,32.0
2024-01-10 06:00:00,63.0,538.0,99.0,0.0,0.0,35.0
2024-01-10 07:00:00,64.0,543.0,216.0,0.0,0.0,38.0
2024-01-10 08:00:00,64.0,543.0,248.0,0.0,1.0,37.0
2024-01-10 09:00:00,59.0,550.0,240.0,0.0,4.0,33.0
2024-01-10 10:00:00,60.0,570.0,215.0,0.0,7.0,33.0
2024-01-10 11:00:00,60.0,568.0,215.0,0.0,8.0,27.0
2024-01-10 12:00:00,63.0,569.0,215.0,0.0,9.0,31.0
2024-01-10 13:00:00,63.0,544.0,233.0,0.0,6.0,37.0
2024-01-10 14:00:00,65.0,544.0,229.0,0.0,2.0,39.0
2024-01-10 15:00:00,68.0,460.0,308.0,0.0,0.0,38.0
2024-01-10 16:00:00,69.0,458.0,315.0,0.0,0.0,38.0
2024-01-10 17:00:00,70.0,458.0,315.0,0.0,0.0,44.0
2024-01-10 18:00:00,71.0,411.0,316.0,0.0,0.0,57.0
2024-01-10 19:00:00,70.0,413.0,311.0,0.0,0.0,69.0
2024-01-10 20:00:00,69.0,446.0,226.0,0.0,0.0,75.0
2024-01-10 21:00:00,68.0,404.0,219.0,0.0,0.0,58.0
2024-01-10 22:00:00,68.0,391.0,101.0,0.0,0.0,71.0
2024-01-10 23:00:00,66.0,372.0,101.0,0.0,0.0,80.0
2024-01-11 00:00:00,64.0,264.0,267.0,0.0,0.0,81.0
2024-01-11 01:00:00,64.0,242.0,295.0,0.0,0.0,88.0
2024-01-11 02:00:00,65.0,242.0,294.0,0.0,0.0,91.0
2024-01-11 03:00:00,66.0,240.0,294.0,0.0,0.0,94.0
2024-01-11 04:00:00,65.0,242.0,295.0,0.0,0.0,96.0
2024-01-11 05:00:00,64.0,243.0,297.0,0.0,0.0,94.0
2024-01-11 06:00:00,64.0,242.0,391.0,0.0,0.0,85.0
2024-01-11 07:00:00,67.0,260.0,474.0,0.0,0.0,89.0
2024-01-11 08:00:00,68.0,268.0,451.0,0.0,2.0,97.0
2024-01-11 09:00:00,67.0,267.0,490.0,0.0,12.0,107.0
2024-01-11 10:00:00,70.0,270.0,482.0,0.0,26.0,104.0
2024-01-11 11:00:00,69.0,315.0,386.0,0.0,28.0,100.0
2024-01-11 12:00:00,67.0,315.0,434.0,0.0,19.0,102.0
2024-01-11 13:00:00,69.0,344.0,434.0,0.0,14.0,103.0
2024-01-11 14:00:00,72.0,348.0,434.0,0.0,4.0,99.0
2024-01-11 15:00:00,71.0,376.0,434.0,0.0,0.0,80.0
2024-01-11 16:00:00,72.0,403.0,494.0,0.0,0.0,44.0
2024-01-11 17:00:00,72.0,419.0,529.0,0.0,0.0,36.0
2024-01-11 18:00:00,73.0,345.0,583.0,0.0,0.0,30.0
2024-01-11 19:00:00,72.0,394.0,556.0,0.0,0.0,34.0
2024-01-11 20:00:00,71.0,397.0,427.0,0.0,0.0,29.0
2024-01-11 21:00:00,71.0,396.0,554.0,0.0,0.0,15.0
2024-01-11 22:00:00,72.0,391.0,557.0,0.0,0.0,5.0
2024-01-11 23:00:00,72.0,390.0,290.0,0.0,0.0,1.0
2024-01-12 00:00:00,72.0,388.0,271.0,0.0,0.0,0.0
2024-01-12 01:00:00,70.0,390.0,271.0,0.0,0.0,0.0
2024-01-12 02:00:00,71.0,390.0,270.0,0.0,0.0,1.0
2024-01-12 03:00:00,70.0,390.0,317.0,0.0,0.0,12.0
2024-01-12 04:00:00,70.0,388.0,378.0,0.0,0.0,26.0
2024-01-12 05:00:00,70.0,387.0,378.0,0.0,0.0,36.0
2024-01-12 06:00:00,69.0,432.0,416.0,0.0,0.0,41.0
2024-01-12 07:00:00,69.0,478.0,468.0,0.0,0.0,55.0
2024-01-12 08:00:00,70.0,417.0,548.0,0.0,1.0,88.0
2024-01-12 09:00:00,70.0,399.0,561.0,0.0,2.0,99.0
2024-01-12 10:00:00,68.0,400.0,575.0,0.0,3.0,92.0
