timestamp,Biomass,Fossil Brown coal/Lignite,Fossil Gas,Fossil Hard coal,Fossil Oil,Hydro Pumped Storage,Hydro Run-of-river and poundage,Hydro Water Reservoir,Nuclear,Other,Other renewable,Solar,Wind Onshore
2024-01-01 01:00:00,106.0,13.0,100.0,0.0,49.0,100.0,710.0,21.0,2431.0,120.0,55.0,0.0,0.0
2024-01-01 02:00:00,107.0,13.0,100.0,0.0,49.0,300.0,652.0,21.0,2435.0,120.0,55.0,0.0,0.0
2024-01-01 03:00:00,107.0,13.0,97.0,0.0,49.0,305.0,613.0,20.0,2438.0,121.0,55.0,0.0,1.0
2024-01-01 04:00:00,109.0,14.0,104.0,0.0,49.0,309.0,627.0,20.0,2436.0,121.0,55.0,0.0,1.0
2024-01-01 05:00:00,108.0,14.0,108.0,0.0,51.0,313.0,627.0,20.0,2442.0,124.0,54.0,0.0,1.0
2024-01-01 06:00:00,109.0,13.0,102.0,0.0,51.0,30.0,702.0,28.0,2445.0,123.0,55.0,0.0,1.0
2024-01-01 07:00:00,109.0,12.0,93.0,0.0,50.0,111.0,718.0,28.0,2449.0,123.0,54.0,0.0,1.0
2024-01-01 08:00:00,106.0,13.0,99.0,0.0,50.0,83.0,737.0,56.0,2446.0,122.0,53.0,1.0,1.0
2024-01-01 09:00:00,108.0,14.0,112.0,0.0,50.0,20.0,774.0,65.0,2440.0,123.0,55.0,7.0,0.0
2024-01-01 10:00:00,107.0,14.0,114.0,0.0,50.0,22.0,779.0,68.0,2440.0,123.0,53.0,22.0,1.0
2024-01-01 11:00:00,107.0,14.0,111.0,0.0,50.0,2.0,774.0,36.0,2441.0,123.0,53.0,62.0,1.0
2024-01-01 12:00:00,108.0,13.0,100.0,0.0,50.0,2.0,756.0,36.0,2441.0,124.0,51.0,119.0,1.0
2024-01-01 13:00:00,106.0,14.0,113.0,0.0,50.0,2.0,791.0,36.0,2435.0,123.0,53.0,95.0,1.0
2024-01-01 14:00:00,104.0,14.0,118.0,0.0,50.0,11.0,841.0,54.0,2434.0,124.0,54.0,53.0,1.0
2024-01-01 15:00:00,106.0,14.0,137.0,0.0,50.0,36.0,886.0,82.0,2432.0,126.0,54.0,12.0,1.0
2024-01-01 16:00:00,111.0,14.0,131.0,0.0,50.0,295.0,878.0,78.0,2431.0,122.0,54.0,0.0,1.0
2024-01-01 17:00:00,112.0,14.0,122.0,0.0,49.0,334.0,855.0,115.0,2435.0,120.0,52.0,0.0,1.0
2024-01-01 18:00:00,113.0,14.0,129.0,0.0,49.0,420.0,869.0,129.0,2434.0,122.0,53.0,0.0,1.0
2024-01-01 19:00:00,108.0,14.0,130.0,0.0,49.0,424.0,874.0,129.0,2437.0,122.0,53.0,0.0,1.0
2024-01-01 20:00:00,108.0,14.0,112.0,0.0,50.0,326.0,888.0,104.0,2439.0,123.0,54.0,0.0,1.0
2024-01-01 21:00:00,107.0,14.0,114.0,0.0,49.0,35.0,877.0,78.0,2441.0,123.0,54.0,0.0,1.0
2024-01-01 22:00:00,105.0,14.0,116.0,0.0,47.0,39.0,898.0,92.0,2442.0,122.0,54.0,0.0,1.0
2024-01-01 23:00:00,103.0,14.0,113.0,0.0,45.0,63.0,903.0,120.0,2445.0,121.0,55.0,0.0,1.0
2024-01-02 00:00:00,99.0,15.0,96.0,0.0,45.0,300.0,787.0,28.0,2445.0,120.0,54.0,0.0,1.0
2024-01-02 01:00:00,103.0,16.0,96.0,0.0,45.0,306.0,757.0,25.0,2443.0,121.0,54.0,0.0,0.0
2024-01-02 02:00:00,102.0,16.0,100.0,0.0,45.0,305.0,693.0,27.0,2441.0,122.0,54.0,0.0,1.0
2024-01-02 03:00:00,97.0,16.0,99.0,0.0,45.0,305.0,675.0,26.0,2443.0,122.0,54.0,0.0,0.0
2024-01-02 04:00:00,99.0,16.0,101.0,0.0,47.0,304.0,708.0,28.0,2441.0,124.0,51.0,0.0,0.0
2024-01-02 05:00:00,97.0,16.0,106.0,0.0,49.0,296.0,767.0,47.0,2442.0,124.0,52.0,0.0,0.0
2024-01-02 06:00:00,95.0,14.0,104.0,0.0,50.0,1.0,821.0,55.0,2446.0,122.0,52.0,0.0,0.0
2024-01-02 07:00:00,96.0,14.0,124.0,0.0,52.0,47.0,859.0,107.0,2445.0,122.0,51.0,1.0,0.0
2024-01-02 08:00:00,93.0,15.0,134.0,0.0,52.0,179.0,891.0,142.0,2447.0,121.0,52.0,15.0,0.0
2024-01-02 09:00:00,89.0,15.0,136.0,1.0,52.0,212.0,852.0,184.0,2449.0,124.0,50.0,53.0,0.0
2024-01-02 10:00:00,85.0,15.0,132.0,25.0,51.0,7.0,877.0,66.0,2449.0,125.0,52.0,81.0,0.0
2024-01-02 11:00:00,77.0,15.0,140.0,45.0,51.0,20.0,880.0,82.0,2449.0,125.0,53.0,66.0,1.0
2024-01-02 12:00:00,71.0,15.0,150.0,50.0,52.0,71.0,898.0,137.0,2446.0,124.0,53.0,42.0,0.0
2024-01-02 13:00:00,76.0,17.0,156.0,52.0,52.0,89.0,889.0,154.0,2444.0,128.0,52.0,26.0,0.0
2024-01-02 14:00:00,77.0,17.0,141.0,53.0,51.0,49.0,879.0,113.0,2442.0,129.0,53.0,13.0,0.0
2024-01-02 15:00:00,78.0,17.0,142.0,61.0,50.0,46.0,900.0,104.0,2439.0,130.0,53.0,4.0,0.0
2024-01-02 16:00:00,75.0,17.0,137.0,58.0,50.0,344.0,903.0,136.0,2438.0,129.0,53.0,2.0,0.0
2024-01-02 17:00:00,76.0,17.0,134.0,57.0,50.0,445.0,894.0,146.0,2442.0,126.0,53.0,2.0,0.0
2024-01-02 18:00:00,79.0,17.0,131.0,57.0,50.0,440.0,890.0,140.0,2444.0,125.0,53.0,0.0,0.0
2024-01-02 19:00:00,78.0,17.0,136.0,57.0,51.0,329.0,892.0,122.0,2443.0,124.0,52.0,0.0,0.0
2024-01-02 20:00:00,80.0,17.0,139.0,58.0,51.0,77.0,909.0,123.0,2442.0,123.0,53.0,0.0,0.0
2024-01-02 21:00:00,75.0,17.0,123.0,48.0,50.0,0.0,905.0,51.0,2442.0,122.0,53.0,0.0,0.0
2024-01-02 22:00:00,80.0,17.0,125.0,49.0,49.0,5.0,879.0,50.0,2441.0,124.0,53.0,0.0,1.0
2024-01-02 23:00:00,85.0,17.0,123.0,48.0,48.0,6.0,858.0,50.0,2443.0,122.0,54.0,0.0,1.0
2024-01-03 00:00:00,84.0,17.0,116.0,49.0,50.0,303.0,706.0,20.0,2442.0,132.0,54.0,0.0,1.0
2024-01-03 01:00:00,83.0,17.0,113.0,48.0,50.0,308.0,679.0,20.0,2443.0,134.0,53.0,0.0,1.0
2024-01-03 02:00:00,83.0,17.0,114.0,49.0,49.0,308.0,705.0,20.0,2442.0,135.0,54.0,0.0,1.0
2024-01-03 03:00:00,81.0,17.0,112.0,48.0,49.0,307.0,684.0,20.0,2442.0,137.0,54.0,0.0,1.0
2024-01-03 04:00:00,84.0,17.0,109.0,48.0,50.0,301.0,685.0,25.0,2441.0,123.0,53.0,0.0,2.0
2024-01-03 05:00:00,78.0,17.0,112.0,48.0,51.0,298.0,686.0,24.0,2440.0,124.0,53.0,0.0,2.0
2024-01-03 06:00:00,80.0,17.0,115.0,48.0,50.0,29.0,844.0,87.0,2440.0,123.0,52.0,0.0,1.0
2024-01-03 07:00:00,83.0,17.0,117.0,57.0,50.0,60.0,840.0,115.0,2440.0,121.0,53.0,1.0,1.0
2024-01-03 08:00:00,82.0,17.0,130.0,57.0,49.0,118.0,809.0,97.0,2439.0,120.0,53.0,20.0,1.0
2024-01-03 09:00:00,84.0,17.0,132.0,57.0,47.0,113.0,878.0,92.0,2436.0,120.0,53.0,71.0,1.0
2024-01-03 10:00:00,81.0,17.0,126.0,57.0,48.0,29.0,855.0,86.0,2435.0,121.0,53.0,120.0,1.0
2024-01-03 11:00:00,78.0,17.0,130.0,48.0,47.0,29.0,871.0,83.0,2427.0,125.0,54.0,125.0,1.0
2024-01-03 12:00:00,78.0,17.0,133.0,57.0,47.0,43.0,860.0,100.0,2424.0,125.0,54.0,96.0,1.0
2024-01-03 13:00:00,76.0,17.0,133.0,57.0,46.0,63.0,873.0,120.0,2419.0,127.0,54.0,59.0,1.0
2024-01-03 14:00:00,78.0,17.0,131.0,57.0,46.0,41.0,891.0,93.0,2419.0,124.0,53.0,32.0,1.0
2024-01-03 15:00:00,78.0,17.0,133.0,57.0,45.0,31.0,895.0,90.0,2418.0,121.0,53.0,10.0,1.0
2024-01-03 16:00:00,77.0,17.0,134.0,57.0,44.0,291.0,916.0,173.0,2419.0,123.0,53.0,1.0,1.0
2024-01-03 17:00:00,76.0,17.0,136.0,58.0,45.0,471.0,930.0,178.0,2417.0,124.0,53.0,1.0,1.0
2024-01-03 18:00:00,76.0,17.0,135.0,58.0,46.0,470.0,933.0,173.0,2418.0,129.0,54.0,1.0,1.0
2024-01-03 19:00:00,77.0,17.0,134.0,58.0,46.0,465.0,927.0,172.0,2418.0,136.0,55.0,1.0,1.0
2024-01-03 20:00:00,77.0,18.0,140.0,59.0,47.0,158.0,941.0,204.0,2420.0,140.0,55.0,1.0,1.0
2024-01-03 21:00:00,77.0,17.0,139.0,58.0,48.0,51.0,925.0,108.0,2422.0,142.0,55.0,1.0,1.0
2024-01-03 22:00:00,78.0,17.0,136.0,48.0,47.0,3.0,928.0,58.0,2424.0,141.0,55.0,1.0,1.0
2024-01-03 23:00:00,79.0,17.0,136.0,48.0,46.0,14.0,933.0,42.0,2426.0,141.0,55.0,1.0,1.0
2024-01-04 00:00:00,76.0,17.0,132.0,48.0,46.0,360.0,935.0,52.0,2429.0,146.0,55.0,1.0,1.0
