time,zone,net_position_mw,position
2024-01-01 01:00:00,DE_LU,-10342.5,Import
2024-01-01 02:00:00,DE_LU,-10822.75,Import
2024-01-01 03:00:00,DE_LU,-10553.25,Import
2024-01-01 04:00:00,DE_LU,-10145.0,Import
2024-01-01 05:00:00,DE_LU,-10491.75,Import
2024-01-01 06:00:00,DE_LU,-10150.25,Import
2024-01-01 07:00:00,DE_LU,-11101.5,Import
2024-01-01 08:00:00,DE_LU,-11105.0,Import
2024-01-01 09:00:00,DE_LU,-10696.75,Import
2024-01-01 10:00:00,DE_LU,-11448.5,Import
2024-01-01 11:00:00,DE_LU,-11698.25,Import
2024-01-01 12:00:00,DE_LU,-10224.0,Import
2024-01-01 13:00:00,DE_LU,-8558.25,Import
2024-01-01 14:00:00,DE_LU,-8013.25,Import
2024-01-01 15:00:00,DE_LU,-5640.25,Import
2024-01-01 16:00:00,DE_LU,-4403.25,Import
2024-01-01 17:00:00,DE_LU,-4056.0,Import
2024-01-01 18:00:00,DE_LU,-4488.0,Import
2024-01-01 19:00:00,DE_LU,-4011.0,Import
2024-01-01 20:00:00,DE_LU,-2972.0,Import
2024-01-01 21:00:00,DE_LU,-2815.25,Import
2024-01-01 22:00:00,DE_LU,-1395.75,Import
2024-01-01 23:00:00,DE_LU,-827.25,Import
2024-01-02 00:00:00,DE_LU,-1545.5,Import
2024-01-02 01:00:00,DE_LU,-1381.5,Import
2024-01-02 02:00:00,DE_LU,-1233.5,Import
2024-01-02 03:00:00,DE_LU,-1727.0,Import
2024-01-02 04:00:00,DE_LU,-2671.75,Import
2024-01-02 05:00:00,DE_LU,-3803.75,Import
2024-01-02 06:00:00,DE_LU,-3449.75,Import
2024-01-02 07:00:00,DE_LU,-2730.0,Import
2024-01-02 08:00:00,DE_LU,-2116.5,Import
2024-01-02 09:00:00,DE_LU,-2757.5,Import
2024-01-02 10:00:00,DE_LU,-1079.75,Import
2024-01-02 11:00:00,DE_LU,1105.75,Export
2024-01-02 12:00:00,DE_LU,726.5,Export
2024-01-02 13:00:00,DE_LU,2215.5,Export
2024-01-02 14:00:00,DE_LU,1664.75,Export
2024-01-02 15:00:00,DE_LU,1780.25,Export
2024-01-02 16:00:00,DE_LU,-61.5,Import
2024-01-02 17:00:00,DE_LU,-415.25,Import
2024-01-02 18:00:00,DE_LU,-2426.75,Import
2024-01-02 19:00:00,DE_LU,-4388.0,Import
2024-01-02 20:00:00,DE_LU,-6004.75,Import
2024-01-02 21:00:00,DE_LU,-8102.0,Import
