time,price_DE_LU,price_AT,price_BE,price_CH,price_CZ,price_DK_1,price_DK_2,price_FR,price_NL,price_NO_2,price_PL,price_SE_4
2024-01-01 00:00:00,0.23749999999999893,3.64,0.1,25.97,0.1,16.99,29.13,0.1,0.1,53.79,76.69,29.56
2024-01-01 01:00:00,0.05500000000000024,3.7574999999999994,0.01,21.99,0.01,28.14,28.46,0.01,0.01,48.98,74.5,28.46
2024-01-01 02:00:00,-0.1425,2.865,0.0,14.32,0.02,26.66,26.66,0.0,0.0,27.45,73.29,26.66
2024-01-01 03:00:00,-1.252499999999999,2.37,-0.01,11.37,0.0,4.14,24.48,-0.01,-0.01,24.48,71.58,24.48
2024-01-01 04:00:00,-2.9333333333333336,2.2475,-0.03,11.35,-0.01,-0.03,24.01,-0.03,-0.03,24.01,73.27,24.01
2024-01-01 05:00:00,-1.8399999999999999,-3.0,-0.02,11.39,,-0.02,15.88,-0.02,-0.02,21.23,74.32,21.23
2024-01-01 06:00:00,-5.7125,-4.7025,-0.05,11.34,0.0,-0.05,15.87,-0.04,-0.05,22.62,76.69,22.62
2024-01-01 07:00:00,-0.009999999999999787,5.0,-0.02,8.31,,-0.02,22.04,-0.01,-0.02,25.04,74.55,25.04
2024-01-01 08:00:00,-3.68,3.3174999999999994,0.0,8.51,,0.0,25.42,0.0,0.0,26.24,72.25,26.24
2024-01-01 09:00:00,-1.1333333333333335,5.0024999999999995,0.04,10.63,0.04,0.08,32.21,0.04,0.04,32.21,76.01,32.21
2024-01-01 10:00:00,-6.045000000000001,2.155,0.06,9.75,0.06,41.34,41.34,0.06,0.06,47.71,82.2,41.34
2024-01-01 11:00:00,-6.51,2.6999999999999997,0.54,8.24,0.54,43.51,43.51,0.54,0.54,52.51,82.91,43.51
2024-01-01 12:00:00,-8.23,-1.0750000000000002,2.24,10.71,2.24,43.02,43.02,2.24,2.24,56.57,80.87,43.02
2024-01-01 13:00:00,-9.136666666666667,-1.9574999999999998,2.0,9.31,2.53,44.29,44.29,2.06,1.97,59.82,79.79,44.29
2024-01-01 14:00:00,-1.9275000000000002,5.986666666666667,1.35,11.51,4.89,46.24,46.24,1.73,1.13,62.06,82.68,46.24
2024-01-01 15:00:00,5.9875,22.7975,4.13,20.41,24.04,50.61,50.61,5.72,3.19,62.52,77.56,50.61
2024-01-01 16:00:00,25.915,23.9925,27.96,29.09,49.26,59.47,59.47,18.49,40.0,63.19,75.46,59.47
2024-01-01 17:00:00,41.097500000000004,24.099999999999998,50.37,42.1,57.21,64.99,64.99,37.0,84.46,64.99,74.16,64.99
2024-01-01 18:00:00,41.292500000000004,29.8,53.76,48.83,59.85,61.74,61.74,47.5,61.74,63.58,,61.74
2024-01-01 19:00:00,37.8275,28.7,56.77,43.31,54.76,61.27,55.07,54.97,61.27,63.1,75.61,55.07
2024-01-01 20:00:00,44.129999999999995,30.0,51.4,42.59,48.41,59.97,48.01,48.61,59.97,62.15,86.1,48.01
2024-01-01 21:00:00,37.595,34.53,35.39,35.0,42.27,54.92,44.01,24.88,54.92,58.27,86.02,44.01
2024-01-01 22:00:00,34.445,36.0,40.74,34.01,46.32,47.65,45.2,35.89,47.65,52.58,81.21,45.2
2024-01-01 23:00:00,26.275000000000002,32.2025,35.55,26.07,35.55,35.55,38.0,35.55,35.55,44.03,77.26,38.0
2024-01-02 00:00:00,35.925000000000004,42.355,23.92,22.24,30.07,30.59,38.0,19.49,29.39,38.0,82.35,38.0
2024-01-02 01:00:00,29.585,39.125,17.7,14.0,19.89,20.07,33.56,16.12,19.6,33.56,81.39,33.56
2024-01-02 02:00:00,25.7425,38.7225,12.39,11.32,29.6,31.03,32.03,0.06,27.33,32.03,81.04,32.03
2024-01-02 03:00:00,22.56,39.205,7.35,9.66,17.54,18.39,32.29,0.02,16.2,32.29,81.46,32.29
2024-01-02 04:00:00,22.5025,41.0,4.19,10.01,10.55,11.08,36.7,0.01,9.5,36.7,90.75,36.7
2024-01-02 05:00:00,33.040000000000006,49.9375,4.75,11.36,28.22,13.78,41.72,0.09,11.2,41.72,91.67,41.72
2024-01-02 06:00:00,46.8675,63.3,31.59,19.89,47.13,47.63,49.18,20.74,44.43,49.18,91.78,49.18
2024-01-02 07:00:00,79.9825,75.0875,49.96,40.56,65.43,58.1,58.75,44.7,56.56,62.04,94.89,58.75
2024-01-02 08:00:00,66.52,70.77,58.46,48.36,71.3,65.67,65.67,53.78,64.28,65.67,94.23,65.67
2024-01-02 09:00:00,85.54,70.11500000000001,59.05,51.81,70.16,64.73,66.11,54.23,66.12,66.8,91.74,66.11
2024-01-02 10:00:00,84.10666666666667,68.33,68.65,51.89,71.77,68.98,68.98,50.0,70.6,71.08,87.51,68.98
2024-01-02 11:00:00,73.79,63.419999999999995,74.18,55.87,75.33,73.54,73.54,52.2,78.8,73.54,87.38,73.54
2024-01-02 12:00:00,72.455,63.365,65.02,58.49,79.71,78.16,78.16,45.0,99.9,78.16,87.39,78.16
2024-01-02 13:00:00,65.5775,60.8975,64.71,61.17,80.61,78.87,78.87,43.0,102.5,78.87,89.07,78.87
2024-01-02 14:00:00,65.42500000000001,61.215,66.74,64.98,82.18,79.24,79.24,,110.6,79.24,94.14,79.24
2024-01-02 15:00:00,69.485,67.34666666666668,64.43,67.44,83.04,79.96,79.96,40.99,105.7,79.96,97.14,79.96
2024-01-02 16:00:00,76.5025,76.46,65.04,72.51,85.91,81.46,81.46,43.66,100.7,81.46,99.25,81.46
2024-01-02 17:00:00,81.02250000000001,81.65,73.85,75.8,84.07,80.92,80.92,52.2,118.93,80.92,94.89,80.92
2024-01-02 18:00:00,80.9025,88.64333333333333,66.62,67.84,78.11,74.95,74.95,57.77,81.3,74.95,91.7,74.95
2024-01-02 19:00:00,72.5925,74.9875,64.36,60.03,68.82,63.18,63.18,62.45,70.1,66.77,88.52,63.18
2024-01-02 20:00:00,75.52250000000001,70.1525,60.0,48.26,58.56,57.11,57.11,58.0,66.7,64.92,87.37,57.11
2024-01-02 21:00:00,70.9975,59.37,49.5,33.12,47.61,46.89,48.04,47.9,54.9,64.43,87.94,48.04
2024-01-02 22:00:00,62.5275,64.9375,44.19,28.8,40.62,40.0,40.0,41.67,53.18,62.61,91.82,40.99
2024-01-02 23:00:00,60.0,50.9475,26.83,18.01,17.77,21.81,30.0,21.42,54.9,59.16,83.49,38.35
2024-01-03 00:00:00,5.662499999999999,20.587500000000002,0.0,19.45,11.81,1.04,20.0,1.29,-0.39,58.0,70.97,40.8
2024-01-03 01:00:00,3.565,15.6525,-1.23,15.14,10.64,-0.01,15.87,0.1,-1.61,58.39,70.3,39.21
2024-01-03 02:00:00,0.6666666666666666,13.5975,-1.26,11.35,10.09,0.0,15.88,-0.01,-1.39,58.41,69.23,37.36
2024-01-03 03:00:00,-0.05666666666666667,12.902499999999998,-1.31,11.32,9.76,-0.01,,-0.05,-1.31,55.84,68.84,36.17
2024-01-03 04:00:00,0.6300000000000008,12.927499999999998,-1.39,11.3,10.42,0.0,15.94,,-1.39,54.53,69.48,38.21
2024-01-03 05:00:00,7.87,28.145000000000003,-1.26,23.61,11.72,0.02,20.04,0.1,-1.95,58.41,70.39,42.58
2024-01-03 06:00:00,16.5675,41.082499999999996,2.58,51.91,36.04,1.09,49.44,4.78,1.05,62.7,91.04,49.44
2024-01-03 07:00:00,38.5325,57.587500000000006,40.8,60.02,43.58,40.59,53.53,41.04,40.63,64.81,91.67,53.53
2024-01-03 08:00:00,54.1375,56.6,62.56,62.07,62.66,59.61,63.48,61.92,68.3,65.6,87.37,63.48
2024-01-03 09:00:00,52.9125,61.910000000000004,67.39,62.88,65.47,60.61,64.99,65.06,75.9,65.94,91.74,64.99
2024-01-03 10:00:00,47.795,59.4475,62.92,58.6,60.0,57.0,60.19,59.67,73.2,66.42,91.69,60.19
2024-01-03 11:00:00,37.24333333333333,53.01,58.84,56.22,56.99,54.89,59.96,56.28,69.2,65.93,91.66,59.96
2024-01-03 12:00:00,37.9375,53.370000000000005,55.94,60.03,55.99,59.8,59.8,55.0,60.0,65.6,91.76,59.8
2024-01-03 13:00:00,41.225,52.315,56.18,64.96,56.02,58.86,58.86,55.42,58.86,65.15,91.63,58.86
2024-01-03 14:00:00,41.725,61.410000000000004,60.91,71.69,62.14,60.86,64.99,61.0,60.86,65.76,86.21,64.99
2024-01-03 15:00:00,55.832499999999996,65.03999999999999,68.72,78.19,70.55,67.18,68.83,66.03,76.0,69.38,85.63,68.83
2024-01-03 16:00:00,67.3675,75.7975,71.56,75.74,77.63,73.59,73.59,67.52,79.0,73.59,86.51,73.59
2024-01-03 17:00:00,77.7575,80.9875,85.72,81.59,84.23,82.28,82.28,81.06,101.0,82.28,86.53,82.28
2024-01-03 18:00:00,81.0,80.4375,92.38,85.96,85.17,82.97,82.97,85.07,114.6,82.97,85.78,82.97
2024-01-03 19:00:00,74.0,72.91,86.07,82.04,81.94,79.03,79.03,81.66,100.0,79.03,85.43,79.03
2024-01-03 20:00:00,66.97,67.605,73.23,82.71,73.23,73.23,73.23,73.23,73.23,73.23,85.62,73.23
2024-01-03 21:00:00,64.64,59.002500000000005,67.41,66.99,67.41,67.41,67.41,67.41,67.41,69.2,86.45,67.41
2024-01-03 22:00:00,64.22,54.0,65.0,65.74,65.0,65.0,65.0,65.0,65.0,65.42,91.73,65.0
2024-01-03 23:00:00,55.8275,43.6025,58.12,53.37,58.12,58.12,58.12,58.12,58.12,63.79,91.66,58.12
2024-01-04 00:00:00,45.542500000000004,47.845,57.3,48.43,57.3,57.3,58.71,57.3,57.3,64.03,80.13,58.71
2024-01-04 01:00:00,39.932500000000005,38.1,50.46,40.99,50.46,50.46,53.6,50.46,50.46,63.13,,53.6
2024-01-04 02:00:00,29.9725,27.7725,40.0,36.06,40.0,40.0,54.44,40.0,40.0,62.61,77.1,54.44
2024-01-04 03:00:00,23.67,27.0225,25.48,30.12,25.48,25.48,55.18,25.48,25.48,62.41,,55.18
2024-01-04 04:00:00,32.84,32.8075,35.0,32.7,35.0,35.0,58.25,35.0,35.0,62.08,82.11,58.25
2024-01-04 05:00:00,47.0375,49.644999999999996,57.73,54.87,57.73,57.73,59.15,57.73,57.73,64.47,85.85,59.15
2024-01-04 06:00:00,65.37,69.155,72.65,70.73,72.65,72.65,72.65,72.65,72.65,70.38,93.56,72.65
2024-01-04 07:00:00,82.08,85.775,85.02,84.19,85.02,85.02,85.02,85.02,85.02,85.02,88.21,85.02
2024-01-04 08:00:00,87.2,84.9975,91.47,90.7,91.47,91.47,91.47,91.47,91.47,91.47,91.47,91.47
2024-01-04 09:00:00,88.4425,87.9975,94.2,93.95,94.2,94.2,94.2,94.2,94.2,94.2,94.2,94.2
2024-01-04 10:00:00,87.6725,90.0025,91.59,91.6,91.83,91.61,91.98,91.54,91.61,91.98,91.98,91.98
2024-01-04 11:00:00,88.745,90.87,90.0,88.38,90.27,90.03,90.4,89.95,90.03,90.4,90.45,90.4
2024-01-04 12:00:00,83.61,89.9125,86.26,86.53,86.5,86.3,86.69,86.21,86.28,86.69,86.64,86.69
2024-01-04 13:00:00,84.1425,89.95,85.96,87.3,85.96,85.96,85.96,85.96,85.96,85.96,85.96,85.96
2024-01-04 14:00:00,90.8275,95.67750000000001,92.11,91.56,92.11,92.11,92.11,92.11,92.11,92.11,92.11,92.11
2024-01-04 15:00:00,98.82,104.2525,98.62,93.79,98.62,98.62,98.62,98.62,98.62,98.62,98.62,98.62
2024-01-04 16:00:00,111.9975,115.44,101.93,104.93,105.0,105.73,105.73,99.5,104.45,105.73,105.12,105.73
2024-01-04 17:00:00,121.015,120.47,121.22,108.06,118.88,133.23,133.23,100.0,130.21,133.23,120.45,133.23
2024-01-04 18:00:00,134.34,119.035,129.28,109.09,123.53,144.65,144.65,102.57,140.67,144.65,125.7,144.65
2024-01-04 19:00:00,129.365,115.6875,110.95,108.09,115.09,125.0,125.0,100.7,123.1,121.37,116.04,125.0
2024-01-04 20:00:00,118.08250000000001,107.06,96.94,99.09,101.98,103.59,103.59,92.65,101.65,100.58,102.21,103.59
2024-01-04 21:00:00,103.0775,99.0,88.5,95.45,96.84,100.01,100.01,81.07,96.77,97.11,97.27,100.01
2024-01-04 22:00:00,94.62,95.0025,85.07,92.6,93.18,94.86,94.86,78.43,93.04,92.11,93.57,94.86
2024-01-04 23:00:00,87.0875,86.42999999999999,87.67,87.96,88.74,88.83,88.83,86.89,88.61,86.25,93.45,88.83
2024-01-05 00:00:00,85.905,83.86,86.08,86.8,86.08,86.08,88.83,86.08,86.08,88.83,88.07,88.83
2024-01-05 01:00:00,81.04,77.03999999999999,80.51,81.64,80.51,80.51,83.09,80.51,80.51,83.09,87.82,83.09
2024-01-05 02:00:00,78.28999999999999,73.7425,77.01,78.29,77.01,77.01,80.0,77.01,77.01,79.47,88.13,80.0
2024-01-05 03:00:00,77.2525,76.00333333333333,71.7,77.21,73.1,73.21,80.17,70.67,72.88,75.39,90.24,80.17
2024-01-05 04:00:00,77.14750000000001,72.1775,66.34,76.74,73.53,74.05,82.49,61.1,72.12,76.26,94.44,82.49
2024-01-05 05:00:00,80.2975,73.72333333333334,71.42,82.9,75.73,76.03,88.14,68.26,74.52,75.23,94.4,88.14
2024-01-05 06:00:00,84.985,92.5075,77.3,88.54,87.56,81.0,109.79,75.0,80.11,78.65,109.79,109.79
2024-01-05 07:00:00,99.0825,104.94749999999999,87.6,100.02,95.84,87.0,165.01,88.35,87.17,84.47,124.19,165.01
2024-01-05 08:00:00,105.13,105.5,90.14,104.07,98.14,89.57,299.01,90.88,89.78,86.98,126.02,299.01
2024-01-05 09:00:00,102.67500000000001,104.9375,95.12,100.77,97.74,94.93,249.12,95.37,95.0,92.18,107.14,249.12
2024-01-05 10:00:00,99.5775,99.345,96.32,98.19,96.88,96.28,255.86,96.37,96.29,93.49,98.91,255.86
2024-01-05 11:00:00,96.14,99.72000000000001,98.23,98.01,98.37,98.22,211.11,98.24,98.22,95.37,98.88,211.11
2024-01-05 12:00:00,91.45,91.44333333333333,92.4,92.52,94.62,92.24,203.28,92.61,92.29,89.56,102.79,203.28
2024-01-05 13:00:00,90.7,93.22,91.92,93.79,97.01,91.54,196.98,92.4,91.65,88.89,115.71,196.98
2024-01-05 14:00:00,90.8,96.67666666666666,96.87,95.08,103.06,96.41,197.86,97.46,96.5,93.62,126.1,197.86
2024-01-05 15:00:00,95.80499999999999,96.715,100.46,99.42,105.83,100.05,299.94,100.97,100.13,97.15,126.15,299.94
2024-01-05 16:00:00,103.565,104.83,103.33,100.92,108.14,102.97,449.64,103.79,103.03,99.98,126.33,449.64
2024-01-05 17:00:00,114.9725,109.32,107.65,109.05,111.5,107.38,526.25,108.03,107.43,104.26,126.09,526.25
2024-01-05 18:00:00,114.405,109.2,108.58,110.35,110.41,108.45,349.95,108.76,108.47,111.68,117.51,349.95
2024-01-05 19:00:00,109.2825,101.53,104.15,105.82,106.7,103.96,181.91,104.41,104.0,100.95,116.55,181.91
2024-01-05 20:00:00,98.97749999999999,98.235,100.28,98.25,102.71,100.09,149.6,100.52,100.13,103.08,112.21,149.6
