timestamp_utc,minNP,maxNP,NetPosition,slack_to_min,slack_to_max,fb_boundary
2024-01-01T00:00:00Z,-5000,8000,2000,7000,6000,False
2024-01-01T01:00:00Z,-5000,8000,7800,12800,200,True
2024-01-01T02:00:00Z,-5000,8000,-4900,100,12900,True
2024-01-01T03:00:00Z,-5000,8000,1500,6500,6500,False
2024-01-01T04:00:00Z,-5000,8000,7900,12900,100,True
2024-01-01T05:00:00Z,-5000,8000,3000,8000,5000,False
2024-01-01T06:00:00Z,-5000,8000,-4800,200,12800,True
2024-01-01T07:00:00Z,-5000,8000,0,5000,8000,False
2024-01-01T08:00:00Z,-5000,8000,7850,12850,150,True
2024-01-01T09:00:00Z,-5000,8000,2500,7500,5500,False
2024-01-01T10:00:00Z,-5000,8000,-4700,300,12700,False
2024-01-01T11:00:00Z,-5000,8000,7700,12700,300,False
2024-01-01T12:00:00Z,-5000,8000,1000,6000,7000,False
2024-01-01T13:00:00Z,-5000,8000,7950,12950,50,True
2024-01-01T14:00:00Z,-5000,8000,7800,12800,200,True
2024-01-01T15:00:00Z,-5000,8000,2200,7200,5800,False
2024-01-01T16:00:00Z,-5000,8000,-4950,50,12950,True
2024-01-01T17:00:00Z,-5000,8000,7600,12600,400,False
2024-01-01T18:00:00Z,-5000,8000,4000,9000,4000,False
2024-01-01T19:00:00Z,-5000,8000,7900,12900,100,True
2024-01-01T20:00:00Z,-5000,8000,1800,6800,6200,False
2024-01-01T21:00:00Z,-5000,8000,-4850,150,12850,True
2024-01-01T22:00:00Z,-5000,8000,7750,12750,250,False
2024-01-01T23:00:00Z,-5000,8000,3500,8500,4500,False
