MTU (CET/CEST),Area,Export / Import (Daily),Net Position [MW]
01/01/2024 00:00 - 01/01/2024 01:00,BZN|DE-LU,Export,11698.20
01/01/2024 01:00 - 01/01/2024 02:00,BZN|DE-LU,Export,11320.90
01/01/2024 02:00 - 01/01/2024 03:00,BZN|DE-LU,Export,11575.00
01/01/2024 03:00 - 01/01/2024 04:00,BZN|DE-LU,Export,11047.00
01/01/2024 04:00 - 01/01/2024 05:00,BZN|DE-LU,Export,9724.90
01/01/2024 05:00 - 01/01/2024 06:00,BZN|DE-LU,Export,9384.70
01/01/2024 06:00 - 01/01/2024 07:00,BZN|DE-LU,Export,9722.80
01/01/2024 07:00 - 01/01/2024 08:00,BZN|DE-LU,Export,10616.00
01/01/2024 08:00 - 01/01/2024 09:00,BZN|DE-LU,Export,11713.00
01/01/2024 09:00 - 01/01/2024 10:00,BZN|DE-LU,Export,11897.60
01/01/2024 10:00 - 01/01/2024 11:00,BZN|DE-LU,Export,12452.60
01/01/2024 11:00 - 01/01/2024 12:00,BZN|DE-LU,Export,12213.10
01/01/2024 12:00 - 01/01/2024 13:00,BZN|DE-LU,Export,12225.10
01/01/2024 13:00 - 01/01/2024 14:00,BZN|DE-LU,Export,11403.80
01/01/2024 14:00 - 01/01/2024 15:00,BZN|DE-LU,Export,9514.60
01/01/2024 15:00 - 01/01/2024 16:00,BZN|DE-LU,Export,5953.90
01/01/2024 16:00 - 01/01/2024 17:00,BZN|DE-LU,Export,4237.00
01/01/2024 17:00 - 01/01/2024 18:00,BZN|DE-LU,Export,4086.80
01/01/2024 18:00 - 01/01/2024 19:00,BZN|DE-LU,Export,5360.60
01/01/2024 19:00 - 01/01/2024 20:00,BZN|DE-LU,Export,4938.40
01/01/2024 20:00 - 01/01/2024 21:00,BZN|DE-LU,Export,4123.80
01/01/2024 21:00 - 01/01/2024 22:00,BZN|DE-LU,Export,3753.60
01/01/2024 22:00 - 01/01/2024 23:00,BZN|DE-LU,Export,2449.20
01/01/2024 23:00 - 02/01/2024 00:00,BZN|DE-LU,Export,2144.20
