time,AT->DE_LU,BE->DE_LU,CH->DE_LU,CZ->DE_LU,DE_LU->AT,DE_LU->BE,DE_LU->CH,DE_LU->CZ,DE_LU->DK_1,DE_LU->DK_2,DE_LU->FR,DE_LU->NL,DE_LU->NO_2,DE_LU->PL,DE_LU->SE_4,DK_1->DE_LU,DK_2->DE_LU,FR->DE_LU,NL->DE_LU,NO_2->DE_LU,PL->DE_LU,SE_4->DE_LU
2023-12-31 23:00:00,0.0,0.0,0.0,0.0,2120.55,390.0,793.4,829.8,2500.0,981.0,914.4,465.3,1400.0,901.2,519.0,20.0,0.0,79.4,60.75,0.0,13.4,0.0
2023-12-31 23:15:00,,0.0,,,,264.0,,,,,,,,,,,,,,,,
2023-12-31 23:30:00,,27.5,,,,202.6,,,,,,,,,,,,,,,,
2023-12-31 23:45:00,,30.5,,,,198.8,,,,,,,,,,,,,,,,
2024-01-01 00:00:00,0.0,9.3,0.0,0.0,2089.4,560.0,798.35,864.3,2500.0,1000.0,707.6,307.25,1400.0,972.9,519.0,0.0,0.0,617.4,9.0,0.0,85.1,0.0
2024-01-01 00:15:00,,32.4,,,,554.4,,,,,,,,,,,,,,,,
2024-01-01 00:30:00,,59.0,,,,486.6,,,,,,,,,,,,,,,,
2024-01-01 00:45:00,,73.5,,,,512.0,,,,,,,,,,,,,,,,
2024-01-01 01:00:00,0.0,7.3,0.0,0.0,1608.1,1007.3,795.84,826.3,2500.0,1000.0,879.2,373.55,1400.0,819.1,519.0,0.0,0.0,147.2,64.5,0.0,46.1,0.0
2024-01-01 01:15:00,,4.8,,,,1004.8,,,,,,,,,,,,,,,,
2024-01-01 01:30:00,,11.3,,,,1011.3,,,,,,,,,,,,,,,,
2024-01-01 01:45:00,,72.2,,,,1014.8,,,,,,,,,,,,,,,,
2024-01-01 02:00:00,292.68,5.6,0.0,0.0,1314.5,1005.6,799.97,893.6,2500.0,1000.0,1214.0,249.0,1400.0,893.1,519.0,42.0,0.0,0.0,91.8,0.0,46.2,0.0
2024-01-01 02:15:00,,2.7,,,,1002.7,,,,,,,,,,,,,,,,
2024-01-01 02:30:00,,38.8,,,,1038.8,,,,,,,,,,,,,,,,
2024-01-01 02:45:00,,47.8,,,,1047.8,,,,,,,,,,,,,,,,
2024-01-01 03:00:00,457.88,202.0,0.0,98.4,1275.1,865.0,794.3,705.7,2398.0,1000.0,1899.8,0.0,1400.0,915.3,519.0,0.0,0.0,0.0,582.0,0.0,0.0,0.0
2024-01-01 03:15:00,,210.9,,,,866.6,,,,,,,,,,,,,,,,
2024-01-01 03:30:00,,228.7,,,,869.5,,,,,,,,,,,,,,,,
2024-01-01 03:45:00,,268.3,,,,872.9,,,,,,,,,,,,,,,,
2024-01-01 04:00:00,769.95,335.5,0.0,37.9,1335.7,978.3,799.8,775.4,2263.0,1007.9,2899.65,402.5,1401.0,896.4,519.0,263.0,7.9,0.0,632.1,1.0,0.0,0.0
2024-01-01 04:15:00,,344.6,,,,964.2,,,,,,,,,,,,,,,,
2024-01-01 04:30:00,,371.2,,,,970.8,,,,,,,,,,,,,,,,
2024-01-01 04:45:00,,315.1,,,,969.1,,,,,,,,,,,,,,,,
2024-01-01 05:00:00,554.1,46.0,0.0,0.0,1365.0,1043.9,798.88,654.4,2090.0,1000.0,581.05,1197.75,1400.0,772.1,519.0,0.0,0.0,32.65,341.1,0.0,0.1,0.0
2024-01-01 05:15:00,,22.8,,,,1022.8,,,,,,,,,,,,,,,,
2024-01-01 05:30:00,,28.2,,,,1028.2,,,,,,,,,,,,,,,,
2024-01-01 05:45:00,,20.7,,,,1020.7,,,,,,,,,,,,,,,,
2024-01-01 06:00:00,116.75,6.0,0.0,0.0,1446.1,1006.0,799.72,846.1,2318.0,1000.0,1295.0,185.35,1400.0,890.3,519.0,49.0,0.0,0.0,0.0,0.0,51.2,0.0
2024-01-01 06:15:00,,0.2,,,,1000.2,,,,,,,,,,,,,,,,
2024-01-01 06:30:00,,0.2,,,,1000.2,,,,,,,,,,,,,,,,
2024-01-01 06:45:00,,0.2,,,,1000.2,,,,,,,,,,,,,,,,
2024-01-01 07:00:00,214.33,78.8,0.0,65.8,1434.1,1021.3,794.25,608.5,2070.0,1000.0,1441.8,588.15,1400.0,862.7,519.0,0.0,0.0,0.0,82.0,0.0,63.2,0.0
2024-01-01 07:15:00,,31.0,,,,1031.0,,,,,,,,,,,,,,,,
