Datetime;Absolute Emissionen;CO₂-Emissionsfaktor des Strommix
2024-01-01T00:00:00;9203.396;164.658
2024-01-01T01:00:00;9135.415;164.999
2024-01-01T02:00:00;9118.817;165.158
2024-01-01T03:00:00;9154.577;168.784
2024-01-01T04:00:00;9146.774;169.418
2024-01-01T05:00:00;9161.249;169.208
2024-01-01T06:00:00;9202.218;171.891
2024-01-01T07:00:00;9186.491;170.775
2024-01-01T08:00:00;9185.285;166.458
2024-01-01T09:00:00;9140.28;156.781
2024-01-01T10:00:00;9269.199;148.958
2024-01-01T11:00:00;9169.303;142.71
2024-01-01T12:00:00;9189.872;144.904
2024-01-01T13:00:00;9184.046;150.679
2024-01-01T14:00:00;9375.606;161.248
2024-01-01T15:00:00;9413.198;173.747
2024-01-01T16:00:00;9825.501;182.487
2024-01-01T17:00:00;10276.524;183.11
2024-01-01T18:00:00;10214.063;182.401
2024-01-01T19:00:00;10033.534;185.346
2024-01-01T20:00:00;9886.09;190.464
2024-01-01T21:00:00;9742.751;195.1
2024-01-01T22:00:00;9653.264;199.449
2024-01-01T23:00:00;9524.584;207.223
2024-01-02T00:00:00;9318.799;210.178
2024-01-02T01:00:00;9288.058;213.823
2024-01-02T02:00:00;9292.08;214.078
2024-01-02T03:00:00;9367.277;207.673
2024-01-02T04:00:00;9421.951;197.951
2024-01-02T05:00:00;9577.822;187.377
2024-01-02T06:00:00;9911.362;180.497
2024-01-02T07:00:00;10193.2;176.812
2024-01-02T08:00:00;10779.074;178.501
2024-01-02T09:00:00;11572.541;186.242
2024-01-02T10:00:00;12038.584;192.812
2024-01-02T11:00:00;12538.405;203.353
2024-01-02T12:00:00;13040.263;209.964
2024-01-02T13:00:00;13100.854;217.358
2024-01-02T14:00:00;13238.213;221.704
2024-01-02T15:00:00;12895.074;219.496
2024-01-02T16:00:00;13049.106;212.009
2024-01-02T17:00:00;12914.433;202.352
2024-01-02T18:00:00;12807.474;194.708
2024-01-02T19:00:00;12124.264;181.052
2024-01-02T20:00:00;11350.17;169.266
2024-01-02T21:00:00;10663.246;159.612
2024-01-02T22:00:00;10301.467;156.525
2024-01-02T23:00:00;10063.94;153.92
2024-01-03T00:00:00;9875.905;159.019
2024-01-03T01:00:00;9725.96;158.777
2024-01-03T02:00:00;9756.408;157.671
2024-01-03T03:00:00;9719.102;156.701
2024-01-03T04:00:00;9719.978;154.655
2024-01-03T05:00:00;9808.69;153.448
2024-01-03T06:00:00;10063.713;145.928
2024-01-03T07:00:00;10478.103;147.826
2024-01-03T08:00:00;10898.313;151.53
2024-01-03T09:00:00;11310.267;153.066
2024-01-03T10:00:00;11318.714;146.534
2024-01-03T11:00:00;11106.915;141.232
2024-01-03T12:00:00;11183.25;142.631
2024-01-03T13:00:00;11493.169;149.307
2024-01-03T14:00:00;11202.842;152.911
2024-01-03T15:00:00;11402.15;166.093
2024-01-03T16:00:00;12524.053;185.929
2024-01-03T17:00:00;13524.624;200.953
2024-01-03T18:00:00;13845.34;209.127
2024-01-03T19:00:00;13432.774;211.815
2024-01-03T20:00:00;12857.52;209.387
2024-01-03T21:00:00;11966.632;202.669
2024-01-03T22:00:00;11330.461;198.671
2024-01-03T23:00:00;11016.992;193.623
2024-01-04T00:00:00;10548.409;187.353
2024-01-04T01:00:00;10261.643;180.756
2024-01-04T02:00:00;10328.992;177.972
2024-01-04T03:00:00;10486.671;178.95
2024-01-04T04:00:00;10541.888;178.655
2024-01-04T05:00:00;11181.224;185.188
2024-01-04T06:00:00;12796.016;206.102
2024-01-04T07:00:00;15390.123;240.256
2024-01-04T08:00:00;16544.096;259.717
2024-01-04T09:00:00;17284.975;267.326
2024-01-04T10:00:00;17295.764;263.768
2024-01-04T11:00:00;17026.543;259.462
2024-01-04T12:00:00;17558.711;272.588
2024-01-04T13:00:00;18465.913;296.152
2024-01-04T14:00:00;19714.022;328.103
2024-01-04T15:00:00;21423.247;373.753
2024-01-04T16:00:00;22572.383;405.758
2024-01-04T17:00:00;23110.553;420.139
2024-01-04T18:00:00;23792.533;441.497
2024-01-04T19:00:00;23742.647;467.294
2024-01-04T20:00:00;23411.355;480.027
2024-01-04T21:00:00;22750.517;483.279
2024-01-04T22:00:00;21558.298;465.789
2024-01-04T23:00:00;20037.426;449.877
2024-01-05T00:00:00;18816.517;422.122
2024-01-05T01:00:00;17855.721;397.355
2024-01-05T02:00:00;17542.963;376.207
2024-01-05T03:00:00;17407.2;359.836
2024-01-05T04:00:00;17264.716;347.171
2024-01-05T05:00:00;17957.773;343.213
2024-01-05T06:00:00;18957.205;341.612
2024-01-05T07:00:00;21268.077;354.194
2024-01-05T08:00:00;22381.152;354.19
2024-01-05T09:00:00;22609.791;341.54
2024-01-05T10:00:00;22646.722;326.563
2024-01-05T11:00:00;22051.156;309.162
2024-01-05T12:00:00;22228.222;310.352
