,Biomass,Fossil Brown coal/Lignite,Fossil Coal-derived gas,Fossil Gas,Fossil Hard coal,Fossil Oil,Geothermal,Hydro Pumped Storage,Hydro Pumped Storage,Hydro Run-of-river and poundage,Hydro Water Reservoir,Other,Other renewable,Solar,Solar,Waste,Wind Offshore,Wind Onshore,Wind Onshore
,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Consumption,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Consumption,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Consumption
timestamp_cec,,,,,,,,,,,,,,,,,,,
2024-01-01 00:00:00+01:00,3945.500,3391.750,455.750,2894.250,1860.750,398.000,29.000,489.500,2023.250,1836.000,148.250,152.000,113.000,3.250,0.000,584.000,5679.250,29754.000,0.000
2024-01-01 01:00:00+01:00,3908.750,3372.750,419.000,2824.500,1854.750,398.000,28.500,415.750,2524.000,1849.250,148.000,152.000,113.000,3.000,0.000,569.250,5345.750,29660.500,0.000
2024-01-01 02:00:00+01:00,3893.000,3373.500,420.000,2852.500,1828.750,398.000,28.000,403.750,3051.500,1855.250,162.250,152.000,113.000,3.000,0.000,561.750,5188.500,29743.500,0.000
2024-01-01 03:00:00+01:00,3868.000,3393.000,426.750,2874.500,1817.500,397.500,28.000,325.500,3093.000,1853.750,173.000,152.250,113.000,3.250,0.000,572.500,4674.250,29208.000,0.000
2024-01-01 04:00:00+01:00,3872.500,3393.750,402.750,2857.000,1832.750,397.750,28.000,177.750,3280.250,1834.000,214.250,152.000,113.000,3.000,0.000,563.250,4439.250,29138.250,0.000
2024-01-01 05:00:00+01:00,3909.750,3399.250,395.500,2895.500,1831.500,398.000,27.000,180.000,3461.500,1838.250,218.500,152.000,113.000,3.250,0.000,561.500,4624.750,29263.000,0.000
2024-01-01 06:00:00+01:00,3968.000,3435.000,387.750,2902.000,1835.000,398.000,26.750,148.250,3658.250,1822.000,146.500,152.000,112.500,3.250,0.000,564.750,4285.250,29253.250,0.000
2024-01-01 07:00:00+01:00,4071.000,3420.250,379.250,2888.000,1848.250,398.000,27.000,152.500,2841.000,1826.750,139.500,152.000,113.000,4.000,0.000,562.500,3897.250,29850.250,0.000
2024-01-01 08:00:00+01:00,4170.250,3418.000,372.000,2890.500,1835.000,397.750,27.000,25.750,2773.750,1837.500,155.250,152.000,112.250,425.250,0.000,570.500,3856.500,30530.000,0.000
2024-01-01 09:00:00+01:00,4170.750,3414.500,379.250,2857.500,1816.250,397.500,27.000,143.000,3690.250,1846.250,149.750,152.000,112.250,3221.250,0.000,557.500,3231.500,30622.750,0.000
2024-01-01 10:00:00+01:00,4096.750,3488.500,431.000,2869.000,1859.500,398.000,26.500,61.750,3810.500,1897.500,115.500,152.000,112.500,6354.000,0.000,568.750,3470.000,30491.750,0.000
2024-01-01 11:00:00+01:00,4049.500,3390.750,451.750,2793.250,1891.750,397.750,26.000,94.750,3402.750,1937.500,140.250,152.000,113.250,8161.750,0.000,570.500,3573.250,30437.250,0.000
2024-01-01 12:00:00+01:00,3990.750,3388.750,463.000,2829.750,1910.500,398.000,26.000,128.250,2931.000,1900.500,138.500,152.000,113.750,7806.750,0.000,568.750,3296.000,30556.250,0.000
2024-01-01 13:00:00+01:00,3977.250,3401.500,418.500,2780.500,1913.750,398.500,26.000,77.000,2781.000,1834.750,116.000,152.000,112.000,6390.000,0.000,566.250,3278.500,29917.500,0.000
2024-01-01 14:00:00+01:00,4016.500,3568.500,407.000,2827.750,1915.750,398.000,26.000,587.250,1099.000,1867.000,74.250,152.000,112.000,4216.750,0.000,561.500,3304.250,28651.500,0.000
2024-01-01 15:00:00+01:00,4114.250,3546.750,397.000,2927.250,1955.750,398.000,26.000,1437.750,503.500,1853.750,99.000,153.750,112.250,1429.250,0.000,549.000,3809.750,27566.000,0.000
2024-01-01 16:00:00+01:00,4293.250,3555.750,384.000,3446.500,2064.250,398.000,26.000,1883.000,126.000,1863.250,74.000,171.000,118.500,84.500,0.000,564.250,4230.500,27499.500,0.000
2024-01-01 17:00:00+01:00,4422.000,3691.250,390.750,3719.250,2182.000,398.000,26.500,2981.000,11.500,1961.250,73.750,189.000,127.000,5.750,0.000,560.750,4448.000,28103.500,0.000
2024-01-01 18:00:00+01:00,4463.500,3686.250,404.750,3725.250,2229.750,398.000,26.000,4145.500,9.000,1999.750,83.500,176.750,123.000,5.250,0.000,558.000,4487.000,27138.250,0.000
2024-01-01 19:00:00+01:00,4424.750,3735.000,418.750,3501.500,2220.250,398.000,26.250,2952.750,38.000,1970.250,81.250,156.750,113.750,4.500,0.000,556.500,4588.750,26511.750,0.000
2024-01-01 20:00:00+01:00,4314.250,3740.250,426.250,3336.500,2164.750,397.750,27.000,1117.500,90.250,1918.500,79.750,150.000,110.750,3.250,0.000,559.750,4638.750,25625.500,0.000
2024-01-01 21:00:00+01:00,4227.250,3615.500,425.250,3366.500,2109.000,398.000,27.000,697.000,172.500,1866.750,95.250,150.000,111.500,3.000,0.000,577.250,4654.250,24514.250,0.000
2024-01-01 22:00:00+01:00,4120.250,3639.250,423.750,3236.000,1978.250,398.000,28.250,572.250,857.000,1849.250,134.500,151.000,111.000,2.750,0.000,581.750,4559.750,23112.250,0.000
2024-01-01 23:00:00+01:00,4016.750,3591.750,453.750,3216.500,1853.750,398.000,29.000,343.750,1701.750,1863.750,97.000,151.000,111.500,3.000,0.000,594.500,3722.750,22031.000,0.000
