name,country,zone,fuel,tech,commissioned,capacity_mw,eta,lon,lat
Marcinelle Energie (Carsid),BE,BE,gas,CCGT,,413.0,0.55,4.40645,50.41396
Aalst Syral GT,BE,BE,gas,OCGT,,43.0,0.37,,
Aalst Syral ST,BE,BE,gas,GT+ST,,5.0,0.48,,
AALTER TJ,BE,BE,oil,Oil,,18.0,0.36,,
Amercoeur 1 R TGV,BE,BE,gas,CCGT,,451.0,0.55,4.39518,50.43004
AWIRS 4,BE,BE,gas,GT+ST,,95.0,0.48,5.41886,50.58508
BEERSE TJ,BE,BE,oil,Oil,,32.0,0.36,,
Beveren Ineos Phenolchemie,BE,BE,gas,CCGT,,23.8,0.55,,
BUTGENBACH,BE,BE,,,,1.8,,,
CIERREUX TJ,BE,BE,oil,Oil,,18.0,0.36,,
COO I T,BE,BE,,,,474.0,,5.84414,50.38254
COO II T,BE,BE,,,,690.0,,5.84414,50.38254
DOEL 1,BE,BE,,,,445.0,,4.25889,51.32481
DOEL 2,BE,BE,,,,433.0,,4.25889,51.32481
DOEL 3,BE,BE,,,,1006.0,,4.25889,51.32481
DOEL 4,BE,BE,,,,1039.0,,4.25889,51.32481
DROGENBOS DM 51,BE,BE,oil,Oil,,2.5,0.36,4.30072,50.80244
DROGENBOS DM 52,BE,BE,oil,Oil,,2.5,0.36,4.30072,50.80244
DROGENBOS GT1,BE,BE,gas,OCGT,,150.0,0.37,,
DROGENBOS GT2,BE,BE,gas,OCGT,,150.0,0.37,,
DROGENBOS ST,BE,BE,gas,GT+ST,,160.0,0.48,,
HERDERSBRUG STEG,BE,BE,gas,CCGT,,465.0,0.55,3.21121,51.26307
IXELLES TJ,BE,BE,oil,Oil,,18.0,0.36,,
La Vierre,BE,BE,,,,1.9,,,
Lanaken Sappi,BE,BE,gas,CCGT,,43.0,0.55,,
LANGERBRUGGE STORA ST 1,BE,BE,,,,11.0,,,
LANGERBRUGGE STORA ST 2,BE,BE,,,,44.7,,,
Lillo Degussa GT1,BE,BE,gas,OCGT,,43.0,0.37,,
Lillo Degussa GT2,BE,BE,gas,OCGT,,32.0,0.37,,
Lillo Degussa ST,BE,BE,gas,GT+ST,,10.0,0.48,,
Noordschote TJ,BE,BE,oil,Oil,,18.0,0.36,,
Oorderen Bayer,BE,BE,gas,CCGT,,43.0,0.55,,
Oud-Lillo Monsanto,BE,BE,gas,CCGT,,43.0,0.55,,
RODENHUIZE 4,BE,BE,gas,GT+ST,,268.0,0.48,3.77598,51.13421
SAINT-GHISLAIN STEG,BE,BE,gas,CCGT,,350.0,0.55,3.82521,50.47167
Schaerbeek Siomab ST1,BE,BE,,,,15.0,,,
Schaerbeek Siomab ST2,BE,BE,,,,15.0,,,
Schaerbeek Siomab ST3,BE,BE,,,,15.0,,,
Scheldelaan Exxonmobil,BE,BE,gas,CCGT,,140.0,0.55,,
TIHANGE 1N,BE,BE,,,,481.0,,5.27121,50.53464
TIHANGE 1S,BE,BE,,,,481.0,,5.27121,50.53464
TIHANGE 2,BE,BE,,,,1008.0,,5.27121,50.53464
TIHANGE 3,BE,BE,,,,1038.0,,5.27121,50.53464
Turon TJ,BE,BE,oil,Oil,,18.6,0.36,,
VILVOORDE GT,BE,BE,gas,OCGT,,255.0,0.37,,
Wilmarsdonk Total GT1,BE,BE,gas,OCGT,,43.0,0.37,,
Wilmarsdonk Total GT2,BE,BE,gas,OCGT,,43.0,0.37,,
Wilmarsdonk Total GT3,BE,BE,gas,OCGT,,43.0,0.37,,
Wilrijk Isvag,BE,BE,,,,12.0,,,
Zandvliet Power,BE,BE,gas,CCGT,,386.2,0.55,4.26667,51.36977
Zedelgem TJ,BE,BE,oil,Oil,,18.0,0.36,,
Zeebrugge 2 Fluxys,BE,BE,gas,CCGT,,40.0,0.55,,
Zeebrugge TJ,BE,BE,oil,Oil,,18.0,0.36,,
Zelzate 2 Knippegroen,BE,BE,,,,315.0,,3.80746,51.15861
Zelzate TJ,BE,BE,oil,Oil,,18.0,0.36,3.80815,51.15879
Zwijndrecht Lanxess GT,BE,BE,gas,OCGT,,43.0,0.37,,
Zwijndrecht Lanxess ST,BE,BE,gas,GT+ST,,15.0,0.48,,
Electrawinds biomassa Oostende,BE,BE,,,,18.0,,,
Greenpower Oostende,BE,BE,,,,20.0,,,
Eurosilo,BE,BE,gas,CCGT,,12.9,0.55,,
Incinerateur THUMAIDE (IPALLE),BE,BE,,,,34.0,,,
Intradel Herstal,BE,BE,,,,34.0,,,
IVBO,BE,BE,,,,16.0,,,
PLATE-TAILLE T,BE,BE,,,,144.0,,,
ANGLEUR TG 41,BE,BE,gas,OCGT,,64.0,0.37,5.58267,50.61775
ANGLEUR TG 42,BE,BE,gas,OCGT,,64.0,0.37,5.58267,50.61775
ANGLEUR TG31,BE,BE,gas,CCGT,,25.0,0.55,,
ANGLEUR TG32,BE,BE,gas,CCGT,,25.0,0.55,,
Beveren 2 Indaver,BE,BE,,,,21.0,,,
Beveren 3 Indaver,BE,BE,,,,24.0,,,
Beveren Sleco,BE,BE,,,,41.0,,,
EDF Luminus Izegem WKK,BE,BE,gas,CCGT,,20.0,0.55,,
EDF Luminus Seraing GT1,BE,BE,gas,OCGT,,150.0,0.37,,
EDF Luminus Seraing GT2,BE,BE,gas,OCGT,,150.0,0.37,,
HAM31,BE,BE,gas,OCGT,,58.0,0.37,3.73646,51.05942
HAM32,BE,BE,gas,OCGT,,58.0,0.37,3.73646,51.05942
HU AMPSIN-NEUVILLE,BE,BE,,,,9.9,,5.29636,50.53381
HU ANDENNE,BE,BE,,,,9.0,,5.06975,50.49179
HU FLORIFFOUX,BE,BE,,,,0.8,,4.77389,50.44663
HU GRAND-MALADES,BE,BE,,,,5.0,,4.89928,50.46595
HU IVOZ-RAMET,BE,BE,,,,10.0,,5.46137,50.59349
HU LIXHE,BE,BE,,,,20.0,,5.6878,50.75178
HU MONSIN,BE,BE,,,,19.7,,5.63137,50.65317
Jemeppe-sur-Sambre GT1,BE,BE,gas,OCGT,,48.0,0.37,4.66339,50.44746
Jemeppe-sur-Sambre GT2,BE,BE,gas,OCGT,,48.0,0.37,4.66339,50.44746
Jemeppe-sur-Sambre ST,BE,BE,gas,GT+ST,,10.0,0.48,4.66339,50.44746
RINGVAART STEG,BE,BE,gas,CCGT,,385.0,0.55,3.72567,51.10496
SERAING TV,BE,BE,gas,CCGT,,170.0,0.55,,
Biostoom Oostende,BE,BE,,,,19.4,,,
INESCO WKK,BE,BE,gas,CCGT,,138.0,0.55,4.32481,51.24256
T-power Beringen,BE,BE,gas,CCGT,,422.0,0.55,,
AL-1,NL,NL,gas,CCGT,,62.0,0.55,5.2154,52.38811
AL-2,NL,NL,gas,CCGT,,55.0,0.55,5.2154,52.38811
Amercentrale (A8),NL,NL,hardcoal,Hardcoal,,645.0,0.4,4.84381,51.70838
Amercentrale (A9),NL,NL,hardcoal,Hardcoal,,640.0,0.4,4.84381,51.70838
Amylum,NL,NL,gas,CCGT,,7.0,0.55,4.81361,52.46552
BOZ,NL,NL,gas,CCGT,,33.0,0.55,4.33998,51.50555
Borssele 30,NL,NL,,,,492.0,,3.71871,51.43148
CUIJK,NL,NL,hardcoal,Hardcoal,,25.0,0.4,5.8528,51.75381
Centrale Bergum (CB10),NL,NL,gas,CCGT,,72.0,0.55,6.02959,53.20975
Centrale Bergum (CB20),NL,NL,gas,CCGT,,72.0,0.55,6.02959,53.20975
Centrale Diemen (DM33),NL,NL,gas,CCGT,,249.0,0.55,5.02134,52.33898
Centrale Diemen (DM34),NL,NL,gas,CCGT,,435.0,0.55,5.02134,52.33898
Centrale Galileistraat (FG1),NL,NL,gas,CCGT,,0.0,0.55,4.42608,51.91025
Centrale Gelderland (CG13),NL,NL,hardcoal,Hardcoal,,0.0,0.4,5.83043,51.85607
Centrale Harculo (HC60),NL,NL,gas,CCGT,,0.0,0.55,6.10767,52.46907
Centrale Hemweg (HW-7),NL,NL,gas,CCGT,,585.0,0.55,4.84482,52.40537
Centrale Hemweg (HW-8),NL,NL,hardcoal,Hardcoal,,650.0,0.4,4.84482,52.40537
Centrale Hemweg (HW-9),NL,NL,gas,CCGT,,432.0,0.55,4.84482,52.40537
Centrale IJmond,NL,NL,,,,144.0,,4.63473,52.47155
Centrale Lage Weide,NL,NL,gas,CCGT,,247.0,0.55,5.07137,52.10292
Centrale Maasvlakte (MV1),NL,NL,hardcoal,Hardcoal,,0.0,0.4,4.02152,51.96262
Centrale Maasvlakte (MV2),NL,NL,hardcoal,Hardcoal,,0.0,0.4,4.02152,51.96262
