
name,country,zone,fuel,tech,commissioned,capacity_mw,eta,scale,scaled_capacity_mw,fuel_std,tech_std
Marcinelle Energie (Carsid),BE,BE,gas,CCGT,,413.0,0.55,1.4794734137741634,611.0225198887294,gas,ccgt
Aalst Syral GT,BE,BE,gas,OCGT,,43.0,0.37,1.4794734137741634,63.61735679228903,gas,ocgt
Aalst Syral ST,BE,BE,gas,GT+ST,,5.0,0.48,1.4794734137741634,7.3973670688708175,gas,ccgt
AALTER TJ,BE,BE,oil,Oil,,18.0,0.36,3.248898678414097,58.48017621145375,oil,oil_steam_or_gt
Amercoeur 1 R TGV,BE,BE,gas,CCGT,,451.0,0.55,1.4794734137741634,667.2425096121477,gas,ccgt
AWIRS 4,BE,BE,gas,GT+ST,,95.0,0.48,1.4794734137741634,140.54997430854553,gas,ccgt
BEERSE TJ,BE,BE,oil,Oil,,32.0,0.36,3.248898678414097,103.9647577092511,oil,oil_steam_or_gt
Beveren Ineos Phenolchemie,BE,BE,gas,CCGT,,23.8,0.55,1.4794734137741634,35.21146724782509,gas,ccgt
BUTGENBACH,BE,BE,,,,1.8,,,1.8,hydro,hydro_unknown
CIERREUX TJ,BE,BE,oil,Oil,,18.0,0.36,3.248898678414097,58.48017621145375,oil,oil_steam_or_gt
COO I T,BE,BE,,,,474.0,,,474.0,hydro,hydro_unknown
COO II T,BE,BE,,,,690.0,,,690.0,hydro,hydro_unknown
DOEL 1,BE,BE,,,,445.0,,,445.0,nuclear,steam_turbine
DOEL 2,BE,BE,,,,433.0,,,433.0,nuclear,steam_turbine
DOEL 3,BE,BE,,,,1006.0,,,1006.0,nuclear,steam_turbine
DOEL 4,BE,BE,,,,1039.0,,,1039.0,nuclear,steam_turbine
DROGENBOS DM 51,BE,BE,oil,Oil,,2.5,0.36,3.248898678414097,8.122246696035242,oil,oil_steam_or_gt
DROGENBOS DM 52,BE,BE,oil,Oil,,2.5,0.36,3.248898678414097,8.122246696035242,oil,oil_steam_or_gt
DROGENBOS GT1,BE,BE,gas,OCGT,,150.0,0.37,1.4794734137741634,221.9210120661245,gas,ocgt
DROGENBOS GT2,BE,BE,gas,OCGT,,150.0,0.37,1.4794734137741634,221.9210120661245,gas,ocgt
DROGENBOS ST,BE,BE,gas,GT+ST,,160.0,0.48,1.4794734137741634,236.71574620386616,gas,ccgt
HERDERSBRUG STEG,BE,BE,gas,CCGT,,465.0,0.55,1.4794734137741634,687.955137404986,gas,ccgt
IXELLES TJ,BE,BE,oil,Oil,,18.0,0.36,3.248898678414097,58.48017621145375,oil,oil_steam_or_gt
La Vierre,BE,BE,,,,1.9,,,1.9,hydro,hydro_unknown
Lanaken Sappi,BE,BE,gas,CCGT,,43.0,0.55,1.4794734137741634,63.61735679228903,gas,ccgt
LANGERBRUGGE STORA ST 1,BE,BE,,,,11.0,,,11.0,waste,steam_turbine
LANGERBRUGGE STORA ST 2,BE,BE,,,,44.7,,,44.7,waste,steam_turbine
Lillo Degussa GT1,BE,BE,gas,OCGT,,43.0,0.37,1.4794734137741634,63.61735679228903,gas,ocgt
Lillo Degussa GT2,BE,BE,gas,OCGT,,32.0,0.37,1.4794734137741634,47.34314924077323,gas,ocgt
Lillo Degussa ST,BE,BE,gas,GT+ST,,10.0,0.48,1.4794734137741634,14.794734137741637,gas,ccgt
Noordschote TJ,BE,BE,oil,Oil,,18.0,0.36,3.248898678414097,58.48017621145375,oil,oil_steam_or_gt
Oorderen Bayer,BE,BE,gas,CCGT,,43.0,0.55,1.4794734137741634,63.61735679228903,gas,ccgt
Oud-Lillo Monsanto,BE,BE,gas,CCGT,,43.0,0.55,1.4794734137741634,63.61735679228903,gas,ccgt
RODENHUIZE 4,BE,BE,gas,GT+ST,,268.0,0.48,1.4794734137741634,396.4988748914758,gas,ccgt
SAINT-GHISLAIN STEG,BE,BE,gas,CCGT,,350.0,0.55,1.4794734137741634,517.8156948209572,gas,ccgt
Schaerbeek Siomab ST1,BE,BE,,,,15.0,,,15.0,waste,steam_turbine
Schaerbeek Siomab ST2,BE,BE,,,,15.0,,,15.0,waste,steam_turbine
Schaerbeek Siomab ST3,BE,BE,,,,15.0,,,15.0,waste,steam_turbine
Scheldelaan Exxonmobil,BE,BE,gas,CCGT,,140.0,0.55,1.4794734137741634,207.12627792838288,gas,ccgt
TIHANGE 1N,BE,BE,,,,481.0,,,481.0,nuclear,steam_turbine
TIHANGE 1S,BE,BE,,,,481.0,,,481.0,nuclear,steam_turbine
TIHANGE 2,BE,BE,,,,1008.0,,,1008.0,nuclear,steam_turbine
TIHANGE 3,BE,BE,,,,1038.0,,,1038.0,nuclear,steam_turbine
Turon TJ,BE,BE,oil,Oil,,18.6,0.36,3.248898678414097,60.429515418502206,oil,oil_steam_or_gt
VILVOORDE GT,BE,BE,gas,OCGT,,255.0,0.37,1.4794734137741634,377.2657205124117,gas,ocgt
