,Biomass,Biomass,Fossil Gas,Fossil Gas,Fossil Hard coal,Fossil Hard coal,Fossil Oil,Fossil Oil,Geothermal,Geothermal,Hydro Pumped Storage,Hydro Pumped Storage,Hydro Run-of-river and poundage,Hydro Run-of-river and poundage,Hydro Water Reservoir,Hydro Water Reservoir,Other,Other,Other renewable,Other renewable,Solar,Solar,Waste,Waste,Wind Onshore,Wind Onshore
,Actual Aggregated,Actual Consumption,Actual Aggregated,Actual Consumption,Actual Aggregated,Actual Consumption,Actual Aggregated,Actual Consumption,Actual Aggregated,Actual Consumption,Actual Aggregated,Actual Consumption,Actual Aggregated,Actual Consumption,Actual Aggregated,Actual Consumption,Actual Aggregated,Actual Consumption,Actual Aggregated,Actual Consumption,Actual Aggregated,Actual Consumption,Actual Aggregated,Actual Consumption,Actual Aggregated,Actual Consumption
timestamp_cec,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-01-01 00:00:00+01:00,144.000,0.000,33.250,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1397.250,3990.250,0.000,175.250,0.000,22.000,0.000,0.000,0.000,0.000,0.000,100.000,0.000,797.000,0.000
2024-01-01 01:00:00+01:00,143.000,0.000,33.500,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1603.250,4085.250,0.000,124.000,0.000,22.000,0.000,0.000,0.000,0.000,0.000,100.000,0.000,983.000,0.000
2024-01-01 02:00:00+01:00,140.000,0.000,32.750,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1761.750,3999.000,0.000,108.250,0.000,22.000,0.000,0.000,0.000,0.000,0.000,100.000,0.000,1559.000,0.000
2024-01-01 03:00:00+01:00,140.000,0.000,31.750,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1881.000,3836.250,0.000,99.500,0.000,22.000,0.000,0.000,0.000,0.000,0.000,100.000,0.000,2308.000,0.000
2024-01-01 04:00:00+01:00,140.000,0.000,32.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1917.750,3831.500,0.000,123.250,0.000,22.000,0.000,0.000,0.000,0.000,0.000,100.000,0.000,2341.000,0.000
2024-01-01 05:00:00+01:00,140.000,0.000,34.250,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1556.250,3976.500,0.000,195.250,0.000,22.000,0.000,0.000,0.000,0.000,0.000,100.000,0.000,1535.000,0.000
2024-01-01 06:00:00+01:00,140.000,0.000,35.500,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1242.250,3967.000,0.000,183.750,0.000,22.000,0.000,0.000,0.000,0.000,0.000,100.000,0.000,1016.000,0.000
2024-01-01 07:00:00+01:00,140.000,0.000,34.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1442.250,3971.750,0.000,167.250,0.000,22.000,0.000,0.000,0.000,9.000,0.000,100.000,0.000,1398.000,0.000
2024-01-01 08:00:00+01:00,140.000,0.000,34.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1552.500,4054.500,0.000,174.250,0.000,22.000,0.000,0.000,0.000,85.000,0.000,100.000,0.000,1409.000,0.000
2024-01-01 09:00:00+01:00,140.000,0.000,32.750,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1277.250,4218.750,0.000,133.250,0.000,22.000,0.000,0.000,0.000,221.000,0.000,100.000,0.000,1542.000,0.000
2024-01-01 10:00:00+01:00,136.000,0.000,33.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1593.750,4071.750,0.000,166.000,0.000,22.000,0.000,0.000,0.000,474.000,0.000,100.000,0.000,1611.000,0.000
