,Biomass,Fossil Gas,Fossil Oil,Hydro Pumped Storage,Hydro Pumped Storage,Hydro Run-of-river and poundage,Nuclear,Other,Solar,Waste,Wind Offshore,Wind Offshore,Wind Onshore
,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Consumption,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Consumption,Actual Aggregated
timestamp_cec,,,,,,,,,,,,,
2024-01-01 00:00:00+01:00,74.000,627.000,0.000,14.000,5.000,46.000,3949.000,552.000,0.000,249.000,2091.000,,2191.000
2024-01-01 01:00:00+01:00,74.000,652.000,0.000,,266.000,46.000,3951.000,564.000,0.000,250.000,2092.000,,2140.000
2024-01-01 02:00:00+01:00,73.000,556.000,0.000,,405.000,47.000,3948.000,600.000,0.000,250.000,2100.000,,2139.000
2024-01-01 03:00:00+01:00,75.000,571.000,0.000,,263.000,47.000,3949.000,595.000,0.000,249.000,2095.000,,2102.000
2024-01-01 04:00:00+01:00,74.000,601.000,0.000,,679.000,47.000,3952.000,581.000,0.000,246.000,2096.000,,2112.000
2024-01-01 05:00:00+01:00,73.000,622.000,0.000,,749.000,47.000,3953.000,566.000,0.000,245.000,2098.000,,2077.000
2024-01-01 06:00:00+01:00,71.000,671.000,0.000,,179.000,47.000,3952.000,585.000,0.000,247.000,2098.000,,2082.000
2024-01-01 07:00:00+01:00,74.000,689.000,0.000,22.000,,47.000,3953.000,623.000,0.000,243.000,2100.000,,2073.000
2024-01-01 08:00:00+01:00,73.000,682.000,0.000,5.000,8.000,47.000,3954.000,660.000,0.000,250.000,2079.000,,2001.000
2024-01-01 09:00:00+01:00,75.000,621.000,0.000,,12.000,47.000,3955.000,687.000,95.000,246.000,2096.000,,1943.000
2024-01-01 10:00:00+01:00,74.000,584.000,0.000,,14.000,47.000,3955.000,709.000,560.000,243.000,2095.000,,1818.000
2024-01-01 11:00:00+01:00,75.000,611.000,0.000,,596.000,47.000,3954.000,730.000,1113.000,245.000,2069.000,,1749.000
2024-01-01 12:00:00+01:00,75.000,610.000,0.000,,835.000,47.000,3954.000,745.000,1109.000,244.000,2094.000,,1753.000
2024-01-01 13:00:00+01:00,73.000,619.000,0.000,,352.000,47.000,3954.000,743.000,895.000,245.000,2094.000,,1716.000
2024-01-01 14:00:00+01:00,75.000,624.000,0.000,,343.000,47.000,3954.000,742.000,667.000,242.000,2052.000,,1611.000
2024-01-01 15:00:00+01:00,73.000,634.000,0.000,27.000,50.000,47.000,3950.000,756.000,271.000,240.000,1689.000,,1496.000
2024-01-01 16:00:00+01:00,74.000,613.000,0.000,163.000,0.000,47.000,3952.000,717.000,17.000,243.000,1237.000,,1381.000
2024-01-01 17:00:00+01:00,71.000,777.000,0.000,813.000,,47.000,3955.000,679.000,0.000,248.000,1297.000,,1165.000
2024-01-01 18:00:00+01:00,69.000,622.000,0.000,750.000,,47.000,3955.000,556.000,0.000,255.000,1909.000,,1140.000
2024-01-01 19:00:00+01:00,74.000,652.000,0.000,849.000,,47.000,3956.000,534.000,0.000,255.000,1739.000,,1085.000
2024-01-01 20:00:00+01:00,75.000,1015.000,45.000,895.000,,47.000,3956.000,532.000,0.000,254.000,1372.000,,1235.000
2024-01-01 21:00:00+01:00,74.000,710.000,0.000,708.000,,47.000,3955.000,530.000,0.000,258.000,1992.000,,1444.000
2024-01-01 22:00:00+01:00,72.000,625.000,0.000,50.000,27.000,48.000,3955.000,529.000,0.000,259.000,2004.000,,1702.000
2024-01-01 23:00:00+01:00,69.000,617.000,0.000,7.000,37.000,48.000,3955.000,572.000,0.000,257.000,2040.000,,1899.000
2024-01-02 00:00:00+01:00,70.000,616.000,0.000,,411.000,48.000,3952.000,582.000,0.000,259.000,2037.000,,1949.000
2024-01-02 01:00:00+01:00,73.000,620.000,0.000,,854.000,48.000,3952.000,583.000,0.000,255.000,1927.000,,1979.000
2024-01-02 02:00:00+01:00,72.000,619.000,0.000,,986.000,48.000,3953.000,608.000,0.000,261.000,1894.000,,1899.000
2024-01-02 03:00:00+01:00,70.000,600.000,0.000,,804.000,49.000,3951.000,624.000,0.000,264.000,1964.000,,2054.000
2024-01-02 04:00:00+01:00,70.000,557.000,0.000,,787.000,48.000,3949.000,648.000,0.000,266.000,1972.000,,2145.000
