,Biomass,Fossil Brown coal/Lignite,Fossil Coal-derived gas,Fossil Gas,Fossil Hard coal,Fossil Oil,Hydro Pumped Storage,Hydro Pumped Storage,Hydro Run-of-river and poundage,Hydro Water Reservoir,Nuclear,Other,Other renewable,Solar,Waste,Wind Onshore
,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Consumption,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated
timestamp_cec,,,,,,,,,,,,,,,,
2024-01-01 00:00:00+01:00,258.000,2022.000,16.000,238.000,0.000,1.000,0.000,40.000,79.000,451.000,3707.000,53.000,273.000,0.000,23.000,83.000
2024-01-01 01:00:00+01:00,249.000,1804.000,16.000,238.000,0.000,1.000,0.000,94.000,79.000,451.000,3730.000,53.000,274.000,0.000,23.000,85.000
2024-01-01 02:00:00+01:00,249.000,1585.000,16.000,238.000,0.000,1.000,0.000,336.000,79.000,452.000,3755.000,53.000,274.000,0.000,22.000,86.000
2024-01-01 03:00:00+01:00,250.000,1504.000,16.000,239.000,0.000,1.000,0.000,956.000,80.000,412.000,3819.000,53.000,273.000,0.000,23.000,85.000
2024-01-01 04:00:00+01:00,245.000,1484.000,16.000,240.000,0.000,1.000,0.000,1096.000,80.000,407.000,3823.000,54.000,271.000,0.000,23.000,86.000
2024-01-01 05:00:00+01:00,250.000,1489.000,16.000,244.000,0.000,1.000,0.000,1068.000,80.000,411.000,3819.000,57.000,272.000,0.000,23.000,88.000
2024-01-01 06:00:00+01:00,250.000,1483.000,16.000,251.000,0.000,0.000,0.000,561.000,79.000,440.000,3828.000,70.000,280.000,0.000,22.000,97.000
2024-01-01 07:00:00+01:00,248.000,1460.000,16.000,251.000,0.000,0.000,0.000,473.000,79.000,510.000,3851.000,73.000,281.000,13.000,23.000,95.000
2024-01-01 08:00:00+01:00,249.000,1470.000,16.000,260.000,0.000,0.000,0.000,145.000,79.000,516.000,3869.000,78.000,283.000,29.000,22.000,98.000
2024-01-01 09:00:00+01:00,253.000,1501.000,16.000,260.000,0.000,0.000,0.000,9.000,80.000,530.000,3873.000,79.000,284.000,132.000,22.000,112.000
