,Biomass,Fossil Gas,Fossil Hard coal,Fossil Oil,Hydro Pumped Storage,Hydro Pumped Storage,Hydro Run-of-river and poundage,Hydro Water Reservoir,Nuclear,Solar,Waste,Wind Offshore,Wind Onshore,Fossil Hard coal,Wind Offshore
,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Consumption,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Consumption,Actual Consumption
timestamp_cec,,,,,,,,,,,,,,,
2024-01-01 00:00:00+01:00,343.000,1810.000,15.000,162.000,,2033.000,4822.000,1481.000,40387.000,225.000,87.000,578.000,14399.000,,
2024-01-01 01:00:00+01:00,343.000,1840.000,16.000,191.000,,2067.000,4767.000,1282.000,37528.000,0.000,83.000,577.000,14157.000,,
2024-01-01 02:00:00+01:00,343.000,1787.000,16.000,190.000,,1685.000,4918.000,1005.000,37320.000,0.000,87.000,578.000,13789.000,,
2024-01-01 03:00:00+01:00,343.000,1778.000,15.000,190.000,,1989.000,4876.000,936.000,36954.000,0.000,87.000,577.000,12816.000,,
2024-01-01 04:00:00+01:00,343.000,1765.000,15.000,191.000,,1967.000,4863.000,798.000,36906.000,0.000,88.000,576.000,8031.000,,
2024-01-01 05:00:00+01:00,343.000,1779.000,15.000,191.000,,2687.000,4869.000,731.000,36344.000,0.000,93.000,570.000,7678.000,,
2024-01-01 06:00:00+01:00,342.000,1766.000,15.000,190.000,,2764.000,4797.000,734.000,36148.000,0.000,91.000,567.000,7520.000,,
2024-01-01 07:00:00+01:00,343.000,1769.000,15.000,190.000,,2416.000,4655.000,760.000,36740.000,0.000,93.000,556.000,7142.000,,
2024-01-01 08:00:00+01:00,343.000,1881.000,15.000,190.000,,2378.000,4682.000,1058.000,36510.000,246.000,93.000,565.000,6942.000,,
2024-01-01 09:00:00+01:00,344.000,1877.000,16.000,190.000,,2692.000,4811.000,750.000,35080.000,318.000,94.000,542.000,10361.000,,
2024-01-01 10:00:00+01:00,343.000,1894.000,16.000,190.000,,2615.000,4859.000,766.000,35665.000,933.000,94.000,410.000,10525.000,,
2024-01-01 11:00:00+01:00,343.000,1896.000,16.000,190.000,,2639.000,4828.000,848.000,36702.000,2454.000,96.000,465.000,9949.000,,
2024-01-01 12:00:00+01:00,343.000,1894.000,16.000,191.000,,2189.000,4812.000,854.000,36729.000,4021.000,95.000,545.000,9505.000,,
2024-01-01 13:00:00+01:00,343.000,1914.000,16.000,191.000,,2116.000,4755.000,850.000,37065.000,4883.000,93.000,558.000,9492.000,,
2024-01-01 14:00:00+01:00,342.000,1898.000,16.000,191.000,,2051.000,4882.000,930.000,36874.000,4926.000,93.000,550.000,9209.000,,
2024-01-01 15:00:00+01:00,342.000,1867.000,16.000,191.000,,712.000,5009.000,1169.000,37189.000,4188.000,92.000,551.000,8667.000,,
2024-01-01 16:00:00+01:00,343.000,1870.000,16.000,191.000,36.000,,5224.000,1731.000,38429.000,2703.000,93.000,571.000,8035.000,,
2024-01-01 17:00:00+01:00,343.000,1870.000,16.000,191.000,1176.000,,5346.000,2611.000,41068.000,971.000,95.000,574.000,8125.000,,
2024-01-01 18:00:00+01:00,343.000,1884.000,16.000,190.000,2073.000,,5458.000,2559.000,43655.000,257.000,96.000,569.000,9316.000,,
2024-01-01 19:00:00+01:00,343.000,1888.000,15.000,191.000,2597.000,,5719.000,2581.000,44280.000,0.000,96.000,570.000,11235.000,,
2024-01-01 20:00:00+01:00,342.000,1884.000,16.000,191.000,2710.000,,5724.000,2314.000,44019.000,0.000,94.000,568.000,12970.000,,
2024-01-01 21:00:00+01:00,342.000,1910.000,16.000,190.000,2222.000,,5452.000,2008.000,43293.000,0.000,98.000,568.000,14329.000,,
2024-01-01 22:00:00+01:00,342.000,1900.000,16.000,190.000,811.000,,5243.000,1627.000,42694.000,0.000,97.000,566.000,15231.000,,
2024-01-01 23:00:00+01:00,343.000,1885.000,15.000,190.000,892.000,,5217.000,1692.000,42717.000,0.000,93.000,565.000,15469.000,,
2024-01-02 00:00:00+01:00,341.000,1916.000,15.000,190.000,,107.000,5169.000,1550.000,41802.000,0.000,89.000,568.000,15712.000,,
2024-01-02 01:00:00+01:00,342.000,1999.000,15.000,190.000,,1559.000,4990.000,1671.000,41061.000,0.000,92.000,568.000,15931.000,,
2024-01-02 02:00:00+01:00,343.000,1964.000,15.000,191.000,,2928.000,5008.000,1723.000,41321.000,0.000,91.000,568.000,16148.000,,
2024-01-02 03:00:00+01:00,343.000,1977.000,15.000,190.000,,3023.000,4923.000,988.000,39933.000,0.000,94.000,568.000,16062.000,,
