,Biomass,Fossil Brown coal/Lignite,Fossil Gas,Fossil Hard coal,Fossil Oil,Fossil Oil,Geothermal,Hydro Run-of-river and poundage,Hydro Water Reservoir,Hydro Water Reservoir,Nuclear,Other,Other renewable,Solar,Waste,Wind Onshore
,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Consumption,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Consumption,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated
timestamp_cec,,,,,,,,,,,,,,,,
2024-01-01 00:00:00+01:00,79.000,230.000,350.500,26.000,,0.000,1.000,7.000,0.000,,1877.500,56.500,4.750,0.000,18.750,82.500
2024-01-01 01:00:00+01:00,80.250,224.250,359.750,24.750,,0.000,1.000,7.000,0.000,,1681.750,56.750,5.000,0.000,18.000,55.750
2024-01-01 02:00:00+01:00,80.000,221.250,371.000,26.750,,0.000,1.000,7.000,0.000,,1643.750,56.250,5.000,0.000,19.750,58.250
2024-01-01 03:00:00+01:00,80.000,220.750,398.750,26.500,,0.000,1.000,7.000,0.000,,1443.250,56.250,5.000,0.000,17.750,90.500
2024-01-01 04:00:00+01:00,79.500,221.250,448.000,26.250,,0.000,1.000,7.000,0.000,,1392.000,55.500,5.000,0.000,19.750,122.000
2024-01-01 05:00:00+01:00,80.750,221.500,461.750,26.000,,0.000,1.000,7.000,0.000,,1404.750,55.500,5.000,0.000,19.250,117.250
2024-01-01 06:00:00+01:00,82.000,220.250,449.750,25.250,,0.000,1.000,7.000,0.000,,1608.500,56.250,5.000,0.000,18.750,68.500
2024-01-01 07:00:00+01:00,85.000,221.500,430.000,25.250,,0.000,1.000,7.000,0.000,,1632.000,57.000,5.000,1.000,18.750,80.500
2024-01-01 08:00:00+01:00,84.500,226.000,377.750,25.000,,0.000,1.000,7.000,0.000,,1755.000,59.250,5.000,49.750,17.750,114.000
2024-01-01 09:00:00+01:00,85.500,224.000,406.750,24.750,,0.000,1.000,7.000,0.000,,1857.750,67.500,6.000,197.750,18.500,76.750
2024-01-01 10:00:00+01:00,85.250,220.500,262.750,24.750,,0.000,1.000,6.500,0.000,,1868.250,71.500,5.250,462.250,16.250,71.250
2024-01-01 11:00:00+01:00,85.500,213.500,197.000,24.750,0.000,0.000,1.000,6.750,0.000,,1867.000,77.250,4.250,707.250,16.250,68.750
2024-01-01 12:00:00+01:00,82.500,206.500,310.750,24.500,,0.000,1.000,7.000,0.000,,1844.500,80.750,4.250,886.250,17.250,95.750
2024-01-01 13:00:00+01:00,86.500,220.500,416.250,24.750,,0.000,1.000,7.000,0.000,,1873.250,80.250,5.000,941.250,18.000,116.250
2024-01-01 14:00:00+01:00,86.750,221.250,459.750,24.750,,0.000,1.000,7.000,0.000,,1874.250,71.000,5.250,522.750,17.000,135.000
2024-01-01 15:00:00+01:00,90.750,221.000,512.500,27.750,,0.000,1.000,7.000,0.000,,1873.750,61.750,5.000,101.750,18.000,147.500
2024-01-01 16:00:00+01:00,99.000,234.250,496.750,30.750,,0.000,1.000,7.000,0.000,,1882.250,57.250,5.000,0.500,18.000,134.000
2024-01-01 17:00:00+01:00,98.500,231.000,508.500,29.250,,0.000,1.000,7.000,0.000,,1880.500,56.000,5.000,0.000,18.250,99.750
2024-01-01 18:00:00+01:00,99.250,228.250,497.000,30.500,0.000,0.000,1.000,7.000,0.000,,1879.500,56.250,5.000,0.000,17.000,80.250
2024-01-01 19:00:00+01:00,99.500,228.250,495.250,27.250,0.000,,1.000,7.000,0.000,,1880.750,56.000,4.750,0.000,18.500,111.500
2024-01-01 20:00:00+01:00,99.500,221.500,477.250,24.500,0.000,,1.000,7.000,0.000,,1878.500,56.250,4.000,0.000,18.250,121.250
2024-01-01 21:00:00+01:00,100.250,235.750,475.000,25.750,0.000,,1.000,7.000,0.000,,1879.000,56.250,4.000,0.000,17.500,105.750
2024-01-01 22:00:00+01:00,101.250,231.250,486.750,25.000,0.000,,1.000,7.000,0.000,,1879.500,55.750,4.000,0.000,17.750,88.750
2024-01-01 23:00:00+01:00,101.250,235.750,485.500,25.500,0.000,,1.000,7.000,0.000,,1881.000,55.250,4.250,0.000,18.000,129.500
2024-01-02 00:00:00+01:00,100.750,222.000,399.000,25.000,0.000,0.000,1.000,7.000,0.000,,1883.000,56.250,5.000,0.000,18.000,136.500
2024-01-02 01:00:00+01:00,101.250,222.250,420.500,25.250,0.000,,1.000,7.000,0.000,,1883.500,57.000,5.000,0.000,18.750,103.250
2024-01-02 02:00:00+01:00,98.000,221.250,455.500,25.000,0.000,,1.000,7.000,0.000,,1882.000,55.250,5.000,0.000,17.750,71.500
2024-01-02 03:00:00+01:00,97.000,222.000,463.500,25.750,0.000,,1.000,7.000,0.000,,1882.250,56.250,5.000,0.000,18.000,55.250
2024-01-02 04:00:00+01:00,96.000,222.000,461.750,25.000,0.000,,1.000,7.000,0.000,,1881.000,55.250,5.000,0.000,18.500,45.500
2024-01-02 05:00:00+01:00,97.750,222.250,472.750,25.250,0.000,,1.000,7.000,0.000,,1880.500,56.000,5.000,0.000,18.000,43.250
2024-01-02 06:00:00+01:00,103.000,234.500,490.250,24.750,0.000,,1.000,7.000,0.000,,1880.750,57.250,5.000,0.000,16.750,71.000
2024-01-02 07:00:00+01:00,103.250,259.250,458.250,26.000,0.000,0.000,1.000,7.000,0.000,,1883.250,57.500,4.500,32.250,17.250,74.500
2024-01-02 08:00:00+01:00,107.750,270.000,483.000,26.000,0.000,,1.000,6.750,0.000,,1879.250,59.250,4.000,381.250,17.750,70.000
2024-01-02 09:00:00+01:00,110.750,283.000,449.250,26.500,,0.000,1.000,7.000,0.000,,1873.500,66.750,4.000,936.500,17.000,104.000
2024-01-02 10:00:00+01:00,111.750,251.250,340.500,26.000,0.000,0.000,1.000,7.000,0.000,,1871.250,72.000,4.000,1373.750,16.750,118.500
2024-01-02 11:00:00+01:00,113.500,259.000,480.000,26.750,0.000,,1.000,7.250,0.000,,1872.250,77.250,4.000,1265.750,17.000,103.000
2024-01-02 12:00:00+01:00,112.750,262.250,502.250,21.500,0.000,,1.000,8.000,0.000,,1872.750,80.000,4.250,1085.750,17.000,81.750
2024-01-02 13:00:00+01:00,112.000,258.500,498.500,21.000,0.000,0.000,1.000,7.750,0.000,,1873.500,79.250,4.000,744.000,17.000,106.750
2024-01-02 14:00:00+01:00,111.250,263.750,471.250,22.250,0.000,,1.000,7.000,0.000,,1874.250,71.250,4.000,368.000,14.500,148.250
2024-01-02 15:00:00+01:00,111.750,268.250,488.750,30.000,0.000,,1.000,7.000,0.000,,1876.500,61.250,4.000,87.500,16.750,137.750
2024-01-02 16:00:00+01:00,108.250,296.000,507.000,32.000,0.000,,1.000,7.250,0.000,,1880.250,56.500,4.000,0.500,17.750,106.250
2024-01-02 17:00:00+01:00,109.750,337.500,504.000,32.250,0.000,,1.000,8.000,0.000,,1879.500,56.000,4.000,0.000,16.250,83.500
2024-01-02 18:00:00+01:00,110.750,330.750,475.000,32.000,0.000,,1.000,8.000,0.000,,1875.500,56.250,4.000,0.000,18.250,77.750
2024-01-02 19:00:00+01:00,111.000,293.000,456.500,31.500,0.000,0.000,1.000,7.250,0.000,,1874.500,56.000,4.000,0.000,18.000,172.500
2024-01-02 20:00:00+01:00,109.500,265.000,465.750,27.500,0.000,,1.000,7.000,0.000,,1873.250,56.250,4.000,0.000,14.250,198.250
2024-01-02 21:00:00+01:00,102.500,267.750,464.250,25.500,0.000,0.000,1.000,7.000,0.000,,1871.750,56.500,4.000,0.000,14.250,164.000
2024-01-02 22:00:00+01:00,106.250,256.500,471.250,25.500,0.000,,1.000,7.000,0.000,,1873.000,55.750,4.250,0.000,14.250,135.250
2024-01-02 23:00:00+01:00,107.000,248.500,472.250,25.750,0.000,,1.000,7.000,0.000,,1872.250,55.500,4.000,0.000,14.750,112.000
2024-01-03 00:00:00+01:00,107.500,242.500,479.500,26.000,0.000,,1.000,7.000,0.000,,1874.750,57.750,4.000,0.000,14.000,112.000
2024-01-03 01:00:00+01:00,108.000,245.500,424.250,25.500,0.000,,1.000,7.000,0.000,,1874.750,57.750,4.000,0.000,14.000,104.250
2024-01-03 02:00:00+01:00,107.250,244.000,498.500,26.500,0.000,,1.000,7.000,0.000,,1873.500,57.000,4.000,0.000,13.250,126.750
2024-01-03 03:00:00+01:00,103.750,243.500,451.250,26.750,0.000,,1.000,7.000,0.000,,1872.750,57.000,4.000,0.000,12.750,176.750
2024-01-03 04:00:00+01:00,103.500,245.250,408.250,26.500,0.000,,1.000,7.000,0.000,,1872.750,56.000,4.000,0.000,12.500,208.750
2024-01-03 05:00:00+01:00,105.000,239.500,415.250,25.750,0.000,,1.000,7.500,0.000,,1871.500,57.500,4.000,0.000,13.750,209.500
2024-01-03 06:00:00+01:00,108.250,231.750,533.250,25.750,0.000,,1.000,7.750,0.000,,1871.250,58.250,4.000,0.000,13.750,179.500
2024-01-03 07:00:00+01:00,109.750,241.500,642.250,26.500,0.000,0.000,1.000,7.000,0.000,,1871.500,58.500,4.000,3.750,13.000,183.750
2024-01-03 08:00:00+01:00,111.500,237.250,647.500,26.500,0.000,0.000,1.000,7.000,0.000,,1874.500,60.750,4.250,123.500,13.750,168.000
2024-01-03 09:00:00+01:00,111.250,247.750,638.250,26.000,,0.000,1.000,6.250,0.000,,1873.750,68.750,4.500,492.750,13.000,164.500
2024-01-03 10:00:00+01:00,110.750,245.000,506.750,26.750,0.000,0.000,1.000,7.500,0.000,,1874.750,72.500,5.000,885.250,14.000,121.000
2024-01-03 11:00:00+01:00,111.500,221.000,623.250,26.250,0.000,,1.000,7.500,0.000,,1872.500,78.250,5.000,1052.000,14.250,88.750
2024-01-03 12:00:00+01:00,110.750,222.750,645.250,26.000,0.000,,1.000,7.500,0.000,,1874.000,81.000,4.750,1038.750,13.750,114.000
2024-01-03 13:00:00+01:00,111.750,222.750,559.500,26.500,0.000,,1.000,7.500,0.000,,1874.750,79.750,4.000,898.750,12.750,79.750
2024-01-03 14:00:00+01:00,108.000,219.500,585.000,25.500,0.000,,1.000,8.000,0.000,,1876.500,72.750,4.000,419.750,14.500,80.500
2024-01-03 15:00:00+01:00,107.250,223.500,629.000,29.500,0.000,,1.000,8.000,0.000,,1875.250,62.250,4.000,130.750,13.500,71.000
2024-01-03 16:00:00+01:00,109.000,224.000,600.000,31.250,0.000,,1.000,7.750,0.000,,1874.500,57.500,4.000,2.250,16.500,96.750
2024-01-03 17:00:00+01:00,109.000,237.500,632.250,30.750,0.000,,1.000,7.000,0.000,,1873.750,57.500,4.000,0.000,17.000,75.500
2024-01-03 18:00:00+01:00,109.250,235.250,648.500,32.000,0.000,,1.000,7.000,0.000,,1873.500,57.000,4.000,0.000,18.500,77.500
2024-01-03 19:00:00+01:00,108.750,221.000,647.000,30.750,0.000,,1.000,7.000,0.000,,1872.250,56.750,4.000,0.000,18.250,119.750
2024-01-03 20:00:00+01:00,108.500,216.750,653.750,24.750,0.000,0.000,1.000,7.000,0.000,,1871.500,57.250,4.750,0.000,18.250,146.000
2024-01-03 21:00:00+01:00,108.750,212.500,525.750,25.000,0.000,0.000,1.000,7.000,0.000,,1870.500,57.250,5.000,0.000,17.750,130.500
2024-01-03 22:00:00+01:00,108.000,209.250,445.750,24.500,,0.000,1.000,7.000,0.000,,1871.000,56.750,4.000,0.000,16.750,115.250
2024-01-03 23:00:00+01:00,107.250,216.000,398.000,25.000,0.000,,1.000,7.000,0.000,,1872.750,56.000,4.000,0.000,19.000,128.750
2024-01-04 00:00:00+01:00,108.500,228.000,487.500,24.500,0.000,,1.000,7.250,0.000,,1878.500,58.500,4.000,0.000,16.750,116.500
2024-01-04 01:00:00+01:00,106.000,222.250,498.000,27.250,0.000,,1.000,7.250,0.000,,1880.250,58.250,4.000,0.000,19.250,73.000
2024-01-04 02:00:00+01:00,105.000,225.750,440.000,25.750,0.000,0.000,1.000,7.000,0.000,,1879.500,57.250,4.000,0.000,18.750,34.750
2024-01-04 03:00:00+01:00,104.000,216.500,400.000,27.500,0.000,,1.000,7.000,0.000,,1879.750,58.500,4.000,0.000,20.000,53.250
2024-01-04 04:00:00+01:00,104.750,227.000,502.000,27.000,0.000,,1.000,7.000,0.000,,1880.250,58.000,4.000,0.000,18.750,102.250
2024-01-04 05:00:00+01:00,108.500,233.500,581.000,27.000,0.000,,1.000,7.000,0.000,,1878.750,57.750,4.000,0.000,20.250,74.750
2024-01-04 06:00:00+01:00,112.250,256.250,699.500,26.000,0.000,,1.000,7.000,0.000,,1878.000,59.500,4.000,0.000,20.750,133.750
2024-01-04 07:00:00+01:00,113.500,269.250,874.250,27.000,0.000,,1.000,7.000,0.000,,1876.000,59.250,4.000,14.500,20.500,163.500
2024-01-04 08:00:00+01:00,116.250,273.250,928.500,26.750,0.000,0.000,1.000,7.000,0.000,,1873.750,61.500,5.000,347.500,20.000,140.750
2024-01-04 09:00:00+01:00,117.000,271.750,755.250,27.000,,0.000,1.000,8.000,0.000,,1874.750,68.250,5.000,1073.000,19.500,125.000
2024-01-04 10:00:00+01:00,117.500,265.000,807.500,31.500,,0.000,1.000,7.000,0.000,,1877.750,74.000,5.000,1538.250,19.000,119.000
2024-01-04 11:00:00+01:00,116.500,270.500,932.750,33.750,0.000,0.000,1.000,7.750,0.000,,1883.250,79.000,5.000,1620.500,19.250,135.250
2024-01-04 12:00:00+01:00,116.250,266.000,912.000,34.000,0.000,,1.000,8.000,0.000,,1880.750,82.250,4.000,1318.250,19.500,124.500
