,Biomass,Biomass,Fossil Gas,Fossil Gas,Fossil Hard coal,Fossil Hard coal,Hydro Run-of-river and poundage,Hydro Run-of-river and poundage,Nuclear,Nuclear,Other,Other,Solar,Solar,Waste,Waste,Wind Offshore,Wind Offshore,Wind Onshore,Wind Onshore
,Actual Aggregated,Actual Consumption,Actual Aggregated,Actual Consumption,Actual Aggregated,Actual Consumption,Actual Aggregated,Actual Consumption,Actual Aggregated,Actual Consumption,Actual Aggregated,Actual Consumption,Actual Aggregated,Actual Consumption,Actual Aggregated,Actual Consumption,Actual Aggregated,Actual Consumption,Actual Aggregated,Actual Consumption
timestamp_cec,,,,,,,,,,,,,,,,,,,,
2024-01-01 00:00:00+01:00,17.500,0.000,1019.750,95.250,0.000,28.500,0.000,0.000,486.000,0.000,3854.750,396.000,0.000,1.000,305.000,11.000,2979.500,1.500,2426.500,5.000
2024-01-01 01:00:00+01:00,18.250,0.000,1023.250,91.250,0.000,29.000,0.000,0.000,486.000,0.000,3907.000,428.000,0.000,1.000,308.000,11.000,2995.500,2.000,2362.500,4.750
2024-01-01 02:00:00+01:00,18.750,0.000,1037.250,89.500,0.000,28.000,0.000,0.000,486.000,0.000,3599.750,439.750,0.000,1.000,305.750,10.750,3018.250,1.750,2166.500,4.750
2024-01-01 03:00:00+01:00,18.500,0.000,1039.750,93.250,0.000,28.000,0.000,0.000,486.000,0.000,3502.500,444.250,0.000,1.000,300.500,11.000,3029.500,1.750,2058.500,4.750
2024-01-01 04:00:00+01:00,18.500,0.000,988.250,93.250,0.000,28.500,0.000,0.000,486.000,0.000,3463.750,446.500,0.000,1.000,311.250,10.750,3032.500,1.750,2063.750,5.000
2024-01-01 05:00:00+01:00,18.500,0.000,982.500,92.750,0.000,28.000,0.000,0.000,486.000,0.000,3396.000,443.000,0.000,1.000,309.750,11.000,3040.250,1.000,2040.750,5.000
2024-01-01 06:00:00+01:00,18.500,0.000,909.500,92.500,0.000,28.500,0.000,0.000,486.000,0.000,3435.750,441.500,0.000,1.000,303.000,10.750,2752.250,1.500,2128.250,5.000
2024-01-01 07:00:00+01:00,17.000,0.000,937.250,80.500,0.000,28.000,0.000,0.000,486.000,0.000,3507.000,440.750,0.000,1.000,308.750,10.500,2672.000,1.500,2118.250,5.000
2024-01-01 08:00:00+01:00,17.250,0.000,904.000,78.500,0.000,28.500,0.000,0.000,486.250,0.000,3393.500,475.000,0.000,1.000,319.750,11.000,2841.000,1.500,2114.750,5.000
2024-01-01 09:00:00+01:00,18.500,0.000,852.750,75.750,0.000,28.250,0.000,0.000,486.000,0.000,3530.000,464.250,6.000,0.000,330.500,10.500,2949.500,1.250,2165.750,5.000
2024-01-01 10:00:00+01:00,18.750,0.000,891.500,78.500,0.000,28.000,0.000,0.000,486.000,0.000,3880.500,465.250,29.250,0.000,330.000,12.000,3046.500,1.500,2194.250,5.000
2024-01-01 11:00:00+01:00,16.750,0.000,881.500,77.750,0.000,27.750,0.000,0.000,486.000,0.000,4412.500,462.750,39.250,0.000,317.000,13.000,3066.500,1.250,2167.750,5.000
2024-01-01 12:00:00+01:00,16.000,0.000,867.000,80.500,0.000,28.500,0.000,0.000,486.000,0.000,4753.750,457.000,49.750,0.000,310.000,12.250,3016.250,1.500,2206.750,5.000
2024-01-01 13:00:00+01:00,16.000,0.000,887.250,81.000,0.000,28.500,0.000,0.000,486.000,0.000,4829.500,455.750,57.500,0.000,317.250,12.000,3014.750,1.000,2246.750,5.000
2024-01-01 14:00:00+01:00,16.250,0.000,919.250,84.000,0.000,28.500,0.000,0.000,486.000,0.000,4555.500,448.500,50.750,0.000,310.500,11.500,3015.500,1.500,2248.750,5.000
2024-01-01 15:00:00+01:00,16.000,0.000,980.750,85.500,1.250,23.750,0.000,0.000,486.000,0.000,3792.250,454.000,18.500,0.000,317.250,9.500,2850.750,1.500,2160.750,4.750
2024-01-01 16:00:00+01:00,15.750,0.000,1087.750,79.250,0.250,30.250,0.000,0.000,486.000,0.000,3775.750,428.250,1.250,0.500,328.750,9.250,2501.000,1.500,1937.750,5.000
2024-01-01 17:00:00+01:00,15.750,0.000,1525.250,49.500,0.000,26.000,0.000,0.000,486.250,0.000,4189.500,387.750,0.000,1.000,323.000,9.000,2418.750,1.500,1723.500,5.000
2024-01-01 18:00:00+01:00,16.500,0.000,1280.750,79.000,0.000,33.000,0.000,0.000,486.000,0.000,3736.250,405.500,0.000,1.000,317.000,12.500,2859.500,1.000,1536.250,5.000
2024-01-01 19:00:00+01:00,16.000,0.000,1176.500,86.500,0.000,32.000,0.000,0.000,486.000,0.000,3481.000,406.500,0.000,1.000,310.250,15.500,2724.250,1.500,1443.250,5.000
2024-01-01 20:00:00+01:00,16.000,0.000,1267.000,83.250,1.500,24.750,0.000,0.000,486.000,0.000,3751.500,400.500,0.000,1.000,312.250,14.750,2225.000,2.000,1453.750,5.000
2024-01-01 21:00:00+01:00,16.000,0.000,1129.500,82.250,0.000,33.750,0.000,0.000,486.000,0.000,3256.500,434.500,0.000,1.000,304.500,16.000,2887.750,2.000,1353.000,4.750
2024-01-01 22:00:00+01:00,16.000,0.000,1018.000,83.500,0.000,29.000,0.000,0.000,485.250,0.000,2802.750,441.750,0.000,1.000,308.250,15.750,2930.000,1.750,1391.250,5.000
2024-01-01 23:00:00+01:00,15.500,0.000,1045.250,80.250,0.000,27.750,0.000,0.000,485.000,0.000,2701.250,449.750,0.000,1.000,307.250,15.000,2891.750,2.000,1543.250,5.000
2024-01-02 00:00:00+01:00,15.500,0.000,1009.750,81.250,0.000,27.000,0.000,0.000,485.000,0.000,2441.000,478.500,0.000,1.000,311.750,14.500,2478.250,2.000,1344.250,5.000
2024-01-02 01:00:00+01:00,16.000,0.000,981.000,82.250,0.000,26.000,0.000,0.000,485.000,0.000,2583.000,496.000,0.000,1.000,307.250,14.750,2231.750,2.000,1483.750,5.000
2024-01-02 02:00:00+01:00,16.000,0.000,1031.000,82.750,0.000,26.000,0.000,0.000,485.750,0.000,2805.750,497.000,0.000,1.000,312.500,15.000,2271.500,2.000,1781.250,5.000
2024-01-02 03:00:00+01:00,16.250,0.000,1032.250,83.500,0.000,26.500,0.000,0.000,486.000,0.000,2938.000,499.250,0.000,1.000,309.750,15.000,2401.000,2.000,1912.000,5.000
2024-01-02 04:00:00+01:00,16.000,0.000,1048.250,82.500,0.000,26.000,0.000,0.000,486.000,0.000,3117.500,499.250,0.000,1.000,311.250,15.000,2463.250,2.250,2016.000,6.250
2024-01-02 05:00:00+01:00,16.250,0.000,1180.250,86.750,0.000,25.500,0.000,0.000,486.000,0.000,3333.250,491.000,0.000,1.000,316.250,14.750,2722.750,2.500,2046.500,6.000
2024-01-02 06:00:00+01:00,16.000,0.000,1138.000,81.000,0.000,26.000,0.000,0.000,486.000,0.000,3180.750,500.250,0.000,1.000,319.750,14.750,2306.750,2.250,1816.750,7.000
2024-01-02 07:00:00+01:00,16.000,0.000,1229.750,82.750,0.000,26.000,0.000,0.000,486.000,0.000,3483.500,490.750,0.000,1.000,323.750,15.250,3073.500,2.000,2003.250,7.000
2024-01-02 08:00:00+01:00,15.250,0.000,1332.500,89.750,0.000,26.000,0.000,0.000,486.000,0.000,3819.500,484.500,0.000,1.000,326.250,15.250,3173.500,1.750,2161.000,6.750
2024-01-02 09:00:00+01:00,16.500,0.000,1353.500,93.000,0.000,26.500,0.000,0.000,486.000,0.000,3623.500,482.750,3.750,0.250,322.750,15.250,3153.750,1.500,1937.750,5.500
2024-01-02 10:00:00+01:00,17.000,0.000,1438.750,87.000,0.000,27.000,0.000,0.000,488.000,0.000,3545.500,489.250,16.750,0.000,314.750,15.000,2523.000,1.750,1684.250,5.000
2024-01-02 11:00:00+01:00,16.500,0.000,1717.500,77.000,0.000,26.750,0.000,0.000,486.000,0.000,3720.000,487.000,33.000,0.000,309.750,15.000,2269.750,1.500,1535.000,5.500
2024-01-02 12:00:00+01:00,15.750,0.000,2134.250,42.500,0.000,26.500,0.000,0.000,485.250,0.000,3524.000,479.750,37.000,0.000,292.250,15.000,2583.500,2.000,1203.750,5.000
2024-01-02 13:00:00+01:00,15.000,0.000,2434.500,39.250,0.000,26.500,0.000,0.000,485.000,0.000,3358.250,469.750,15.500,0.000,288.500,14.000,2579.750,2.000,1170.250,5.000
2024-01-02 14:00:00+01:00,15.750,0.000,2373.250,37.750,0.000,30.750,0.000,0.000,485.250,0.000,3564.750,480.750,10.750,0.000,294.250,14.250,2557.000,2.000,1285.250,6.000
2024-01-02 15:00:00+01:00,15.000,0.000,2368.000,37.000,0.000,31.500,0.000,0.000,486.000,0.000,3783.000,485.750,2.250,0.250,293.000,14.250,2622.000,2.000,1496.000,4.750
2024-01-02 16:00:00+01:00,15.000,0.000,2330.250,38.250,0.000,31.000,0.000,0.000,486.000,0.000,4256.500,479.500,0.000,1.000,297.000,15.000,2756.000,1.750,1832.500,4.500
2024-01-02 17:00:00+01:00,15.500,0.000,2364.250,40.500,0.000,31.000,0.000,0.000,486.000,0.000,4936.750,455.000,0.000,1.000,314.750,15.250,2297.250,9.000,2061.750,4.750
