,Biomass,Fossil Brown coal/Lignite,Fossil Gas,Fossil Hard coal,Fossil Oil,Fossil Oil,Geothermal,Hydro Pumped Storage,Hydro Pumped Storage,Hydro Run-of-river and poundage,Hydro Water Reservoir,Hydro Water Reservoir,Nuclear,Other,Other renewable,Solar,Waste,Wind Offshore,Wind Onshore,Fossil Gas,Nuclear
,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Consumption,Actual Aggregated,Actual Aggregated,Actual Consumption,Actual Aggregated,Actual Aggregated,Actual Consumption,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Consumption,Actual Consumption
timestamp_cec,,,,,,,,,,,,,,,,,,,,,
2020-01-01 00:00:00+01:00,4824.500,9317.000,6053.250,1961.750,454.000,,32.000,624.000,275.750,1330.000,307.000,,8084.750,462.500,200.000,0.000,846.000,549.250,6085.000,,
2020-01-01 01:00:00+01:00,4801.250,9419.000,5681.000,1825.250,454.000,,32.000,669.500,481.750,1324.250,155.750,,8089.500,461.000,199.000,0.000,826.250,1169.250,5886.750,,
2020-01-01 02:00:00+01:00,4798.500,9425.750,5493.500,1797.250,454.250,,32.000,2365.750,681.500,1319.250,109.500,,8082.500,454.500,198.250,0.000,819.000,1665.500,5771.500,,
2020-01-01 03:00:00+01:00,4794.750,9497.250,5512.750,1899.250,454.000,,31.500,2454.500,751.250,1311.750,164.750,,8073.000,462.750,201.250,0.000,814.000,2062.250,5487.500,,
2020-01-01 04:00:00+01:00,4796.250,9549.750,5415.500,1922.500,454.000,,31.750,2270.000,1472.000,1307.250,40.000,,8073.500,462.500,199.750,0.000,835.250,2292.000,5458.500,,
2020-01-01 05:00:00+01:00,4807.500,9466.750,5431.250,1983.500,454.000,,31.000,2257.250,1654.750,1307.000,33.500,,8070.250,460.000,196.750,0.000,838.750,2159.500,5568.000,,
2020-01-01 06:00:00+01:00,4825.500,9338.250,5474.750,2007.000,454.000,,31.000,1406.250,1356.250,1307.000,45.750,,8076.250,459.000,191.750,0.000,833.000,1943.000,5568.000,,
2020-01-01 07:00:00+01:00,4870.000,9323.250,5659.250,2012.500,454.000,,31.000,491.750,773.500,1313.250,36.000,,8093.000,459.000,192.250,0.250,838.500,2154.500,5255.000,,
2020-01-01 08:00:00+01:00,4914.250,9801.500,5755.750,2050.000,454.250,,31.000,202.250,1585.000,1316.500,27.000,,8097.250,460.000,192.250,366.750,839.750,2283.250,5054.000,,
2020-01-01 09:00:00+01:00,4917.750,9961.750,5826.750,2066.000,454.000,,30.000,180.750,1598.000,1323.000,38.000,,8098.000,460.750,192.000,3031.000,825.000,2341.250,5042.000,,
2020-01-01 10:00:00+01:00,4880.000,10179.000,5828.250,2045.250,454.000,,30.000,453.000,2611.000,1327.500,66.500,,8050.750,461.250,191.750,6618.750,831.250,2546.500,4783.000,,
2020-01-01 11:00:00+01:00,4853.000,10170.750,5837.750,2037.750,454.000,,30.000,642.500,2860.750,1332.750,52.500,,7816.500,461.000,194.000,9558.500,840.750,2752.000,4556.250,,
2020-01-01 12:00:00+01:00,4796.750,10322.250,5786.750,2035.250,454.000,,29.250,580.500,2509.500,1342.500,38.250,,7682.000,461.000,195.250,10892.500,836.250,3363.500,4166.500,,
2020-01-01 13:00:00+01:00,4843.750,10043.000,5767.750,2008.000,454.000,,29.250,523.750,1750.000,1351.000,49.750,,7917.750,461.000,197.000,10006.750,837.750,3619.000,4221.000,,
2020-01-01 14:00:00+01:00,4873.500,10753.500,5866.500,2031.750,454.000,,29.000,967.000,725.500,1346.750,92.000,,8075.750,461.000,197.000,6892.500,835.250,3326.750,4080.000,,
2020-01-01 15:00:00+01:00,4851.500,11081.500,5955.750,2206.750,454.000,,29.250,1076.500,319.750,1347.000,81.250,,8090.000,462.000,197.000,2490.250,830.500,2967.500,4245.500,,
2020-01-01 16:00:00+01:00,4848.500,11183.500,6307.250,2144.250,454.000,,30.000,1017.250,260.000,1342.750,162.500,,8089.500,460.000,197.000,124.000,844.000,2985.000,5418.250,,
2020-01-01 17:00:00+01:00,4899.750,11179.750,6347.500,2189.750,454.000,,30.000,1354.250,2867.750,1338.000,74.500,,8085.750,460.000,197.000,1.000,840.250,3756.000,6694.000,,
2020-01-01 18:00:00+01:00,4944.000,11114.250,6424.750,2050.750,454.000,,30.000,2156.250,3270.750,1332.500,60.500,,8083.500,463.750,196.500,0.250,837.250,4458.500,7872.000,,
2020-01-01 19:00:00+01:00,4936.750,10710.500,6452.250,1886.500,454.000,,30.000,1647.500,3429.250,1317.750,61.250,,8088.250,465.000,196.250,0.000,842.000,4710.250,8767.000,,
2020-01-01 20:00:00+01:00,4905.750,11077.750,6427.750,1872.750,455.000,,30.000,1295.750,2128.500,1313.250,94.750,,8088.250,465.000,195.500,0.000,839.000,4405.250,9479.000,,
2020-01-01 21:00:00+01:00,4887.250,11229.000,6253.000,1855.000,454.000,,30.000,1073.250,530.750,1317.250,62.000,,8073.250,466.000,195.250,0.000,840.000,4023.250,10008.000,,
2020-01-01 22:00:00+01:00,4856.000,11238.000,6193.000,1776.250,454.000,,30.750,1344.250,148.500,1315.500,172.250,,8070.250,468.500,195.000,0.000,827.250,3770.000,8996.500,,
2020-01-01 23:00:00+01:00,4797.750,11242.750,5774.750,1750.500,454.000,,32.000,1226.500,90.500,1308.250,183.500,,8067.000,468.000,195.250,0.000,827.250,3825.750,8525.750,,
2020-01-02 00:00:00+01:00,4778.000,11046.500,5592.000,1619.750,454.000,,32.000,2086.750,998.250,1305.500,50.250,,8079.250,462.500,196.750,0.000,855.000,4229.500,8121.500,,
2020-01-02 01:00:00+01:00,4748.750,11010.250,5616.500,1593.500,454.000,,32.000,2360.250,1472.000,1307.500,57.000,,8093.750,462.250,199.250,0.000,838.250,4621.250,7371.250,,
2020-01-02 02:00:00+01:00,4735.000,10816.750,5615.750,1599.500,454.000,,32.000,2185.250,2068.750,1315.250,75.750,,8096.750,462.000,199.000,0.000,826.000,5022.000,6943.750,,
2020-01-02 03:00:00+01:00,4706.750,10307.250,5409.750,1618.750,454.000,,32.000,2275.750,2733.500,1301.250,69.000,,8095.500,461.750,198.750,0.000,819.000,5208.250,6365.500,,
