,Biomass,Fossil Gas,Fossil Hard coal,Fossil Hard coal,Fossil Oil,Hydro Pumped Storage,Hydro Pumped Storage,Hydro Run-of-river and poundage,Hydro Water Reservoir,Nuclear,Solar,Waste,Wind Onshore,Hydro Water Reservoir
,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Consumption,Actual Aggregated,Actual Aggregated,Actual Consumption,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Consumption
timestamp_cec,,,,,,,,,,,,,,
2020-01-01 00:00:00+01:00,347.000,6483.000,44.000,,195.000,253.000,,6139.000,2637.000,49003.000,0.000,217.000,3361.000,
2020-01-01 01:00:00+01:00,348.000,5576.000,44.000,,203.000,374.000,,5920.000,2359.000,49462.000,0.000,216.000,2810.000,
2020-01-01 02:00:00+01:00,347.000,4257.000,44.000,,203.000,,95.000,5793.000,1765.000,49565.000,0.000,216.000,2655.000,
2020-01-01 03:00:00+01:00,348.000,2874.000,44.000,,201.000,,868.000,5559.000,1296.000,49580.000,0.000,217.000,2736.000,
2020-01-01 04:00:00+01:00,348.000,2823.000,44.000,,200.000,,2443.000,5400.000,960.000,49271.000,0.000,217.000,2631.000,
2020-01-01 05:00:00+01:00,347.000,2834.000,44.000,,200.000,,3349.000,5347.000,940.000,49438.000,0.000,218.000,2533.000,
2020-01-01 06:00:00+01:00,348.000,2841.000,44.000,,200.000,,3053.000,5224.000,986.000,49542.000,0.000,217.000,2341.000,
2020-01-01 07:00:00+01:00,348.000,2994.000,42.000,,200.000,,3326.000,5226.000,985.000,49289.000,0.000,218.000,2185.000,
2020-01-01 08:00:00+01:00,349.000,3061.000,42.000,,200.000,,3431.000,5345.000,935.000,48860.000,175.000,217.000,1917.000,
2020-01-01 09:00:00+01:00,349.000,3345.000,42.000,,200.000,,3355.000,5444.000,784.000,48797.000,640.000,217.000,1694.000,
2020-01-01 10:00:00+01:00,349.000,3446.000,44.000,,203.000,,3222.000,5446.000,1036.000,48703.000,1464.000,216.000,1623.000,
2020-01-01 11:00:00+01:00,348.000,3547.000,44.000,,204.000,,2684.000,5367.000,1095.000,48751.000,2100.000,218.000,1578.000,
2020-01-01 12:00:00+01:00,349.000,3593.000,45.000,,204.000,,1845.000,5399.000,1464.000,49217.000,2426.000,217.000,1356.000,
2020-01-01 13:00:00+01:00,348.000,3573.000,44.000,,204.000,,1717.000,5444.000,1743.000,49196.000,2354.000,215.000,1098.000,
2020-01-01 14:00:00+01:00,347.000,3708.000,45.000,,204.000,,1312.000,5389.000,1499.000,48992.000,1875.000,215.000,997.000,
2020-01-01 15:00:00+01:00,348.000,4236.000,44.000,,204.000,,473.000,5479.000,1964.000,49061.000,1038.000,215.000,1006.000,
