,Biomass,Fossil Brown coal/Lignite,Fossil Gas,Fossil Oil,Fossil Oil,Hydro Run-of-river and poundage,Hydro Water Reservoir,Nuclear,Other,Other renewable,Other renewable,Solar,Waste,Wind Onshore,Hydro Water Reservoir,Fossil Hard coal,Geothermal,Fossil Hard coal
,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Consumption,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Consumption,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Consumption,Actual Aggregated,Actual Aggregated,Actual Consumption
timestamp_cec,,,,,,,,,,,,,,,,,,
2020-01-01 00:00:00+01:00,137.250,294.750,693.750,,0.500,19.000,13.000,1938.500,74.000,12.000,,0.000,18.750,205.000,,,,
2020-01-01 01:00:00+01:00,136.250,325.750,629.000,,1.000,19.000,13.000,1939.500,74.000,11.500,,0.000,19.000,229.500,,,,
2020-01-01 02:00:00+01:00,113.000,293.500,591.500,,0.750,19.000,13.000,1920.000,73.000,10.000,,0.000,19.500,205.500,,,,
2020-01-01 03:00:00+01:00,107.750,251.250,591.750,,0.500,19.000,13.000,1934.250,73.000,10.000,,0.000,19.000,186.750,,,,
2020-01-01 04:00:00+01:00,107.250,245.250,549.750,,1.000,19.000,13.000,1939.750,74.000,9.750,,0.000,18.500,213.500,,,,
2020-01-01 05:00:00+01:00,110.500,245.750,547.500,,0.000,19.000,13.000,1938.250,75.000,10.000,,0.000,19.000,210.000,,,,
2020-01-01 06:00:00+01:00,130.000,227.500,540.000,,0.000,19.000,13.000,1939.500,75.000,12.750,,0.000,18.750,197.000,,,,
2020-01-01 07:00:00+01:00,139.250,184.750,558.500,,1.000,19.000,13.000,1939.000,75.000,15.000,,6.250,18.500,181.500,,,,
2020-01-01 08:00:00+01:00,141.500,255.250,527.750,,1.000,19.000,13.000,1938.750,76.000,15.750,,90.500,18.000,149.500,,,,
2020-01-01 09:00:00+01:00,141.250,225.500,524.750,,0.750,19.000,13.000,1938.750,81.000,15.750,,255.000,19.250,113.250,,,,
2020-01-01 10:00:00+01:00,138.000,178.750,480.000,,0.000,18.500,13.000,1938.750,82.000,15.000,,436.000,19.000,101.250,,,,
2020-01-01 11:00:00+01:00,140.500,179.000,410.000,,0.000,18.000,13.000,1939.000,80.000,15.000,,515.250,18.750,109.000,,,,
2020-01-01 12:00:00+01:00,142.000,178.750,429.750,,0.000,18.250,13.000,1917.500,80.000,14.500,,494.750,18.250,104.250,,,,
2020-01-01 13:00:00+01:00,141.000,179.000,409.000,,0.000,18.750,13.000,1903.500,80.000,15.000,,367.750,18.250,103.750,,,,
2020-01-01 14:00:00+01:00,140.000,211.000,552.250,,0.750,18.750,13.500,1902.250,79.000,14.000,,179.750,17.750,71.500,,,,
2020-01-01 15:00:00+01:00,135.000,318.500,589.500,,0.500,19.000,14.000,1937.500,79.000,14.750,,38.750,17.500,42.750,,,,
2020-01-01 16:00:00+01:00,131.750,351.750,629.500,,0.000,18.250,14.000,1937.250,78.000,14.750,,0.500,17.750,43.250,,,,
2020-01-01 17:00:00+01:00,128.000,372.000,704.250,,0.000,19.000,14.000,1936.750,78.000,14.000,,0.000,18.250,32.750,,,,
2020-01-01 18:00:00+01:00,129.500,356.750,685.500,,0.500,19.000,14.000,1935.750,73.000,14.000,,0.000,18.500,19.750,,,,
2020-01-01 19:00:00+01:00,128.500,373.500,742.250,,1.000,19.000,14.000,1934.500,73.000,14.000,,0.000,18.500,21.250,,,,
2020-01-01 20:00:00+01:00,127.000,352.500,730.500,,1.000,19.000,14.000,1934.500,73.000,14.000,,0.000,19.250,29.000,,,,
2020-01-01 21:00:00+01:00,126.000,330.250,715.500,,1.000,19.000,14.000,1936.000,74.000,13.750,,0.000,19.000,20.250,,,,
2020-01-01 22:00:00+01:00,123.000,370.250,733.750,,0.750,19.000,14.000,1936.500,74.000,13.750,,0.000,18.750,16.000,,,,
2020-01-01 23:00:00+01:00,131.250,357.500,698.750,,0.000,19.000,14.000,1936.500,74.000,13.750,,0.000,19.000,23.250,,,,
2020-01-02 00:00:00+01:00,133.250,299.250,566.250,,0.000,19.000,14.000,1936.500,74.000,14.000,,0.000,19.000,31.250,,,,
2020-01-02 01:00:00+01:00,129.250,239.000,601.500,,0.000,19.000,14.000,1937.250,74.000,11.000,,0.000,19.250,25.250,,,,
2020-01-02 02:00:00+01:00,108.500,225.250,582.750,,0.000,18.500,14.000,1937.250,73.000,7.000,,0.000,19.000,17.000,,,,
2020-01-02 03:00:00+01:00,102.000,193.750,580.750,,0.750,18.250,14.000,1936.250,73.000,8.000,,0.000,19.000,15.750,,,,
2020-01-02 04:00:00+01:00,105.000,200.250,547.250,,1.000,18.500,14.000,1935.750,74.000,8.000,,0.000,19.250,13.250,,,,
2020-01-02 05:00:00+01:00,120.000,270.000,603.250,,0.500,18.500,14.000,1897.250,75.000,12.000,,0.000,18.750,9.750,,,,
2020-01-02 06:00:00+01:00,133.750,294.500,588.250,,0.750,19.000,14.000,1936.500,75.000,14.250,,0.000,18.750,6.000,,,,
2020-01-02 07:00:00+01:00,131.750,267.250,572.000,,1.000,18.500,14.000,1937.500,75.000,15.000,,3.500,19.000,11.000,,,,
2020-01-02 08:00:00+01:00,133.500,283.500,675.250,,1.000,18.500,14.000,1938.500,76.000,15.250,,64.750,19.250,3.500,,,,
2020-01-02 09:00:00+01:00,135.250,247.750,705.750,,0.500,17.750,14.000,1939.000,81.000,16.000,,189.750,18.500,3.250,,,,
2020-01-02 10:00:00+01:00,138.250,199.750,757.500,,1.000,16.500,13.750,1939.000,82.000,15.250,,309.000,18.500,2.500,,,,
2020-01-02 11:00:00+01:00,141.000,193.000,733.250,,1.000,17.750,12.000,1939.500,80.000,14.750,,354.250,18.250,1.000,,,,
2020-01-02 12:00:00+01:00,142.500,221.750,702.500,,1.000,19.000,14.500,1942.250,80.000,13.000,,338.000,18.250,0.250,,,,
2020-01-02 13:00:00+01:00,144.750,226.250,700.500,,0.500,18.500,15.000,1942.000,80.000,13.250,,258.500,17.500,1.000,,,,
2020-01-02 14:00:00+01:00,142.500,216.000,707.750,,0.000,19.000,15.000,1940.750,79.000,14.000,,137.000,18.750,3.750,,,,
2020-01-02 15:00:00+01:00,140.750,269.250,700.750,,0.000,19.000,15.000,1940.500,79.000,14.000,,36.250,17.500,8.000,,,,
2020-01-02 16:00:00+01:00,136.250,272.500,655.000,,0.250,19.000,15.000,1934.250,78.000,14.750,,0.500,19.250,23.750,,,,
2020-01-02 17:00:00+01:00,132.750,212.000,699.750,,1.000,19.000,15.000,1942.250,78.000,14.000,,0.000,18.250,48.250,,,,
2020-01-02 18:00:00+01:00,136.250,232.250,650.250,,1.000,19.000,15.000,1942.500,73.000,14.000,,0.000,18.000,63.750,,,,
2020-01-02 19:00:00+01:00,135.000,243.000,627.500,,1.000,18.250,15.000,1942.250,73.000,14.000,,0.000,18.500,85.000,,,,
2020-01-02 20:00:00+01:00,138.000,190.750,684.500,,1.000,18.000,15.000,1941.500,73.000,13.000,,0.000,19.250,97.000,,,,
