timestamp_cec,Fossil Gas,Hydro Run-of-river and poundage,Hydro Water Reservoir,Other,Wind Onshore,Hydro Pumped Storage,Waste
2020-01-01 00:00:00+01:00,4.000,318.000,4177.000,3.000,364.000,,
2020-01-01 01:00:00+01:00,4.000,317.000,4208.000,3.000,369.000,,
2020-01-01 02:00:00+01:00,4.000,316.000,4108.000,3.000,401.000,,
2020-01-01 03:00:00+01:00,4.000,316.000,3900.000,3.000,394.000,,
2020-01-01 04:00:00+01:00,4.000,314.000,3380.000,3.000,402.000,,
2020-01-01 05:00:00+01:00,4.000,313.000,2860.000,3.000,403.000,,
2020-01-01 06:00:00+01:00,4.000,312.000,2951.000,3.000,396.000,,
2020-01-01 07:00:00+01:00,4.000,310.000,3057.000,3.000,380.000,,
2020-01-01 08:00:00+01:00,4.000,309.000,3418.000,3.000,371.000,,
2020-01-01 09:00:00+01:00,4.000,307.000,3407.000,3.000,349.000,,
2020-01-01 10:00:00+01:00,4.000,303.000,3317.000,3.000,361.000,,
2020-01-01 11:00:00+01:00,4.000,302.000,3400.000,3.000,381.000,,
2020-01-01 12:00:00+01:00,4.000,302.000,3798.000,3.000,371.000,,
2020-01-01 13:00:00+01:00,4.000,303.000,3780.000,3.000,380.000,,
2020-01-01 14:00:00+01:00,4.000,302.000,3967.000,3.000,360.000,,
2020-01-01 15:00:00+01:00,4.000,301.000,4265.000,3.000,352.000,,
2020-01-01 16:00:00+01:00,4.000,301.000,4573.000,3.000,355.000,,
2020-01-01 17:00:00+01:00,4.000,300.000,4699.000,3.000,364.000,,
2020-01-01 18:00:00+01:00,4.000,299.000,4638.000,3.000,362.000,,
2020-01-01 19:00:00+01:00,4.000,297.000,4656.000,3.000,356.000,,
2020-01-01 20:00:00+01:00,4.000,298.000,4508.000,3.000,376.000,,
2020-01-01 21:00:00+01:00,4.000,298.000,4413.000,3.000,379.000,,
2020-01-01 22:00:00+01:00,4.000,299.000,3981.000,3.000,367.000,,
2020-01-01 23:00:00+01:00,4.000,299.000,3655.000,3.000,364.000,,
2020-01-02 00:00:00+01:00,4.000,286.000,3014.000,3.000,356.000,,
2020-01-02 01:00:00+01:00,4.000,284.000,2712.000,3.000,346.000,,
2020-01-02 02:00:00+01:00,4.000,283.000,2747.000,3.000,375.000,,
2020-01-02 03:00:00+01:00,4.000,282.000,2597.000,3.000,380.000,,
2020-01-02 04:00:00+01:00,4.000,281.000,2561.000,3.000,396.000,,
2020-01-02 05:00:00+01:00,4.000,280.000,3117.000,3.000,422.000,,
2020-01-02 06:00:00+01:00,4.000,280.000,3833.000,3.000,432.000,,
