timestamp_cec,Biomass,Fossil Brown coal/Lignite,Fossil Coal-derived gas,Fossil Gas,Fossil Hard coal,Fossil Oil,Hydro Pumped Storage,Hydro Run-of-river and poundage,Hydro Water Reservoir,Wind Onshore,Solar
2020-01-01 00:00:00+01:00,279.000,2545.000,51.000,1212.000,6609.000,220.000,0.000,161.000,0.000,2697.000,
2020-01-01 01:00:00+01:00,253.000,2206.000,52.000,1212.000,6609.000,220.000,0.000,161.000,0.000,2503.000,
2020-01-01 02:00:00+01:00,248.000,2117.000,52.000,1191.000,6550.000,220.000,0.000,161.000,0.000,2500.000,
2020-01-01 03:00:00+01:00,250.000,1965.000,52.000,1176.000,6401.000,220.000,0.000,160.000,0.000,2396.000,
2020-01-01 04:00:00+01:00,255.000,1997.000,52.000,1184.000,6259.000,220.000,0.000,159.000,0.000,2305.000,
2020-01-01 05:00:00+01:00,262.000,2000.000,52.000,1184.000,6264.000,220.000,0.000,159.000,0.000,2337.000,
2020-01-01 06:00:00+01:00,263.000,2014.000,53.000,1193.000,6278.000,221.000,0.000,159.000,0.000,2335.000,
2020-01-01 07:00:00+01:00,262.000,2075.000,52.000,1213.000,6366.000,221.000,0.000,160.000,0.000,2168.000,
2020-01-01 08:00:00+01:00,263.000,2016.000,52.000,1183.000,6252.000,222.000,0.000,166.000,0.000,2209.000,
2020-01-01 09:00:00+01:00,262.000,2046.000,52.000,1206.000,6395.000,223.000,0.000,167.000,0.000,2337.000,
2020-01-01 10:00:00+01:00,263.000,2082.000,52.000,1232.000,6349.000,223.000,0.000,171.000,0.000,2489.000,
2020-01-01 11:00:00+01:00,263.000,2053.000,52.000,1224.000,6362.000,223.000,0.000,172.000,0.000,2721.000,
2020-01-01 12:00:00+01:00,262.000,2024.000,52.000,1209.000,6336.000,222.000,0.000,161.000,0.000,2867.000,
2020-01-01 13:00:00+01:00,260.000,2160.000,52.000,1242.000,6454.000,222.000,0.000,156.000,0.000,2947.000,
2020-01-01 14:00:00+01:00,263.000,2130.000,53.000,1243.000,6523.000,223.000,142.000,160.000,0.000,2898.000,
2020-01-01 15:00:00+01:00,261.000,2022.000,52.000,1237.000,6355.000,222.000,68.000,162.000,0.000,2856.000,
2020-01-01 16:00:00+01:00,261.000,2352.000,53.000,1281.000,6657.000,222.000,276.000,178.000,0.000,2923.000,
2020-01-01 17:00:00+01:00,261.000,3006.000,52.000,1316.000,6711.000,222.000,402.000,190.000,50.000,3108.000,
2020-01-01 18:00:00+01:00,261.000,3093.000,53.000,1235.000,6800.000,222.000,360.000,193.000,58.000,3161.000,
2020-01-01 19:00:00+01:00,261.000,3201.000,53.000,1265.000,6948.000,222.000,317.000,195.000,58.000,2990.000,
2020-01-01 20:00:00+01:00,261.000,3042.000,52.000,1262.000,6895.000,222.000,204.000,180.000,7.000,2789.000,
