timestamp_cec,Biomass,Fossil Brown coal/Lignite,Fossil Gas,Fossil Oil,Hydro Pumped Storage,Hydro Run-of-river and poundage,Nuclear,Solar,Waste,Wind Onshore,"('Biomass', 'Actual Aggregated')","('Fossil Brown coal/Lignite', 'Actual Aggregated')","('Fossil Gas', 'Actual Aggregated')","('Fossil Oil', 'Actual Aggregated')","('Hydro Pumped Storage', 'Actual Aggregated')","('Hydro Run-of-river and poundage', 'Actual Aggregated')","('Nuclear', 'Actual Aggregated')","('Solar', 'Actual Aggregated')","('Solar', 'Actual Consumption')","('Waste', 'Actual Aggregated')","('Wind Onshore', 'Actual Aggregated')"
2020-01-01 00:00:00+01:00,13.000,243.000,36.000,0.000,0.000,413.000,697.000,0.000,7.000,0.000,,,,,,,,,,,
2020-01-01 01:00:00+01:00,13.000,253.000,36.000,0.000,0.000,441.000,697.000,0.000,7.000,0.000,,,,,,,,,,,
2020-01-01 02:00:00+01:00,13.000,251.000,36.000,0.000,0.000,420.000,697.000,0.000,7.000,0.000,,,,,,,,,,,
2020-01-01 03:00:00+01:00,13.000,249.000,38.000,0.000,0.000,388.000,697.000,0.000,7.000,0.000,,,,,,,,,,,
2020-01-01 04:00:00+01:00,13.000,246.000,39.000,0.000,0.000,384.000,697.000,0.000,6.000,0.000,,,,,,,,,,,
2020-01-01 05:00:00+01:00,13.000,246.000,40.000,0.000,0.000,361.000,697.000,0.000,7.000,0.000,,,,,,,,,,,
2020-01-01 06:00:00+01:00,13.000,246.000,42.000,0.000,0.000,360.000,696.000,0.000,6.000,1.000,,,,,,,,,,,
2020-01-01 07:00:00+01:00,12.000,246.000,36.000,0.000,0.000,440.000,696.000,0.000,7.000,0.000,,,,,,,,,,,
2020-01-01 08:00:00+01:00,13.000,242.000,40.000,0.000,0.000,424.000,697.000,12.000,7.000,1.000,,,,,,,,,,,
2020-01-01 09:00:00+01:00,13.000,222.000,38.000,0.000,0.000,454.000,697.000,40.000,8.000,1.000,,,,,,,,,,,
2020-01-01 10:00:00+01:00,13.000,219.000,42.000,0.000,0.000,436.000,697.000,63.000,8.000,0.000,,,,,,,,,,,
2020-01-01 11:00:00+01:00,12.000,219.000,43.000,0.000,0.000,400.000,697.000,78.000,6.000,0.000,,,,,,,,,,,
2020-01-01 12:00:00+01:00,13.000,219.000,44.000,0.000,0.000,442.000,697.000,63.000,8.000,0.000,,,,,,,,,,,
2020-01-01 13:00:00+01:00,12.000,220.000,44.000,0.000,0.000,431.000,697.000,62.000,7.000,0.000,,,,,,,,,,,
2020-01-01 14:00:00+01:00,13.000,221.000,44.000,0.000,0.000,524.000,697.000,35.000,6.000,0.000,,,,,,,,,,,
2020-01-01 15:00:00+01:00,13.000,239.000,44.000,0.000,0.000,636.000,697.000,12.000,8.000,0.000,,,,,,,,,,,
2020-01-01 16:00:00+01:00,13.000,241.000,43.000,0.000,0.000,713.000,697.000,0.000,5.000,0.000,,,,,,,,,,,
