,Biomass,Fossil Brown coal/Lignite,Fossil Gas,Fossil Hard coal,Fossil Oil,Fossil Oil,Geothermal,Hydro Pumped Storage,Hydro Pumped Storage,Hydro Run-of-river and poundage,Hydro Water Reservoir,Hydro Water Reservoir,Nuclear,Other,Other renewable,Solar,Waste,Wind Offshore,Wind Onshore,Solar,Wind Onshore,Other renewable
,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Consumption,Actual Aggregated,Actual Aggregated,Actual Consumption,Actual Aggregated,Actual Aggregated,Actual Consumption,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Consumption,Actual Consumption,Actual Consumption
timestamp_cec,,,,,,,,,,,,,,,,,,,,,,
2021-01-01 00:00:00+01:00,4516.000,11608.500,6930.750,3443.750,405.000,0.000,31.000,347.250,388.250,1182.000,46.000,,8144.750,454.250,182.000,1.000,787.250,383.000,3936.750,,,
2021-01-01 01:00:00+01:00,4488.500,11602.750,6695.500,3044.750,405.000,0.000,31.000,518.500,318.500,1174.750,42.750,,8150.250,454.000,182.250,1.000,786.000,394.500,3536.500,,,
2021-01-01 02:00:00+01:00,4476.500,11758.500,6593.500,3067.250,405.500,0.000,30.500,170.000,1812.750,1158.250,27.250,,8156.500,454.000,186.000,1.000,779.250,305.250,3204.500,,,
2021-01-01 03:00:00+01:00,4460.000,12337.500,6404.000,2852.500,405.500,0.000,30.000,2.000,3674.750,1155.500,47.000,,8153.750,454.250,188.000,1.000,770.500,319.250,2775.000,,,
2021-01-01 04:00:00+01:00,4465.750,12395.000,6339.750,2713.250,404.750,0.000,29.250,6.000,4328.750,1152.500,24.750,,8150.500,465.000,192.250,1.000,760.750,296.250,2469.250,,,
2021-01-01 05:00:00+01:00,4486.500,12699.500,6434.500,2736.500,405.000,0.000,29.000,33.500,3487.250,1144.500,24.250,,8150.250,466.000,190.750,1.000,786.750,432.000,2124.750,,,
2021-01-01 06:00:00+01:00,4526.500,13051.000,6504.750,2836.500,406.250,0.000,29.000,89.750,3086.500,1141.250,40.750,,8154.500,468.750,190.000,1.000,794.000,510.250,2013.750,,,
2021-01-01 07:00:00+01:00,4596.750,12472.500,6584.250,2952.000,408.500,0.000,29.000,914.000,2083.500,1143.500,36.000,,8152.750,468.000,190.000,1.250,792.750,389.250,1969.750,,,
2021-01-01 08:00:00+01:00,4682.000,12435.750,6976.000,3087.250,407.500,0.000,28.500,68.500,1679.500,1139.000,36.500,,8157.500,468.000,190.750,191.750,781.000,359.500,2072.750,,,
2021-01-01 09:00:00+01:00,4690.750,12169.500,7464.750,3085.000,407.500,0.000,28.000,124.750,1328.250,1142.750,43.500,,8160.000,468.000,192.250,1335.250,784.750,248.250,2122.500,,,
2021-01-01 10:00:00+01:00,4717.500,11607.750,8010.500,3057.750,407.500,0.000,27.000,96.000,831.750,1148.000,33.500,,8161.250,468.000,195.000,2939.500,796.000,446.750,1913.000,,,
2021-01-01 11:00:00+01:00,4719.750,11257.250,8624.500,3044.250,407.000,0.000,27.000,115.750,609.000,1149.250,32.500,,8160.250,468.000,195.500,4215.750,777.000,557.500,1617.750,,,
2021-01-01 12:00:00+01:00,4639.750,10870.500,8934.250,3186.250,410.000,0.000,27.000,336.750,281.750,1158.250,33.500,,8153.000,468.000,196.000,4762.250,784.500,668.750,1306.750,,,
2021-01-01 13:00:00+01:00,4585.000,10875.000,8905.750,3150.250,417.000,0.000,27.000,196.750,393.000,1157.750,34.500,,8153.500,468.000,196.000,4152.750,783.000,836.250,1138.500,,,
2021-01-01 14:00:00+01:00,4565.750,10843.000,9086.500,3088.000,416.000,0.000,27.000,205.000,507.500,1149.750,37.250,,8154.750,468.000,195.750,2657.000,792.000,800.250,1231.500,,,
2021-01-01 15:00:00+01:00,4586.750,10855.500,9453.500,3449.000,416.000,0.000,27.000,255.000,567.000,1146.500,41.000,,8156.750,468.000,194.250,910.250,782.500,668.250,1548.750,,,
2021-01-01 16:00:00+01:00,4678.750,10875.000,9869.000,3697.000,416.000,0.000,27.750,2345.500,212.500,1149.250,80.000,,8156.000,467.750,194.750,42.500,796.000,832.500,2136.250,,,
2021-01-01 17:00:00+01:00,4797.000,11001.500,9910.000,4092.750,416.000,0.000,28.500,2591.500,48.250,1150.250,79.000,,8151.000,468.000,194.250,1.000,779.250,751.500,2917.750,,,
2021-01-01 18:00:00+01:00,4812.250,11000.000,9976.750,4046.250,416.000,0.000,29.000,2843.500,10.750,1150.000,73.500,,8150.750,468.000,192.000,1.000,765.750,700.250,3548.500,,,
2021-01-01 19:00:00+01:00,4815.000,11001.250,9998.500,4092.000,416.000,0.000,29.000,1738.500,49.000,1147.500,54.750,,8154.750,468.000,191.250,1.000,751.250,778.250,3912.250,,,
2021-01-01 20:00:00+01:00,4751.250,11020.000,9922.250,3865.250,416.000,0.000,29.500,874.750,99.250,1147.250,70.000,,8152.250,468.000,191.000,1.000,789.500,723.250,4179.250,,,
2021-01-01 21:00:00+01:00,4687.500,10901.500,9914.500,3541.500,416.000,0.250,30.000,609.000,298.750,1164.750,78.750,,8148.750,468.000,190.500,1.000,803.500,642.250,4385.500,,,
2021-01-01 22:00:00+01:00,4634.500,10797.750,9500.500,3421.000,416.000,0.000,30.750,982.500,387.750,1166.500,83.250,,8141.000,456.750,187.000,1.000,795.250,841.000,4658.750,,,
2021-01-01 23:00:00+01:00,4573.500,10892.250,8582.500,3031.500,416.500,0.250,31.000,236.750,1572.750,1161.500,86.000,,8141.750,443.750,185.000,1.000,786.750,590.000,4601.500,,,
2021-01-02 00:00:00+01:00,4512.500,11345.500,7386.500,2870.000,416.500,0.000,31.000,78.750,3319.750,1142.500,74.250,,8093.000,455.000,184.000,1.000,795.250,424.500,4502.500,,,
2021-01-02 01:00:00+01:00,4482.250,11564.000,6951.750,2722.500,416.250,0.250,31.000,41.750,4629.250,1137.500,47.250,,8120.250,392.000,183.750,1.000,774.000,432.500,4310.750,,,
2021-01-02 02:00:00+01:00,4489.250,11391.500,6703.250,2552.000,416.000,0.000,31.000,39.750,4635.750,1135.750,60.500,,8100.500,386.000,183.250,1.000,784.750,562.250,4087.250,,,
2021-01-02 03:00:00+01:00,4489.750,11186.750,6698.750,2562.500,416.000,0.000,31.000,28.500,4424.500,1127.250,81.000,,8094.500,386.250,182.250,1.000,787.000,405.750,4069.500,,,
2021-01-02 04:00:00+01:00,4485.750,11520.500,6841.750,2612.250,417.500,0.000,31.000,52.500,4495.250,1120.000,71.500,,8131.500,394.000,185.000,1.000,784.500,317.000,3964.000,,,
2021-01-02 05:00:00+01:00,4492.500,11974.750,6991.500,2627.000,418.000,0.000,30.750,184.000,2989.000,1116.500,21.750,,8140.500,397.250,187.500,1.000,796.250,389.000,3592.500,,,
2021-01-02 06:00:00+01:00,4527.250,12143.750,7331.000,2925.000,416.250,0.000,30.000,54.250,1435.500,1117.750,57.250,,8129.750,397.000,187.500,1.000,809.750,507.250,3298.000,,,
2021-01-02 07:00:00+01:00,4594.000,12329.500,7828.500,3392.000,416.000,0.000,30.000,119.000,870.250,1115.000,61.250,,8125.000,396.000,187.250,1.000,810.000,621.000,2947.250,,,
2021-01-02 08:00:00+01:00,4671.000,12775.000,8871.750,3502.500,416.000,0.000,29.250,762.500,1805.000,1114.250,91.000,,8053.500,395.750,187.500,155.750,809.750,452.250,2665.000,,,
2021-01-02 09:00:00+01:00,4723.250,13050.250,9781.500,3702.250,418.250,0.750,29.000,1193.250,393.750,1129.000,95.250,,8142.250,395.000,189.500,985.500,808.000,348.500,2273.750,,,
2021-01-02 10:00:00+01:00,4762.000,13163.000,10030.500,4051.750,416.500,1.000,29.000,1206.750,39.000,1136.750,44.750,,8152.000,395.000,191.000,2177.000,810.000,287.250,1740.750,,,
2021-01-02 11:00:00+01:00,4747.750,13179.000,10100.000,4260.000,416.250,0.750,29.000,568.500,33.500,1134.000,48.750,,8153.250,395.250,192.000,3274.500,803.500,277.250,1309.250,,,
2021-01-02 12:00:00+01:00,4687.500,13170.250,10018.250,4217.250,416.000,0.000,29.000,646.500,218.500,1123.750,50.000,,8155.500,396.000,191.000,3663.750,820.000,298.750,1003.000,,,
2021-01-02 13:00:00+01:00,4638.500,13153.500,10037.250,4242.750,411.250,0.000,29.000,629.750,213.250,1113.250,48.250,,8155.750,395.250,190.750,3023.750,815.500,264.750,907.500,,,
2021-01-02 14:00:00+01:00,4646.500,13137.250,9899.000,4315.500,411.000,0.000,29.000,1111.500,19.250,1102.500,55.500,,8154.250,395.000,189.500,1755.250,812.000,237.000,1085.250,,,
2021-01-02 15:00:00+01:00,4611.000,13179.000,9880.000,4205.000,411.000,0.000,29.000,701.500,98.500,1099.000,44.750,,8153.750,395.000,190.500,578.750,808.000,384.000,1363.000,,,
2021-01-02 16:00:00+01:00,4707.250,13326.250,9991.750,4324.250,411.000,0.000,28.250,2545.750,246.000,1095.000,46.000,,8152.500,395.000,190.250,23.500,809.750,515.500,1726.000,,,
2021-01-02 17:00:00+01:00,4798.000,13332.000,10074.750,4532.750,411.000,0.000,28.000,4094.500,23.500,1098.000,54.750,,8155.250,395.000,186.750,1.000,811.000,736.500,2131.000,,,
2021-01-02 18:00:00+01:00,4825.750,13338.500,10070.000,4617.250,409.000,0.000,28.000,3994.250,148.500,1108.250,36.000,,8150.250,395.000,187.750,1.000,806.000,1099.250,2761.250,,,
2021-01-02 19:00:00+01:00,4828.250,13350.750,10146.250,4464.750,409.250,0.000,28.000,2112.500,294.250,1117.000,32.750,,8146.250,400.000,193.000,1.000,800.250,1297.250,3256.750,,,
2021-01-02 20:00:00+01:00,4752.250,13152.500,10064.500,4493.750,409.000,1.000,28.000,1614.750,288.750,1112.250,31.500,,8145.500,401.000,193.250,1.000,803.000,1413.000,3632.250,,,
2021-01-02 21:00:00+01:00,4693.000,13043.000,9957.750,4200.750,409.000,1.000,28.250,516.250,452.750,1113.250,55.500,,8140.500,402.000,193.250,1.000,804.000,1533.250,4116.500,,,
2021-01-02 22:00:00+01:00,4629.000,12794.250,9366.500,3895.250,409.000,1.000,29.000,436.000,782.750,1116.500,61.500,,8138.000,402.250,193.000,1.000,805.250,1768.250,4828.500,,,
2021-01-02 23:00:00+01:00,4567.250,12125.750,8135.000,3789.000,409.000,1.000,29.750,375.750,1832.250,1111.250,32.500,,8117.000,402.500,193.000,1.000,807.000,2437.500,5611.750,,,
2021-01-03 00:00:00+01:00,4527.000,10841.000,6684.500,4076.000,409.000,1.000,30.000,111.250,2138.250,1107.750,61.500,,7993.250,459.500,190.500,1.000,794.000,2755.500,6538.250,,,
2021-01-03 01:00:00+01:00,4509.500,10128.500,6060.250,3767.000,409.000,1.000,30.000,105.750,1653.500,1103.000,43.250,,7737.250,459.500,190.000,1.000,796.250,2730.250,7488.250,,,
2021-01-03 02:00:00+01:00,4499.500,9411.250,5952.250,3379.500,409.250,1.000,29.000,46.750,2859.500,1105.750,41.750,,7541.750,459.000,191.500,1.000,793.500,3219.750,8354.000,,,
