,Biomass,Fossil Brown coal/Lignite,Fossil Gas,Fossil Hard coal,Fossil Hard coal,Fossil Oil,Fossil Oil,Geothermal,Hydro Run-of-river and poundage,Hydro Water Reservoir,Hydro Water Reservoir,Nuclear,Other,Other renewable,Solar,Waste,Wind Onshore
,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Consumption,Actual Aggregated,Actual Consumption,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Consumption,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated
timestamp_cec,,,,,,,,,,,,,,,,,
2021-01-01 00:00:00+01:00,138.750,290.000,715.750,,0.500,0.000,,0.000,15.000,8.000,,1938.500,79.000,14.750,0.000,16.250,40.250
2021-01-01 01:00:00+01:00,132.750,311.500,716.750,,1.000,0.000,,0.000,15.000,8.000,,1939.250,80.000,13.000,0.000,16.250,49.250
2021-01-01 02:00:00+01:00,113.750,291.750,660.000,,1.500,,0.000,0.000,15.000,8.000,,1940.500,78.000,11.000,0.000,15.750,40.500
2021-01-01 03:00:00+01:00,108.500,268.000,666.000,,2.250,,0.000,0.000,15.000,8.000,,1939.250,80.000,11.000,0.000,16.000,25.750
2021-01-01 04:00:00+01:00,109.000,267.500,717.750,,1.250,0.000,0.000,0.000,15.000,8.000,,1938.250,79.000,10.750,0.000,16.000,17.000
2021-01-01 05:00:00+01:00,110.500,270.000,726.500,,1.250,0.000,0.000,0.000,15.000,8.000,,1936.750,78.000,10.250,0.000,16.500,20.000
2021-01-01 06:00:00+01:00,130.500,275.000,738.000,,1.750,0.000,,0.000,15.000,8.000,,1938.000,79.000,12.250,0.000,15.750,26.750
2021-01-01 07:00:00+01:00,143.750,272.750,747.000,,1.500,0.000,0.000,0.000,15.000,8.000,,1939.000,78.000,13.750,7.250,9.250,28.000
2021-01-01 08:00:00+01:00,149.000,274.500,719.250,,2.500,0.000,0.000,0.000,15.000,8.000,,1939.000,78.500,14.750,118.000,9.750,26.750
2021-01-01 09:00:00+01:00,147.250,270.750,672.250,,2.250,0.000,0.000,0.000,15.000,8.000,,1939.000,83.000,16.250,308.000,10.250,22.750
2021-01-01 10:00:00+01:00,148.000,267.000,684.500,,2.500,,0.000,0.000,15.000,8.000,,1938.750,83.000,16.250,459.750,9.750,10.500
2021-01-01 11:00:00+01:00,147.000,282.750,770.000,,2.000,0.000,0.000,0.000,15.000,8.000,,1938.000,83.000,16.500,523.750,9.250,3.500
2021-01-01 12:00:00+01:00,149.500,270.500,727.000,,3.000,0.000,,0.000,15.000,8.000,,1937.000,83.000,16.000,462.750,6.250,1.000
2021-01-01 13:00:00+01:00,150.000,274.500,756.750,,2.750,0.000,,0.000,14.250,8.000,,1939.250,83.000,16.000,317.750,8.750,1.250
2021-01-01 14:00:00+01:00,148.250,272.750,767.750,,3.000,0.000,0.000,0.000,14.000,7.000,,1939.000,83.000,16.000,143.250,10.000,2.250
2021-01-01 15:00:00+01:00,148.000,297.000,742.000,,3.000,0.000,0.000,0.000,14.000,7.000,,1939.000,82.000,16.000,30.250,10.000,7.250
2021-01-01 16:00:00+01:00,143.750,303.750,733.000,,3.250,,0.000,0.000,14.000,7.000,,1939.000,82.000,16.000,0.250,7.750,19.250
2021-01-01 17:00:00+01:00,143.500,324.250,779.500,,3.500,,0.000,0.000,14.000,7.000,,1938.750,85.000,16.000,0.000,9.750,54.500
2021-01-01 18:00:00+01:00,143.500,319.250,804.000,,4.500,0.000,0.000,0.000,14.000,7.000,,1937.500,77.000,16.000,0.000,9.750,83.750
2021-01-01 19:00:00+01:00,142.750,321.750,688.750,,5.500,0.000,,0.000,14.000,7.000,,1938.250,79.000,15.000,0.000,9.000,70.750
2021-01-01 20:00:00+01:00,144.000,324.750,706.500,,3.000,0.000,0.000,0.000,14.000,7.000,,1938.000,79.000,15.000,0.000,10.250,71.000
2021-01-01 21:00:00+01:00,147.750,302.250,735.250,,3.250,0.000,,0.000,14.000,7.000,,1937.750,79.000,15.000,0.000,9.750,89.000
2021-01-01 22:00:00+01:00,145.750,298.000,708.500,,3.750,0.000,,0.000,13.250,7.000,,1937.000,78.000,15.000,0.000,9.250,98.500
2021-01-01 23:00:00+01:00,146.750,297.000,703.250,,3.500,,0.000,0.000,13.000,7.000,,1937.000,78.000,15.000,0.000,8.750,102.250
2021-01-02 00:00:00+01:00,145.500,271.000,674.750,,3.000,,0.000,0.000,13.000,7.000,,1937.250,79.000,14.250,0.000,9.000,104.250
2021-01-02 01:00:00+01:00,142.750,240.250,638.750,,3.000,0.000,0.000,0.000,13.000,7.000,,1937.750,79.000,11.750,0.000,9.750,112.250
2021-01-02 02:00:00+01:00,113.250,246.000,606.000,,1.750,0.000,,0.000,13.000,7.000,,1938.500,78.000,11.000,0.000,9.000,120.250
2021-01-02 03:00:00+01:00,106.750,251.500,601.000,,2.750,0.000,,0.000,13.000,7.000,,1938.750,79.000,10.250,0.000,9.250,119.500
2021-01-02 04:00:00+01:00,107.250,251.000,578.250,,3.750,0.000,,0.000,13.000,7.000,,1938.250,78.000,10.000,0.000,9.000,120.750
2021-01-02 05:00:00+01:00,109.000,283.500,625.000,,3.500,0.000,,0.000,13.000,7.000,,1939.000,78.000,10.250,0.000,8.500,103.500
2021-01-02 06:00:00+01:00,134.250,321.500,600.500,,3.750,,0.000,0.000,12.500,6.250,,1939.000,79.000,13.750,0.000,8.750,90.500
2021-01-02 07:00:00+01:00,144.500,335.000,643.750,,2.750,,0.000,0.000,12.000,6.000,,1940.750,80.000,15.750,12.250,8.750,93.500
2021-01-02 08:00:00+01:00,146.750,338.250,635.500,0.000,1.333,,0.000,0.000,12.000,6.000,,1942.000,79.500,16.000,129.000,8.500,108.750
2021-01-02 09:00:00+01:00,149.500,335.250,694.000,,1.250,0.000,,0.000,12.000,5.500,,1941.750,84.000,17.000,330.750,8.750,109.500
2021-01-02 10:00:00+01:00,148.000,341.000,769.000,,2.000,0.000,,0.000,12.000,6.000,,1941.250,84.000,17.750,534.500,9.000,89.250
2021-01-02 11:00:00+01:00,150.000,333.500,769.750,,2.750,0.000,,0.000,12.000,6.000,,1941.500,84.000,16.750,618.750,8.500,61.500
2021-01-02 12:00:00+01:00,146.250,339.500,769.500,,3.250,0.000,,0.000,12.000,6.000,,1941.750,84.000,16.000,547.250,8.750,41.000
2021-01-02 13:00:00+01:00,145.500,344.000,766.500,,3.250,0.000,0.000,0.000,12.000,6.000,,1941.750,84.000,16.000,365.500,8.250,31.250
