timestamp_cec,Biomass,Fossil Brown coal/Lignite,Fossil Gas,Fossil Oil,Hydro Pumped Storage,Hydro Run-of-river and poundage,Nuclear,Solar,Waste,Wind Onshore,"('Biomass', 'Actual Aggregated')","('Biomass', 'Actual Consumption')","('Fossil Brown coal/Lignite', 'Actual Aggregated')","('Fossil Brown coal/Lignite', 'Actual Consumption')","('Fossil Gas', 'Actual Aggregated')","('Fossil Gas', 'Actual Consumption')","('Fossil Oil', 'Actual Aggregated')","('Fossil Oil', 'Actual Consumption')","('Hydro Pumped Storage', 'Actual Aggregated')","('Hydro Pumped Storage', 'Actual Consumption')","('Hydro Run-of-river and poundage', 'Actual Aggregated')","('Hydro Run-of-river and poundage', 'Actual Consumption')","('Nuclear', 'Actual Aggregated')","('Nuclear', 'Actual Consumption')","('Solar', 'Actual Aggregated')","('Solar', 'Actual Consumption')","('Waste', 'Actual Aggregated')","('Waste', 'Actual Consumption')","('Wind Onshore', 'Actual Aggregated')","('Wind Onshore', 'Actual Consumption')"
2021-01-01 00:00:00+01:00,13.000,231.000,60.000,0.000,0.000,700.000,690.000,0.000,11.000,0.000,,,,,,,,,,,,,,,,,,,,
2021-01-01 01:00:00+01:00,13.000,232.000,64.000,0.000,0.000,557.000,692.000,0.000,11.000,0.000,,,,,,,,,,,,,,,,,,,,
2021-01-01 02:00:00+01:00,13.000,234.000,66.000,0.000,0.000,480.000,692.000,0.000,11.000,0.000,,,,,,,,,,,,,,,,,,,,
2021-01-01 03:00:00+01:00,13.000,232.000,66.000,0.000,0.000,424.000,691.000,0.000,11.000,0.000,,,,,,,,,,,,,,,,,,,,
2021-01-01 04:00:00+01:00,13.000,233.000,66.000,0.000,0.000,421.000,690.000,0.000,11.000,0.000,,,,,,,,,,,,,,,,,,,,
2021-01-01 05:00:00+01:00,12.000,234.000,67.000,0.000,0.000,420.000,691.000,0.000,11.000,0.000,,,,,,,,,,,,,,,,,,,,
2021-01-01 06:00:00+01:00,12.000,234.000,67.000,0.000,0.000,436.000,691.000,0.000,11.000,0.000,,,,,,,,,,,,,,,,,,,,
2021-01-01 07:00:00+01:00,12.000,236.000,68.000,0.000,0.000,375.000,692.000,0.000,10.000,0.000,,,,,,,,,,,,,,,,,,,,
2021-01-01 08:00:00+01:00,12.000,233.000,68.000,0.000,0.000,532.000,692.000,10.000,10.000,0.000,,,,,,,,,,,,,,,,,,,,
2021-01-01 09:00:00+01:00,12.000,233.000,69.000,0.000,0.000,696.000,692.000,29.000,11.000,0.000,,,,,,,,,,,,,,,,,,,,
2021-01-01 10:00:00+01:00,12.000,234.000,66.000,0.000,0.000,695.000,691.000,47.000,11.000,0.000,,,,,,,,,,,,,,,,,,,,
2021-01-01 11:00:00+01:00,12.000,234.000,66.000,0.000,0.000,755.000,691.000,48.000,11.000,0.000,,,,,,,,,,,,,,,,,,,,
2021-01-01 12:00:00+01:00,12.000,231.000,67.000,0.000,0.000,783.000,691.000,37.000,11.000,0.000,,,,,,,,,,,,,,,,,,,,
2021-01-01 13:00:00+01:00,11.000,235.000,67.000,0.000,0.000,704.000,691.000,31.000,11.000,0.000,,,,,,,,,,,,,,,,,,,,
2021-01-01 14:00:00+01:00,12.000,225.000,67.000,0.000,0.000,661.000,691.000,21.000,11.000,0.000,,,,,,,,,,,,,,,,,,,,
2021-01-01 15:00:00+01:00,12.000,216.000,66.000,0.000,0.000,669.000,690.000,7.000,11.000,0.000,,,,,,,,,,,,,,,,,,,,
2021-01-01 16:00:00+01:00,12.000,223.000,67.000,0.000,0.000,897.000,690.000,0.000,11.000,0.000,,,,,,,,,,,,,,,,,,,,
