,Biomass,Fossil Gas,Fossil Oil,Hydro Pumped Storage,Hydro Pumped Storage,Hydro Run-of-river and poundage,Nuclear,Other,Solar,Waste,Wind Offshore,Wind Offshore,Wind Onshore
,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Consumption,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Consumption,Actual Aggregated
timestamp_cec,,,,,,,,,,,,,
2022-01-01 00:00:00+01:00,280.000,1009.000,0.000,,566.000,6.000,5965.000,437.000,0.000,251.000,1841.000,,464.000
2022-01-01 01:00:00+01:00,224.000,1076.000,0.000,,895.000,6.000,5967.000,456.000,0.000,252.000,1454.000,,408.000
2022-01-01 02:00:00+01:00,213.000,1036.000,0.000,,892.000,5.000,5968.000,477.000,0.000,255.000,1424.000,,339.000
2022-01-01 03:00:00+01:00,223.000,1002.000,0.000,,969.000,5.000,5968.000,463.000,0.000,257.000,1451.000,,423.000
2022-01-01 04:00:00+01:00,284.000,1080.000,0.000,,933.000,5.000,5967.000,460.000,0.000,257.000,1372.000,,437.000
2022-01-01 05:00:00+01:00,262.000,1078.000,0.000,,244.000,5.000,5968.000,498.000,0.000,256.000,1266.000,,574.000
2022-01-01 06:00:00+01:00,255.000,1070.000,0.000,110.000,,5.000,5970.000,517.000,0.000,255.000,1518.000,,660.000
2022-01-01 07:00:00+01:00,258.000,1114.000,0.000,117.000,,5.000,5971.000,532.000,0.000,254.000,1464.000,,634.000
2022-01-01 08:00:00+01:00,259.000,1167.000,0.000,295.000,,5.000,5972.000,618.000,0.000,257.000,1438.000,,604.000
2022-01-01 09:00:00+01:00,258.000,1136.000,0.000,122.000,,5.000,5972.000,695.000,120.000,266.000,1739.000,,660.000
2022-01-01 10:00:00+01:00,254.000,1084.000,0.000,9.000,12.000,5.000,5967.000,602.000,313.000,267.000,1989.000,,585.000
2022-01-01 11:00:00+01:00,256.000,1019.000,0.000,,38.000,5.000,5967.000,574.000,672.000,271.000,2134.000,,676.000
2022-01-01 12:00:00+01:00,260.000,1013.000,0.000,102.000,,5.000,5968.000,516.000,1071.000,276.000,2139.000,,608.000
2022-01-01 13:00:00+01:00,260.000,1052.000,0.000,,49.000,5.000,5968.000,505.000,1033.000,273.000,2134.000,,683.000
2022-01-01 14:00:00+01:00,262.000,1022.000,0.000,,253.000,5.000,5968.000,509.000,690.000,271.000,2108.000,,603.000
2022-01-01 15:00:00+01:00,260.000,1019.000,0.000,,217.000,5.000,5965.000,507.000,338.000,272.000,2106.000,,621.000
2022-01-01 16:00:00+01:00,257.000,1026.000,0.000,50.000,0.000,5.000,5965.000,506.000,50.000,277.000,2091.000,,679.000
2022-01-01 17:00:00+01:00,259.000,1097.000,0.000,554.000,,5.000,5965.000,467.000,0.000,277.000,2125.000,,798.000
2022-01-01 18:00:00+01:00,225.000,1124.000,0.000,688.000,,5.000,5964.000,434.000,0.000,272.000,2067.000,,843.000
2022-01-01 19:00:00+01:00,219.000,1112.000,0.000,687.000,,5.000,5962.000,450.000,0.000,272.000,2070.000,,1074.000
2022-01-01 20:00:00+01:00,230.000,1087.000,0.000,683.000,,5.000,5963.000,445.000,0.000,271.000,2002.000,,1112.000
2022-01-01 21:00:00+01:00,246.000,1054.000,0.000,287.000,,5.000,5966.000,434.000,0.000,276.000,1944.000,,1145.000
2022-01-01 22:00:00+01:00,245.000,1052.000,0.000,253.000,,6.000,5965.000,416.000,0.000,281.000,1910.000,,1138.000
2022-01-01 23:00:00+01:00,252.000,1013.000,0.000,8.000,0.000,6.000,5967.000,410.000,0.000,278.000,2051.000,,1063.000
2022-01-02 00:00:00+01:00,265.000,946.000,0.000,,152.000,6.000,5966.000,406.000,0.000,273.000,2121.000,,917.000
2022-01-02 01:00:00+01:00,261.000,986.000,0.000,,140.000,6.000,5966.000,436.000,0.000,272.000,2147.000,,786.000
2022-01-02 02:00:00+01:00,198.000,1057.000,0.000,,73.000,6.000,5968.000,443.000,0.000,273.000,2158.000,,706.000
2022-01-02 03:00:00+01:00,142.000,1004.000,0.000,,923.000,5.000,5968.000,441.000,0.000,271.000,2116.000,,809.000
2022-01-02 04:00:00+01:00,139.000,1050.000,0.000,,936.000,5.000,5969.000,445.000,0.000,272.000,2141.000,,694.000
