,Biomass,Fossil Brown coal/Lignite,Fossil Coal-derived gas,Fossil Gas,Fossil Hard coal,Fossil Oil,Hydro Pumped Storage,Hydro Pumped Storage,Hydro Run-of-river and poundage,Hydro Water Reservoir,Nuclear,Other,Other renewable,Solar,Waste,Wind Onshore
,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Consumption,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated
timestamp_cec,,,,,,,,,,,,,,,,
2022-01-01 00:00:00+01:00,256.000,2054.000,82.000,502.000,137.000,1.000,2.000,19.000,125.000,15.000,3447.000,0.000,255.000,0.000,21.000,194.000
2022-01-01 01:00:00+01:00,256.000,2073.000,70.000,505.000,139.000,0.000,0.000,313.000,126.000,15.000,3443.000,0.000,255.000,0.000,21.000,201.000
2022-01-01 02:00:00+01:00,257.000,2077.000,70.000,504.000,138.000,0.000,0.000,939.000,125.000,15.000,3444.000,0.000,254.000,0.000,21.000,194.000
2022-01-01 03:00:00+01:00,256.000,2057.000,70.000,506.000,136.000,0.000,0.000,1044.000,128.000,14.000,3447.000,0.000,253.000,0.000,21.000,180.000
2022-01-01 04:00:00+01:00,257.000,2050.000,74.000,502.000,133.000,0.000,0.000,1098.000,130.000,13.000,3446.000,0.000,253.000,0.000,21.000,192.000
2022-01-01 05:00:00+01:00,257.000,2078.000,8.000,514.000,133.000,0.000,0.000,1089.000,129.000,14.000,3446.000,0.000,255.000,0.000,21.000,169.000
2022-01-01 06:00:00+01:00,263.000,2144.000,5.000,529.000,134.000,0.000,0.000,750.000,127.000,18.000,3447.000,0.000,265.000,0.000,21.000,165.000
2022-01-01 07:00:00+01:00,261.000,2070.000,5.000,529.000,132.000,0.000,0.000,23.000,124.000,31.000,3445.000,0.000,265.000,2.000,21.000,145.000
2022-01-01 08:00:00+01:00,259.000,2016.000,5.000,519.000,131.000,0.000,0.000,5.000,122.000,57.000,3441.000,0.000,264.000,18.000,21.000,160.000
2022-01-01 09:00:00+01:00,264.000,2153.000,9.000,524.000,133.000,0.000,0.000,5.000,123.000,56.000,3445.000,0.000,263.000,104.000,21.000,145.000
