,Biomass,Fossil Brown coal/Lignite,Fossil Gas,Fossil Hard coal,Fossil Oil,Geothermal,Hydro Pumped Storage,Hydro Pumped Storage,Hydro Run-of-river and poundage,Hydro Water Reservoir,Nuclear,Other,Other renewable,Solar,Solar,Waste,Wind Offshore,Wind Onshore,Wind Onshore
,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Consumption,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Consumption,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Consumption
timestamp_cec,,,,,,,,,,,,,,,,,,,
2022-01-01 00:00:00+01:00,4268.250,3562.000,3498.500,2039.250,279.000,25.250,416.500,2607.000,1435.750,37.250,3304.750,333.000,131.750,2.000,0.000,855.250,5975.500,25602.750,0.000
2022-01-01 01:00:00+01:00,4256.000,3546.750,3414.250,2049.750,279.000,26.000,414.750,2663.500,1429.750,95.250,3348.000,333.000,132.000,2.000,0.000,853.000,5775.250,24347.750,0.000
2022-01-01 02:00:00+01:00,4258.000,3495.000,3408.750,2033.250,279.000,26.000,379.750,2923.500,1428.250,46.750,3344.250,333.000,133.000,2.000,0.000,845.250,5548.000,23188.750,0.000
2022-01-01 03:00:00+01:00,4263.000,3504.750,3414.000,2023.750,279.000,27.000,321.250,3327.750,1428.250,31.500,3342.500,333.000,132.500,2.000,0.000,841.750,5382.750,22113.500,0.000
2022-01-01 04:00:00+01:00,4267.250,3537.500,3428.750,2013.250,279.000,27.000,244.250,3561.750,1426.500,78.500,3342.500,333.000,131.500,2.000,0.000,835.500,5586.500,20620.750,0.000
2022-01-01 05:00:00+01:00,4280.250,3767.000,3421.250,2014.000,279.000,27.000,212.750,2898.750,1419.750,65.750,3347.250,333.000,131.500,2.000,0.000,841.750,4531.250,19587.750,0.000
2022-01-01 06:00:00+01:00,4329.000,3876.250,3447.750,2031.250,280.250,27.000,167.000,2337.250,1415.500,31.000,3343.250,333.000,131.000,2.000,0.000,843.250,4514.750,19292.750,0.000
2022-01-01 07:00:00+01:00,4403.250,3869.500,3471.750,2361.500,281.000,27.000,275.250,1913.750,1419.250,28.750,3329.250,329.500,131.000,2.000,0.000,854.750,4850.000,18058.500,0.000
2022-01-01 08:00:00+01:00,4523.750,3981.750,3605.500,2448.750,281.000,27.000,183.250,1711.750,1432.250,39.500,3343.500,326.000,131.750,224.500,0.000,856.000,4172.000,16698.500,0.000
2022-01-01 09:00:00+01:00,4565.750,4209.500,3526.500,2461.500,281.000,26.250,141.000,1486.250,1442.000,28.000,3330.750,324.500,132.000,1808.250,0.000,851.000,4214.000,15722.250,0.000
2022-01-01 10:00:00+01:00,4574.000,4374.250,3649.250,2444.000,281.000,22.250,206.000,1281.000,1446.250,29.000,3339.250,320.000,130.250,4126.750,0.000,853.250,4051.000,14030.500,0.000
2022-01-01 11:00:00+01:00,4540.250,4423.750,3662.500,2527.000,281.000,20.000,164.250,1502.250,1446.750,42.250,3343.250,320.000,132.250,6371.750,0.000,849.250,4265.000,11948.500,0.000
2022-01-01 12:00:00+01:00,4485.250,4503.500,3656.750,2722.500,281.000,17.000,871.500,689.000,1435.500,25.250,3348.000,320.000,130.750,7461.000,0.000,850.500,4995.000,10403.000,0.000
2022-01-01 13:00:00+01:00,4435.750,4239.750,3546.500,2748.750,281.000,17.000,1336.750,931.250,1434.250,36.500,3344.000,320.000,129.000,6602.500,0.000,851.000,5527.500,9010.750,0.000
