,Biomass,Fossil Gas,Fossil Hard coal,Fossil Oil,Hydro Pumped Storage,Hydro Pumped Storage,Hydro Run-of-river and poundage,Hydro Water Reservoir,Hydro Water Reservoir,Nuclear,Solar,Waste,Wind Onshore,Fossil Hard coal
,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Consumption,Actual Aggregated,Actual Aggregated,Actual Consumption,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Consumption
timestamp_cec,,,,,,,,,,,,,,
2022-01-01 00:00:00+01:00,373.000,2642.000,28.000,203.000,1077.000,,5863.000,2190.000,,39523.000,0.000,262.000,3153.000,
2022-01-01 01:00:00+01:00,378.000,2609.000,28.000,211.000,914.000,,5768.000,1903.000,,38466.000,0.000,269.000,3177.000,
2022-01-01 02:00:00+01:00,374.000,2502.000,29.000,212.000,,183.000,5580.000,1350.000,,37836.000,0.000,270.000,3050.000,
2022-01-01 03:00:00+01:00,372.000,2506.000,28.000,214.000,,1845.000,5466.000,573.000,,36816.000,0.000,270.000,3133.000,
2022-01-01 04:00:00+01:00,367.000,2509.000,29.000,215.000,,2844.000,5474.000,517.000,,36359.000,0.000,269.000,3403.000,
2022-01-01 05:00:00+01:00,364.000,2512.000,28.000,215.000,,3395.000,5435.000,530.000,,36759.000,0.000,263.000,3610.000,
2022-01-01 06:00:00+01:00,359.000,2510.000,29.000,215.000,,3695.000,5487.000,609.000,,37298.000,0.000,264.000,3747.000,
2022-01-01 07:00:00+01:00,357.000,2652.000,28.000,214.000,,3287.000,5490.000,625.000,,37624.000,0.000,260.000,4056.000,
2022-01-01 08:00:00+01:00,358.000,2656.000,28.000,214.000,,3003.000,5469.000,604.000,,39311.000,244.000,263.000,4531.000,
2022-01-01 09:00:00+01:00,359.000,2645.000,28.000,214.000,,2980.000,5674.000,599.000,,39731.000,962.000,260.000,4837.000,
2022-01-01 10:00:00+01:00,360.000,2653.000,28.000,215.000,,2811.000,5713.000,585.000,,40138.000,2410.000,259.000,4843.000,
2022-01-01 11:00:00+01:00,356.000,2656.000,28.000,215.000,,2639.000,5682.000,882.000,,40756.000,3698.000,245.000,4583.000,
2022-01-01 12:00:00+01:00,359.000,2686.000,28.000,215.000,,1901.000,5763.000,1288.000,,40987.000,4270.000,237.000,3890.000,
2022-01-01 13:00:00+01:00,359.000,2647.000,28.000,215.000,,1386.000,5773.000,1256.000,,40832.000,4332.000,236.000,3230.000,
