,Biomass,Fossil Brown coal/Lignite,Fossil Gas,Fossil Hard coal,Fossil Oil,Fossil Oil,Geothermal,Hydro Run-of-river and poundage,Hydro Water Reservoir,Nuclear,Other,Other renewable,Solar,Waste,Wind Onshore,Hydro Water Reservoir
,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Consumption,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Consumption
timestamp_cec,,,,,,,,,,,,,,,,
2022-01-01 00:00:00+01:00,131.250,310.000,526.000,0.000,,0.000,0.000,11.000,9.000,1948.000,69.000,8.750,0.000,14.000,75.750,
2022-01-01 01:00:00+01:00,131.250,309.000,537.500,0.000,,0.000,0.000,11.000,9.000,1949.000,69.000,7.500,0.000,14.500,167.000,
2022-01-01 02:00:00+01:00,129.500,307.000,541.750,0.000,,0.000,0.000,11.000,9.000,1947.750,68.000,7.000,0.000,14.500,215.250,
2022-01-01 03:00:00+01:00,127.250,302.250,548.500,0.000,,0.000,0.000,11.000,9.000,1947.250,69.000,7.000,0.000,14.000,239.750,
2022-01-01 04:00:00+01:00,126.500,291.750,549.250,0.000,0.000,0.000,0.000,11.000,9.000,1948.500,68.000,7.000,0.000,14.250,192.250,
2022-01-01 05:00:00+01:00,125.750,305.750,551.250,0.000,0.000,,0.000,11.000,9.000,1948.500,68.000,7.000,0.000,13.000,162.250,
2022-01-01 06:00:00+01:00,127.250,303.500,487.750,0.000,,0.000,0.000,11.000,9.000,1948.250,69.000,7.000,0.000,13.500,197.500,
2022-01-01 07:00:00+01:00,130.500,312.500,435.000,0.000,0.000,0.000,0.000,11.000,9.000,1947.250,72.000,6.750,11.250,14.250,221.750,
2022-01-01 08:00:00+01:00,130.750,216.500,372.500,0.000,0.000,0.000,0.000,11.000,9.000,1947.500,78.000,7.250,184.500,14.750,203.250,
2022-01-01 09:00:00+01:00,130.000,167.750,501.500,0.000,,0.000,0.000,11.000,9.000,1948.250,81.000,8.000,490.750,16.750,174.000,
2022-01-01 10:00:00+01:00,129.750,169.500,374.000,0.000,,0.000,0.000,11.000,9.000,1938.500,86.000,8.000,703.000,15.500,176.000,
2022-01-01 11:00:00+01:00,130.500,170.500,489.750,0.000,,0.000,0.000,11.000,9.000,1893.000,97.000,8.000,761.250,15.250,170.000,
2022-01-01 12:00:00+01:00,129.250,188.500,579.000,0.000,,0.000,0.000,11.000,9.000,1932.500,97.000,8.250,638.500,16.500,201.500,
2022-01-01 13:00:00+01:00,130.000,303.000,550.750,0.000,,0.000,0.000,11.000,9.000,1950.000,97.000,8.750,432.500,17.250,221.750,
2022-01-01 14:00:00+01:00,129.000,309.000,551.250,0.000,0.000,0.000,0.000,11.000,9.000,1950.000,97.000,8.750,235.500,15.500,194.500,
2022-01-01 15:00:00+01:00,130.000,303.750,551.250,0.000,0.000,,0.000,11.000,9.000,1950.500,82.000,8.750,56.750,11.000,188.250,
2022-01-01 16:00:00+01:00,129.750,308.250,492.500,0.000,0.000,,0.000,11.000,9.000,1950.250,76.000,8.250,0.750,10.750,195.750,
2022-01-01 17:00:00+01:00,130.000,313.000,510.500,0.000,0.000,0.000,0.000,11.000,9.000,1949.000,75.000,8.000,0.000,12.500,198.250,
2022-01-01 18:00:00+01:00,130.000,303.250,468.000,0.000,,0.000,0.000,11.000,9.000,1948.000,69.000,8.000,0.000,15.500,174.500,
2022-01-01 19:00:00+01:00,129.750,308.250,453.750,0.000,,0.000,0.000,11.000,9.000,1947.500,69.000,8.000,0.000,15.250,137.000,
2022-01-01 20:00:00+01:00,129.750,311.000,496.500,0.000,,0.000,0.000,11.000,9.000,1948.000,69.000,8.500,0.000,14.250,132.750,
2022-01-01 21:00:00+01:00,130.000,305.000,395.750,0.000,0.000,0.000,0.000,11.000,9.000,1947.500,68.000,8.250,0.000,14.750,124.250,
2022-01-01 22:00:00+01:00,129.250,222.500,516.250,0.000,0.000,0.000,0.000,11.000,9.000,1948.250,68.000,8.250,0.000,15.250,100.000,
2022-01-01 23:00:00+01:00,130.250,204.750,546.000,0.000,0.000,,0.000,11.000,9.000,1947.750,68.000,8.750,0.000,14.500,93.500,
2022-01-02 00:00:00+01:00,129.750,204.750,429.000,0.000,0.000,0.000,0.000,11.000,9.000,1950.250,70.000,7.750,0.000,15.000,85.250,
2022-01-02 01:00:00+01:00,129.250,178.750,414.000,0.000,,0.000,0.000,11.000,9.000,1951.000,70.000,7.000,0.000,14.750,74.000,
2022-01-02 02:00:00+01:00,128.000,164.500,473.500,0.000,,0.000,0.000,11.000,9.000,1950.500,69.000,6.750,0.000,14.500,39.500,
2022-01-02 03:00:00+01:00,127.000,164.000,482.250,0.000,,0.000,0.000,11.000,9.000,1950.250,70.000,6.500,0.000,14.750,8.750,
2022-01-02 04:00:00+01:00,126.000,182.250,484.250,0.000,,0.000,0.000,11.000,9.000,1949.250,69.000,6.750,0.000,15.250,12.250,
2022-01-02 05:00:00+01:00,125.250,275.500,392.000,0.000,0.000,,0.000,11.000,9.000,1950.000,69.000,6.250,0.000,15.250,46.750,
2022-01-02 06:00:00+01:00,125.250,214.000,417.250,0.000,,0.000,0.000,11.000,9.000,1948.750,70.000,7.250,0.000,15.000,85.000,
2022-01-02 07:00:00+01:00,129.250,166.500,507.750,0.000,0.000,0.000,0.000,11.000,9.000,1950.250,73.000,7.750,11.250,14.000,91.750,
2022-01-02 08:00:00+01:00,129.250,165.500,492.750,0.000,,0.000,0.000,11.000,9.000,1949.750,79.000,8.500,164.750,17.000,89.000,
2022-01-02 09:00:00+01:00,130.000,169.500,462.500,0.000,,0.000,1.000,11.000,9.000,1951.750,82.000,9.500,461.000,18.000,84.500,
2022-01-02 10:00:00+01:00,129.500,184.000,351.250,0.000,,0.000,1.000,11.000,9.000,1921.500,87.000,9.500,704.000,16.500,80.500,
2022-01-02 11:00:00+01:00,130.250,168.000,486.000,0.000,,0.000,1.000,11.000,9.000,1831.250,98.000,9.500,780.250,16.500,53.250,
2022-01-02 12:00:00+01:00,129.000,167.500,510.750,0.000,,0.000,1.000,11.000,8.000,1831.750,98.000,9.750,734.750,17.000,45.500,
