timestamp_cec,Biomass,Fossil Brown coal/Lignite,Fossil Gas,Fossil Oil,Hydro Pumped Storage,Hydro Run-of-river and poundage,Nuclear,Solar,Waste,Wind Onshore
2022-01-01 00:00:00+01:00,7.000,212.000,52.000,0.000,0.000,109.000,693.000,0.000,11.000,0.000
2022-01-01 01:00:00+01:00,7.000,207.000,56.000,0.000,0.000,96.000,693.000,0.000,11.000,0.000
2022-01-01 02:00:00+01:00,7.000,207.000,55.000,0.000,0.000,94.000,693.000,0.000,11.000,0.000
2022-01-01 03:00:00+01:00,7.000,207.000,55.000,0.000,0.000,94.000,693.000,0.000,11.000,0.000
2022-01-01 04:00:00+01:00,7.000,205.000,58.000,0.000,0.000,94.000,693.000,0.000,11.000,0.000
2022-01-01 05:00:00+01:00,6.000,206.000,60.000,0.000,0.000,103.000,693.000,0.000,11.000,0.000
2022-01-01 06:00:00+01:00,7.000,206.000,57.000,0.000,0.000,97.000,693.000,0.000,11.000,0.000
2022-01-01 07:00:00+01:00,6.000,204.000,57.000,0.000,0.000,135.000,693.000,0.000,10.000,0.000
2022-01-01 08:00:00+01:00,6.000,187.000,56.000,0.000,0.000,233.000,693.000,5.000,11.000,0.000
2022-01-01 09:00:00+01:00,6.000,189.000,56.000,0.000,0.000,239.000,693.000,18.000,11.000,0.000
2022-01-01 10:00:00+01:00,6.000,188.000,58.000,0.000,0.000,230.000,693.000,30.000,11.000,0.000
2022-01-01 11:00:00+01:00,6.000,188.000,57.000,0.000,0.000,240.000,694.000,38.000,11.000,0.000
2022-01-01 12:00:00+01:00,6.000,188.000,57.000,0.000,0.000,276.000,694.000,40.000,10.000,0.000
2022-01-01 13:00:00+01:00,6.000,188.000,56.000,0.000,0.000,263.000,694.000,36.000,10.000,0.000
2022-01-01 14:00:00+01:00,6.000,188.000,56.000,0.000,0.000,306.000,694.000,22.000,11.000,0.000
2022-01-01 15:00:00+01:00,6.000,188.000,56.000,0.000,174.000,305.000,694.000,7.000,11.000,0.000
2022-01-01 16:00:00+01:00,6.000,188.000,57.000,0.000,178.000,546.000,694.000,0.000,11.000,0.000
2022-01-01 17:00:00+01:00,7.000,188.000,60.000,0.000,176.000,624.000,694.000,0.000,11.000,0.000
2022-01-01 18:00:00+01:00,7.000,188.000,59.000,0.000,173.000,638.000,693.000,0.000,11.000,0.000
2022-01-01 19:00:00+01:00,7.000,188.000,57.000,0.000,173.000,637.000,693.000,0.000,11.000,0.000
2022-01-01 20:00:00+01:00,7.000,188.000,57.000,0.000,171.000,494.000,693.000,0.000,11.000,0.000
2022-01-01 21:00:00+01:00,7.000,188.000,57.000,0.000,0.000,364.000,694.000,0.000,11.000,0.000
2022-01-01 22:00:00+01:00,7.000,189.000,57.000,0.000,0.000,282.000,693.000,0.000,11.000,0.000
2022-01-01 23:00:00+01:00,7.000,204.000,54.000,0.000,0.000,185.000,693.000,0.000,12.000,0.000
2022-01-02 00:00:00+01:00,7.000,204.000,52.000,0.000,0.000,107.000,694.000,0.000,12.000,0.000
2022-01-02 01:00:00+01:00,7.000,206.000,55.000,0.000,0.000,107.000,693.000,0.000,11.000,0.000
2022-01-02 02:00:00+01:00,7.000,208.000,54.000,0.000,0.000,107.000,693.000,0.000,11.000,0.000
2022-01-02 03:00:00+01:00,7.000,207.000,54.000,0.000,0.000,107.000,693.000,0.000,11.000,0.000
2022-01-02 04:00:00+01:00,7.000,200.000,56.000,0.000,0.000,106.000,693.000,0.000,11.000,0.000
2022-01-02 05:00:00+01:00,7.000,207.000,58.000,0.000,0.000,105.000,693.000,0.000,11.000,0.000
2022-01-02 06:00:00+01:00,7.000,209.000,57.000,0.000,0.000,105.000,693.000,0.000,11.000,0.000
2022-01-02 07:00:00+01:00,7.000,205.000,57.000,0.000,0.000,146.000,693.000,0.000,12.000,0.000
2022-01-02 08:00:00+01:00,7.000,184.000,57.000,0.000,0.000,248.000,693.000,6.000,11.000,0.000
2022-01-02 09:00:00+01:00,7.000,185.000,57.000,0.000,0.000,289.000,693.000,21.000,11.000,0.000
2022-01-02 10:00:00+01:00,7.000,182.000,58.000,0.000,0.000,332.000,693.000,37.000,11.000,0.000
2022-01-02 11:00:00+01:00,6.000,182.000,58.000,0.000,0.000,304.000,692.000,50.000,11.000,0.000
2022-01-02 12:00:00+01:00,7.000,182.000,58.000,0.000,0.000,286.000,693.000,50.000,11.000,0.000
2022-01-02 13:00:00+01:00,7.000,178.000,56.000,0.000,0.000,267.000,694.000,41.000,10.000,0.000
2022-01-02 14:00:00+01:00,7.000,183.000,56.000,0.000,90.000,345.000,694.000,24.000,10.000,0.000
2022-01-02 15:00:00+01:00,7.000,180.000,56.000,0.000,90.000,408.000,694.000,7.000,11.000,0.000
2022-01-02 16:00:00+01:00,7.000,187.000,57.000,0.000,175.000,658.000,694.000,1.000,11.000,0.000
2022-01-02 17:00:00+01:00,7.000,190.000,59.000,0.000,153.000,700.000,694.000,0.000,11.000,0.000
2022-01-02 18:00:00+01:00,7.000,215.000,59.000,0.000,175.000,731.000,693.000,0.000,11.000,0.000
2022-01-02 19:00:00+01:00,7.000,207.000,58.000,0.000,161.000,653.000,694.000,0.000,11.000,0.000
2022-01-02 20:00:00+01:00,7.000,201.000,57.000,0.000,1.000,507.000,694.000,0.000,11.000,0.000
2022-01-02 21:00:00+01:00,7.000,201.000,57.000,0.000,0.000,401.000,693.000,0.000,11.000,0.000
2022-01-02 22:00:00+01:00,7.000,258.000,58.000,0.000,0.000,285.000,693.000,0.000,12.000,0.000
2022-01-02 23:00:00+01:00,7.000,289.000,55.000,0.000,0.000,191.000,694.000,0.000,11.000,0.000
2022-01-03 00:00:00+01:00,7.000,284.000,51.000,0.000,0.000,102.000,694.000,0.000,12.000,0.000
2022-01-03 01:00:00+01:00,7.000,282.000,55.000,0.000,0.000,96.000,693.000,0.000,11.000,0.000
2022-01-03 02:00:00+01:00,7.000,281.000,53.000,0.000,0.000,99.000,693.000,0.000,11.000,0.000
2022-01-03 03:00:00+01:00,7.000,267.000,54.000,0.000,0.000,100.000,693.000,0.000,11.000,0.000
2022-01-03 04:00:00+01:00,7.000,269.000,56.000,0.000,0.000,96.000,693.000,0.000,11.000,0.000
2022-01-03 05:00:00+01:00,7.000,372.000,58.000,0.000,0.000,94.000,693.000,0.000,11.000,0.000
2022-01-03 06:00:00+01:00,7.000,470.000,56.000,0.000,0.000,108.000,693.000,0.000,11.000,0.000
2022-01-03 07:00:00+01:00,7.000,462.000,56.000,0.000,0.000,177.000,693.000,0.000,12.000,0.000
2022-01-03 08:00:00+01:00,7.000,425.000,56.000,0.000,0.000,325.000,693.000,8.000,11.000,0.000
2022-01-03 09:00:00+01:00,7.000,429.000,56.000,0.000,0.000,249.000,693.000,27.000,12.000,0.000
2022-01-03 10:00:00+01:00,7.000,433.000,58.000,0.000,0.000,397.000,693.000,45.000,11.000,0.000
2022-01-03 11:00:00+01:00,7.000,431.000,59.000,0.000,0.000,346.000,694.000,56.000,11.000,0.000
2022-01-03 12:00:00+01:00,7.000,414.000,58.000,0.000,0.000,325.000,693.000,54.000,11.000,0.000
2022-01-03 13:00:00+01:00,7.000,390.000,57.000,0.000,0.000,300.000,694.000,39.000,10.000,0.000
2022-01-03 14:00:00+01:00,7.000,490.000,56.000,0.000,1.000,327.000,694.000,24.000,11.000,0.000
2022-01-03 15:00:00+01:00,7.000,505.000,57.000,0.000,92.000,556.000,694.000,7.000,10.000,0.000
2022-01-03 16:00:00+01:00,7.000,525.000,57.000,0.000,149.000,685.000,694.000,1.000,11.000,0.000
2022-01-03 17:00:00+01:00,7.000,534.000,59.000,0.000,159.000,734.000,693.000,0.000,11.000,0.000
2022-01-03 18:00:00+01:00,7.000,563.000,59.000,0.000,169.000,714.000,693.000,0.000,11.000,0.000
2022-01-03 19:00:00+01:00,7.000,564.000,56.000,0.000,169.000,648.000,694.000,0.000,11.000,0.000
2022-01-03 20:00:00+01:00,7.000,564.000,56.000,0.000,1.000,529.000,694.000,1.000,11.000,0.000
2022-01-03 21:00:00+01:00,7.000,545.000,57.000,0.000,0.000,408.000,693.000,0.000,12.000,0.000
2022-01-03 22:00:00+01:00,7.000,417.000,58.000,0.000,0.000,260.000,693.000,0.000,12.000,0.000
2022-01-03 23:00:00+01:00,7.000,326.000,55.000,0.000,0.000,171.000,694.000,0.000,11.000,0.000
2022-01-04 00:00:00+01:00,7.000,328.000,52.000,0.000,0.000,105.000,694.000,0.000,11.000,0.000
2022-01-04 01:00:00+01:00,7.000,332.000,55.000,0.000,0.000,101.000,693.000,0.000,11.000,0.000
2022-01-04 02:00:00+01:00,7.000,343.000,56.000,0.000,0.000,102.000,693.000,0.000,11.000,0.000
2022-01-04 03:00:00+01:00,7.000,343.000,54.000,0.000,0.000,103.000,694.000,0.000,11.000,0.000
2022-01-04 04:00:00+01:00,7.000,345.000,56.000,0.000,0.000,103.000,694.000,0.000,11.000,0.000
2022-01-04 05:00:00+01:00,7.000,423.000,57.000,0.000,0.000,103.000,694.000,0.000,11.000,0.000
2022-01-04 06:00:00+01:00,7.000,522.000,57.000,0.000,0.000,158.000,693.000,0.000,11.000,0.000
2022-01-04 07:00:00+01:00,7.000,556.000,57.000,0.000,0.000,452.000,693.000,0.000,11.000,0.000
