,Biomass,Biomass,Fossil Gas,Fossil Gas,Fossil Hard coal,Fossil Hard coal,Fossil Oil,Fossil Oil,Geothermal,Geothermal,Hydro Pumped Storage,Hydro Pumped Storage,Hydro Run-of-river and poundage,Hydro Run-of-river and poundage,Hydro Water Reservoir,Hydro Water Reservoir,Other,Other,Other renewable,Other renewable,Solar,Solar,Waste,Waste,Wind Onshore,Wind Onshore
,Actual Aggregated,Actual Consumption,Actual Aggregated,Actual Consumption,Actual Aggregated,Actual Consumption,Actual Aggregated,Actual Consumption,Actual Aggregated,Actual Consumption,Actual Aggregated,Actual Consumption,Actual Aggregated,Actual Consumption,Actual Aggregated,Actual Consumption,Actual Aggregated,Actual Consumption,Actual Aggregated,Actual Consumption,Actual Aggregated,Actual Consumption,Actual Aggregated,Actual Consumption,Actual Aggregated,Actual Consumption
timestamp_cec,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-01-01 00:00:00+01:00,240.000,0.000,28.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1515.500,2253.750,0.000,78.750,0.000,22.000,0.000,0.000,0.000,0.000,0.000,100.000,0.000,978.000,0.000
2023-01-01 01:00:00+01:00,240.000,0.000,28.250,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1586.250,2217.500,0.000,69.250,0.000,22.000,0.000,0.000,0.000,0.000,0.000,100.000,0.000,921.000,0.000
2023-01-01 02:00:00+01:00,240.000,0.000,28.250,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1696.750,2170.250,0.000,68.000,0.000,22.000,0.000,0.000,0.000,0.000,0.000,100.000,0.000,956.000,0.000
2023-01-01 03:00:00+01:00,240.000,0.000,35.500,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1723.250,2145.250,0.000,71.250,0.000,22.000,0.000,0.000,0.000,0.000,0.000,100.000,0.000,855.000,0.000
2023-01-01 04:00:00+01:00,242.000,0.000,51.250,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1665.500,2164.500,0.000,110.000,0.000,22.000,0.000,0.000,0.000,0.000,0.000,100.000,0.000,547.000,0.000
2023-01-01 05:00:00+01:00,244.000,0.000,51.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1540.250,2182.250,0.000,109.250,0.000,22.000,0.000,0.000,0.000,0.000,0.000,100.000,0.000,351.000,0.000
2023-01-01 06:00:00+01:00,244.000,0.000,52.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1058.000,2245.000,0.000,94.000,0.000,22.000,0.000,0.000,0.000,0.000,0.000,100.000,0.000,319.000,0.000
2023-01-01 07:00:00+01:00,244.000,0.000,51.250,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1068.000,2327.250,0.000,141.250,0.000,22.000,0.000,0.000,0.000,2.000,0.000,100.000,0.000,207.000,0.000
2023-01-01 08:00:00+01:00,244.000,0.000,52.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,841.000,2407.000,0.000,113.000,0.000,22.000,0.000,0.000,0.000,23.000,0.000,100.000,0.000,272.000,0.000
2023-01-01 09:00:00+01:00,244.000,0.000,55.500,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,951.500,2541.250,0.000,152.500,0.000,22.000,0.000,0.000,0.000,61.000,0.000,100.000,0.000,218.000,0.000
2023-01-01 10:00:00+01:00,244.000,0.000,39.500,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1015.000,2634.750,0.000,140.000,0.000,22.000,0.000,0.000,0.000,116.000,0.000,100.000,0.000,304.000,0.000
2023-01-01 11:00:00+01:00,244.000,0.000,32.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1001.250,2733.250,0.000,160.000,0.000,22.000,0.000,0.000,0.000,160.000,0.000,100.000,0.000,227.000,0.000
