,Biomass,Fossil Brown coal/Lignite,Fossil Coal-derived gas,Fossil Gas,Fossil Hard coal,Fossil Oil,Geothermal,Hydro Pumped Storage,Hydro Pumped Storage,Hydro Run-of-river and poundage,Hydro Water Reservoir,Nuclear,Other,Other renewable,Solar,Solar,Waste,Wind Offshore,Wind Onshore,Wind Onshore
,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Consumption,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Consumption,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Consumption
timestamp_cec,,,,,,,,,,,,,,,,,,,,
2023-01-01 00:00:00+01:00,4044.500,3859.250,651.250,1594.750,2067.500,306.500,25.250,125.250,2076.750,1215.000,81.000,2459.500,187.000,91.250,1.750,0.000,747.750,3059.250,28989.000,0.000
2023-01-01 01:00:00+01:00,4024.000,3866.500,629.250,1437.000,2052.000,306.000,25.000,302.500,1767.750,1212.500,35.000,2458.750,187.000,92.500,2.000,0.000,737.750,3586.000,29630.500,0.000
2023-01-01 02:00:00+01:00,3997.000,3860.250,571.250,1435.500,2034.250,305.750,25.000,141.500,3050.250,1211.000,32.500,2459.750,187.000,92.500,1.750,0.000,731.250,3842.250,29560.000,0.000
2023-01-01 03:00:00+01:00,4003.250,3864.750,579.250,1433.250,2037.000,306.000,25.000,96.250,3704.000,1208.750,35.500,2460.500,187.000,92.000,2.000,0.000,731.750,3463.250,27538.500,0.000
2023-01-01 04:00:00+01:00,4026.750,3841.000,604.750,1431.500,2040.250,306.000,25.000,188.250,3800.750,1204.250,60.750,2461.000,187.000,92.000,2.250,0.000,734.250,3462.250,26981.250,0.000
2023-01-01 05:00:00+01:00,4048.500,3804.000,606.500,1426.250,2036.500,306.000,25.000,143.500,4059.500,1203.750,44.000,2465.250,187.000,91.500,2.500,0.000,723.750,3340.000,27402.500,0.000
2023-01-01 06:00:00+01:00,4088.500,3801.500,609.250,1444.500,2033.000,306.000,24.750,94.500,4248.250,1195.750,48.500,2464.250,187.500,91.000,2.000,0.000,725.250,3268.500,27367.000,0.000
2023-01-01 07:00:00+01:00,4146.500,3830.500,617.500,1444.500,2031.000,306.000,25.000,176.000,3287.750,1191.250,115.250,2464.250,187.750,91.000,2.250,0.000,728.000,3479.750,27758.500,0.000
2023-01-01 08:00:00+01:00,4200.750,3788.750,618.500,1442.000,2037.250,305.500,25.000,87.000,2772.000,1194.250,51.250,2462.750,187.750,90.500,507.000,0.000,739.250,3117.500,26976.750,0.000
2023-01-01 09:00:00+01:00,4229.000,3786.500,603.500,1438.750,2028.000,305.250,24.250,55.250,1903.500,1208.750,44.250,2466.250,187.750,90.000,3323.750,0.000,734.250,3467.750,25745.750,0.000
2023-01-01 10:00:00+01:00,4243.250,3808.250,561.250,1435.750,1997.500,308.500,23.000,216.000,1726.000,1215.250,167.000,2464.000,188.000,91.000,6358.000,0.000,728.750,3396.250,24513.250,0.000
2023-01-01 11:00:00+01:00,4245.250,3824.750,575.250,1436.500,2005.250,308.000,22.000,191.250,1292.000,1214.750,116.000,2461.750,187.500,92.000,8449.250,0.000,731.250,3599.500,23494.250,0.000
2023-01-01 12:00:00+01:00,4202.750,3834.250,584.000,1441.500,2021.000,308.000,21.250,487.250,1194.750,1213.250,75.500,2458.500,187.250,94.750,8873.000,0.000,733.750,3628.250,21903.000,0.000
2023-01-01 13:00:00+01:00,4198.500,4018.750,603.250,1441.500,2046.500,308.000,21.000,286.000,1590.500,1210.000,56.000,2456.000,187.500,95.500,7784.750,0.000,744.500,4063.750,20629.750,0.000
2023-01-01 14:00:00+01:00,4174.000,4070.250,608.500,1443.250,2048.000,308.000,21.000,558.750,1829.750,1194.500,79.500,2453.750,187.000,95.250,4984.750,0.000,746.750,6562.000,20766.000,0.000
2023-01-01 15:00:00+01:00,4293.000,4097.500,648.000,1443.750,2081.500,308.000,21.500,899.500,1021.750,1182.250,57.750,2449.500,187.000,95.750,1789.500,0.000,740.000,6701.000,22341.750,0.000
2023-01-01 16:00:00+01:00,4396.500,4283.750,609.250,1544.250,2450.250,308.000,23.000,2176.750,261.250,1177.500,105.000,2452.000,187.000,94.250,105.500,0.000,734.000,6658.750,21018.000,0.000
2023-01-01 17:00:00+01:00,4488.250,4290.750,601.500,1521.500,2237.750,308.000,24.500,2839.500,183.250,1179.000,91.250,2456.750,187.000,93.500,3.250,0.000,755.500,6555.000,19993.000,0.000
2023-01-01 18:00:00+01:00,4485.250,4602.000,628.250,1587.000,2361.750,308.000,25.000,3054.500,387.250,1179.500,54.250,2457.250,187.250,94.500,2.000,0.000,752.500,6180.000,19730.000,0.000
2023-01-01 19:00:00+01:00,4442.500,4513.250,592.250,1566.500,2377.500,308.000,25.000,2418.000,494.000,1176.500,59.500,2458.750,192.000,97.750,2.000,0.000,748.250,6006.250,19398.500,0.000
2023-01-01 20:00:00+01:00,4371.500,4456.000,643.750,1593.500,2196.500,308.000,25.750,1269.000,632.500,1173.000,43.500,2462.250,187.500,95.000,2.250,0.000,755.750,5592.750,19769.250,0.000
2023-01-01 21:00:00+01:00,4299.250,4518.500,589.750,1562.250,1913.250,308.000,26.000,1123.250,624.250,1173.750,23.000,2461.750,187.000,95.000,2.500,0.000,748.500,6097.000,19606.000,0.000
2023-01-01 22:00:00+01:00,4225.250,4530.000,585.000,1569.000,1897.250,305.250,26.000,1212.250,524.250,1166.500,61.000,2461.500,187.500,95.250,2.250,0.000,748.500,5142.000,18615.250,0.000
2023-01-01 23:00:00+01:00,4140.500,4601.000,614.750,1569.250,1865.750,305.500,26.000,457.500,1041.000,1162.500,32.000,2460.500,187.250,95.000,2.250,0.000,753.500,4729.250,18323.750,0.000
2023-01-02 00:00:00+01:00,4036.500,4722.000,597.000,1631.500,1982.750,306.000,26.000,92.750,2814.500,1172.750,92.750,2462.750,186.000,95.000,2.000,0.000,754.250,2881.000,18794.750,0.000
2023-01-02 01:00:00+01:00,4021.250,4752.250,565.250,1597.750,1969.750,306.000,26.000,114.500,3575.250,1179.750,44.000,2461.250,186.000,95.750,2.000,0.000,746.500,1745.250,19322.000,0.000
2023-01-02 02:00:00+01:00,4002.750,4768.750,593.000,1620.000,2011.000,306.000,26.000,91.750,3610.750,1181.000,76.250,2461.000,186.000,96.750,2.250,0.000,729.250,1183.750,21199.500,0.000
2023-01-02 03:00:00+01:00,4008.750,4813.500,622.750,1617.500,2019.250,306.000,27.000,115.500,4576.250,1180.500,86.500,2460.500,186.000,96.750,2.000,0.000,740.250,851.000,22844.500,0.000
2023-01-02 04:00:00+01:00,4059.750,5608.250,614.750,1640.500,2053.750,306.000,26.500,97.000,4343.250,1184.500,89.500,2459.250,186.250,97.000,2.250,0.000,735.250,682.000,24816.750,0.000
2023-01-02 05:00:00+01:00,4122.500,6319.500,597.500,1699.000,2145.500,306.000,25.250,139.000,4373.250,1174.500,109.500,2459.500,189.750,99.000,2.000,0.000,709.750,858.500,25943.250,0.000
2023-01-02 06:00:00+01:00,4208.250,8034.250,584.250,1900.500,2383.500,306.000,25.000,830.750,2448.000,1167.500,59.500,2459.500,192.500,99.000,2.250,0.000,748.000,1174.250,27817.750,0.000
2023-01-02 07:00:00+01:00,4350.750,10114.250,602.000,2034.500,2691.250,306.000,24.250,464.000,934.250,1168.000,74.500,2462.250,194.000,99.250,2.250,0.000,752.500,1299.750,29205.250,0.000
2023-01-02 08:00:00+01:00,4450.000,10793.250,604.250,2100.250,2919.750,306.000,24.000,550.500,900.500,1173.000,48.500,2461.750,194.000,98.000,425.000,0.000,769.750,1746.750,30518.000,0.000
2023-01-02 09:00:00+01:00,4494.500,11788.000,585.500,2220.750,3211.500,306.000,24.000,899.250,647.500,1193.000,46.000,2463.000,194.000,96.500,2683.250,0.000,779.250,1978.250,30387.500,0.000
2023-01-02 10:00:00+01:00,4495.250,12474.250,587.000,2384.500,3457.500,306.000,23.500,1583.500,320.000,1205.250,120.000,2463.000,205.500,99.500,5214.000,0.000,779.000,2289.750,28520.500,0.000
2023-01-02 11:00:00+01:00,4464.250,12563.250,577.750,2494.500,3698.000,306.000,22.500,1490.000,63.250,1214.750,99.000,2465.000,211.000,104.250,6972.000,0.000,772.000,3031.750,27258.000,0.000
2023-01-02 12:00:00+01:00,4414.000,12670.500,600.000,2263.750,3398.500,306.000,22.000,765.750,396.750,1221.500,100.500,2463.000,199.500,97.750,7210.500,0.000,780.000,3315.750,26782.000,0.000
2023-01-02 13:00:00+01:00,4402.250,13115.500,601.750,2161.500,3505.750,306.000,22.000,325.500,421.250,1200.500,128.500,2459.250,236.000,96.000,5673.750,0.000,794.250,4467.500,25762.000,0.000
2023-01-02 14:00:00+01:00,4415.000,13232.000,614.250,2433.750,3761.250,306.000,22.000,534.500,314.500,1184.250,45.000,2458.000,244.000,100.750,3218.750,0.000,774.250,5731.250,24796.500,0.000
2023-01-02 15:00:00+01:00,4486.750,13383.750,603.750,2497.750,3849.500,306.000,22.250,774.250,175.000,1177.250,42.250,2459.000,251.000,106.750,974.000,0.000,777.250,5931.250,23525.500,0.000
2023-01-02 16:00:00+01:00,4629.250,13392.500,629.500,2558.500,3971.250,306.000,23.000,1860.000,194.250,1184.750,55.250,2458.000,251.000,107.500,48.750,0.000,791.750,6211.750,22743.250,0.000
2023-01-02 17:00:00+01:00,4721.000,13396.000,578.000,2749.750,4163.750,306.000,23.750,5175.000,233.500,1195.500,51.500,2456.250,251.000,106.000,4.000,0.000,791.250,6376.250,22791.250,0.000
