,Biomass,Fossil Gas,Fossil Hard coal,Fossil Oil,Hydro Pumped Storage,Hydro Pumped Storage,Hydro Run-of-river and poundage,Hydro Water Reservoir,Hydro Water Reservoir,Nuclear,Solar,Waste,Wind Onshore,Wind Offshore,Wind Offshore
,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Consumption,Actual Aggregated,Actual Aggregated,Actual Consumption,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Consumption
timestamp_cec,,,,,,,,,,,,,,,
2023-01-01 00:00:00+01:00,427.000,2235.000,44.000,196.000,,924.000,4833.000,591.000,,25779.000,0.000,133.000,14137.000,,
2023-01-01 01:00:00+01:00,424.000,2253.000,44.000,203.000,,1331.000,4849.000,607.000,,25620.000,0.000,135.000,11777.000,,
2023-01-01 02:00:00+01:00,426.000,2243.000,44.000,203.000,,1192.000,4853.000,37.000,,25066.000,0.000,136.000,11437.000,,
2023-01-01 03:00:00+01:00,424.000,2306.000,45.000,203.000,,1295.000,4715.000,,21.000,24502.000,0.000,136.000,11087.000,,
2023-01-01 04:00:00+01:00,424.000,2254.000,45.000,202.000,,2486.000,4571.000,,261.000,24423.000,0.000,136.000,10718.000,,
2023-01-01 05:00:00+01:00,419.000,2251.000,45.000,203.000,,3168.000,4524.000,,188.000,24536.000,0.000,138.000,10130.000,,
2023-01-01 06:00:00+01:00,423.000,2257.000,46.000,202.000,,3212.000,4615.000,,136.000,24306.000,0.000,136.000,9717.000,,
2023-01-01 07:00:00+01:00,426.000,2439.000,47.000,202.000,,3358.000,4620.000,,98.000,24405.000,0.000,133.000,9697.000,,
2023-01-01 08:00:00+01:00,425.000,2479.000,47.000,203.000,,3181.000,4649.000,,189.000,24604.000,271.000,132.000,9141.000,,
2023-01-01 09:00:00+01:00,427.000,2543.000,49.000,203.000,,3097.000,4673.000,,70.000,23722.000,867.000,132.000,10077.000,,
2023-01-01 10:00:00+01:00,425.000,2551.000,49.000,204.000,,2852.000,4649.000,38.000,,23949.000,1962.000,131.000,9694.000,,
2023-01-01 11:00:00+01:00,424.000,2745.000,49.000,204.000,,2160.000,4591.000,152.000,,24684.000,2858.000,128.000,9151.000,,
2023-01-01 12:00:00+01:00,417.000,2905.000,49.000,200.000,,1003.000,4524.000,1180.000,,24917.000,3349.000,124.000,8050.000,,
2023-01-01 13:00:00+01:00,417.000,2913.000,49.000,200.000,,1295.000,4578.000,2185.000,,26259.000,3131.000,123.000,7484.000,,
2023-01-01 14:00:00+01:00,422.000,2824.000,49.000,200.000,,1340.000,4773.000,2194.000,,27838.000,2394.000,122.000,7309.000,,
2023-01-01 15:00:00+01:00,423.000,2823.000,49.000,200.000,,511.000,4797.000,2217.000,,29005.000,1460.000,119.000,7442.000,,
