timestamp_cec,Fossil Gas,Hydro Pumped Storage,Hydro Run-of-river and poundage,Hydro Water Reservoir,Waste,Wind Onshore
2023-01-01 00:00:00+01:00,0.000,0.000,761.000,1910.000,13.000,118.000
2023-01-01 01:00:00+01:00,0.000,0.000,758.000,1371.000,13.000,150.000
2023-01-01 02:00:00+01:00,0.000,0.000,760.000,969.000,13.000,212.000
2023-01-01 03:00:00+01:00,0.000,0.000,750.000,752.000,13.000,203.000
2023-01-01 04:00:00+01:00,0.000,0.000,755.000,720.000,13.000,182.000
2023-01-01 05:00:00+01:00,0.000,0.000,748.000,725.000,13.000,144.000
2023-01-01 06:00:00+01:00,0.000,0.000,740.000,670.000,13.000,166.000
2023-01-01 07:00:00+01:00,0.000,0.000,738.000,716.000,13.000,297.000
2023-01-01 08:00:00+01:00,0.000,0.000,733.000,807.000,13.000,513.000
2023-01-01 09:00:00+01:00,0.000,0.000,724.000,1063.000,13.000,675.000
2023-01-01 10:00:00+01:00,0.000,0.000,711.000,1317.000,13.000,753.000
2023-01-01 11:00:00+01:00,0.000,0.000,719.000,1673.000,13.000,785.000
2023-01-01 12:00:00+01:00,0.000,1.000,730.000,1740.000,13.000,888.000
2023-01-01 13:00:00+01:00,0.000,1.000,734.000,1964.000,13.000,983.000
2023-01-01 14:00:00+01:00,0.000,1.000,736.000,2033.000,13.000,1006.000
2023-01-01 15:00:00+01:00,0.000,1.000,731.000,2397.000,13.000,931.000
2023-01-01 16:00:00+01:00,0.000,1.000,727.000,2710.000,13.000,882.000
2023-01-01 17:00:00+01:00,0.000,1.000,733.000,2726.000,13.000,813.000
2023-01-01 18:00:00+01:00,0.000,1.000,734.000,2568.000,13.000,779.000
2023-01-01 19:00:00+01:00,0.000,1.000,735.000,2493.000,13.000,768.000
2023-01-01 20:00:00+01:00,0.000,1.000,736.000,2573.000,13.000,671.000
2023-01-01 21:00:00+01:00,0.000,1.000,739.000,2634.000,13.000,532.000
2023-01-01 22:00:00+01:00,0.000,1.000,744.000,2457.000,13.000,448.000
2023-01-01 23:00:00+01:00,0.000,1.000,742.000,2329.000,13.000,361.000
2023-01-02 00:00:00+01:00,0.000,1.000,713.000,2532.000,13.000,272.000
2023-01-02 01:00:00+01:00,0.000,1.000,710.000,2480.000,13.000,218.000
2023-01-02 02:00:00+01:00,0.000,1.000,700.000,2419.000,13.000,199.000
