,Biomass,Energy storage,Fossil Gas,Fossil Oil,Hydro Pumped Storage,Hydro Pumped Storage,Hydro Run-of-river and poundage,Nuclear,Other,Solar,Waste,Wind Offshore,Wind Offshore,Wind Onshore
,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Consumption,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Consumption,Actual Aggregated
timestamp_cec,,,,,,,,,,,,,,
2025-01-01 00:00:00+01:00,85.000,5.000,757.000,0.000,,210.000,51.000,3955.000,621.000,0.000,244.000,2063.000,,1876.000
2025-01-01 01:00:00+01:00,86.000,10.000,750.000,0.000,,393.000,51.000,3952.000,622.000,0.000,246.000,2061.000,,1920.000
2025-01-01 02:00:00+01:00,84.000,23.000,751.000,0.000,,25.000,46.000,3952.000,616.000,0.000,246.000,2081.000,,2102.000
2025-01-01 03:00:00+01:00,86.000,11.000,750.000,0.000,,242.000,45.000,3953.000,625.000,0.000,244.000,2084.000,,1991.000
2025-01-01 04:00:00+01:00,81.000,9.000,718.000,0.000,,246.000,44.000,3953.000,647.000,0.000,244.000,2120.000,,2037.000
2025-01-01 05:00:00+01:00,78.000,0.000,707.000,0.000,,246.000,45.000,3952.000,647.000,0.000,245.000,2120.000,,2002.000
2025-01-01 06:00:00+01:00,83.000,4.000,709.000,0.000,,245.000,47.000,3952.000,652.000,0.000,243.000,2123.000,,2008.000
2025-01-01 07:00:00+01:00,82.000,2.000,709.000,0.000,,213.000,48.000,3951.000,697.000,0.000,243.000,2121.000,,2001.000
2025-01-01 08:00:00+01:00,81.000,3.000,710.000,0.000,,397.000,48.000,3952.000,701.000,0.000,245.000,2091.000,,1894.000
2025-01-01 09:00:00+01:00,85.000,5.000,708.000,0.000,,6.000,49.000,3954.000,688.000,62.000,240.000,2097.000,,2012.000
2025-01-01 10:00:00+01:00,85.000,9.000,711.000,0.000,,42.000,50.000,3952.000,724.000,196.000,244.000,2046.000,,1967.000
2025-01-01 11:00:00+01:00,84.000,8.000,767.000,0.000,6.000,12.000,51.000,3951.000,738.000,247.000,239.000,2082.000,,2146.000
2025-01-01 12:00:00+01:00,81.000,17.000,745.000,0.000,,22.000,51.000,3950.000,730.000,262.000,240.000,2039.000,,2214.000
2025-01-01 13:00:00+01:00,84.000,9.000,739.000,0.000,,397.000,51.000,3950.000,712.000,218.000,239.000,1996.000,,2212.000
2025-01-01 14:00:00+01:00,83.000,12.000,747.000,0.000,,400.000,51.000,3952.000,713.000,145.000,243.000,1982.000,,2201.000
2025-01-01 15:00:00+01:00,78.000,18.000,757.000,0.000,,15.000,51.000,3955.000,746.000,47.000,241.000,1936.000,,2076.000
2025-01-01 16:00:00+01:00,78.000,10.000,767.000,0.000,30.000,21.000,51.000,3956.000,770.000,2.000,245.000,1845.000,,2070.000
2025-01-01 17:00:00+01:00,80.000,32.000,764.000,0.000,2.000,36.000,51.000,3955.000,794.000,0.000,243.000,1796.000,,2044.000
2025-01-01 18:00:00+01:00,81.000,38.000,761.000,0.000,69.000,13.000,51.000,3954.000,790.000,0.000,234.000,1595.000,,1968.000
2025-01-01 19:00:00+01:00,80.000,57.000,865.000,0.000,617.000,,52.000,3954.000,791.000,0.000,236.000,1491.000,,1816.000
2025-01-01 20:00:00+01:00,83.000,17.000,815.000,0.000,152.000,,52.000,3954.000,774.000,0.000,236.000,1873.000,,1595.000
2025-01-01 21:00:00+01:00,84.000,0.000,757.000,0.000,293.000,,52.000,3953.000,749.000,0.000,231.000,2050.000,,1308.000
2025-01-01 22:00:00+01:00,83.000,19.000,774.000,0.000,4.000,5.000,52.000,3953.000,784.000,0.000,237.000,1890.000,,1090.000
2025-01-01 23:00:00+01:00,82.000,25.000,777.000,0.000,,9.000,51.000,3954.000,751.000,0.000,238.000,1806.000,,873.000
