,Biomass,Fossil Brown coal/Lignite,Fossil Coal-derived gas,Fossil Gas,Fossil Hard coal,Fossil Oil,Geothermal,Hydro Pumped Storage,Hydro Pumped Storage,Hydro Run-of-river and poundage,Hydro Water Reservoir,Other,Other renewable,Solar,Solar,Waste,Wind Offshore,Wind Onshore,Wind Onshore
,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Consumption,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Consumption,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Consumption
timestamp_cec,,,,,,,,,,,,,,,,,,,
2025-01-01 00:00:00+01:00,3829.750,3269.500,595.750,4692.750,2806.500,382.000,33.000,458.000,867.500,1350.250,100.750,212.000,98.250,9.500,0.000,719.000,2502.000,32883.750,0.000
2025-01-01 01:00:00+01:00,3774.750,3739.250,570.000,4328.000,2719.000,382.000,33.000,144.250,1100.500,1340.250,49.750,212.000,98.000,9.500,0.000,721.500,2395.500,33528.750,0.000
2025-01-01 02:00:00+01:00,3750.000,3265.000,538.000,4218.000,2717.000,382.000,33.000,1.000,2250.000,1324.750,28.750,212.000,98.000,9.000,0.000,719.500,2614.000,33791.500,0.000
2025-01-01 03:00:00+01:00,3749.500,3226.500,494.500,4280.000,2639.000,382.000,34.000,97.000,2645.000,1308.750,17.250,211.250,93.750,9.250,0.000,715.500,1684.250,32901.750,0.000
2025-01-01 04:00:00+01:00,3723.750,3237.500,474.000,4335.000,2583.250,382.000,34.000,3.250,4566.250,1302.500,28.250,211.750,93.500,9.000,0.000,717.250,1327.750,33148.500,0.000
2025-01-01 05:00:00+01:00,3725.250,3223.750,466.000,4465.250,2403.250,382.000,33.750,0.000,5162.500,1296.500,10.750,211.750,96.000,9.250,0.000,720.500,1163.250,33611.250,0.000
2025-01-01 06:00:00+01:00,3761.750,3237.000,466.000,4489.250,2268.250,382.000,33.000,16.750,4951.750,1308.500,56.750,210.000,96.500,10.750,0.000,718.500,1037.000,35485.000,0.000
2025-01-01 07:00:00+01:00,3793.750,3251.250,463.750,4439.250,1987.750,382.000,32.250,95.000,2843.000,1313.000,155.250,210.000,97.000,12.500,0.000,719.500,1310.000,36137.000,0.000
2025-01-01 08:00:00+01:00,3899.250,3241.250,454.750,4092.750,1860.000,382.000,32.000,56.750,2261.000,1312.250,117.500,209.500,96.750,723.500,0.000,716.500,2419.000,35709.000,0.000
2025-01-01 09:00:00+01:00,3908.000,3238.500,460.250,4021.500,1828.250,382.000,31.000,40.500,4075.250,1337.750,127.250,209.500,97.250,4054.250,0.000,720.500,2093.750,34633.250,0.000
2025-01-01 10:00:00+01:00,3833.000,3273.250,498.000,3999.750,1844.250,382.000,29.750,26.500,5632.250,1362.000,88.750,206.000,97.000,7921.500,0.000,719.750,2116.250,36185.500,0.000
2025-01-01 11:00:00+01:00,3842.250,3265.500,538.000,3980.500,1849.750,382.000,28.500,54.250,5584.500,1382.000,69.500,204.250,96.250,11159.750,0.000,719.000,1851.000,35969.250,0.000
2025-01-01 12:00:00+01:00,3791.500,3283.500,542.250,3658.750,1848.750,382.000,28.500,53.750,5518.250,1399.000,98.500,204.000,90.750,12122.750,0.000,712.000,2145.000,36697.000,0.000
2025-01-01 13:00:00+01:00,3767.000,3242.000,526.750,3636.250,1849.500,382.000,29.000,140.250,5384.750,1393.500,105.250,204.000,86.250,10670.250,0.000,716.250,2689.750,37676.500,0.000
2025-01-01 14:00:00+01:00,3774.500,3291.500,485.250,3625.500,1836.000,382.000,29.000,88.000,5014.250,1358.250,90.250,204.000,95.500,7056.750,0.000,715.500,3463.500,38654.000,0.000
2025-01-01 15:00:00+01:00,3821.750,3348.500,515.500,3602.500,1833.750,382.000,29.250,97.000,3145.750,1337.750,98.000,198.250,96.500,2781.500,0.000,715.000,4613.000,41344.000,0.000
2025-01-01 16:00:00+01:00,3982.750,3395.750,568.250,3654.500,1934.250,382.000,30.500,432.250,1100.500,1340.000,135.500,197.500,97.500,193.500,0.000,726.500,4720.500,41985.750,0.000
2025-01-01 17:00:00+01:00,4110.750,3337.250,558.750,3704.000,2326.500,382.000,30.750,393.250,516.250,1347.000,106.250,196.000,97.250,19.250,0.000,727.750,4809.750,43897.000,0.000
2025-01-01 18:00:00+01:00,4143.500,3289.250,522.500,3711.500,2667.750,382.000,31.000,516.000,448.250,1340.750,38.750,196.000,97.000,14.750,0.000,723.000,3803.250,44343.500,0.000
2025-01-01 19:00:00+01:00,4124.500,3308.750,516.000,3746.250,2778.250,382.000,31.000,448.750,817.000,1350.750,96.750,196.000,97.000,12.250,0.000,721.500,3496.750,43482.000,0.000
2025-01-01 20:00:00+01:00,4048.250,3209.500,518.250,3600.000,2897.750,382.000,30.000,404.250,1437.250,1329.500,39.750,196.000,97.000,12.500,0.000,705.250,3979.250,42821.500,0.000
2025-01-01 21:00:00+01:00,3987.500,3195.250,511.000,3577.750,3005.000,382.000,30.750,556.250,1523.250,1318.500,51.750,196.000,97.000,11.250,0.000,723.750,3979.500,41568.750,0.000
2025-01-01 22:00:00+01:00,3943.000,3192.000,481.000,3532.000,3089.750,382.000,31.750,560.750,1077.750,1320.000,41.250,197.000,96.500,10.000,0.000,724.250,3853.500,39808.000,0.000
2025-01-01 23:00:00+01:00,3852.500,3186.250,506.000,3526.750,3115.000,382.000,32.000,487.500,1420.250,1315.250,42.250,197.000,96.750,9.750,0.000,720.750,4115.000,39762.250,0.000
