,Biomass,Fossil Gas,Fossil Hard coal,Fossil Hard coal,Fossil Oil,Hydro Pumped Storage,Hydro Pumped Storage,Hydro Run-of-river and poundage,Hydro Water Reservoir,Nuclear,Solar,Waste,Wind Offshore,Wind Offshore,Wind Onshore,Wind Onshore,Energy storage,Energy storage,Fossil Oil
,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Consumption,Actual Aggregated,Actual Aggregated,Actual Consumption,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Consumption,Actual Aggregated,Actual Consumption,Actual Aggregated,Actual Consumption,Actual Consumption
timestamp_cec,,,,,,,,,,,,,,,,,,,
2025-01-01 00:00:00+01:00,352.250,2003.000,,7.000,109.500,168.000,2382.750,4409.750,705.750,46091.250,0.000,300.250,1366.000,,9687.500,,,,
2025-01-01 01:00:00+01:00,360.250,1758.000,,7.250,110.500,249.000,2392.250,4320.750,737.250,44640.000,0.000,297.750,1379.000,,10062.750,,,,
2025-01-01 02:00:00+01:00,360.000,1620.250,,7.000,111.000,31.750,2792.750,4253.500,693.250,44255.000,0.000,295.250,1378.750,,10212.500,,,,
2025-01-01 03:00:00+01:00,358.750,1623.000,,7.750,110.250,1.750,2953.750,4133.500,216.500,42739.750,0.000,294.500,1382.250,,10497.750,,,,
2025-01-01 04:00:00+01:00,358.750,1635.750,,7.750,110.750,0.000,3178.250,3879.750,209.000,41264.750,0.000,295.750,1414.000,,10739.750,,,,
2025-01-01 05:00:00+01:00,361.000,1641.250,,7.750,111.000,0.250,2909.750,3760.750,425.000,41096.000,0.000,295.000,1414.500,,11057.750,,,,
2025-01-01 06:00:00+01:00,359.500,1643.250,,7.500,111.000,0.000,3175.000,3809.750,315.500,41577.500,0.000,294.000,1432.500,,11716.750,,,,
2025-01-01 07:00:00+01:00,359.250,1843.750,,7.750,110.500,0.000,3141.000,3896.500,309.500,40776.500,0.000,295.500,1437.500,,12291.000,,,,
2025-01-01 08:00:00+01:00,360.250,1861.750,,7.500,110.500,46.750,3103.750,3893.250,250.500,41763.000,413.000,299.000,1437.000,,12711.250,,,,
2025-01-01 09:00:00+01:00,359.500,1855.000,,7.250,110.250,104.250,3107.750,3741.500,289.000,42357.750,1562.500,300.750,1438.750,,13394.250,,,,
2025-01-01 10:00:00+01:00,358.250,1839.500,,7.000,110.750,1.000,3084.750,3524.500,193.250,42168.000,3903.250,306.750,1436.750,,13541.750,,,,
2025-01-01 11:00:00+01:00,358.500,1848.000,,7.000,110.750,36.250,2427.750,3554.250,107.000,42482.750,5872.250,299.250,1437.500,,13841.750,,,,
2025-01-01 12:00:00+01:00,358.000,1845.250,,6.000,110.500,2.750,2664.000,3631.250,552.500,43386.000,6769.750,296.250,1437.500,,14056.250,,,,
2025-01-01 13:00:00+01:00,357.750,1830.500,,6.500,110.750,122.250,2468.250,3717.500,474.750,42365.750,7018.000,296.000,1438.000,,14309.250,,,,
2025-01-01 14:00:00+01:00,359.500,1812.250,,6.250,110.750,23.250,2473.250,3725.250,187.250,42495.250,5999.500,294.500,1437.250,,14445.250,,,,
2025-01-01 15:00:00+01:00,358.000,1806.500,,6.000,110.250,0.000,3024.750,3646.000,183.750,42417.250,3864.250,294.500,1437.500,,14520.750,,,,
2025-01-01 16:00:00+01:00,355.750,1859.000,,2.500,110.750,0.000,2076.000,3613.000,650.500,43337.000,1322.750,296.250,1436.250,,14595.000,,,,
2025-01-01 17:00:00+01:00,355.250,2081.750,,1.750,110.750,95.500,2209.500,3817.500,611.500,46188.000,329.000,293.000,1438.250,,15195.250,,,,
