,Biomass,Fossil Brown coal/Lignite,Fossil Gas,Fossil Hard coal,Fossil Oil,Fossil Oil,Geothermal,Hydro Run-of-river and poundage,Hydro Water Reservoir,Nuclear,Other,Other renewable,Solar,Waste,Wind Onshore,Fossil Gas,Hydro Water Reservoir,Wind Onshore
,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Consumption,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Consumption,Actual Consumption,Actual Consumption
timestamp_cec,,,,,,,,,,,,,,,,,,
2025-01-01 00:00:00+01:00,177.250,174.750,573.000,24.500,0.000,,1.000,9.000,9.000,1946.500,46.500,18.250,0.000,13.250,0.000,,,
2025-01-01 01:00:00+01:00,176.250,122.750,515.500,23.750,2.750,,1.000,9.000,9.000,1946.750,46.750,18.000,2.750,15.500,0.000,,,
2025-01-01 02:00:00+01:00,174.250,119.750,525.250,23.500,1.000,0.000,1.000,9.000,9.000,1947.500,45.750,17.000,0.750,19.250,0.000,,,
2025-01-01 03:00:00+01:00,175.000,108.000,426.000,23.750,0.000,,1.000,9.000,9.000,1948.000,46.500,16.750,0.000,20.000,0.000,,,
2025-01-01 04:00:00+01:00,175.000,105.750,451.250,23.500,0.000,,1.000,10.000,9.000,1947.250,45.500,17.000,0.000,19.750,0.000,,,
2025-01-01 05:00:00+01:00,175.000,108.000,457.500,23.250,0.000,,1.000,10.000,9.000,1948.500,45.750,17.250,0.000,19.000,0.000,,,
2025-01-01 06:00:00+01:00,176.000,106.250,393.500,23.750,0.000,,1.000,10.000,9.000,1948.250,46.750,17.750,0.000,19.000,0.000,,,
2025-01-01 07:00:00+01:00,177.000,108.500,429.750,24.250,0.000,0.000,1.000,10.000,9.000,1948.250,47.000,19.500,3.250,19.000,0.000,,,
2025-01-01 08:00:00+01:00,178.000,119.750,362.250,23.750,0.000,,1.000,10.000,9.000,1949.000,49.250,18.000,66.750,18.000,0.000,,,
2025-01-01 09:00:00+01:00,178.500,98.750,320.000,23.250,0.000,,1.000,9.500,9.000,1948.750,57.000,11.750,162.000,18.000,0.000,,,
2025-01-01 10:00:00+01:00,180.250,97.750,391.000,23.500,0.000,0.000,1.000,8.000,9.000,1949.250,62.750,15.500,249.250,18.000,0.000,,,
2025-01-01 11:00:00+01:00,181.750,99.000,485.500,23.750,0.000,0.000,1.000,8.000,9.000,1949.000,67.000,18.000,316.750,18.000,0.000,,,
2025-01-01 12:00:00+01:00,182.750,106.500,541.750,25.000,0.000,0.000,1.000,8.000,9.000,1948.500,70.750,19.250,310.250,17.500,0.000,,,
2025-01-01 13:00:00+01:00,182.250,105.750,612.750,22.750,0.500,,1.000,8.750,9.000,1947.750,69.250,19.250,241.250,16.250,0.000,,,
2025-01-01 14:00:00+01:00,180.250,107.750,759.500,23.750,0.000,,1.000,9.000,9.000,1946.750,61.500,19.000,141.000,20.750,0.000,,,
2025-01-01 15:00:00+01:00,179.000,148.750,940.000,22.750,0.000,,1.000,9.000,9.000,1947.000,48.500,20.500,35.000,17.750,0.000,,,
2025-01-01 16:00:00+01:00,177.750,159.500,1023.250,23.000,0.000,,1.000,9.000,9.000,1947.500,46.500,20.750,0.250,18.000,0.000,,,
2025-01-01 17:00:00+01:00,176.500,172.000,1031.250,23.500,0.000,,1.000,9.000,9.000,1948.000,46.750,21.000,0.000,18.750,0.000,,,
2025-01-01 18:00:00+01:00,175.500,166.500,1037.000,24.000,0.000,,1.000,9.000,9.000,1943.750,46.000,21.000,0.000,19.000,0.000,,,
2025-01-01 19:00:00+01:00,175.500,165.000,1055.000,24.000,0.750,,1.000,9.000,9.000,1944.000,46.250,21.000,1.000,18.000,0.000,,,
2025-01-01 20:00:00+01:00,177.000,167.000,1009.500,24.500,0.667,0.000,1.000,9.000,9.000,1947.250,46.250,20.000,0.500,18.750,0.000,,,
2025-01-01 21:00:00+01:00,177.500,151.000,664.500,24.000,,0.000,1.000,9.000,9.000,1947.000,46.500,19.000,0.000,18.000,0.000,,,
2025-01-01 22:00:00+01:00,178.500,114.000,568.250,23.000,,0.000,1.000,9.000,9.000,1946.000,45.500,19.000,0.000,18.250,0.000,,,
2025-01-01 23:00:00+01:00,178.750,108.000,471.500,23.000,0.000,0.000,1.000,9.000,9.000,1946.000,45.250,17.500,0.000,18.000,0.000,,,
2025-01-02 00:00:00+01:00,179.750,108.750,380.500,23.250,0.000,,1.000,9.000,9.000,1946.250,44.750,16.250,0.000,20.500,0.000,,,
2025-01-02 01:00:00+01:00,178.000,107.750,403.750,24.000,0.000,,1.000,9.000,9.000,1946.500,44.250,17.250,0.000,21.500,0.000,,,
2025-01-02 02:00:00+01:00,176.250,104.500,410.250,23.250,0.000,0.000,1.000,9.000,9.000,1948.000,43.500,18.000,0.000,21.250,0.000,,,
2025-01-02 03:00:00+01:00,176.250,102.750,354.250,22.000,0.000,,1.000,9.000,9.000,1948.000,44.250,18.000,0.000,20.750,0.000,,,
2025-01-02 04:00:00+01:00,177.250,106.500,381.000,23.500,0.000,,1.000,9.000,9.000,1948.000,43.000,18.000,0.000,21.250,0.250,,,
2025-01-02 05:00:00+01:00,179.250,120.250,460.750,23.750,0.000,,1.000,9.000,9.500,1948.250,43.500,17.500,0.000,21.250,1.000,,,
2025-01-02 06:00:00+01:00,179.750,158.500,613.000,24.000,0.000,,1.000,9.000,11.000,1947.250,44.250,18.000,0.000,20.500,0.250,,,
2025-01-02 07:00:00+01:00,181.000,179.750,792.250,23.750,0.000,,1.000,9.000,11.000,1946.500,45.500,17.750,14.250,21.250,1.000,,,
2025-01-02 08:00:00+01:00,182.250,180.000,848.500,23.250,,0.000,1.000,9.000,11.000,1945.750,48.000,16.750,241.500,20.250,0.250,,,
2025-01-02 09:00:00+01:00,183.500,181.000,853.250,23.000,,0.000,1.000,9.000,11.000,1947.000,55.000,17.250,719.250,19.750,2.000,,,
2025-01-02 10:00:00+01:00,185.000,180.500,807.000,23.750,,0.000,1.000,9.000,11.250,1946.500,59.750,17.000,1105.750,20.000,6.250,,,
2025-01-02 11:00:00+01:00,184.250,171.750,827.750,23.500,0.000,0.000,1.000,9.000,12.000,1947.500,65.000,17.500,1287.500,19.750,24.000,,,
2025-01-02 12:00:00+01:00,186.000,180.500,901.250,23.500,0.000,,1.000,9.000,12.000,1947.000,68.250,17.000,1186.750,20.500,19.250,,,
2025-01-02 13:00:00+01:00,186.250,180.750,849.500,23.750,0.000,,1.000,9.000,12.000,1948.000,67.750,16.750,983.750,19.750,17.000,,,
2025-01-02 14:00:00+01:00,167.750,179.500,928.250,23.000,0.000,0.000,1.000,9.000,12.000,1948.500,59.250,17.000,569.750,20.750,21.750,,,
2025-01-02 15:00:00+01:00,137.500,178.750,1011.250,22.750,0.000,,1.000,9.000,12.000,1948.500,46.750,19.000,141.000,20.500,34.000,,,
2025-01-02 16:00:00+01:00,136.500,177.000,1090.500,23.250,4.500,,1.000,9.000,12.000,1949.250,45.000,20.000,5.750,20.250,47.250,,,
2025-01-02 17:00:00+01:00,136.500,176.500,1047.000,23.750,0.250,,1.000,9.000,12.000,1948.250,44.000,20.000,0.250,20.500,67.000,,,
2025-01-02 18:00:00+01:00,136.000,172.750,1040.750,23.750,0.000,,1.000,9.000,12.000,1948.500,44.000,20.000,0.000,20.750,38.500,,,
2025-01-02 19:00:00+01:00,136.250,176.000,1038.250,24.000,0.667,0.000,1.000,9.000,12.000,1948.250,44.250,19.500,0.500,20.750,19.000,,,
2025-01-02 20:00:00+01:00,136.250,177.000,970.500,24.500,0.000,0.000,1.000,9.000,12.000,1948.000,44.250,20.000,0.000,20.750,17.000,,,
2025-01-02 21:00:00+01:00,135.000,176.250,937.250,24.750,,0.000,1.000,9.000,11.750,1948.000,44.500,19.500,0.000,20.250,5.750,,,
2025-01-02 22:00:00+01:00,136.000,176.750,558.750,24.750,0.000,,1.000,9.000,9.000,1947.750,43.750,19.000,0.000,21.000,7.250,,,
2025-01-02 23:00:00+01:00,136.000,177.250,481.500,24.750,0.000,,1.000,9.000,8.000,1947.750,43.750,18.750,0.000,21.250,20.750,,,
2025-01-03 00:00:00+01:00,135.500,172.000,488.000,24.750,0.000,,1.000,9.000,8.000,1948.750,45.250,17.500,0.000,21.000,53.000,,,
2025-01-03 01:00:00+01:00,134.500,152.250,404.000,24.750,0.000,,1.000,9.000,8.000,1947.500,45.250,17.000,0.000,21.000,103.750,,,
