,Biomass,Biomass,Fossil Gas,Fossil Gas,Fossil Hard coal,Fossil Hard coal,Hydro Run-of-river and poundage,Hydro Run-of-river and poundage,Nuclear,Nuclear,Other,Other,Solar,Solar,Waste,Waste,Wind Offshore,Wind Offshore,Wind Onshore,Wind Onshore
,Actual Aggregated,Actual Consumption,Actual Aggregated,Actual Consumption,Actual Aggregated,Actual Consumption,Actual Aggregated,Actual Consumption,Actual Aggregated,Actual Consumption,Actual Aggregated,Actual Consumption,Actual Aggregated,Actual Consumption,Actual Aggregated,Actual Consumption,Actual Aggregated,Actual Consumption,Actual Aggregated,Actual Consumption
timestamp_cec,,,,,,,,,,,,,,,,,,,,
2025-01-01 00:00:00+01:00,14.000,0.000,803.500,119.750,306.250,20.000,0.000,0.000,486.250,0.000,4122.250,536.250,0.000,1.000,343.000,0.000,3453.250,0.000,2336.500,0.250
2025-01-01 01:00:00+01:00,14.250,0.000,775.500,118.750,283.000,20.000,0.000,0.000,487.000,0.000,3945.750,562.500,0.000,1.000,347.750,0.000,3110.750,0.000,2249.250,0.250
2025-01-01 02:00:00+01:00,14.500,0.000,820.250,118.000,285.000,20.000,0.000,0.000,487.000,0.000,4019.250,561.750,0.000,1.000,342.250,0.000,3376.750,0.000,2298.500,0.250
2025-01-01 03:00:00+01:00,15.000,0.000,773.000,118.500,283.500,20.000,0.000,0.000,487.000,0.000,4040.000,566.250,0.000,1.000,347.500,0.000,3414.750,0.000,2267.000,0.500
2025-01-01 04:00:00+01:00,15.000,0.000,803.500,119.750,276.000,20.750,0.000,0.000,487.000,0.000,4033.750,556.750,0.000,1.000,347.000,0.000,3155.250,0.000,2284.750,0.000
2025-01-01 05:00:00+01:00,15.000,0.000,787.000,120.000,283.750,21.000,0.000,0.000,487.000,0.000,3921.250,561.750,0.000,1.000,351.750,0.000,2714.500,1.250,2305.250,1.000
2025-01-01 06:00:00+01:00,15.000,0.000,775.250,118.500,279.750,21.000,0.000,0.000,486.750,0.000,3958.500,559.250,0.000,1.000,359.000,0.000,2826.000,1.500,2309.750,0.250
2025-01-01 07:00:00+01:00,14.000,0.000,773.500,111.000,283.000,21.000,0.000,0.000,486.000,0.000,3819.750,566.000,0.000,1.000,350.500,0.000,2691.500,2.000,2249.500,0.250
2025-01-01 08:00:00+01:00,14.250,0.000,774.500,100.750,280.750,20.250,0.000,0.000,486.000,0.000,3716.500,568.250,0.000,1.000,354.750,0.000,2566.500,2.000,2219.000,0.250
2025-01-01 09:00:00+01:00,15.000,0.000,847.500,107.500,279.250,20.250,0.000,0.000,486.000,0.000,3799.750,571.500,1.000,0.250,353.750,0.500,2249.750,1.750,2191.250,0.500
2025-01-01 10:00:00+01:00,15.000,0.000,856.500,111.250,281.500,20.000,0.000,0.000,486.000,0.000,3968.250,567.250,3.750,0.000,343.250,0.500,2035.250,2.250,2117.500,0.250
2025-01-01 11:00:00+01:00,14.250,0.000,831.250,104.250,280.500,20.000,0.000,0.000,486.000,0.000,4097.250,552.750,9.500,0.000,344.000,0.000,1573.500,4.750,1978.000,0.000
2025-01-01 12:00:00+01:00,14.000,0.000,927.250,118.750,281.500,20.000,0.000,0.000,486.750,0.000,4414.250,513.000,17.000,0.000,338.250,0.000,1518.000,10.250,1977.000,0.250
2025-01-01 13:00:00+01:00,14.000,0.000,915.750,117.500,297.500,19.000,0.000,0.000,487.000,0.000,4193.000,521.750,13.500,0.000,335.500,0.000,1817.250,13.250,2002.750,3.000
2025-01-01 14:00:00+01:00,14.000,0.000,914.750,117.750,297.250,18.250,0.000,0.000,487.000,0.000,4067.500,515.500,7.250,0.000,327.500,0.000,1998.750,11.000,2014.750,2.750
2025-01-01 15:00:00+01:00,14.000,0.000,964.250,116.250,320.250,19.000,0.000,0.000,487.000,0.000,4345.000,485.000,1.750,0.250,325.000,0.000,2567.250,4.000,2336.500,0.000
2025-01-01 16:00:00+01:00,13.500,0.000,957.000,113.250,315.250,19.000,0.000,0.000,487.000,0.000,4375.250,494.500,0.000,1.000,326.000,0.000,3314.000,0.000,2346.250,0.000
2025-01-01 17:00:00+01:00,13.000,0.000,1267.500,108.250,298.250,20.500,0.000,0.000,487.000,0.000,4704.500,432.250,0.000,1.000,328.500,0.000,3651.250,0.000,1998.750,0.250
2025-01-01 18:00:00+01:00,13.250,0.000,1432.500,111.750,394.750,21.000,0.000,0.000,487.000,0.000,4867.500,390.750,0.000,1.000,341.500,0.000,3621.250,0.000,1794.000,0.000
2025-01-01 19:00:00+01:00,14.000,0.000,1432.250,114.750,405.000,22.500,0.000,0.000,487.000,0.000,4713.750,396.750,0.000,1.000,343.000,0.000,3423.000,0.000,1883.250,0.000
2025-01-01 20:00:00+01:00,14.000,0.000,1047.500,114.750,395.500,30.000,0.000,0.000,486.500,0.000,4243.000,477.500,0.000,1.000,354.500,0.000,3645.000,0.000,1985.000,2.000
2025-01-01 21:00:00+01:00,14.000,0.000,1041.250,114.250,302.750,37.750,0.000,0.000,486.500,0.000,3772.750,493.750,0.000,1.000,353.750,0.000,3433.000,0.000,2095.750,1.750
2025-01-01 22:00:00+01:00,14.000,0.000,1153.250,114.000,279.500,43.500,0.000,0.000,486.000,0.000,3623.250,493.250,0.000,1.000,350.500,0.250,3283.750,0.000,2186.250,0.250
2025-01-01 23:00:00+01:00,14.000,0.000,1122.750,114.750,300.500,53.750,0.000,0.000,486.250,0.000,3474.500,522.750,0.000,1.000,348.500,0.000,3208.000,0.000,2068.000,1.750
2025-01-02 00:00:00+01:00,14.500,0.000,1430.000,98.500,391.000,61.000,0.000,0.000,487.000,0.000,3494.000,541.250,0.000,1.000,354.500,0.000,2405.000,0.000,1828.750,0.500
2025-01-02 01:00:00+01:00,15.000,0.000,2533.750,63.000,304.500,58.750,0.000,0.000,487.000,0.000,2935.000,520.500,0.000,1.000,366.250,0.000,1860.750,0.000,1167.000,1.000
2025-01-02 02:00:00+01:00,15.000,0.000,2849.500,60.750,502.250,37.250,0.000,0.000,487.000,0.000,2452.250,517.250,0.000,1.000,359.750,0.000,1584.750,0.000,889.500,1.000
2025-01-02 03:00:00+01:00,14.750,0.000,2747.500,60.500,594.000,37.000,0.000,0.000,487.000,0.000,2160.250,484.250,0.000,1.000,359.500,0.000,1469.250,0.000,737.000,1.750
2025-01-02 04:00:00+01:00,15.000,0.000,3076.500,78.250,627.750,36.750,0.000,0.000,487.250,0.000,2013.750,488.000,0.000,1.000,371.750,0.000,1377.000,0.000,647.750,2.750
2025-01-02 05:00:00+01:00,15.000,0.000,3641.500,69.000,674.000,25.250,0.000,0.000,487.000,0.000,1951.500,482.500,0.000,1.000,367.250,0.000,1430.750,0.000,589.000,4.000
2025-01-02 06:00:00+01:00,15.000,0.000,4714.750,37.500,892.250,11.750,0.000,0.000,487.000,0.000,2090.500,478.750,0.000,1.000,362.250,0.000,1360.500,0.000,489.500,4.000
2025-01-02 07:00:00+01:00,14.500,0.000,5802.000,34.750,1106.500,12.500,0.000,0.000,486.750,0.000,2230.000,496.000,0.000,1.000,353.250,0.000,1153.750,0.500,427.250,1.250
2025-01-02 08:00:00+01:00,14.500,0.000,6098.500,34.000,1379.750,13.000,0.000,0.000,486.000,0.000,2175.500,490.250,0.250,0.750,349.000,0.000,1305.000,0.000,413.500,2.750
2025-01-02 09:00:00+01:00,15.000,0.000,6474.250,34.250,1763.250,13.000,0.000,0.000,486.000,0.000,2638.250,468.000,18.250,0.000,348.250,0.000,1113.750,0.000,416.750,0.750
2025-01-02 10:00:00+01:00,15.000,0.000,6177.250,32.500,1899.750,13.000,0.000,0.000,486.250,0.000,3867.000,466.750,62.750,0.000,348.500,0.000,925.000,0.000,421.500,4.500
2025-01-02 11:00:00+01:00,14.750,0.000,5716.000,59.750,1888.000,13.250,0.000,0.000,486.000,0.000,4843.500,489.000,95.750,0.000,353.000,5.000,1451.500,0.000,508.250,5.750
2025-01-02 12:00:00+01:00,15.000,0.000,5434.000,66.500,1896.000,14.000,0.000,0.000,486.000,0.000,5395.500,483.000,117.250,0.000,351.500,0.000,1697.500,0.000,576.000,1.250
2025-01-02 13:00:00+01:00,14.500,0.000,5709.750,68.750,1904.500,13.750,0.000,0.000,486.500,0.000,4866.000,485.000,112.000,0.000,350.000,0.000,2378.000,0.000,694.000,4.500
2025-01-02 14:00:00+01:00,14.250,0.000,6402.000,55.000,1909.750,13.250,0.000,0.000,487.000,0.000,4078.000,467.750,75.000,0.000,349.250,0.000,2788.500,0.000,723.750,0.500
2025-01-02 15:00:00+01:00,14.000,0.000,6453.750,36.500,1917.750,12.000,0.000,0.000,487.000,0.000,3286.000,475.250,21.500,0.000,340.750,0.000,2867.000,0.000,832.250,0.250
2025-01-02 16:00:00+01:00,13.750,0.000,6641.250,34.000,1904.750,10.750,0.000,0.000,486.750,0.000,3137.000,447.250,2.000,0.500,344.500,0.000,2964.750,0.000,939.000,0.250
2025-01-02 17:00:00+01:00,14.000,0.000,6627.750,33.000,1903.500,11.000,0.000,0.000,486.000,0.000,3732.000,437.000,0.000,1.000,332.750,0.000,3126.500,0.000,854.250,0.500
