timestamp_cec,Fossil Gas,Hydro Pumped Storage,Hydro Run-of-river and poundage,Hydro Water Reservoir,Waste,Wind Onshore,"('Fossil Gas', 'Actual Aggregated')","('Hydro Pumped Storage', 'Actual Aggregated')","('Hydro Run-of-river and poundage', 'Actual Aggregated')","('Hydro Water Reservoir', 'Actual Aggregated')","('Waste', 'Actual Aggregated')","('Wind Offshore', 'Actual Aggregated')","('Wind Offshore', 'Actual Consumption')","('Wind Onshore', 'Actual Aggregated')"
2025-01-01 00:00:00+01:00,13.000,0.000,644.000,1393.000,4.000,1008.000,,,,,,,,
2025-01-01 01:00:00+01:00,14.000,0.000,643.000,1299.000,4.000,956.000,,,,,,,,
2025-01-01 02:00:00+01:00,14.000,0.000,628.000,1322.000,4.000,1013.000,,,,,,,,
2025-01-01 03:00:00+01:00,14.000,0.000,631.000,1295.000,5.000,944.000,,,,,,,,
2025-01-01 04:00:00+01:00,14.000,0.000,625.000,1329.000,5.000,755.000,,,,,,,,
2025-01-01 05:00:00+01:00,14.000,0.000,630.000,1352.000,5.000,460.000,,,,,,,,
2025-01-01 06:00:00+01:00,14.000,0.000,647.000,1410.000,5.000,415.000,,,,,,,,
2025-01-01 07:00:00+01:00,14.000,0.000,651.000,1527.000,5.000,423.000,,,,,,,,
2025-01-01 08:00:00+01:00,12.000,0.000,671.000,1541.000,5.000,282.000,,,,,,,,
2025-01-01 09:00:00+01:00,14.000,0.000,673.000,1696.000,5.000,216.000,,,,,,,,
2025-01-01 10:00:00+01:00,13.000,0.000,680.000,2386.000,4.000,197.000,,,,,,,,
2025-01-01 11:00:00+01:00,14.000,0.000,696.000,3054.000,4.000,205.000,,,,,,,,
2025-01-01 12:00:00+01:00,13.000,0.000,698.000,3261.000,4.000,197.000,,,,,,,,
2025-01-01 13:00:00+01:00,14.000,0.000,697.000,3315.000,4.000,188.000,,,,,,,,
2025-01-01 14:00:00+01:00,14.000,0.000,699.000,3303.000,4.000,206.000,,,,,,,,
2025-01-01 15:00:00+01:00,14.000,0.000,699.000,3410.000,4.000,242.000,,,,,,,,
2025-01-01 16:00:00+01:00,14.000,0.000,694.000,3709.000,4.000,292.000,,,,,,,,
2025-01-01 17:00:00+01:00,14.000,0.000,697.000,3799.000,4.000,286.000,,,,,,,,
2025-01-01 18:00:00+01:00,14.000,0.000,699.000,3731.000,4.000,268.000,,,,,,,,
2025-01-01 19:00:00+01:00,14.000,0.000,688.000,3622.000,4.000,290.000,,,,,,,,
2025-01-01 20:00:00+01:00,14.000,0.000,681.000,3609.000,4.000,291.000,,,,,,,,
2025-01-01 21:00:00+01:00,14.000,0.000,694.000,3756.000,4.000,233.000,,,,,,,,
2025-01-01 22:00:00+01:00,14.000,0.000,691.000,3691.000,4.000,228.000,,,,,,,,
2025-01-01 23:00:00+01:00,14.000,0.000,690.000,3385.000,4.000,282.000,,,,,,,,
2025-01-02 00:00:00+01:00,14.000,0.000,680.000,3425.000,4.000,356.000,,,,,,,,
2025-01-02 01:00:00+01:00,14.000,0.000,680.000,3381.000,4.000,301.000,,,,,,,,
2025-01-02 02:00:00+01:00,14.000,0.000,675.000,3319.000,4.000,287.000,,,,,,,,
2025-01-02 03:00:00+01:00,14.000,0.000,688.000,3576.000,4.000,346.000,,,,,,,,
2025-01-02 04:00:00+01:00,14.000,1.000,706.000,4068.000,4.000,452.000,,,,,,,,
2025-01-02 05:00:00+01:00,14.000,248.000,725.000,5383.000,4.000,495.000,,,,,,,,
2025-01-02 06:00:00+01:00,14.000,401.000,755.000,6683.000,4.000,468.000,,,,,,,,
2025-01-02 07:00:00+01:00,14.000,377.000,788.000,7322.000,4.000,435.000,,,,,,,,
2025-01-02 08:00:00+01:00,14.000,406.000,821.000,7540.000,5.000,374.000,,,,,,,,
2025-01-02 09:00:00+01:00,14.000,482.000,848.000,8019.000,5.000,448.000,,,,,,,,
2025-01-02 10:00:00+01:00,14.000,504.000,858.000,7786.000,5.000,716.000,,,,,,,,
2025-01-02 11:00:00+01:00,14.000,504.000,875.000,8000.000,4.000,717.000,,,,,,,,
2025-01-02 12:00:00+01:00,14.000,503.000,888.000,7963.000,4.000,731.000,,,,,,,,
2025-01-02 13:00:00+01:00,14.000,462.000,895.000,7857.000,4.000,845.000,,,,,,,,
2025-01-02 14:00:00+01:00,14.000,477.000,895.000,7909.000,4.000,899.000,,,,,,,,
2025-01-02 15:00:00+01:00,14.000,498.000,893.000,7986.000,4.000,942.000,,,,,,,,
2025-01-02 16:00:00+01:00,14.000,487.000,886.000,8071.000,4.000,1023.000,,,,,,,,
2025-01-02 17:00:00+01:00,14.000,447.000,892.000,7722.000,4.000,868.000,,,,,,,,
2025-01-02 18:00:00+01:00,14.000,446.000,896.000,7688.000,4.000,714.000,,,,,,,,
2025-01-02 19:00:00+01:00,14.000,501.000,900.000,7895.000,4.000,490.000,,,,,,,,
2025-01-02 20:00:00+01:00,14.000,491.000,895.000,7833.000,4.000,234.000,,,,,,,,
2025-01-02 21:00:00+01:00,14.000,498.000,906.000,7806.000,4.000,145.000,,,,,,,,
2025-01-02 22:00:00+01:00,14.000,504.000,906.000,7746.000,4.000,319.000,,,,,,,,
2025-01-02 23:00:00+01:00,14.000,487.000,898.000,7569.000,4.000,646.000,,,,,,,,
2025-01-03 00:00:00+01:00,14.000,395.000,875.000,7644.000,4.000,1190.000,,,,,,,,
2025-01-03 01:00:00+01:00,14.000,379.000,872.000,7179.000,4.000,1155.000,,,,,,,,
2025-01-03 02:00:00+01:00,14.000,371.000,871.000,6826.000,4.000,1111.000,,,,,,,,
2025-01-03 03:00:00+01:00,14.000,347.000,859.000,6475.000,4.000,1126.000,,,,,,,,
2025-01-03 04:00:00+01:00,14.000,322.000,849.000,6253.000,4.000,1082.000,,,,,,,,
2025-01-03 05:00:00+01:00,14.000,333.000,843.000,6475.000,4.000,1065.000,,,,,,,,
2025-01-03 06:00:00+01:00,14.000,302.000,845.000,6987.000,4.000,1045.000,,,,,,,,
2025-01-03 07:00:00+01:00,14.000,372.000,874.000,7482.000,4.000,1009.000,,,,,,,,
2025-01-03 08:00:00+01:00,13.000,444.000,878.000,7692.000,4.000,961.000,,,,,,,,
2025-01-03 09:00:00+01:00,14.000,441.000,883.000,7824.000,4.000,939.000,,,,,,,,
2025-01-03 10:00:00+01:00,14.000,442.000,888.000,7901.000,4.000,925.000,,,,,,,,
2025-01-03 11:00:00+01:00,14.000,475.000,891.000,7931.000,4.000,925.000,,,,,,,,
2025-01-03 12:00:00+01:00,14.000,481.000,889.000,8110.000,4.000,820.000,,,,,,,,
2025-01-03 13:00:00+01:00,14.000,454.000,893.000,8014.000,4.000,807.000,,,,,,,,
2025-01-03 14:00:00+01:00,14.000,421.000,893.000,7750.000,4.000,833.000,,,,,,,,
2025-01-03 15:00:00+01:00,14.000,471.000,891.000,7836.000,4.000,896.000,,,,,,,,
2025-01-03 16:00:00+01:00,14.000,416.000,886.000,7792.000,4.000,855.000,,,,,,,,
2025-01-03 17:00:00+01:00,14.000,465.000,885.000,7811.000,4.000,783.000,,,,,,,,
2025-01-03 18:00:00+01:00,14.000,407.000,883.000,7757.000,4.000,765.000,,,,,,,,
2025-01-03 19:00:00+01:00,15.000,400.000,884.000,7728.000,4.000,738.000,,,,,,,,
2025-01-03 20:00:00+01:00,14.000,401.000,883.000,7635.000,4.000,556.000,,,,,,,,
2025-01-03 21:00:00+01:00,14.000,401.000,883.000,7803.000,4.000,317.000,,,,,,,,
2025-01-03 22:00:00+01:00,14.000,485.000,875.000,8091.000,4.000,180.000,,,,,,,,
2025-01-03 23:00:00+01:00,14.000,503.000,874.000,8058.000,4.000,116.000,,,,,,,,
2025-01-04 00:00:00+01:00,14.000,505.000,849.000,8315.000,4.000,160.000,,,,,,,,
2025-01-04 01:00:00+01:00,14.000,495.000,860.000,8014.000,4.000,196.000,,,,,,,,
2025-01-04 02:00:00+01:00,14.000,488.000,863.000,7539.000,4.000,162.000,,,,,,,,
2025-01-04 03:00:00+01:00,14.000,489.000,855.000,7517.000,4.000,89.000,,,,,,,,
2025-01-04 04:00:00+01:00,14.000,495.000,849.000,7591.000,4.000,66.000,,,,,,,,
