Datum von;Datum bis;Pumpspeicher [MWh] Originalauflösungen
01.01.2024 00:00;01.01.2024 00:15;387,5
01.01.2024 00:15;01.01.2024 00:30;480,75
01.01.2024 00:30;01.01.2024 00:45;565,25
01.01.2024 00:45;01.01.2024 01:00;589,75
01.01.2024 01:00;01.01.2024 01:15;747,5
01.01.2024 01:15;01.01.2024 01:30;587
01.01.2024 01:30;01.01.2024 01:45;590,5
01.01.2024 01:45;01.01.2024 02:00;599
01.01.2024 02:00;01.01.2024 02:15;784
01.01.2024 02:15;01.01.2024 02:30;746,75
01.01.2024 02:30;01.01.2024 02:45;758
01.01.2024 02:45;01.01.2024 03:00;762,75
01.01.2024 03:00;01.01.2024 03:15;818
01.01.2024 03:15;01.01.2024 03:30;745,5
01.01.2024 03:30;01.01.2024 03:45;754,25
01.01.2024 03:45;01.01.2024 04:00;775,25
01.01.2024 04:00;01.01.2024 04:15;835
01.01.2024 04:15;01.01.2024 04:30;836
01.01.2024 04:30;01.01.2024 04:45;796,75
01.01.2024 04:45;01.01.2024 05:00;812,5
01.01.2024 05:00;01.01.2024 05:15;971,25
01.01.2024 05:15;01.01.2024 05:30;862,5
01.01.2024 05:30;01.01.2024 05:45;828
01.01.2024 05:45;01.01.2024 06:00;799,75
01.01.2024 06:00;01.01.2024 06:15;981,5
01.01.2024 06:15;01.01.2024 06:30;929
01.01.2024 06:30;01.01.2024 06:45;867,5
01.01.2024 06:45;01.01.2024 07:00;880,25
01.01.2024 07:00;01.01.2024 07:15;783
01.01.2024 07:15;01.01.2024 07:30;712,5
01.01.2024 07:30;01.01.2024 07:45;657,5
01.01.2024 07:45;01.01.2024 08:00;688
01.01.2024 08:00;01.01.2024 08:15;658,25
01.01.2024 08:15;01.01.2024 08:30;678,75
01.01.2024 08:30;01.01.2024 08:45;672,25
01.01.2024 08:45;01.01.2024 09:00;764,5
01.01.2024 09:00;01.01.2024 09:15;868,25
01.01.2024 09:15;01.01.2024 09:30;906,25
01.01.2024 09:30;01.01.2024 09:45;956,5
01.01.2024 09:45;01.01.2024 10:00;959,25
01.01.2024 10:00;01.01.2024 10:15;894,25
01.01.2024 10:15;01.01.2024 10:30;944
01.01.2024 10:30;01.01.2024 10:45;1.021,25
01.01.2024 10:45;01.01.2024 11:00;951
01.01.2024 11:00;01.01.2024 11:15;826
01.01.2024 11:15;01.01.2024 11:30;842,25
01.01.2024 11:30;01.01.2024 11:45;837,5
01.01.2024 11:45;01.01.2024 12:00;897
01.01.2024 12:00;01.01.2024 12:15;683,5
01.01.2024 12:15;01.01.2024 12:30;687
