timestamp_brussels,timestamp_cec,timestamp_utc,ActualTotalLoad_MW
2025-01-01 00:00:00+01:00,2025-01-01 00:00:00+01:00,2024-12-31 23:00:00+00:00,48900.0
2025-01-01 00:15:00+01:00,2025-01-01 00:15:00+01:00,2024-12-31 23:15:00+00:00,48019.0
2025-01-01 00:30:00+01:00,2025-01-01 00:30:00+01:00,2024-12-31 23:30:00+00:00,48048.0
2025-01-01 00:45:00+01:00,2025-01-01 00:45:00+01:00,2024-12-31 23:45:00+00:00,47919.0
2025-01-01 01:00:00+01:00,2025-01-01 01:00:00+01:00,2025-01-01 00:00:00+00:00,47667.0
2025-01-01 01:15:00+01:00,2025-01-01 01:15:00+01:00,2025-01-01 00:15:00+00:00,47390.0
2025-01-01 01:30:00+01:00,2025-01-01 01:30:00+01:00,2025-01-01 00:30:00+00:00,47275.0
2025-01-01 01:45:00+01:00,2025-01-01 01:45:00+01:00,2025-01-01 00:45:00+00:00,46980.0
2025-01-01 02:00:00+01:00,2025-01-01 02:00:00+01:00,2025-01-01 01:00:00+00:00,46688.0
2025-01-01 02:15:00+01:00,2025-01-01 02:15:00+01:00,2025-01-01 01:15:00+00:00,46310.0
2025-01-01 02:30:00+01:00,2025-01-01 02:30:00+01:00,2025-01-01 01:30:00+00:00,46083.0
2025-01-01 02:45:00+01:00,2025-01-01 02:45:00+01:00,2025-01-01 01:45:00+00:00,45894.0
2025-01-01 03:00:00+01:00,2025-01-01 03:00:00+01:00,2025-01-01 02:00:00+00:00,45329.0
2025-01-01 03:15:00+01:00,2025-01-01 03:15:00+01:00,2025-01-01 02:15:00+00:00,45311.0
2025-01-01 03:30:00+01:00,2025-01-01 03:30:00+01:00,2025-01-01 02:30:00+00:00,44818.0
2025-01-01 03:45:00+01:00,2025-01-01 03:45:00+01:00,2025-01-01 02:45:00+00:00,44749.0
2025-01-01 04:00:00+01:00,2025-01-01 04:00:00+01:00,2025-01-01 03:00:00+00:00,44162.0
2025-01-01 04:15:00+01:00,2025-01-01 04:15:00+01:00,2025-01-01 03:15:00+00:00,44236.0
2025-01-01 04:30:00+01:00,2025-01-01 04:30:00+01:00,2025-01-01 03:30:00+00:00,44005.0
2025-01-01 04:45:00+01:00,2025-01-01 04:45:00+01:00,2025-01-01 03:45:00+00:00,43788.0
2025-01-01 05:00:00+01:00,2025-01-01 05:00:00+01:00,2025-01-01 04:00:00+00:00,44416.0
2025-01-01 05:15:00+01:00,2025-01-01 05:15:00+01:00,2025-01-01 04:15:00+00:00,44259.0
2025-01-01 05:30:00+01:00,2025-01-01 05:30:00+01:00,2025-01-01 04:30:00+00:00,44219.0
2025-01-01 05:45:00+01:00,2025-01-01 05:45:00+01:00,2025-01-01 04:45:00+00:00,44150.0
2025-01-01 06:00:00+01:00,2025-01-01 06:00:00+01:00,2025-01-01 05:00:00+00:00,43837.0
2025-01-01 06:15:00+01:00,2025-01-01 06:15:00+01:00,2025-01-01 05:15:00+00:00,43599.0
2025-01-01 06:30:00+01:00,2025-01-01 06:30:00+01:00,2025-01-01 05:30:00+00:00,43578.0
2025-01-01 06:45:00+01:00,2025-01-01 06:45:00+01:00,2025-01-01 05:45:00+00:00,43415.0
2025-01-01 07:00:00+01:00,2025-01-01 07:00:00+01:00,2025-01-01 06:00:00+00:00,43645.0
2025-01-01 07:15:00+01:00,2025-01-01 07:15:00+01:00,2025-01-01 06:15:00+00:00,43946.0
