timestamp_brussels,timestamp_cec,timestamp_utc,ActualTotalLoad_MW
2025-01-01 00:00:00+01:00,2025-01-01 00:00:00+01:00,2024-12-31 23:00:00+00:00,64521.0
2025-01-01 00:15:00+01:00,2025-01-01 00:15:00+01:00,2024-12-31 23:15:00+00:00,63716.0
2025-01-01 00:30:00+01:00,2025-01-01 00:30:00+01:00,2024-12-31 23:30:00+00:00,62503.0
2025-01-01 00:45:00+01:00,2025-01-01 00:45:00+01:00,2024-12-31 23:45:00+00:00,61491.0
2025-01-01 01:00:00+01:00,2025-01-01 01:00:00+01:00,2025-01-01 00:00:00+00:00,61780.0
2025-01-01 01:15:00+01:00,2025-01-01 01:15:00+01:00,2025-01-01 00:15:00+00:00,61543.0
2025-01-01 01:30:00+01:00,2025-01-01 01:30:00+01:00,2025-01-01 00:30:00+00:00,61594.0
2025-01-01 01:45:00+01:00,2025-01-01 01:45:00+01:00,2025-01-01 00:45:00+00:00,61085.0
2025-01-01 02:00:00+01:00,2025-01-01 02:00:00+01:00,2025-01-01 01:00:00+00:00,61409.0
2025-01-01 02:15:00+01:00,2025-01-01 02:15:00+01:00,2025-01-01 01:15:00+00:00,60751.0
2025-01-01 02:30:00+01:00,2025-01-01 02:30:00+01:00,2025-01-01 01:30:00+00:00,60068.0
2025-01-01 02:45:00+01:00,2025-01-01 02:45:00+01:00,2025-01-01 01:45:00+00:00,59267.0
2025-01-01 03:00:00+01:00,2025-01-01 03:00:00+01:00,2025-01-01 02:00:00+00:00,58796.0
2025-01-01 03:15:00+01:00,2025-01-01 03:15:00+01:00,2025-01-01 02:15:00+00:00,58179.0
2025-01-01 03:30:00+01:00,2025-01-01 03:30:00+01:00,2025-01-01 02:30:00+00:00,57657.0
2025-01-01 03:45:00+01:00,2025-01-01 03:45:00+01:00,2025-01-01 02:45:00+00:00,56876.0
2025-01-01 04:00:00+01:00,2025-01-01 04:00:00+01:00,2025-01-01 03:00:00+00:00,56698.0
2025-01-01 04:15:00+01:00,2025-01-01 04:15:00+01:00,2025-01-01 03:15:00+00:00,56240.0
2025-01-01 04:30:00+01:00,2025-01-01 04:30:00+01:00,2025-01-01 03:30:00+00:00,55908.0
2025-01-01 04:45:00+01:00,2025-01-01 04:45:00+01:00,2025-01-01 03:45:00+00:00,55611.0
2025-01-01 05:00:00+01:00,2025-01-01 05:00:00+01:00,2025-01-01 04:00:00+00:00,56089.0
2025-01-01 05:15:00+01:00,2025-01-01 05:15:00+01:00,2025-01-01 04:15:00+00:00,55821.0
2025-01-01 05:30:00+01:00,2025-01-01 05:30:00+01:00,2025-01-01 04:30:00+00:00,55819.0
2025-01-01 05:45:00+01:00,2025-01-01 05:45:00+01:00,2025-01-01 04:45:00+00:00,55713.0
2025-01-01 06:00:00+01:00,2025-01-01 06:00:00+01:00,2025-01-01 05:00:00+00:00,56392.0
2025-01-01 06:15:00+01:00,2025-01-01 06:15:00+01:00,2025-01-01 05:15:00+00:00,56440.0
2025-01-01 06:30:00+01:00,2025-01-01 06:30:00+01:00,2025-01-01 05:30:00+00:00,56569.0
2025-01-01 06:45:00+01:00,2025-01-01 06:45:00+01:00,2025-01-01 05:45:00+00:00,56701.0
2025-01-01 07:00:00+01:00,2025-01-01 07:00:00+01:00,2025-01-01 06:00:00+00:00,56884.0
2025-01-01 07:15:00+01:00,2025-01-01 07:15:00+01:00,2025-01-01 06:15:00+00:00,57024.0
2025-01-01 07:30:00+01:00,2025-01-01 07:30:00+01:00,2025-01-01 06:30:00+00:00,57005.0
2025-01-01 07:45:00+01:00,2025-01-01 07:45:00+01:00,2025-01-01 06:45:00+00:00,57188.0
2025-01-01 08:00:00+01:00,2025-01-01 08:00:00+01:00,2025-01-01 07:00:00+00:00,57114.0
2025-01-01 08:15:00+01:00,2025-01-01 08:15:00+01:00,2025-01-01 07:15:00+00:00,57232.0
2025-01-01 08:30:00+01:00,2025-01-01 08:30:00+01:00,2025-01-01 07:30:00+00:00,57313.0
2025-01-01 08:45:00+01:00,2025-01-01 08:45:00+01:00,2025-01-01 07:45:00+00:00,57283.0
2025-01-01 09:00:00+01:00,2025-01-01 09:00:00+01:00,2025-01-01 08:00:00+00:00,57233.0
2025-01-01 09:15:00+01:00,2025-01-01 09:15:00+01:00,2025-01-01 08:15:00+00:00,57629.0
2025-01-01 09:30:00+01:00,2025-01-01 09:30:00+01:00,2025-01-01 08:30:00+00:00,58055.0
2025-01-01 09:45:00+01:00,2025-01-01 09:45:00+01:00,2025-01-01 08:45:00+00:00,58320.0
2025-01-01 10:00:00+01:00,2025-01-01 10:00:00+01:00,2025-01-01 09:00:00+00:00,58527.0
2025-01-01 10:15:00+01:00,2025-01-01 10:15:00+01:00,2025-01-01 09:15:00+00:00,58802.0
