timestamp_brussels,timestamp_cec,timestamp_utc,ActualTotalLoad_MW
2025-01-01 00:00:00+01:00,2025-01-01 00:00:00+01:00,2024-12-31 23:00:00+00:00,12075.0
2025-01-01 00:15:00+01:00,2025-01-01 00:15:00+01:00,2024-12-31 23:15:00+00:00,12038.0
2025-01-01 00:30:00+01:00,2025-01-01 00:30:00+01:00,2024-12-31 23:30:00+00:00,12087.0
2025-01-01 00:45:00+01:00,2025-01-01 00:45:00+01:00,2024-12-31 23:45:00+00:00,11997.0
2025-01-01 01:00:00+01:00,2025-01-01 01:00:00+01:00,2025-01-01 00:00:00+00:00,12026.0
2025-01-01 01:15:00+01:00,2025-01-01 01:15:00+01:00,2025-01-01 00:15:00+00:00,12014.0
2025-01-01 01:30:00+01:00,2025-01-01 01:30:00+01:00,2025-01-01 00:30:00+00:00,11964.0
2025-01-01 01:45:00+01:00,2025-01-01 01:45:00+01:00,2025-01-01 00:45:00+00:00,11826.0
2025-01-01 02:00:00+01:00,2025-01-01 02:00:00+01:00,2025-01-01 01:00:00+00:00,11774.0
2025-01-01 02:15:00+01:00,2025-01-01 02:15:00+01:00,2025-01-01 01:15:00+00:00,11640.0
2025-01-01 02:30:00+01:00,2025-01-01 02:30:00+01:00,2025-01-01 01:30:00+00:00,11629.0
2025-01-01 02:45:00+01:00,2025-01-01 02:45:00+01:00,2025-01-01 01:45:00+00:00,11502.0
2025-01-01 03:00:00+01:00,2025-01-01 03:00:00+01:00,2025-01-01 02:00:00+00:00,11446.0
2025-01-01 03:15:00+01:00,2025-01-01 03:15:00+01:00,2025-01-01 02:15:00+00:00,11300.0
2025-01-01 03:30:00+01:00,2025-01-01 03:30:00+01:00,2025-01-01 02:30:00+00:00,11281.0
2025-01-01 03:45:00+01:00,2025-01-01 03:45:00+01:00,2025-01-01 02:45:00+00:00,11215.0
2025-01-01 04:00:00+01:00,2025-01-01 04:00:00+01:00,2025-01-01 03:00:00+00:00,11229.0
2025-01-01 04:15:00+01:00,2025-01-01 04:15:00+01:00,2025-01-01 03:15:00+00:00,11115.0
2025-01-01 04:30:00+01:00,2025-01-01 04:30:00+01:00,2025-01-01 03:30:00+00:00,11093.0
2025-01-01 04:45:00+01:00,2025-01-01 04:45:00+01:00,2025-01-01 03:45:00+00:00,11104.0
2025-01-01 05:00:00+01:00,2025-01-01 05:00:00+01:00,2025-01-01 04:00:00+00:00,11207.0
2025-01-01 05:15:00+01:00,2025-01-01 05:15:00+01:00,2025-01-01 04:15:00+00:00,11214.0
2025-01-01 05:30:00+01:00,2025-01-01 05:30:00+01:00,2025-01-01 04:30:00+00:00,11147.0
2025-01-01 05:45:00+01:00,2025-01-01 05:45:00+01:00,2025-01-01 04:45:00+00:00,11175.0
2025-01-01 06:00:00+01:00,2025-01-01 06:00:00+01:00,2025-01-01 05:00:00+00:00,11324.0
2025-01-01 06:15:00+01:00,2025-01-01 06:15:00+01:00,2025-01-01 05:15:00+00:00,11400.0
2025-01-01 06:30:00+01:00,2025-01-01 06:30:00+01:00,2025-01-01 05:30:00+00:00,11335.0
2025-01-01 06:45:00+01:00,2025-01-01 06:45:00+01:00,2025-01-01 05:45:00+00:00,11481.0
2025-01-01 07:00:00+01:00,2025-01-01 07:00:00+01:00,2025-01-01 06:00:00+00:00,11577.0
2025-01-01 07:15:00+01:00,2025-01-01 07:15:00+01:00,2025-01-01 06:15:00+00:00,11680.0
2025-01-01 07:30:00+01:00,2025-01-01 07:30:00+01:00,2025-01-01 06:30:00+00:00,11737.0
2025-01-01 07:45:00+01:00,2025-01-01 07:45:00+01:00,2025-01-01 06:45:00+00:00,11787.0
2025-01-01 08:00:00+01:00,2025-01-01 08:00:00+01:00,2025-01-01 07:00:00+00:00,11940.0
2025-01-01 08:15:00+01:00,2025-01-01 08:15:00+01:00,2025-01-01 07:15:00+00:00,12002.0
2025-01-01 08:30:00+01:00,2025-01-01 08:30:00+01:00,2025-01-01 07:30:00+00:00,12083.0
2025-01-01 08:45:00+01:00,2025-01-01 08:45:00+01:00,2025-01-01 07:45:00+00:00,12141.0
2025-01-01 09:00:00+01:00,2025-01-01 09:00:00+01:00,2025-01-01 08:00:00+00:00,12269.0
2025-01-01 09:15:00+01:00,2025-01-01 09:15:00+01:00,2025-01-01 08:15:00+00:00,12394.0
2025-01-01 09:30:00+01:00,2025-01-01 09:30:00+01:00,2025-01-01 08:30:00+00:00,12546.0
2025-01-01 09:45:00+01:00,2025-01-01 09:45:00+01:00,2025-01-01 08:45:00+00:00,12734.0
2025-01-01 10:00:00+01:00,2025-01-01 10:00:00+01:00,2025-01-01 09:00:00+00:00,12884.0
2025-01-01 10:15:00+01:00,2025-01-01 10:15:00+01:00,2025-01-01 09:15:00+00:00,13071.0
2025-01-01 10:30:00+01:00,2025-01-01 10:30:00+01:00,2025-01-01 09:30:00+00:00,13164.0
2025-01-01 10:45:00+01:00,2025-01-01 10:45:00+01:00,2025-01-01 09:45:00+00:00,13207.0
2025-01-01 11:00:00+01:00,2025-01-01 11:00:00+01:00,2025-01-01 10:00:00+00:00,13427.0
2025-01-01 11:15:00+01:00,2025-01-01 11:15:00+01:00,2025-01-01 10:15:00+00:00,13563.0
2025-01-01 11:30:00+01:00,2025-01-01 11:30:00+01:00,2025-01-01 10:30:00+00:00,13631.0
2025-01-01 11:45:00+01:00,2025-01-01 11:45:00+01:00,2025-01-01 10:45:00+00:00,13715.0
2025-01-01 12:00:00+01:00,2025-01-01 12:00:00+01:00,2025-01-01 11:00:00+00:00,13836.0
2025-01-01 12:15:00+01:00,2025-01-01 12:15:00+01:00,2025-01-01 11:15:00+00:00,13902.0
2025-01-01 12:30:00+01:00,2025-01-01 12:30:00+01:00,2025-01-01 11:30:00+00:00,13927.0
2025-01-01 12:45:00+01:00,2025-01-01 12:45:00+01:00,2025-01-01 11:45:00+00:00,13967.0
2025-01-01 13:00:00+01:00,2025-01-01 13:00:00+01:00,2025-01-01 12:00:00+00:00,14061.0
2025-01-01 13:15:00+01:00,2025-01-01 13:15:00+01:00,2025-01-01 12:15:00+00:00,14138.0
2025-01-01 13:30:00+01:00,2025-01-01 13:30:00+01:00,2025-01-01 12:30:00+00:00,14165.0
2025-01-01 13:45:00+01:00,2025-01-01 13:45:00+01:00,2025-01-01 12:45:00+00:00,14199.0
2025-01-01 14:00:00+01:00,2025-01-01 14:00:00+01:00,2025-01-01 13:00:00+00:00,14321.0
2025-01-01 14:15:00+01:00,2025-01-01 14:15:00+01:00,2025-01-01 13:15:00+00:00,14294.0
2025-01-01 14:30:00+01:00,2025-01-01 14:30:00+01:00,2025-01-01 13:30:00+00:00,14321.0
2025-01-01 14:45:00+01:00,2025-01-01 14:45:00+01:00,2025-01-01 13:45:00+00:00,14401.0
2025-01-01 15:00:00+01:00,2025-01-01 15:00:00+01:00,2025-01-01 14:00:00+00:00,14288.0
2025-01-01 15:15:00+01:00,2025-01-01 15:15:00+01:00,2025-01-01 14:15:00+00:00,14175.0
