timestamp,DE_LU,AT,BE,CH,CZ,DK1,DK2,FR,NL,NO2,PL,SE4
2023-12-31 22:00:00,0.1,0.1,0.1,25.97,0.1,16.99,29.13,0.1,0.1,53.79,76.69,29.56
2023-12-31 23:00:00,0.01,0.01,0.01,21.99,0.01,28.14,28.46,0.01,0.01,48.98,74.5,28.46
2024-01-01 00:00:00,0.0,0.02,0.0,14.32,0.02,26.66,26.66,0.0,0.0,27.45,73.29,26.66
2024-01-01 01:00:00,-0.01,0.0,-0.01,11.37,0.0,4.14,24.48,-0.01,-0.01,24.48,71.58,24.48
2024-01-01 02:00:00,-0.03,-0.01,-0.03,11.35,-0.01,-0.03,24.01,-0.03,-0.03,24.01,73.27,24.01
2024-01-01 03:00:00,-0.02,-0.01,-0.02,11.39,-0.01,-0.02,15.88,-0.02,-0.02,21.23,74.32,21.23
2024-01-01 04:00:00,-0.05,0.0,-0.05,11.34,0.0,-0.05,15.87,-0.04,-0.05,22.62,76.69,22.62
2024-01-01 05:00:00,-0.02,0.0,-0.02,8.31,0.0,-0.02,22.04,-0.01,-0.02,25.04,74.55,25.04
2024-01-01 06:00:00,0.0,0.0,0.0,8.51,0.0,0.0,25.42,0.0,0.0,26.24,72.25,26.24
2024-01-01 07:00:00,0.04,0.04,0.04,10.63,0.04,0.08,32.21,0.04,0.04,32.21,76.01,32.21
2024-01-01 08:00:00,0.06,0.06,0.06,9.75,0.06,41.34,41.34,0.06,0.06,47.71,82.2,41.34
2024-01-01 09:00:00,0.54,0.54,0.54,8.24,0.54,43.51,43.51,0.54,0.54,52.51,82.91,43.51
2024-01-01 10:00:00,2.24,2.24,2.24,10.71,2.24,43.02,43.02,2.24,2.24,56.57,80.87,43.02
2024-01-01 11:00:00,1.96,2.58,2.0,9.31,2.53,44.29,44.29,2.06,1.97,59.82,79.79,44.29
2024-01-01 12:00:00,1.04,5.29,1.35,11.51,4.89,46.24,46.24,1.73,1.13,62.06,82.68,46.24
2024-01-01 13:00:00,3.66,22.22,4.13,20.41,24.04,50.61,50.61,5.72,3.19,62.52,77.56,50.61
2024-01-01 14:00:00,43.06,47.61,27.96,29.09,49.26,59.47,59.47,18.49,40.0,63.19,75.46,59.47
2024-01-01 15:00:00,49.93,56.53,50.37,42.1,57.21,64.99,64.99,37.0,84.46,64.99,74.16,64.99
2024-01-01 16:00:00,58.0,59.06,53.76,48.83,59.85,61.74,61.74,47.5,61.74,63.58,74.16,61.74
2024-01-01 17:00:00,54.25,55.01,56.77,43.31,54.76,61.27,55.07,54.97,61.27,63.1,75.61,55.07
2024-01-01 18:00:00,48.01,48.76,51.4,42.59,48.41,59.97,48.01,48.61,59.97,62.15,86.1,48.01
2024-01-01 19:00:00,42.95,41.36,35.39,35.0,42.27,54.92,44.01,24.88,54.92,58.27,86.02,44.01
2024-01-01 20:00:00,47.09,45.95,40.74,34.01,46.32,47.65,45.2,35.89,47.65,52.58,81.21,45.2
2024-01-01 21:00:00,35.55,35.55,35.55,26.07,35.55,35.55,38.0,35.55,35.55,44.03,77.26,38.0
2024-01-01 22:00:00,30.59,29.22,23.92,22.24,30.07,30.59,38.0,19.49,29.39,38.0,82.35,38.0
2024-01-01 23:00:00,20.07,19.58,17.7,14.0,19.89,20.07,33.56,16.12,19.6,33.56,81.39,33.56
2024-01-02 00:00:00,31.03,27.57,12.39,11.32,29.6,31.03,32.03,0.06,27.33,32.03,81.04,32.03
2024-01-02 01:00:00,18.39,15.67,7.35,9.66,17.54,18.39,32.29,0.02,16.2,32.29,81.46,32.29
2024-01-02 02:00:00,11.08,9.69,4.19,10.01,10.55,11.08,36.7,0.01,9.5,36.7,90.75,36.7
2024-01-02 03:00:00,13.78,27.59,4.75,11.36,28.22,13.78,41.72,0.09,11.2,41.72,91.67,41.72
2024-01-02 04:00:00,47.63,45.09,31.59,19.89,47.13,47.63,49.18,20.74,44.43,49.18,91.78,49.18
2024-01-02 05:00:00,58.1,65.89,49.96,40.56,65.43,58.1,58.75,44.7,56.56,62.04,94.89,58.75
