[OK] Run parameters written: out\baseline_2024_final_fb\run_parameters.json and out\baseline_2024_final_fb\run_parameters.txt
[OK] Input metadata written: out\baseline_2024_final_fb\analysis\run_metadata.json
[INFO] Flow mode aktiv: scheduled
[INFO] Loading JAO FlowBased data: input\fb\fb_core_DE_2024.csv
[OK] JAO FB data loaded: 1413 records, 862 boundary hours (61.0%)
[HYDRO] AT 2024-01: Budget=45000MWh, Cutoff=140.5EUR/MWh, Wasserwert=123.8EUR/MWh (Floor=64.3, Ceil=123.8)
[HYDRO] AT 2024-02: Budget=45000MWh, Cutoff=109.7EUR/MWh, Wasserwert=93.0EUR/MWh (Floor=55.1, Ceil=93.0)
[HYDRO] AT 2024-03: Budget=45000MWh, Cutoff=129.0EUR/MWh, Wasserwert=105.1EUR/MWh (Floor=56.8, Ceil=105.1)
[HYDRO] AT 2024-04: Budget=45000MWh, Cutoff=169.9EUR/MWh, Wasserwert=125.1EUR/MWh (Floor=50.1, Ceil=125.1)
[HYDRO] AT 2024-05: Budget=45000MWh, Cutoff=154.9EUR/MWh, Wasserwert=127.5EUR/MWh (Floor=56.1, Ceil=127.5)
[HYDRO] AT 2024-06: Budget=45000MWh, Cutoff=198.8EUR/MWh, Wasserwert=141.7EUR/MWh (Floor=54.9, Ceil=141.7)
[HYDRO] AT 2024-07: Budget=45000MWh, Cutoff=184.5EUR/MWh, Wasserwert=131.4EUR/MWh (Floor=47.1, Ceil=131.4)
[HYDRO] AT 2024-08: Budget=45000MWh, Cutoff=227.5EUR/MWh, Wasserwert=149.1EUR/MWh (Floor=70.1, Ceil=149.1)
[HYDRO] AT 2024-09: Budget=45000MWh, Cutoff=250.0EUR/MWh, Wasserwert=140.7EUR/MWh (Floor=61.6, Ceil=140.7)
[HYDRO] AT 2024-10: Budget=45000MWh, Cutoff=222.1EUR/MWh, Wasserwert=156.2EUR/MWh (Floor=68.8, Ceil=156.2)
[HYDRO] AT 2024-11: Budget=45000MWh, Cutoff=341.7EUR/MWh, Wasserwert=178.3EUR/MWh (Floor=95.6, Ceil=178.3)
[HYDRO] AT 2024-12: Budget=45000MWh, Cutoff=551.0EUR/MWh, Wasserwert=180.0EUR/MWh (Floor=74.3, Ceil=180.0)
[HYDRO] AT: Energie-Budget System aktiviert (Budget=45000MWh/Monat, Band=Â±5.0EUR/MWh)
[HYDRO] BE 2024-01: Budget=2500MWh, Cutoff=141.0EUR/MWh, Wasserwert=123.8EUR/MWh (Floor=64.3, Ceil=123.8)
[HYDRO] BE 2024-02: Budget=2500MWh, Cutoff=110.1EUR/MWh, Wasserwert=93.0EUR/MWh (Floor=55.1, Ceil=93.0)
[HYDRO] BE 2024-03: Budget=2500MWh, Cutoff=134.9EUR/MWh, Wasserwert=105.1EUR/MWh (Floor=56.8, Ceil=105.1)
[HYDRO] BE 2024-04: Budget=2500MWh, Cutoff=171.0EUR/MWh, Wasserwert=125.1EUR/MWh (Floor=50.1, Ceil=125.1)
[HYDRO] BE 2024-05: Budget=2500MWh, Cutoff=156.3EUR/MWh, Wasserwert=127.5EUR/MWh (Floor=56.1, Ceil=127.5)
[HYDRO] BE 2024-06: Budget=2500MWh, Cutoff=200.0EUR/MWh, Wasserwert=141.7EUR/MWh (Floor=54.9, Ceil=141.7)
[HYDRO] BE 2024-07: Budget=2500MWh, Cutoff=187.9EUR/MWh, Wasserwert=131.4EUR/MWh (Floor=47.1, Ceil=131.4)
[HYDRO] BE 2024-08: Budget=2500MWh, Cutoff=230.8EUR/MWh, Wasserwert=149.1EUR/MWh (Floor=70.1, Ceil=149.1)
[HYDRO] BE 2024-09: Budget=2500MWh, Cutoff=300.0EUR/MWh, Wasserwert=140.7EUR/MWh (Floor=61.6, Ceil=140.7)
[HYDRO] BE 2024-10: Budget=2500MWh, Cutoff=229.5EUR/MWh, Wasserwert=156.2EUR/MWh (Floor=68.8, Ceil=156.2)
[HYDRO] BE 2024-11: Budget=2500MWh, Cutoff=450.0EUR/MWh, Wasserwert=178.3EUR/MWh (Floor=95.6, Ceil=178.3)
[HYDRO] BE 2024-12: Budget=2500MWh, Cutoff=646.8EUR/MWh, Wasserwert=180.0EUR/MWh (Floor=74.3, Ceil=180.0)
[HYDRO] BE: Energie-Budget System aktiviert (Budget=2500MWh/Monat, Band=Â±3.0EUR/MWh)
[HYDRO] CH 2024-01: Budget=85000MWh, Cutoff=141.0EUR/MWh, Wasserwert=123.8EUR/MWh (Floor=64.3, Ceil=123.8)
[HYDRO] CH 2024-02: Budget=85000MWh, Cutoff=110.1EUR/MWh, Wasserwert=93.0EUR/MWh (Floor=55.1, Ceil=93.0)
[HYDRO] CH 2024-03: Budget=85000MWh, Cutoff=134.9EUR/MWh, Wasserwert=105.1EUR/MWh (Floor=56.8, Ceil=105.1)
[HYDRO] CH 2024-04: Budget=85000MWh, Cutoff=171.0EUR/MWh, Wasserwert=125.1EUR/MWh (Floor=50.1, Ceil=125.1)
[HYDRO] CH 2024-05: Budget=85000MWh, Cutoff=156.3EUR/MWh, Wasserwert=127.5EUR/MWh (Floor=56.1, Ceil=127.5)
[HYDRO] CH 2024-06: Budget=85000MWh, Cutoff=200.0EUR/MWh, Wasserwert=141.7EUR/MWh (Floor=54.9, Ceil=141.7)
[HYDRO] CH 2024-07: Budget=85000MWh, Cutoff=187.9EUR/MWh, Wasserwert=131.4EUR/MWh (Floor=47.1, Ceil=131.4)
[HYDRO] CH 2024-08: Budget=85000MWh, Cutoff=230.8EUR/MWh, Wasserwert=149.1EUR/MWh (Floor=70.1, Ceil=149.1)
[HYDRO] CH 2024-09: Budget=85000MWh, Cutoff=300.0EUR/MWh, Wasserwert=140.7EUR/MWh (Floor=61.6, Ceil=140.7)
[HYDRO] CH 2024-10: Budget=85000MWh, Cutoff=229.5EUR/MWh, Wasserwert=156.2EUR/MWh (Floor=68.8, Ceil=156.2)
[HYDRO] CH 2024-11: Budget=85000MWh, Cutoff=450.0EUR/MWh, Wasserwert=178.3EUR/MWh (Floor=95.6, Ceil=178.3)
[HYDRO] CH 2024-12: Budget=85000MWh, Cutoff=646.8EUR/MWh, Wasserwert=180.0EUR/MWh (Floor=74.3, Ceil=180.0)
[HYDRO] CH: Energie-Budget System aktiviert (Budget=85000MWh/Monat, Band=Â±6.0EUR/MWh)
[HYDRO] CZ 2024-01: Budget=4800MWh, Cutoff=141.0EUR/MWh, Wasserwert=123.8EUR/MWh (Floor=64.3, Ceil=123.8)
[HYDRO] CZ 2024-02: Budget=4800MWh, Cutoff=110.1EUR/MWh, Wasserwert=93.0EUR/MWh (Floor=55.1, Ceil=93.0)
[HYDRO] CZ 2024-03: Budget=4800MWh, Cutoff=134.9EUR/MWh, Wasserwert=105.1EUR/MWh (Floor=56.8, Ceil=105.1)
[HYDRO] CZ 2024-04: Budget=4800MWh, Cutoff=171.0EUR/MWh, Wasserwert=125.1EUR/MWh (Floor=50.1, Ceil=125.1)
[HYDRO] CZ 2024-05: Budget=4800MWh, Cutoff=156.3EUR/MWh, Wasserwert=127.5EUR/MWh (Floor=56.1, Ceil=127.5)
[HYDRO] CZ 2024-06: Budget=4800MWh, Cutoff=200.0EUR/MWh, Wasserwert=141.7EUR/MWh (Floor=54.9, Ceil=141.7)
[HYDRO] CZ 2024-07: Budget=4800MWh, Cutoff=187.9EUR/MWh, Wasserwert=131.4EUR/MWh (Floor=47.1, Ceil=131.4)
[HYDRO] CZ 2024-08: Budget=4800MWh, Cutoff=230.8EUR/MWh, Wasserwert=149.1EUR/MWh (Floor=70.1, Ceil=149.1)
[HYDRO] CZ 2024-09: Budget=4800MWh, Cutoff=300.0EUR/MWh, Wasserwert=140.7EUR/MWh (Floor=61.6, Ceil=140.7)
[HYDRO] CZ 2024-10: Budget=4800MWh, Cutoff=229.5EUR/MWh, Wasserwert=156.2EUR/MWh (Floor=68.8, Ceil=156.2)
[HYDRO] CZ 2024-11: Budget=4800MWh, Cutoff=450.0EUR/MWh, Wasserwert=178.3EUR/MWh (Floor=95.6, Ceil=178.3)
[HYDRO] CZ 2024-12: Budget=4800MWh, Cutoff=646.8EUR/MWh, Wasserwert=180.0EUR/MWh (Floor=74.3, Ceil=180.0)
