timestamp,mef_g_per_kwh,marginal_side,marginal_label,marginal_fuel,marginal_eta,marginal_srmc_eur_per_mwh,price_DE,net_import_total_MW,cluster_zones,IMPORT_ambivalent_zones,residual_domestic_fossil_MW,flag_psp_price_setting,fb_boundary,fb_slack_to_min_MW,fb_slack_to_max_MW,fb_minNP_MW,fb_maxNP_MW,fb_NetPosition_MW,FEE_MW,ND_EXTRA_MW,RL_after_FEE_MW,RL_after_MU_WASTE_MW,RL_after_MU_NUC_MW,RL_after_MU_BIO_MW,RL_after_MU_OIL_MW,RL_after_FOSSIL_MU_MW,RL_after_PSP_MW,RL_after_RES_MW,DE_fossil_mustrun_cost_based_MW,DE_fossil_mustrun_required_MW,DE_fossil_mustrun_other_required_MW,DE_oil_mustrun_required_MW,BIO_MW,WASTE_MW,OIL_lowprice_profile_MW,OIL_MU_used_MW,residual_after_trade_MW,import_flow_target_MW,export_flow_target_MW,import_flow_observed_MW,export_flow_observed_MW,stack_import_utilized_MW,stack_export_utilized_MW,IMPORT_price_zone,LIGNITE_lowprice_profile_MW,flag_psp_scarcity_cap,flag_reservoir_enhanced
2024-01-01 00:00:00+01:00,890.6976596028695,DE,SEE925599434282,Braunkohle,0.4300000071525574,,0.009999999776482582,-11641.099609375,AT|BE|CZ|FR|NL,,32797.600000000006,False,False,,,,,,37272.5,4529.5,40000.75,40000.75,40000.75,36399.175,36399.175,32797.600000000006,32308.100000000006,0.0,3601.575,3601.575,3601.575,0.0,3945.5,584.0,0.0,0.0,0.0,0.0,4579.9000244140625,0.0,4579.9000244140625,0.0,0.0,,3391.75,0,0
2024-01-01 01:00:00+01:00,876.4301930392552,DE,SEE968582186379,Braunkohle,0.43700000643730164,62.518306732177734,0.0,-10711.2998046875,BE|FR|NL,,31448.850000000002,False,False,7000.0,6000.0,-5000.0,8000.0,2000.0,36858.5,4478.0,38652.0,38652.0,38652.0,35050.425,35050.425,31448.850000000002,31033.100000000002,0.0,3601.575,3601.575,3601.575,0.0,3908.75,569.25,0.0,0.0,0.0,0.0,652.4499969482422,0.0,652.4499969482422,0.0,0.0,,3391.75,0,0
2024-01-01 02:00:00+01:00,876.4301930392552,DE,SEE968582186379,Braunkohle,0.43700000643730164,62.518306732177734,-0.009999999776482582,-10638.3896484375,AT|BE|CZ|FR|NL,,30473.600000000002,False,False,,,,,,36790.25,4454.75,37676.75,37676.75,37676.75,34075.175,34075.175,30473.600000000002,30069.850000000002,0.0,3601.575,3601.575,3601.575,0.0,3893.0,561.75,0.0,0.0,0.0,0.0,3650.5499572753906,0.0,3650.5499572753906,0.0,0.0,,3391.75,0,0
2024-01-01 03:00:00+01:00,876.4301930392552,DE,SEE968582186379,Braunkohle,0.43700000643730164,62.518306732177734,-0.029999999329447746,-10478.7900390625,BE|DK1|FR|NL,,29732.850000000002,False,False,,,,,,35739.25,4440.5,36936.0,36936.0,36936.0,33334.425,33334.425,29732.850000000002,29407.350000000002,0.0,3601.575,3601.575,3601.575,0.0,3868.0,572.5,0.0,0.0,0.0,0.0,3997.5,0.0,3997.5,0.0,0.0,,3393.0,0,0
2024-01-01 04:00:00+01:00,876.4301930392552,DE,SEE968582186379,Braunkohle,0.43700000643730164,62.518306732177734,-0.019999999552965164,-10319.6201171875,AT|BE|CZ|DK1|FR|NL,,29368.350000000002,False,False,,,,,,35414.5,4435.75,36571.5,36571.5,36571.5,32969.925,32969.925,29368.350000000002,29190.600000000002,0.0,3601.575,3601.575,3601.575,0.0,3872.5,563.25,0.0,0.0,0.0,0.0,6273.02001953125,582.0,6273.02001953125,0.0,0.0,,3393.75,0,0
2024-01-01 05:00:00+01:00,876.4301930392552,DE,SEE968582186379,Braunkohle,0.43700000643730164,62.518306732177734,-0.05000000074505806,-11110.5,BE|DK1|NL,,29672.600000000002,False,False,,,,,,35729.25,4471.25,36875.75,36875.75,36875.75,33274.175,33274.175,29672.600000000002,29492.600000000002,0.0,3601.575,3601.575,3601.575,0.0,3909.75,561.5,0.0,0.0,0.0,0.0,2522.0,229.60000610351562,2522.0,0.0,0.0,,3399.25,0,0
2024-01-01 06:00:00+01:00,876.4301930392552,DE,SEE968582186379,Braunkohle,0.43700000643730164,62.518306732177734,-0.019999999552965164,-9877.830078125,BE|DK1|FR|NL,,29349.350000000002,False,False,,,,,,35363.75,4532.75,36552.5,36552.5,36552.5,32950.925,32950.925,29349.350000000002,29201.100000000002,0.0,3601.575,3601.575,3601.575,0.0,3968.0,564.75,0.0,0.0,0.0,0.0,3922.6500549316406,0.0,3922.6500549316406,0.0,0.0,,3435.0,0,0
2024-01-01 07:00:00+01:00,876.4301930392552,DE,SEE968582186379,Braunkohle,0.43700000643730164,62.518306732177734,0.0,-10921.1201171875,AT|BE|CZ|DK1|FR|NL,,29956.850000000002,False,False,,,,,,35578.25,4633.5,37160.0,37160.0,37160.0,33558.425,33558.425,29956.850000000002,29804.350000000002,0.0,3601.575,3601.575,3601.575,0.0,4071.0,562.5,0.0,0.0,0.0,0.0,6363.299957275391,0.0,6363.299957275391,0.0,0.0,,3435.0,0,0
2024-01-01 08:00:00+01:00,876.4301930392552,DE,SEE968582186379,Braunkohle,0.43700000643730164,62.518306732177734,0.03999999910593033,-11293.169921875,AT|BE|CZ|FR|NL,,30617.100000000002,False,False,,,,,,36649.25,4740.75,37820.25,37820.25,37820.25,34218.675,34218.675,30617.100000000002,30591.350000000002,0.0,3601.575,3601.575,3601.575,0.0,4170.25,570.5,0.0,0.0,0.0,0.0,4710.420074462891,0.0,4710.420074462891,0.0,0.0,,3435.0,0,0
2024-01-01 09:00:00+01:00,876.4301930392552,DE,SEE968582186379,Braunkohle,0.43700000643730164,62.518306732177734,0.05999999865889549,-11408.8603515625,AT|BE|CZ|FR|NL,,32604.600000000002,False,False,,,,,,38921.75,4728.25,39807.75,39807.75,39807.75,36206.175,36206.175,32604.600000000002,32461.600000000002,0.0,3601.575,3601.575,3601.575,0.0,4170.75,557.5,0.0,0.0,0.0,0.0,4291.199989318848,0.0,4291.199989318848,0.0,0.0,,3435.0,0,0
2024-01-01 10:00:00+01:00,876.4301930392552,DE,SEE968582186379,Braunkohle,0.43700000643730164,62.518306732177734,0.5400000214576721,-12219.0302734375,AT|BE|CZ|FR|NL,,34967.600000000006,False,False,,,,,,42213.25,4665.5,42170.75,42170.75,42170.75,38569.175,38569.175,34967.600000000006,34905.850000000006,0.0,3601.575,3601.575,3601.575,0.0,4096.75,568.75,0.0,0.0,0.0,0.0,5019.050018310547,0.0,5019.050018310547,0.0,0.0,,3488.5,0,0
2024-01-01 11:00:00+01:00,876.4301930392552,DE,SEE968582186379,Braunkohle,0.43700000643730164,62.518306732177734,2.240000009536743,-12561.5595703125,AT|BE|CZ|FR|NL,,37507.600000000006,False,False,,,,,,44109.75,4620.0,44710.75,44710.75,44710.75,41109.175,41109.175,37507.600000000006,37412.850000000006,0.0,3601.575,3601.575,3601.575,0.0,4049.5,570.5,0.0,0.0,0.0,0.0,5305.0,0.0,5305.0,0.0,0.0,,3488.5,0,0
2024-01-01 12:00:00+01:00,876.4301930392552,DE,SEE968582186379,Braunkohle,0.43700000643730164,62.518306732177734,1.9600000381469727,-10656.0302734375,,,38519.100000000006,False,False,,,,,,43559.5,4559.5,45722.25,45722.25,45722.25,42120.675,42120.675,38519.100000000006,38390.850000000006,0.0,3601.575,3601.575,3601.575,0.0,3990.75,568.75,0.0,0.0,0.0,0.0,10934.379943847656,278.3500061035156,10934.379943847656,0.0,0.0,,3488.5,0,0
2024-01-01 13:00:00+01:00,876.4301930392552,DE,SEE968582186379,Braunkohle,0.43700000643730164,62.518306732177734,1.0399999618530273,-9476.75,,,37945.100000000006,False,False,,,,,,41420.75,4543.5,45148.25,45148.25,45148.25,41546.675,41546.675,37945.100000000006,37868.100000000006,0.0,3601.575,3601.575,3601.575,0.0,3977.25,566.25,0.0,0.0,0.0,0.0,10337.300010681152,860.5499877929688,10337.300010681152,0.0,0.0,,3488.5,0,0
