"name","country","zone","fuel","tech","commissioned","capacity_mw","eta","scale","scaled_capacity_mw"
"Marcinelle Energie (Carsid)","BE","BE","gas","CCGT","","413.0","0.55","1.4794734137741634","611.0225198887294"
"Aalst Syral GT","BE","BE","gas","OCGT","","43.0","0.37","1.4794734137741634","63.61735679228903"
"Aalst Syral ST","BE","BE","gas","GT+ST","","5.0","0.48","1.4794734137741634","7.3973670688708175"
"AALTER TJ","BE","BE","oil","Oil","","18.0","0.36","3.248898678414097","58.480176211453745"
"Amercoeur 1 R TGV","BE","BE","gas","CCGT","","451.0","0.55","1.4794734137741634","667.2425096121477"
"AWIRS 4","BE","BE","gas","GT+ST","","95.0","0.48","1.4794734137741634","140.54997430854553"
"BEERSE TJ","BE","BE","oil","Oil","","32.0","0.36","3.248898678414097","103.9647577092511"
"Beveren Ineos Phenolchemie","BE","BE","gas","CCGT","","23.8","0.55","1.4794734137741634","35.21146724782509"
"BUTGENBACH","BE","BE","nan","","","1.8","","","1.8"
"CIERREUX TJ","BE","BE","oil","Oil","","18.0","0.36","3.248898678414097","58.480176211453745"
"COO I T","BE","BE","nan","","","474.0","","","474.0"
"COO II T","BE","BE","nan","","","690.0","","","690.0"
"DOEL 1","BE","BE","nan","","","445.0","","","445.0"
"DOEL 2","BE","BE","nan","","","433.0","","","433.0"
"DOEL 3","BE","BE","nan","","","1006.0","","","1006.0"
"DOEL 4","BE","BE","nan","","","1039.0","","","1039.0"
"DROGENBOS DM 51","BE","BE","oil","Oil","","2.5","0.36","3.248898678414097","8.122246696035242"
"DROGENBOS DM 52","BE","BE","oil","Oil","","2.5","0.36","3.248898678414097","8.122246696035242"
"DROGENBOS GT1","BE","BE","gas","OCGT","","150.0","0.37","1.4794734137741634","221.92101206612452"
"DROGENBOS GT2","BE","BE","gas","OCGT","","150.0","0.37","1.4794734137741634","221.92101206612452"
"DROGENBOS ST","BE","BE","gas","GT+ST","","160.0","0.48","1.4794734137741634","236.71574620386616"
"HERDERSBRUG STEG","BE","BE","gas","CCGT","","465.0","0.55","1.4794734137741634","687.955137404986"
"IXELLES TJ","BE","BE","oil","Oil","","18.0","0.36","3.248898678414097","58.480176211453745"
"La Vierre","BE","BE","nan","","","1.9","","","1.9"
"Lanaken Sappi","BE","BE","gas","CCGT","","43.0","0.55","1.4794734137741634","63.61735679228903"
"LANGERBRUGGE STORA ST 1","BE","BE","nan","","","11.0","","","11.0"
"LANGERBRUGGE STORA ST 2","BE","BE","nan","","","44.7","","","44.7"
"Lillo Degussa GT1","BE","BE","gas","OCGT","","43.0","0.37","1.4794734137741634","63.61735679228903"
"Lillo Degussa GT2","BE","BE","gas","OCGT","","32.0","0.37","1.4794734137741634","47.34314924077323"
"Lillo Degussa ST","BE","BE","gas","GT+ST","","10.0","0.48","1.4794734137741634","14.794734137741635"
"Noordschote TJ","BE","BE","oil","Oil","","18.0","0.36","3.248898678414097","58.480176211453745"
"Oorderen Bayer","BE","BE","gas","CCGT","","43.0","0.55","1.4794734137741634","63.61735679228903"
"Oud-Lillo Monsanto","BE","BE","gas","CCGT","","43.0","0.55","1.4794734137741634","63.61735679228903"
"RODENHUIZE 4","BE","BE","gas","GT+ST","","268.0","0.48","1.4794734137741634","396.4988748914758"
"SAINT-GHISLAIN STEG","BE","BE","gas","CCGT","","350.0","0.55","1.4794734137741634","517.8156948209572"
"Schaerbeek Siomab ST1","BE","BE","nan","","","15.0","","","15.0"
"Schaerbeek Siomab ST2","BE","BE","nan","","","15.0","","","15.0"
"Schaerbeek Siomab ST3","BE","BE","nan","","","15.0","","","15.0"
"Scheldelaan Exxonmobil","BE","BE","gas","CCGT","","140.0","0.55","1.4794734137741634","207.12627792838288"
"TIHANGE 1N","BE","BE","nan","","","481.0","","","481.0"
"TIHANGE 1S","BE","BE","nan","","","481.0","","","481.0"
"TIHANGE 2","BE","BE","nan","","","1008.0","","","1008.0"
"TIHANGE 3","BE","BE","nan","","","1038.0","","","1038.0"
"Turon TJ","BE","BE","oil","Oil","","18.6","0.36","3.248898678414097","60.429515418502206"
"VILVOORDE GT","BE","BE","gas","OCGT","","255.0","0.37","1.4794734137741634","377.2657205124117"
"Wilmarsdonk Total GT1","BE","BE","gas","OCGT","","43.0","0.37","1.4794734137741634","63.61735679228903"
"Wilmarsdonk Total GT2","BE","BE","gas","OCGT","","43.0","0.37","1.4794734137741634","63.61735679228903"
"Wilmarsdonk Total GT3","BE","BE","gas","OCGT","","43.0","0.37","1.4794734137741634","63.61735679228903"
"Wilrijk Isvag","BE","BE","nan","","","12.0","","","12.0"
"Zandvliet Power","BE","BE","gas","CCGT","","386.2","0.55","1.4794734137741634","571.3726323995819"
"Zedelgem TJ","BE","BE","oil","Oil","","18.0","0.36","3.248898678414097","58.480176211453745"
"Zeebrugge 2 Fluxys","BE","BE","gas","CCGT","","40.0","0.55","1.4794734137741634","59.17893655096654"
"Zeebrugge TJ","BE","BE","oil","Oil","","18.0","0.36","3.248898678414097","58.480176211453745"
"Zelzate 2 Knippegroen","BE","BE","nan","","","315.0","","","315.0"
"Zelzate TJ","BE","BE","oil","Oil","","18.0","0.36","3.248898678414097","58.480176211453745"
"Zwijndrecht Lanxess GT","BE","BE","gas","OCGT","","43.0","0.37","1.4794734137741634","63.61735679228903"
"Zwijndrecht Lanxess ST","BE","BE","gas","GT+ST","","15.0","0.48","1.4794734137741634","22.192101206612453"
"Electrawinds biomassa Oostende","BE","BE","nan","","","18.0","","","18.0"
"Greenpower Oostende","BE","BE","nan","","","20.0","","","20.0"
"Eurosilo","BE","BE","gas","CCGT","","12.9","0.55","1.4794734137741634","19.085207037686708"
"Incinerateur THUMAIDE (IPALLE)","BE","BE","nan","","","34.0","","","34.0"
"Intradel Herstal","BE","BE","nan","","","34.0","","","34.0"
"IVBO","BE","BE","nan","","","16.0","","","16.0"
"PLATE-TAILLE T","BE","BE","nan","","","144.0","","","144.0"
"ANGLEUR TG 41","BE","BE","gas","OCGT","","64.0","0.37","1.4794734137741634","94.68629848154646"
"ANGLEUR TG 42","BE","BE","gas","OCGT","","64.0","0.37","1.4794734137741634","94.68629848154646"
