zone,fuel,baseline_mw,official_cap_mw,scale
AT,gas,4316.2,4220.0,0.9777118761873871
AT,hardcoal,1078.0,0.0,0.0
AT,lignite,0.0,0.0,
AT,oil,0.0,120.0,
BE,gas,5643.9,8350.0,1.4794734137741634
BE,hardcoal,0.0,0.0,
BE,lignite,0.0,0.0,
BE,oil,181.6,590.0,3.248898678414097
CH,gas,0.0,0.0,
CH,hardcoal,0.0,0.0,
CH,lignite,0.0,0.0,
CH,oil,0.0,0.0,
CZ,gas,1575.8,1620.0,1.0280492448280238
CZ,hardcoal,1699.4,1200.0,0.7061315758503001
CZ,lignite,9387.8,7240.0,0.7712137028909862
CZ,oil,21.0,0.0,0.0
DE_LU,gas,0.0,35630.0,
DE_LU,hardcoal,0.0,15570.0,
DE_LU,lignite,0.0,15070.0,
DE_LU,oil,0.0,3890.0,
DK_1,gas,516.0,1180.932944606414,2.2886297376093294
DK_1,hardcoal,1240.0,3020.0,2.435483870967742
DK_1,lignite,0.0,0.0,
DK_1,oil,0.0,0.0,
DK_2,gas,170.0,389.06705539358603,2.2886297376093294
DK_2,hardcoal,0.0,0.0,
DK_2,lignite,0.0,0.0,
DK_2,oil,665.0,960.0,1.443609022556391
FR,gas,6691.0,13110.0,1.9593483784187715
FR,hardcoal,2930.0,1810.0,0.6177474402730375
FR,lignite,0.0,0.0,
FR,oil,1640.0,3040.0,1.853658536585366
NL,gas,13997.0,,
NL,hardcoal,4008.0,,
NO,gas,773.35,,
NO_2,gas,0.0,480.0,
NO_2,hardcoal,0.0,0.0,
NO_2,lignite,0.0,0.0,
NO_2,oil,0.0,0.0,
PL,gas,0.0,5250.0,
PL,hardcoal,17081.0,18530.0,1.0848310988817984
PL,lignite,8308.0,6950.0,0.8365430909966297
PL,oil,0.0,390.0,
SE,gas,934.0,,
SE,hardcoal,130.0,,
SE,oil,1759.0,,
SE_4,gas,0.0,0.0,
SE_4,hardcoal,0.0,0.0,
SE_4,lignite,0.0,0.0,
SE_4,oil,0.0,0.0,
